Date,Open,High,Low,Close,Volume,Adj Close
2017-06-30,54.33,54.73,54.08,54.48,8826060,54.48
2017-06-29,54.49,54.92,53.13,54.3,11962959,54.3
2017-06-28,54.09,55.1,53.76,54.95,14675936,54.95
2017-06-27,54.44,54.73,53.53,53.64,17023615,53.64
2017-06-26,55.38,55.6,53.97,54.31,22718129,54.31
2017-06-23,54.49,54.99,54.45,54.73,13065566,54.73
2017-06-22,54.75,55.45,54.42,54.56,17258904,54.56
2017-06-21,53.94,55.17,53.89,55.09,28731684,55.09
2017-06-20,54.54,54.9,53.79,53.81,47512882,53.81
2017-06-19,54.0,55.03,53.8,54.46,39430343,54.46
2017-06-16,52.79,53.3,51.9,52.58,269377149,52.58
2017-06-15,52.17,52.76,51.64,52.58,72688419,52.58
2017-06-14,52.42,54.26,52.16,52.63,72068964,52.63
2017-06-13,53.65,54.08,52.0,52.0,157375730,52.0
2017-06-12,53.79,54.55,52.6,53.12,57753270,53.12
2017-06-09,56.16,57.39,53.66,54.02,74186692,54.02
2017-06-08,55.35,55.94,53.49,55.71,75397854,55.71
2017-06-07,50.47,50.72,50.28,50.55,25993519,50.55
2017-06-06,50.42,50.76,50.3,50.5,27315854,50.5
2017-06-05,50.52,50.88,50.4,50.6,16600752,50.6
2017-06-02,50.53,50.75,50.31,50.6,9857195,50.6
2017-06-01,50.49,50.7,50.07,50.65,7776690,50.65
2017-05-31,50.6,50.65,49.96,50.32,8750770,50.32
2017-05-30,50.67,50.94,50.5,50.56,8400168,50.56
2017-05-26,50.5,50.74,50.32,50.67,6049533,50.67
2017-05-25,50.48,50.75,50.05,50.6,11961672,50.6
2017-05-24,50.18,50.59,49.9,50.32,12238852,50.32
2017-05-23,50.44,50.9,50.26,50.31,7342030,50.31
2017-05-22,50.51,51.08,50.22,50.65,9696647,50.65
2017-05-19,50.03,51.23,50.01,50.18,11181962,50.18
2017-05-18,48.68,50.03,47.74,49.63,13737509,49.63
2017-05-17,50.7,50.7,49.44,49.65,20954125,49.65
2017-05-16,50.05,51.12,50.03,50.96,19423578,50.96
2017-05-15,49.71,49.94,49.48,49.86,9129285,49.86
2017-05-12,49.75,49.75,49.44,49.65,6185780,49.65
2017-05-11,49.45,49.71,49.14,49.69,6142929,49.69
2017-05-10,49.4,49.6,49.14,49.4,8360446,49.4
2017-05-09,49.14,49.67,48.94,49.49,10279065,49.49
2017-05-08,48.71,48.96,48.51,48.85,10059557,48.85
2017-05-05,48.45,48.66,48.27,48.49,7835467,48.49
2017-05-04,48.63,48.68,48.16,48.45,6208893,48.45
2017-05-03,49.19,49.19,48.17,48.54,4702411,48.54
2017-05-02,48.72,49.3,48.72,49.09,6106265,49.09
2017-05-01,48.22,48.78,48.12,48.61,6386542,48.61
2017-04-28,48.45,48.5,48.16,48.21,4925538,48.21
2017-04-27,48.08,48.47,48.02,48.36,10635392,48.36
2017-04-26,48.4,48.47,48.17,48.26,4053137,48.26
2017-04-25,48.29,48.46,48.16,48.4,10288234,48.4
2017-04-24,47.89,48.2,47.75,48.15,9860363,48.15
2017-04-21,47.73,47.77,47.37,47.52,7054995,47.52
2017-04-20,47.25,47.84,47.07,47.67,10925101,47.67
2017-04-19,47.6,47.88,46.92,47.0,12179541,47.0
2017-04-18,47.25,47.74,47.14,47.56,9341939,47.56
2017-04-17,47.02,47.42,46.92,47.39,3857065,47.39
2017-04-13,46.85,47.11,46.61,46.9,3762132,46.9
2017-04-12,46.8,47.16,46.67,46.83,5127330,46.83
2017-04-11,47.03,47.21,46.42,46.79,5593867,46.79
2017-04-10,46.49,47.42,46.4,47.21,7818042,47.21
2017-04-07,46.23,46.53,45.96,46.44,4629814,46.44
2017-04-06,46.38,46.43,46.04,46.28,4124602,46.28
2017-04-05,46.41,46.92,46.24,46.38,4840299,46.38
2017-04-04,46.3,46.47,46.12,46.23,4758401,46.23
2017-04-03,46.5,46.85,46.16,46.43,7675378,46.43
2017-03-31,46.52,46.7,46.27,46.41,7814123,46.41
2017-03-30,46.8,47.04,46.6,46.62,3449091,46.62
2017-03-29,46.52,46.84,46.3,46.78,4403402,46.78
2017-03-28,46.33,46.76,46.24,46.57,4630801,46.57
2017-03-27,45.92,46.48,45.74,46.4,6016624,46.4
2017-03-24,46.65,46.86,46.14,46.4,5607667,46.4
2017-03-23,46.13,46.78,46.09,46.6,8297815,46.6
2017-03-22,45.61,46.14,45.6,46.06,6773395,46.06
2017-03-21,47.0,47.19,45.68,45.77,6469439,45.77
2017-03-20,46.62,47.16,46.52,46.77,5822991,46.77
2017-03-17,46.73,46.9,46.5,46.59,6192404,46.59
2017-03-16,46.6,46.62,46.3,46.61,3627081,46.61
2017-03-15,46.55,46.55,45.9,46.29,6279298,46.29
2017-03-14,46.41,46.76,46.19,46.37,3800294,46.37
