Date,Open,High,Low,Close,Volume,Adj Close
2017-06-06,153.9,155.81,153.78,154.45,26542946,154.45
2017-06-05,154.34,154.45,153.46,153.93,25331662,153.93
2017-06-02,153.58,155.45,152.89,155.45,27770715,155.45
2017-06-01,153.17,153.33,152.22,153.18,16404088,153.18
2017-05-31,153.97,154.17,152.38,152.76,24451164,152.76
2017-05-30,153.42,154.43,153.33,153.67,20126851,153.67
2017-05-26,154.0,154.24,153.31,153.61,21927637,153.61
2017-05-25,153.73,154.35,153.03,153.87,19235598,153.87
2017-05-24,153.84,154.17,152.67,153.34,19219154,153.34
2017-05-23,154.9,154.9,153.31,153.8,19918871,153.8
2017-05-22,154.0,154.58,152.91,153.99,22966437,153.99
2017-05-19,153.38,153.98,152.63,153.06,26960788,153.06
2017-05-18,151.27,153.34,151.13,152.54,33568215,152.54
2017-05-17,153.6,154.57,149.71,150.25,50767678,150.25
2017-05-16,155.94,156.06,154.72,155.47,20048478,155.47
2017-05-15,156.01,156.65,155.05,155.7,26009719,155.7
2017-05-12,154.7,156.42,154.67,156.1,32527017,156.1
2017-05-11,152.45,154.07,152.31,153.95,27255058,153.95
2017-05-10,153.63,153.94,152.11,153.26,25805692,153.26
2017-05-09,153.87,154.88,153.45,153.99,39130363,153.99
2017-05-08,149.03,153.7,149.03,153.01,48752413,153.01
2017-05-05,146.76,148.98,146.76,148.96,27327725,148.96
2017-05-04,146.52,147.14,145.81,146.53,23371872,146.53
2017-05-03,145.59,147.49,144.27,147.06,45697034,147.06
2017-05-02,147.54,148.09,146.84,147.51,45352194,147.51
2017-05-01,145.1,147.2,144.96,146.58,33602943,146.58
2017-04-28,144.09,144.3,143.27,143.65,20860358,143.65
2017-04-27,143.92,144.16,143.31,143.79,14246347,143.79
2017-04-26,144.47,144.6,143.38,143.68,20041241,143.68
2017-04-25,143.91,144.9,143.87,144.53,18871501,144.53
2017-04-24,143.5,143.95,143.18,143.64,17134333,143.64
2017-04-21,142.44,142.68,141.85,142.27,17320928,142.27
2017-04-20,141.22,142.92,141.16,142.44,23319562,142.44
2017-04-19,141.88,142.0,140.45,140.68,17328375,140.68
2017-04-18,141.41,142.04,141.11,141.2,14697544,141.2
2017-04-17,141.48,141.88,140.87,141.83,16582094,141.83
2017-04-13,141.91,142.38,141.05,141.05,17822880,141.05
2017-04-12,141.6,142.15,141.01,141.8,20350000,141.8
2017-04-11,142.94,143.35,140.06,141.63,30379376,141.63
2017-04-10,143.6,143.88,142.9,143.17,18933397,143.17
2017-04-07,143.73,144.18,143.27,143.34,16672198,143.34
2017-04-06,144.29,144.52,143.45,143.66,21149034,143.66
2017-04-05,144.22,145.46,143.81,144.02,27717854,144.02
2017-04-04,143.25,144.89,143.17,144.77,19891354,144.77
2017-04-03,143.71,144.12,143.05,143.7,19985714,143.7
2017-03-31,143.72,144.27,143.01,143.66,19661651,143.66
2017-03-30,144.19,144.5,143.5,143.93,21207252,143.93
2017-03-29,143.68,144.49,143.19,144.12,29189955,144.12
2017-03-28,140.91,144.04,140.62,143.8,33374805,143.8
2017-03-27,139.39,141.22,138.62,140.88,23575094,140.88
2017-03-24,141.5,141.74,140.35,140.64,22395563,140.64
