Date,Open,High,Low,Close,Volume,Adj Close
2017-06-06,91.31,92.59,90.92,92.06,290547,92.06
2017-06-05,91.59,91.6,90.55,91.51,381138,91.51
2017-06-02,91.92,92.25,91.01,91.89,262817,91.89
2017-06-01,92.7,93.3,91.92,92.07,292409,92.07
2017-05-31,93.12,93.4,92.0,92.33,312985,92.33
2017-05-30,92.53,93.54,92.53,93.22,176853,93.22
2017-05-26,91.76,93.09,91.63,92.85,349001,92.85
2017-05-25,92.29,92.97,91.31,92.05,437233,92.05
2017-05-24,92.88,93.38,91.74,92.49,364015,92.49
2017-05-23,92.63,93.6,92.55,93.07,390780,93.07
2017-05-22,93.1,93.58,91.25,91.77,213463,91.77
2017-05-19,89.58,93.11,89.48,92.52,654432,92.52
2017-05-18,88.15,88.96,87.82,88.62,523394,88.62
2017-05-17,90.14,90.59,88.5,88.96,584857,88.96
2017-05-16,91.3,91.95,90.71,90.84,267153,90.84
2017-05-15,91.52,92.25,91.06,91.35,452534,91.35
2017-05-12,91.09,91.67,90.57,90.97,234519,90.97
2017-05-11,91.69,91.94,90.34,91.16,497579,91.16
2017-05-10,91.77,93.15,91.66,91.92,451892,91.92
2017-05-09,91.3,92.19,90.49,91.65,338408,91.65
2017-05-08,91.53,92.13,90.98,91.47,748960,91.47
2017-05-05,90.64,92.35,90.5,91.5,566852,91.5
2017-05-04,90.7,90.99,90.25,90.4,466510,90.4
2017-05-03,92.01,92.01,90.5,90.7,511071,90.7
2017-05-02,93.22,94.52,92.01,92.25,794957,92.25
2017-05-01,94.44,94.5,93.6,93.61,299653,93.61
2017-04-28,95.14,95.33,93.43,93.93,272698,93.93
2017-04-27,93.84,95.56,93.57,95.0,611780,95.0
2017-04-26,92.25,93.37,92.04,92.88,515703,92.88
2017-04-25,91.74,93.26,91.74,92.49,544317,92.49
2017-04-24,91.44,92.07,90.93,91.68,314715,91.68
2017-04-21,91.48,91.53,90.09,90.47,599679,90.47
2017-04-20,92.01,92.38,91.29,91.67,444607,91.67
2017-04-19,91.84,92.33,91.16,91.62,268435,91.62
2017-04-18,92.43,92.97,91.7,91.98,386177,91.98
2017-04-17,93.01,93.46,92.52,93.16,186721,93.16
2017-04-13,93.24,93.64,92.36,92.46,266243,92.46
2017-04-12,93.33,93.69,92.85,93.35,287543,93.35
2017-04-11,93.87,94.28,92.36,93.81,285284,93.81
2017-04-10,93.93,94.06,93.41,93.87,469726,93.87
2017-04-07,93.47,94.2,93.34,93.77,284794,93.77
2017-04-06,93.98,94.4,93.61,93.93,267632,93.93
2017-04-05,95.5,95.64,93.86,94.02,556561,94.02
2017-04-04,94.79,95.23,94.08,94.87,274885,94.87
2017-04-03,95.61,96.05,93.78,95.2,595323,95.2
2017-03-31,96.4,96.67,95.3,95.55,641218,95.55
2017-03-30,94.84,96.4,94.84,96.01,764232,96.01
2017-03-29,94.49,95.83,93.98,95.03,531047,95.03
2017-03-28,95.05,96.17,95.03,95.2,1102686,95.2
2017-03-27,94.27,95.35,94.16,94.96,303039,94.96
2017-03-24,95.41,95.92,94.33,94.8,275554,94.8
2017-03-23,94.82,96.03,94.04,95.49,400270,95.49
2017-03-22,94.47,95.04,93.82,94.82,455233,94.82
2017-03-21,96.19,96.76,94.38,94.62,421253,94.62
2017-03-20,96.84,97.25,95.54,95.79,347865,95.79
2017-03-17,97.33,97.6,96.74,96.87,452800,96.87
2017-03-16,97.0,97.74,96.12,96.8,448327,96.8
2017-03-15,95.68,96.85,94.78,96.75,430964,96.75
2017-03-14,96.14,96.22,95.0,95.19,580789,95.19
2017-03-13,97.61,97.61,96.38,97.01,525010,97.01
2017-03-10,97.44,98.1,96.55,97.49,488072,97.49
2017-03-09,96.61,100.47,96.07,97.12,1953130,97.12
2017-03-08,95.53,95.85,94.35,94.48,529424,94.48
2017-03-07,94.9,95.85,94.31,95.32,444282,95.32
2017-03-06,95.26,95.4,94.0,94.84,488984,94.84
2017-03-03,94.76,95.57,94.46,95.26,437331,95.26
2017-03-02,97.22,97.57,95.0,95.15,542092,95.15
2017-03-01,97.96,98.65,96.67,97.13,391791,97.13
2017-02-28,98.57,99.72,96.47,96.6,436018,96.6
2017-02-27,99.14,99.42,98.01,98.96,342019,98.96
2017-02-24,99.55,100.22,97.57,99.37,716916,99.37
2017-02-23,103.15,103.15,99.29,100.56,575266,100.56
2017-02-22,102.57,103.46,101.97,102.99,376704,102.99
2017-02-21,103.99,103.99,102.79,103.22,362077,103.22
2017-02-17,103.97,104.1,102.0,103.65,529745,103.65
2017-02-16,105.44,105.67,103.78,104.09,605345,104.09
2017-02-15,107.3,107.41,104.98,105.19,338606,105.19
2017-02-14,105.7,107.76,105.39,107.24,482425,107.24
2017-02-13,105.69,107.5,104.68,105.91,688259,105.91
2017-02-10,104.01,106.22,104.0,105.7,494788,105.7
2017-02-09,105.33,105.41,103.56,104.02,303544,104.02
2017-02-08,104.5,105.14,103.03,105.08,406001,105.08
2017-02-07,101.56,104.92,101.35,104.34,360360,104.34
2017-02-06,103.29,103.29,101.48,102.53,271810,102.53
2017-02-03,102.76,104.57,102.04,103.29,312359,103.29
2017-02-02,101.98,102.92,100.83,102.38,463276,102.38
2017-02-01,102.89,103.43,100.84,102.63,451951,102.63
2017-01-31,102.97,104.24,101.59,102.91,428514,102.91
2017-01-30,103.77,103.84,101.14,102.9,481769,102.9
2017-01-27,106.7,108.0,103.74,104.29,376166,104.29
2017-01-26,105.59,107.54,104.72,106.79,695050,106.79
2017-01-25,110.15,111.88,108.82,109.59,585208,109.59
2017-01-24,107.05,111.73,105.93,110.27,1418048,110.27
2017-01-23,105.0,105.76,103.93,105.15,216045,105.15
2017-01-20,101.68,105.97,101.57,105.19,370169,105.19
2017-01-19,101.93,102.09,100.88,101.11,272474,101.11
2017-01-18,104.44,104.44,101.16,101.33,371335,101.33
2017-01-17,105.51,106.12,104.03,104.47,328138,104.47
2017-01-13,105.5,105.84,104.43,105.38,209411,105.38
2017-01-12,106.63,106.63,103.74,105.5,350487,105.5
2017-01-11,102.82,105.44,102.59,105.4,318022,105.4
2017-01-10,103.58,104.2,102.47,102.91,570617,102.91
2017-01-09,102.39,103.07,101.59,102.52,217909,102.52
2017-01-06,103.29,103.46,101.6,102.43,272905,102.43
2017-01-05,103.24,103.95,102.77,103.46,376799,103.46
2017-01-04,100.89,103.68,100.87,103.22,760896,103.22
2017-01-03,100.7,102.33,100.08,100.19,224554,100.19
2016-12-30,100.88,101.79,100.0,100.55,157566,100.55
2016-12-29,100.17,101.17,100.15,100.92,253685,100.92
2016-12-28,102.39,103.13,99.73,100.18,316029,100.18
2016-12-27,100.78,103.61,100.78,102.98,218253,102.98
2016-12-23,100.63,101.7,99.48,100.28,314695,100.28
2016-12-22,99.72,100.93,99.27,100.7,220742,100.7
2016-12-21,100.72,100.98,99.08,99.79,384252,99.79
2016-12-20,99.33,101.37,98.5,100.93,216127,100.93
2016-12-19,100.0,101.04,98.61,98.86,354419,98.86
2016-12-16,102.05,102.39,99.91,100.06,581141,100.06
2016-12-15,100.6,103.44,100.22,102.02,374363,102.02
2016-12-14,102.79,104.2,101.28,101.5,519382,101.5
2016-12-13,106.66,106.8,102.69,103.02,649195,103.02
2016-12-12,109.39,109.73,106.72,106.83,672115,106.83
2016-12-09,106.64,109.71,106.47,109.38,453866,109.38
2016-12-08,105.36,106.82,104.97,106.65,312507,106.65
2016-12-07,103.55,105.01,102.85,104.96,316389,104.96
2016-12-06,102.08,103.53,101.54,103.24,472912,103.24
2016-12-05,100.8,103.16,100.44,102.41,586624,102.41
2016-12-02,100.96,101.07,99.85,100.15,269543,100.15
