Date,Open,High,Low,Close,Volume,Adj Close
2017-06-06,59.58,60.6,58.09,59.72,2042583,59.72
2017-06-05,59.59,59.69,58.28,58.95,1115332,58.95
2017-06-02,58.83,59.9,58.12,59.22,797481,59.22
2017-06-01,58.72,60.09,55.59,58.49,3060074,58.49
2017-05-31,60.32,61.23,57.75,58.54,1638623,58.54
2017-05-30,61.59,61.91,59.7,60.26,3008994,60.26
2017-05-26,64.85,65.12,63.45,65.05,569740,65.05
2017-05-25,64.52,65.39,63.86,64.93,720282,64.93
2017-05-24,63.35,64.85,62.65,64.35,621975,64.35
2017-05-23,64.37,64.4,62.23,63.14,609040,63.14
2017-05-22,63.4,64.59,63.26,64.05,580446,64.05
2017-05-19,61.19,63.08,61.09,63.03,679979,63.03
2017-05-18,60.0,61.42,59.54,61.09,548540,61.09
2017-05-17,62.18,62.8,59.96,60.01,933932,60.01
2017-05-16,61.51,63.75,61.0,63.59,936176,63.59
2017-05-15,60.0,61.97,59.55,61.62,766524,61.62
2017-05-12,59.55,59.95,59.04,59.92,304929,59.92
2017-05-11,59.44,60.11,58.16,59.73,462935,59.73
2017-05-10,57.72,60.05,57.4,59.56,650550,59.56
2017-05-09,57.51,58.15,57.03,57.98,359354,57.98
2017-05-08,58.25,58.28,57.14,57.43,404200,57.43
2017-05-05,57.26,58.25,56.6,58.24,437119,58.24
2017-05-04,56.97,57.49,56.36,57.06,259891,57.06
2017-05-03,57.18,57.18,55.82,56.86,438233,56.86
2017-05-02,57.5,57.89,56.84,57.45,602053,57.45
2017-05-01,56.2,57.51,55.78,57.45,439942,57.45
2017-04-28,57.0,57.52,56.17,56.22,597261,56.22
2017-04-27,56.0,57.38,55.58,56.95,797217,56.95
2017-04-26,55.89,56.04,54.62,55.44,748470,55.44
2017-04-25,54.87,56.21,54.72,55.84,720181,55.84
2017-04-24,53.9,54.91,53.67,54.85,734870,54.85
2017-04-21,52.78,53.54,52.19,53.35,542190,53.35
2017-04-20,52.35,53.28,51.93,52.8,598035,52.8
2017-04-19,50.84,52.29,50.84,52.02,818015,52.02
2017-04-18,50.07,50.44,49.49,50.37,735284,50.37
2017-04-17,50.77,51.12,49.98,50.45,590541,50.45
2017-04-13,51.37,51.89,50.46,50.71,803411,50.71
2017-04-12,52.88,52.97,51.38,51.64,784393,51.64
2017-04-11,53.57,53.87,52.85,53.05,660986,53.05
2017-04-10,54.57,54.75,53.4,53.86,887767,53.86
2017-04-07,54.99,55.68,54.42,54.53,445722,54.53
2017-04-06,54.5,55.52,54.2,54.9,600647,54.9
2017-04-05,54.24,56.74,54.24,54.73,1055517,54.73
2017-04-04,54.69,55.39,54.17,54.21,468098,54.21
2017-04-03,54.75,55.32,54.5,55.14,581843,55.14
2017-03-31,55.28,55.64,54.11,54.71,1074305,54.71
2017-03-30,55.23,56.02,55.07,55.54,657997,55.54
2017-03-29,56.01,56.27,55.07,55.4,423761,55.4
2017-03-28,56.23,56.76,55.11,55.8,476052,55.8
2017-03-27,54.24,56.12,53.9,56.06,628456,56.06
2017-03-24,54.79,55.64,54.26,54.69,531865,54.69
2017-03-23,54.34,55.05,54.1,54.39,538004,54.39
2017-03-22,55.03,56.02,53.98,54.58,763223,54.58
2017-03-21,57.73,58.37,54.95,55.13,1079608,55.13
2017-03-20,56.68,58.16,56.4,57.64,1044644,57.64
2017-03-17,55.96,56.92,55.75,56.34,825443,56.34
2017-03-16,55.85,56.91,55.66,55.98,907628,55.98
2017-03-15,56.45,57.48,55.54,55.71,1046340,55.71
2017-03-14,56.47,56.82,55.78,55.95,798460,55.95
2017-03-13,53.75,56.87,53.75,56.67,2435197,56.67
2017-03-10,53.23,53.76,52.59,52.8,921015,52.8
