Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,,,,60.01,0,60.01
2011-12-29,60.18,60.72,60.16,60.59,1475943,60.59
2011-12-28,60.52,60.67,59.69,60.07,1581721,60.07
2011-12-27,60.25,60.82,60.1,60.7,1393106,60.7
2011-12-23,,,,60.44,0,60.44
2011-12-22,59.49,60.3,59.49,59.99,3128928,59.99
2011-12-21,59.48,60.0,59.27,59.39,2997097,59.39
2011-12-20,58.31,59.98,58.24,59.8,3892579,59.8
2011-12-19,59.44,59.66,56.99,57.18,4567766,57.18
2011-12-16,59.2,59.41,58.07,59.14,8012732,59.14
2011-12-15,58.22,58.92,57.91,58.8,3381404,58.8
2011-12-14,58.12,58.47,57.72,57.99,2160572,57.99
2011-12-13,58.41,59.05,57.93,58.13,2597340,58.13
2011-12-12,58.35,58.39,57.67,58.15,1981424,58.15
2011-12-09,58.05,58.68,57.97,58.59,2230935,58.59
2011-12-08,58.67,58.89,57.75,57.82,3152021,57.82
2011-12-07,59.0,59.57,58.46,59.3,1801579,59.3
2011-12-06,59.05,59.5,58.82,59.24,1937782,59.24
2011-12-05,59.36,59.68,58.95,59.13,3416748,59.13
2011-12-02,59.08,59.37,58.76,59.08,2771652,59.08
2011-12-01,58.78,59.42,58.38,58.6,2450533,58.6
2011-11-30,58.9,59.61,58.29,59.0,5434244,59.0
2011-11-29,56.75,57.96,56.63,57.74,3044765,57.74
2011-11-28,56.9,57.12,56.23,56.55,3212575,56.55
2011-11-25,55.2,56.22,55.2,55.72,1536309,55.72
2011-11-23,,,,55.42,0,55.42
2011-11-22,55.84,56.58,55.55,56.0,2700548,56.0
2011-11-21,56.23,56.49,55.53,55.9,1887808,55.9
2011-11-18,57.18,57.25,56.62,56.76,2906357,56.76
2011-11-17,57.66,57.93,56.69,56.93,2625589,56.93
2011-11-16,57.84,58.13,57.03,57.17,1986814,57.17
2011-11-15,57.1,58.6,57.01,58.41,2409374,58.41
2011-11-14,57.91,58.27,57.23,57.36,1461532,57.36
2011-11-11,57.35,58.42,57.12,58.18,2019498,58.18
2011-11-10,57.75,57.8,56.27,56.63,2799038,56.63
2011-11-09,57.27,58.33,57.04,57.18,2996875,57.18
2011-11-08,58.55,58.58,57.55,58.36,2225267,58.36
2011-11-07,57.95,58.43,57.07,58.33,2877179,58.33
2011-11-04,57.26,57.96,56.81,57.92,2449065,57.92
2011-11-03,57.4,58.0,56.3,57.42,4083803,57.42
2011-11-02,57.23,57.53,55.52,56.7,3805056,56.7
2011-11-01,53.49,58.0,53.02,56.92,6617084,56.92
2011-10-31,55.84,56.15,55.05,55.1,2848093,55.1
2011-10-28,56.63,56.82,56.06,56.32,2094027,56.32
2011-10-27,57.09,57.25,55.51,56.12,2894086,56.12
2011-10-26,56.26,56.3,54.86,55.63,3569948,55.63
2011-10-25,56.71,56.93,55.87,55.95,2602055,55.95
2011-10-24,56.41,57.28,56.33,57.24,2666126,57.24
2011-10-21,55.44,56.38,54.81,56.34,2846170,56.34
2011-10-20,54.82,55.77,54.72,55.05,2387800,55.05
2011-10-19,55.57,55.94,54.58,54.99,3171541,54.99
2011-10-18,55.03,56.02,54.14,55.67,2028810,55.67
2011-10-17,55.43,55.81,54.87,55.07,2012933,55.07
2011-10-14,55.65,56.17,55.45,55.83,2254640,55.83
2011-10-13,55.25,55.33,54.64,55.15,3015857,55.15
2011-10-12,55.81,56.33,55.26,55.43,2690258,55.43
2011-10-11,55.54,55.71,55.11,55.27,2714358,55.27
2011-10-10,55.81,56.06,55.38,55.92,2468913,55.92
2011-10-07,55.61,56.27,54.85,54.93,4396508,54.93
2011-10-06,55.04,55.79,54.79,55.59,3889949,55.59
2011-10-05,53.64,55.46,53.45,55.06,4987888,55.06
2011-10-04,52.12,54.06,51.05,54.01,5466124,54.01
