Date,Open,High,Low,Close,Volume,Adj Close
2017-06-06,1012.0,1016.5,1001.25,1003.0,3335396,1003.0
2017-06-05,1007.23,1013.21,1003.51,1011.34,2719859,1011.34
2017-06-02,998.99,1008.48,995.67,1006.73,3752328,1006.73
2017-06-01,998.59,998.99,991.37,995.95,2454841,995.95
2017-05-31,1000.0,1000.12,982.16,994.62,3913115,994.62
2017-05-30,996.51,1001.2,995.52,996.7,3263069,996.7
2017-05-26,995.0,998.65,989.25,995.78,3469154,995.78
2017-05-25,984.85,999.0,982.11,993.38,4822032,993.38
2017-05-24,976.0,981.0,970.23,980.35,2463052,980.35
2017-05-23,975.02,975.2,966.85,971.54,2415594,971.54
2017-05-22,964.0,971.38,962.9,970.67,2642217,970.67
2017-05-19,962.84,968.92,959.72,959.84,3972089,959.84
2017-05-18,944.8,962.75,944.76,958.49,3939347,958.49
2017-05-17,954.7,960.4,944.12,944.76,5145578,944.76
2017-05-16,961.0,970.06,960.91,966.07,3126051,966.07
2017-05-15,958.73,963.15,956.06,957.97,4270625,957.97
2017-05-12,954.5,962.79,951.53,961.35,3625857,961.35
2017-05-11,945.11,950.29,940.78,947.62,2194070,947.62
2017-05-10,953.5,953.75,945.0,948.95,2096512,948.95
2017-05-09,952.8,957.89,950.2,952.82,3262113,952.82
2017-05-08,940.95,949.05,939.21,949.04,3415731,949.04
2017-05-05,940.52,940.79,930.3,934.15,2866397,934.15
2017-05-04,944.75,945.0,934.22,937.53,2418381,937.53
2017-05-03,946.0,946.0,935.9,941.03,3582686,941.03
2017-05-02,946.64,950.1,941.41,946.94,3848835,946.94
2017-05-01,927.8,954.4,927.8,948.23,5466544,948.23
2017-04-28,948.83,949.59,924.33,924.99,7364681,924.99
2017-04-27,914.39,921.86,912.11,918.38,5305543,918.38
2017-04-26,910.3,915.75,907.56,909.29,2608948,909.29
2017-04-25,907.04,909.48,903.0,907.62,3380639,907.62
2017-04-24,908.68,909.99,903.82,907.41,3122893,907.41
2017-04-21,902.67,903.65,896.77,898.53,2420494,898.53
2017-04-20,899.7,905.32,896.29,902.06,2814441,902.06
2017-04-19,907.84,910.5,897.37,899.2,2870242,899.2
2017-04-18,900.99,909.61,900.78,903.78,2999238,903.78
2017-04-17,887.5,902.38,887.5,901.99,2854673,901.99
2017-04-13,891.45,894.97,884.49,884.67,3174583,884.67
2017-04-12,903.09,904.09,895.25,896.23,2456140,896.23
2017-04-11,907.04,911.24,897.5,902.36,3012743,902.36
2017-04-10,899.63,908.51,899.0,907.04,3184301,907.04
2017-04-07,899.65,900.09,889.31,894.88,3710922,894.88
2017-04-06,913.8,917.19,894.49,898.28,6344065,898.28
2017-04-05,910.82,923.72,905.62,909.28,7508370,909.28
2017-04-04,891.5,908.54,890.28,906.83,4984656,906.83
2017-04-03,888.0,893.49,885.42,891.51,3422328,891.51
2017-03-31,877.0,890.35,876.65,886.54,3957612,886.54
2017-03-30,874.95,877.06,871.66,876.34,2762730,876.34
2017-03-29,859.05,876.44,859.02,874.32,4485770,874.32
2017-03-28,851.75,858.46,850.1,856.0,3041633,856.0
2017-03-27,838.07,850.3,833.5,846.82,2755775,846.82
2017-03-24,851.68,851.8,843.53,845.61,2138269,845.61
2017-03-23,848.2,850.89,844.8,847.38,1952964,847.38
2017-03-22,840.43,849.37,839.05,848.06,2658669,848.06
2017-03-21,858.84,862.8,841.31,843.2,4382852,843.2
2017-03-20,851.51,857.8,851.01,856.97,2282727,856.97
2017-03-17,853.49,853.83,850.64,852.31,3384403,852.31
2017-03-16,855.3,855.5,850.51,853.42,1842296,853.42
2017-03-15,854.33,854.45,847.11,852.97,2562176,852.97
2017-03-14,853.55,853.75,847.55,852.53,2130586,852.53
2017-03-13,851.77,855.69,851.71,854.59,1909672,854.59
2017-03-10,857.0,857.35,851.72,852.46,2436434,852.46
2017-03-09,851.0,856.4,850.31,853.0,2048187,853.0
2017-03-08,848.0,853.07,846.79,850.5,2288317,850.5
2017-03-07,845.48,848.46,843.75,846.02,2247554,846.02
