Date,Open,High,Low,Close,Volume,Adj Close
2017-06-06,16.78,16.81,16.62,16.69,1466559,16.69
2017-06-05,16.85,16.87,16.75,16.79,954098,16.79
2017-06-02,16.82,16.86,16.75,16.83,866931,16.83
2017-06-01,16.65,16.84,16.62,16.8,1104559,16.8
2017-05-31,16.79,16.82,16.63,16.65,1674631,16.65
2017-05-30,16.83,16.86,16.72,16.77,2106249,16.77
2017-05-26,16.77,16.87,16.75,16.79,964706,16.79
2017-05-25,16.82,16.96,16.77,16.77,1271828,16.77
2017-05-24,16.78,16.86,16.76,16.85,1623887,16.85
2017-05-23,16.6,16.82,16.55,16.75,1580688,16.75
2017-05-22,16.62,16.62,16.49,16.56,1199431,16.56
2017-05-19,16.5,16.62,16.3,16.48,1991186,16.48
2017-05-18,16.44,16.49,16.27,16.4,1973355,16.4
2017-05-17,16.44,16.49,16.33,16.42,2568233,16.42
2017-05-16,16.5,16.55,16.33,16.54,2541742,16.54
2017-05-15,16.29,16.52,16.28,16.44,2076265,16.44
2017-05-12,16.4,16.41,16.22,16.33,2232243,16.33
2017-05-11,16.4,16.41,16.25,16.39,2106315,16.39
2017-05-10,16.32,16.45,16.28,16.4,2740922,16.4
2017-05-09,16.61,16.63,16.29,16.34,3444338,16.34
2017-05-08,16.6,16.65,16.48,16.59,3138255,16.59
2017-05-05,16.7,16.74,16.55,16.62,2830749,16.62
2017-05-04,16.8,16.9,16.61,16.68,3476416,16.68
2017-05-03,17.27,17.35,16.61,16.79,8681751,16.79
2017-05-02,17.44,17.68,17.44,17.53,1824822,17.53
2017-05-01,17.57,17.59,17.42,17.54,2347588,17.54
2017-04-28,17.53,17.61,17.47,17.6,1371530,17.6
2017-04-27,17.52,17.6,17.46,17.46,1020759,17.46
2017-04-26,17.47,17.58,17.44,17.48,1076054,17.48
2017-04-25,17.47,17.52,17.44,17.45,1149873,17.45
2017-04-24,17.48,17.51,17.39,17.42,1930666,17.42
2017-04-21,17.47,17.55,17.37,17.4,1480962,17.4
2017-04-20,17.34,17.45,17.33,17.43,1235272,17.43
2017-04-19,17.45,17.5,17.35,17.38,950592,17.38
2017-04-18,17.45,17.48,17.34,17.42,1281521,17.42
2017-04-17,17.45,17.53,17.4,17.52,1016133,17.52
2017-04-13,17.53,17.59,17.45,17.46,1235818,17.46
2017-04-12,17.56,17.59,17.5,17.53,1259523,17.53
2017-04-11,17.51,17.6,17.49,17.6,1156890,17.6
2017-04-10,17.6,17.65,17.45,17.51,1943906,17.51
2017-04-07,17.57,17.7,17.54,17.59,1157067,17.59
