Date,Open,High,Low,Close,Volume,Adj Close
2017-06-06,25.68,25.81,25.68,25.79,733473,25.79
2017-06-05,25.53,25.53,25.48,25.48,284015,25.48
2017-06-02,25.53,25.66,25.51,25.6,1031754,25.6
2017-06-01,25.74,25.79,25.66,25.76,799069,25.76
2017-05-31,25.72,25.76,25.69,25.74,650824,25.74
2017-05-30,25.47,25.61,25.41,25.61,809769,25.61
2017-05-26,25.44,25.58,25.44,25.47,577884,25.47
2017-05-25,25.3,25.56,25.28,25.5,2096967,25.5
2017-05-24,24.78,24.86,24.72,24.82,482519,24.82
2017-05-23,24.71,24.8,24.69,24.76,611436,24.76
2017-05-22,24.68,24.69,24.63,24.63,354736,24.63
2017-05-19,24.59,24.68,24.54,24.68,563568,24.68
2017-05-18,24.54,24.59,24.49,24.53,719677,24.53
2017-05-17,24.67,24.71,24.58,24.6,761415,24.6
2017-05-16,24.8,24.89,24.77,24.84,1203333,24.84
2017-05-15,24.6,24.65,24.58,24.63,644256,24.63
2017-05-12,24.48,24.54,24.43,24.52,1530071,24.52
2017-05-11,24.16,24.18,24.1,24.14,1016206,24.14
2017-05-10,24.05,24.09,24.0,24.02,883076,24.02
2017-05-09,24.19,24.19,24.11,24.15,514739,24.15
2017-05-08,24.15,24.2,24.02,24.04,943678,24.04
2017-05-05,24.45,24.45,24.33,24.34,717222,24.34
2017-05-04,24.67,24.67,24.5,24.5,503360,24.5
2017-05-03,24.69,24.69,24.6,24.64,591818,24.64
2017-05-02,24.75,24.8,24.72,24.73,249860,24.73
2017-05-01,24.76,24.86,24.76,24.84,175629,24.84
2017-04-28,24.84,24.85,24.75,24.82,750242,24.82
2017-04-27,24.84,24.85,24.81,24.84,325727,24.84
2017-04-26,24.81,24.89,24.81,24.84,249946,24.84
2017-04-25,24.9,24.92,24.86,24.87,351097,24.87
2017-04-24,24.96,24.96,24.73,24.78,1749924,24.78
2017-04-21,25.05,25.08,25.01,25.03,790208,25.03
2017-04-20,25.0,25.12,24.99,25.11,884631,25.11
2017-04-19,24.96,24.96,24.8,24.81,1151819,24.81
2017-04-18,25.05,25.05,24.93,24.96,999658,24.96
2017-04-17,25.29,25.29,25.12,25.13,571566,25.13
2017-04-13,25.42,25.46,25.39,25.4,350267,25.4
2017-04-12,25.36,25.43,25.32,25.4,387028,25.4
2017-04-11,25.39,25.42,25.31,25.38,506648,25.38
2017-04-10,25.3,25.32,25.23,25.23,506643,25.23
2017-04-07,25.44,25.53,25.43,25.44,559092,25.44
2017-04-06,25.56,25.56,25.45,25.45,328359,25.45
2017-04-05,25.55,25.59,25.47,25.5,527771,25.5
2017-04-04,25.24,25.3,25.21,25.29,469108,25.29
2017-04-03,25.32,25.32,25.16,25.22,329963,25.22
2017-03-31,25.04,25.15,25.04,25.13,577468,25.13
2017-03-30,24.93,24.98,24.86,24.89,595015,24.89
2017-03-29,25.18,25.23,25.16,25.17,166806,25.17
2017-03-28,25.19,25.31,25.18,25.21,462549,25.21
2017-03-27,25.38,25.43,25.29,25.39,268888,25.39
2017-03-24,25.37,25.48,25.32,25.4,661309,25.4
2017-03-23,25.23,25.23,25.15,25.21,301363,25.21
2017-03-22,25.1,25.22,25.06,25.21,532467,25.21
2017-03-21,25.07,25.17,25.06,25.11,859925,25.11
2017-03-20,24.99,25.06,24.96,25.03,499990,25.03
2017-03-17,25.05,25.05,24.96,24.96,571913,24.96
2017-03-16,25.4,25.44,25.36,25.42,615499,25.42
2017-03-15,24.99,25.3,24.94,25.27,684484,25.27
2017-03-14,24.89,24.9,24.82,24.82,281440,24.82
2017-03-13,24.95,25.01,24.85,24.89,485043,24.89
2017-03-10,24.63,24.75,24.63,24.74,227604,24.74
2017-03-09,24.68,24.7,24.57,24.59,539644,24.59
2017-03-08,24.9,24.92,24.78,24.81,262564,24.81
2017-03-07,24.98,25.02,24.96,25.01,189908,25.01
2017-03-06,24.9,24.96,24.89,24.93,315852,24.93
2017-03-03,24.8,24.9,24.8,24.89,261840,24.89
