Date,Open,High,Low,Close,Volume,Adj Close
2017-06-06,132.36,133.32,132.34,132.62,614464,132.62
2017-06-05,132.9,133.83,132.78,133.16,519515,133.16
2017-06-02,134.62,134.79,133.55,134.7,334251,134.7
2017-06-01,132.9,133.83,132.62,133.81,707652,133.81
2017-05-31,133.06,133.34,131.62,131.99,1435978,131.99
2017-05-30,133.06,133.81,133.0,133.41,1020211,133.41
2017-05-26,133.86,134.6,133.55,134.2,731781,134.2
2017-05-25,133.49,135.02,133.49,134.89,457585,134.89
2017-05-24,133.97,134.28,133.17,133.49,938046,133.49
2017-05-23,134.64,134.81,133.72,133.91,687195,133.91
2017-05-22,133.98,134.52,133.67,134.21,548822,134.21
2017-05-19,135.0,135.43,134.53,134.85,619247,134.85
2017-05-18,132.6,134.28,132.31,134.0,689463,134.0
2017-05-17,135.66,135.97,132.8,132.81,645698,132.81
2017-05-16,136.88,137.27,136.5,137.26,729080,137.26
2017-05-15,135.41,136.14,135.21,135.74,577490,135.74
2017-05-12,134.11,135.47,134.1,135.44,443293,135.44
2017-05-11,133.23,134.27,132.82,134.16,639901,134.16
2017-05-10,134.05,134.5,133.51,133.8,703923,133.8
2017-05-09,134.3,135.15,134.24,134.96,438180,134.96
2017-05-08,133.55,133.78,133.07,133.27,957787,133.27
2017-05-05,134.61,135.92,134.47,135.84,481001,135.84
2017-05-04,133.75,135.39,133.74,135.06,871416,135.06
2017-05-03,133.81,134.96,133.74,134.17,1008286,134.17
2017-05-02,133.98,135.05,133.73,134.99,850731,134.99
2017-05-01,132.05,133.01,131.72,132.86,264226,132.86
2017-04-28,133.13,133.17,131.61,131.85,753436,131.85
2017-04-27,132.66,133.89,132.35,132.95,453312,132.95
2017-04-26,133.04,133.43,132.0,132.46,633555,132.46
2017-04-25,134.9,134.95,133.86,134.24,681262,134.24
2017-04-24,133.63,134.29,132.71,133.46,685108,133.46
2017-04-21,130.35,130.49,129.72,130.03,1298962,130.03
2017-04-20,130.1,130.82,129.29,130.05,2259456,130.05
2017-04-19,133.11,133.71,126.04,126.89,3355654,126.89
2017-04-18,130.38,130.96,129.8,130.65,915742,130.65
2017-04-17,128.89,130.29,128.89,130.17,334820,130.17
2017-04-13,129.01,129.88,128.34,128.38,575560,128.38
2017-04-12,129.75,129.97,128.3,129.01,485300,129.01
2017-04-11,129.64,129.85,128.31,129.81,613167,129.81
2017-04-10,130.63,130.79,129.7,129.91,1180769,129.91
2017-04-07,130.54,131.65,130.53,131.18,546942,131.18
2017-04-06,130.95,131.24,130.55,130.98,370038,130.98
2017-04-05,131.6,132.01,130.92,131.03,557190,131.03
2017-04-04,132.3,132.78,131.85,132.74,583991,132.74
2017-04-03,132.35,132.75,131.18,132.18,564319,132.18
2017-03-31,132.27,133.19,132.12,132.8,535518,132.8
2017-03-30,132.38,133.18,132.34,132.63,361085,132.63
2017-03-29,133.16,133.46,132.54,132.91,358346,132.91
2017-03-28,133.37,134.29,133.12,133.79,1370262,133.79
2017-03-27,132.78,133.2,132.36,132.7,2238226,132.7
2017-03-24,133.28,133.55,131.96,132.24,1709816,132.24
2017-03-23,129.2,129.7,128.8,129.22,265972,129.22
2017-03-22,127.07,129.24,127.01,128.92,529907,128.92
2017-03-21,129.69,129.82,126.15,126.32,1398833,126.32
2017-03-20,128.84,129.16,127.98,128.27,577622,128.27
2017-03-17,127.19,128.43,126.93,127.9,1030315,127.9
2017-03-16,124.89,126.25,124.81,126.19,424156,126.19
2017-03-15,124.85,126.31,124.58,126.07,838908,126.07
2017-03-14,124.77,124.83,123.86,123.99,412890,123.99
2017-03-13,123.56,124.46,123.43,124.19,838182,124.19
2017-03-10,124.47,125.11,123.94,125.0,1016073,125.0
2017-03-09,121.18,121.54,120.66,121.25,406109,121.25
2017-03-08,120.82,121.17,120.34,120.75,575782,120.75
2017-03-07,121.25,121.39,119.83,119.98,1234492,119.98
2017-03-06,121.25,121.91,120.78,121.6,495328,121.6
2017-03-03,122.76,122.99,121.83,122.98,783790,122.98
2017-03-02,121.78,122.55,121.48,121.57,961800,121.57
2017-03-01,122.5,123.92,122.43,123.47,1274350,123.47
2017-02-28,121.5,122.22,121.41,121.69,1033589,121.69
2017-02-27,122.29,123.02,122.08,122.9,736534,122.9
2017-02-24,122.29,122.95,121.64,122.53,1443058,122.53
2017-02-23,124.53,124.62,123.25,123.78,764457,123.78
2017-02-22,125.1,125.51,123.58,123.83,2312077,123.83
2017-02-21,125.28,127.6,125.25,127.59,3895811,127.59
2017-02-17,125.84,126.88,125.82,126.88,808060,126.88
2017-02-16,126.55,127.44,126.48,127.27,1023476,127.27
2017-02-15,125.45,127.28,125.3,127.26,900835,127.26
2017-02-14,126.08,126.5,125.62,126.25,1825951,126.25
2017-02-13,126.14,126.64,125.75,126.5,1053349,126.5
2017-02-10,124.8,125.25,124.15,124.85,791703,124.85
2017-02-09,124.41,125.55,124.32,124.52,820620,124.52
2017-02-08,123.41,124.26,122.99,124.09,853088,124.09
2017-02-07,122.03,123.56,121.87,123.26,1117990,123.26
2017-02-06,122.24,122.63,121.87,122.23,261499,122.23
2017-02-03,122.91,123.57,122.87,123.01,358736,123.01
2017-02-02,123.09,123.19,122.29,122.74,632842,122.74
2017-02-01,121.65,122.11,121.0,121.31,1324600,121.31
2017-01-31,121.64,122.0,120.99,121.4,1435692,121.4
2017-01-30,120.91,121.86,120.02,121.71,1161032,121.71
2017-01-27,121.44,122.08,121.04,121.77,664343,121.77
2017-01-26,121.3,122.16,121.07,121.13,611706,121.13
2017-01-25,122.51,122.97,122.27,122.78,649534,122.78
2017-01-24,122.28,123.0,122.07,122.55,975087,122.55
2017-01-23,121.97,122.32,120.6,122.17,1570553,122.17
