Date,Open,High,Low,Close,Volume,Adj Close
2017-06-06,40.95,44.64,40.72,44.13,3228453,44.13
2017-06-05,42.34,42.34,40.65,40.96,1745935,40.96
2017-06-02,43.0,43.47,42.22,42.33,1827865,42.33
2017-06-01,42.45,43.88,41.92,43.5,1167596,43.5
2017-05-31,42.71,43.34,41.73,42.38,6432665,42.38
2017-05-30,43.0,43.26,41.49,42.46,1870558,42.46
2017-05-26,42.65,43.2,42.48,43.03,967993,43.03
2017-05-25,42.8,43.17,42.02,42.55,1651190,42.55
2017-05-24,42.16,42.83,41.4,42.62,1650775,42.62
2017-05-23,42.49,42.66,41.1,41.97,1345181,41.97
2017-05-22,43.0,43.18,42.22,42.49,1577860,42.49
2017-05-19,42.14,43.4,41.89,42.9,1625779,42.9
2017-05-18,40.34,42.63,40.12,41.8,1692404,41.8
2017-05-17,39.37,40.82,39.02,40.68,2362659,40.68
2017-05-16,38.43,40.3,38.32,39.88,2857131,39.88
2017-05-15,37.38,38.35,37.3,37.97,876648,37.97
2017-05-12,37.72,37.78,36.77,37.08,1337845,37.08
2017-05-11,38.73,39.2,37.4,37.78,1690193,37.78
2017-05-10,36.96,39.0,35.76,38.99,4325609,38.99
2017-05-09,36.5,37.5,36.27,37.0,1871900,37.0
2017-05-08,35.47,36.79,35.4,36.24,1608260,36.24
2017-05-05,34.89,35.3,34.5,35.13,600909,35.13
2017-05-04,34.0,35.15,33.94,34.91,743635,34.91
2017-05-03,33.91,34.21,33.39,34.18,584759,34.18
2017-05-02,34.67,34.77,33.81,34.21,804607,34.21
2017-05-01,34.87,35.1,34.51,34.52,544013,34.52
2017-04-28,34.63,34.82,34.21,34.6,570644,34.6
2017-04-27,34.57,35.02,34.17,34.82,615196,34.82
2017-04-26,34.07,34.69,33.96,34.41,1535413,34.41
2017-04-25,32.84,34.49,32.49,33.93,1001508,33.93
2017-04-24,32.16,32.88,31.61,32.5,945174,32.5
2017-04-21,32.11,32.6,31.86,32.4,572165,32.4
