Date,Open,High,Low,Close,Volume,Adj Close
2017-06-06,125.61,126.2,124.27,124.62,9246984,124.62
2017-06-05,124.02,125.56,123.87,125.37,10030644,125.37
2017-06-02,123.72,124.53,123.24,124.13,7342128,124.13
2017-06-01,122.82,124.0,122.26,123.97,8901367,123.97
2017-05-31,123.64,124.18,122.0,122.46,11582152,122.46
2017-05-30,124.08,124.88,123.53,123.91,8343401,123.91
2017-05-26,123.93,124.65,123.1,123.99,7558893,123.99
2017-05-25,123.74,124.45,122.31,123.63,12486528,123.63
2017-05-24,123.07,123.68,121.95,122.81,8376742,122.81
2017-05-23,124.67,125.68,122.85,122.93,14370124,122.93
2017-05-22,124.98,125.59,123.56,124.75,13493167,124.75
2017-05-19,123.96,126.4,123.07,123.22,21101695,123.22
2017-05-18,116.31,122.63,114.0,121.27,37121943,121.27
2017-05-17,123.25,123.89,120.5,120.72,19834651,120.72
2017-05-16,121.98,124.34,121.74,124.02,18222134,124.02
2017-05-15,121.03,121.49,120.03,121.4,11125450,121.4
2017-05-12,120.37,120.47,119.51,120.34,9823899,120.34
2017-05-11,120.13,120.5,118.25,120.16,11375510,120.16
2017-05-10,120.01,120.33,119.1,119.98,9347289,119.98
2017-05-09,118.62,120.0,118.07,120.0,15219945,120.0
2017-05-08,116.9,117.51,116.2,116.86,6461932,116.86
2017-05-05,116.05,116.15,114.8,116.04,7099447,116.04
2017-05-04,115.94,116.41,115.15,115.86,6977804,115.86
2017-05-03,117.95,118.0,115.12,116.57,10591095,116.57
2017-05-02,117.07,118.69,117.0,118.09,10048174,118.09
2017-05-01,115.63,117.24,115.5,116.68,7332129,116.68
2017-04-28,115.9,115.99,115.0,115.5,6984928,115.5
2017-04-27,115.0,115.96,114.83,115.43,9441465,115.43
2017-04-26,115.37,115.75,114.62,114.97,6678780,114.97
2017-04-25,115.54,115.82,114.8,115.48,11434602,115.48
2017-04-24,114.04,115.16,114.02,114.86,13386574,114.86
2017-04-21,112.8,113.17,112.3,113.11,8968296,113.11
2017-04-20,111.53,113.6,111.48,112.96,13773519,112.96
2017-04-19,111.99,112.2,110.57,110.76,9603782,110.76
2017-04-18,111.2,112.2,110.87,111.23,8305129,111.23
2017-04-17,110.91,111.87,110.3,111.76,7128051,111.76
2017-04-13,110.72,111.45,109.82,110.21,6857001,110.21
2017-04-12,110.5,111.7,110.31,110.63,8099810,110.63
2017-04-11,111.4,111.79,109.46,110.44,10012135,110.44
2017-04-10,109.0,111.88,108.84,111.7,14798611,111.7
2017-04-07,107.88,109.07,106.76,108.99,8354942,108.99
2017-04-06,107.59,108.42,107.15,108.04,5211109,108.04
2017-04-05,108.36,108.82,107.32,107.44,8205387,107.44
2017-04-04,107.87,108.26,106.88,107.52,6480113,107.52
2017-04-03,108.85,109.47,107.52,108.09,8391448,108.09
2017-03-31,108.5,109.12,107.78,107.83,9002786,107.83
2017-03-30,109.73,110.45,108.66,108.85,10592470,108.85
2017-03-29,107.97,109.74,107.69,109.51,8788720,109.51
2017-03-28,108.23,108.95,107.46,107.8,6472004,107.8
2017-03-27,106.65,108.19,106.51,108.08,7709376,108.08
2017-03-24,108.4,109.13,107.23,108.04,7578379,108.04
2017-03-23,106.95,108.83,106.44,108.25,13410771,108.25
2017-03-22,104.64,106.12,103.98,106.09,7153035,106.09
2017-03-21,108.46,108.7,104.7,105.09,13877719,105.09
2017-03-20,106.23,108.2,105.94,107.25,12447932,107.25
2017-03-17,105.17,106.5,104.86,105.61,8778885,105.61
2017-03-16,105.25,105.65,104.3,105.63,12445226,105.63
2017-03-15,104.37,104.49,102.6,103.69,11695195,103.69
2017-03-14,104.61,106.0,103.82,104.25,7748369,104.25
2017-03-13,103.52,106.25,103.47,105.18,16118945,105.18
2017-03-10,103.43,103.7,102.63,103.39,4120725,103.39
2017-03-09,102.97,103.75,102.76,103.24,4523635,103.24
2017-03-08,102.63,104.29,102.54,103.22,7066707,103.22
2017-03-07,102.3,103.31,102.11,102.63,4985200,102.63
2017-03-06,102.76,103.25,102.1,102.31,6290674,102.31
2017-03-03,102.99,103.42,102.44,103.31,6320936,103.31
2017-03-02,103.8,104.58,102.77,103.19,7983012,103.19
2017-03-01,103.68,104.99,103.21,104.04,10331843,104.04
2017-02-28,103.89,103.99,102.03,102.9,8017478,102.9
2017-02-27,102.5,103.82,102.22,103.6,6865880,103.6
2017-02-24,101.39,103.0,101.3,102.95,7356558,102.95
2017-02-23,104.72,104.86,101.82,102.46,10095637,102.46
2017-02-22,102.48,105.2,102.42,104.2,15779442,104.2
2017-02-21,101.03,102.54,100.91,102.12,8189639,102.12
2017-02-17,100.69,101.73,100.3,100.52,8258244,100.52
2017-02-16,101.86,102.1,100.5,100.82,7464034,100.82
2017-02-15,102.06,102.13,100.11,101.55,12384440,101.55
2017-02-14,103.14,103.6,100.9,101.59,10240705,101.59
2017-02-13,102.82,104.44,102.62,103.1,9728978,103.1
2017-02-10,103.88,103.94,102.31,102.36,7680312,102.36
2017-02-09,103.32,104.18,102.56,103.34,8435817,103.34
2017-02-08,101.55,103.99,101.16,103.57,10178465,103.57
2017-02-07,101.04,101.6,100.5,100.83,5655631,100.83
2017-02-06,100.17,101.71,100.02,100.9,6866702,100.9
2017-02-03,101.5,101.56,100.3,100.39,6197622,100.39
2017-02-02,101.28,101.47,100.56,100.84,5371631,100.84
2017-02-01,102.07,102.38,100.87,101.57,5736373,101.57
2017-01-31,100.24,102.09,100.06,101.31,7530026,101.31
2017-01-30,101.2,101.46,100.09,101.02,8619760,101.02
2017-01-27,102.25,102.7,101.29,102.07,8031012,102.07
2017-01-26,103.92,104.57,102.17,102.75,12504773,102.75
2017-01-25,102.46,104.27,101.9,104.06,23322771,104.06
2017-01-24,103.15,103.19,99.94,101.43,37181541,101.43
2017-01-23,96.48,98.67,96.26,98.41,14090338,98.41
2017-01-20,96.45,97.15,95.67,96.06,9685787,96.06
2017-01-19,96.42,96.7,95.58,96.17,7089962,96.17
2017-01-18,96.27,96.27,95.26,96.0,6610650,96.0
2017-01-17,96.32,96.59,95.0,96.12,6342427,96.12
2017-01-13,95.95,97.38,95.76,96.27,10701089,96.27
2017-01-12,96.85,96.85,94.8,95.9,8424702,95.9
2017-01-11,96.92,97.45,95.6,96.94,8735888,96.94
2017-01-10,96.4,97.9,95.55,96.75,14780567,96.75
2017-01-09,94.16,95.65,93.31,94.72,10829512,94.72
2017-01-06,94.4,94.5,93.0,93.89,7639786,93.89
2017-01-05,91.91,94.81,91.64,94.37,16821545,94.37
2017-01-04,88.98,90.89,88.58,90.51,11490165,90.51
2017-01-03,89.0,89.0,88.08,88.6,8789386,88.6
2016-12-30,87.57,88.1,87.2,87.81,7211060,87.81
2016-12-29,87.82,88.2,87.16,87.33,5467104,87.33
2016-12-28,88.3,88.75,87.22,87.37,6421078,87.37
2016-12-27,86.72,87.94,86.71,87.54,5228010,87.54
2016-12-23,86.62,87.68,86.62,86.79,6360165,86.79
2016-12-22,87.89,88.26,86.01,86.8,14404521,86.8
2016-12-21,89.96,90.43,89.25,89.25,9044867,89.25
2016-12-20,89.19,90.31,88.94,89.84,8434744,89.84
2016-12-19,88.61,89.82,88.41,88.93,10226275,88.93
2016-12-16,89.0,90.1,88.56,88.67,11341520,88.67
2016-12-15,90.0,90.6,88.74,88.85,19215542,88.85
2016-12-14,91.83,92.26,90.83,91.19,9153726,91.19
2016-12-13,92.8,93.73,91.87,92.16,10491316,92.16
2016-12-12,92.05,92.89,91.7,92.47,9355867,92.47
2016-12-09,92.51,93.64,92.28,93.28,9177566,93.28
2016-12-08,91.8,93.08,91.03,92.31,10919524,92.31
2016-12-07,90.52,91.65,89.5,91.07,13240009,91.07
2016-12-06,91.56,91.93,89.96,90.4,7787821,90.4
2016-12-05,90.05,91.4,89.57,90.99,8902646,90.99
2016-12-02,90.38,91.74,89.95,90.48,11718827,90.48
2016-12-01,94.0,94.06,89.18,89.86,24030681,89.86
2016-11-30,95.28,95.48,93.3,94.02,11447742,94.02
2016-11-29,93.67,96.06,93.39,94.99,14146870,94.99
2016-11-28,93.02,95.74,93.0,93.76,14340055,93.76
2016-11-25,93.55,93.75,92.77,93.01,4868511,93.01
2016-11-23,92.53,93.4,91.45,93.03,11743806,93.03
2016-11-22,94.24,94.42,93.16,93.21,10403624,93.21
2016-11-21,94.05,94.66,93.0,93.41,8960045,93.41
2016-11-18,94.85,95.3,92.67,93.39,10032576,93.39
2016-11-17,94.71,94.98,93.64,94.07,10372795,94.07
2016-11-16,91.39,93.68,91.33,92.86,14079662,92.86
2016-11-15,91.0,93.49,90.75,91.0,16722956,91.0
2016-11-14,92.45,92.54,87.88,89.77,27356192,89.77
2016-11-11,93.86,94.09,91.1,92.99,23725758,92.99
2016-11-10,98.34,98.5,92.22,94.34,27346656,94.34
2016-11-09,97.38,98.58,95.8,96.67,20948039,96.67
2016-11-08,99.39,99.99,98.36,99.85,8091111,99.85
2016-11-07,100.07,100.62,99.16,99.35,11198343,99.35
2016-11-04,96.9,98.79,96.67,97.57,9048524,97.57
2016-11-03,98.04,99.3,96.46,97.75,17412642,97.75
2016-11-02,103.85,104.1,97.3,98.51,37066972,98.51
2016-11-01,100.43,101.24,99.21,101.15,21287287,101.15
2016-10-31,102.65,103.21,101.42,101.69,15837901,101.69
2016-10-28,102.35,103.05,101.55,101.93,8479491,101.93
2016-10-27,103.38,104.11,101.85,102.38,8807090,102.38
2016-10-26,103.68,104.0,102.7,102.78,7579847,102.78
2016-10-25,104.86,105.2,104.02,104.22,8985668,104.22
2016-10-24,104.98,105.3,103.55,104.5,10898833,104.5
2016-10-21,103.7,103.94,102.75,103.94,8073095,103.94
2016-10-20,104.2,104.74,103.57,103.85,7109782,103.85
2016-10-19,104.33,104.8,103.65,103.93,8918931,103.93
2016-10-18,104.47,104.99,103.31,103.34,11107198,103.34
2016-10-17,101.5,103.47,101.27,102.84,10351713,102.84
2016-10-14,104.27,104.7,101.03,101.85,12789498,101.85
2016-10-13,102.06,102.55,99.0,102.15,22389979,102.15
2016-10-12,105.05,105.11,101.82,103.62,18434983,103.62
2016-10-11,107.89,107.97,104.75,105.23,14916564,105.23
2016-10-10,106.79,109.0,106.56,108.41,11516628,108.41
2016-10-07,106.89,107.55,105.56,106.0,8954371,106.0
2016-10-06,107.3,107.51,106.18,107.08,9885558,107.08
2016-10-05,105.87,107.45,105.66,106.96,13176546,106.96
2016-10-04,105.93,106.23,105.05,105.45,11068841,105.45
2016-10-03,105.45,106.29,104.98,105.38,10849473,105.38
2016-09-30,106.5,107.1,105.79,105.79,15577503,105.79
2016-09-29,106.51,106.69,104.57,105.55,30236671,105.55
2016-09-28,108.44,109.87,107.16,108.75,16371600,108.75
2016-09-27,106.52,108.49,106.37,108.26,17556710,108.26
2016-09-26,106.52,107.06,105.3,105.89,16805335,105.89
2016-09-23,108.25,108.4,106.71,107.71,23082976,107.71
2016-09-22,107.57,109.76,107.48,109.36,35627728,109.36
2016-09-21,102.46,106.19,102.21,106.0,22997062,106.0
2016-09-20,102.94,103.73,100.93,101.45,12863809,101.45
2016-09-19,105.16,105.5,102.2,103.03,15234574,103.03
2016-09-16,104.0,105.39,103.86,104.64,20363471,104.64
2016-09-15,102.62,104.48,102.53,104.45,20841027,104.45
2016-09-14,100.08,102.59,100.02,102.4,19604724,102.4
2016-09-13,100.38,101.49,98.84,100.28,20004920,100.28
2016-09-12,97.38,101.38,97.0,100.8,17318186,100.8
2016-09-09,101.8,102.21,99.05,99.62,21250414,99.62
2016-09-08,101.93,103.78,101.63,102.57,15475494,102.57
2016-09-07,103.84,104.0,102.26,102.32,15758762,102.32
2016-09-06,100.45,104.3,100.45,103.78,32803767,103.78
2016-09-02,97.97,99.66,97.97,99.25,17482617,99.25
2016-09-01,97.3,98.0,97.01,97.42,13387366,97.42
2016-08-31,96.14,97.2,96.01,97.19,28617010,97.19
2016-08-30,95.35,96.68,95.17,96.0,13994246,96.0
2016-08-29,94.6,95.16,94.21,94.88,8818346,94.88
2016-08-26,94.15,95.45,94.08,95.06,14133920,95.06
2016-08-25,93.75,94.69,93.12,93.94,13039874,93.94
2016-08-24,95.68,96.3,93.56,93.88,12726565,93.88
2016-08-23,95.59,96.48,95.41,95.79,9646830,95.79
2016-08-22,96.47,96.63,94.75,95.65,16222875,95.65
2016-08-19,96.91,97.24,96.34,96.86,14267089,96.86
2016-08-18,97.25,97.94,96.62,97.0,15009049,97.0
2016-08-17,96.17,97.25,96.05,97.0,14980944,97.0
2016-08-16,96.15,97.15,95.05,96.66,27513961,96.66
2016-08-15,98.28,98.86,96.82,97.17,33813431,97.17
2016-08-12,92.98,98.35,92.91,98.25,71968347,98.25
2016-08-11,92.14,92.8,91.26,91.77,54169169,91.77
2016-08-10,86.01,87.73,86.01,87.33,28195881,87.33
2016-08-09,85.05,85.63,84.8,85.24,15349237,85.24
2016-08-08,84.99,85.02,84.3,85.0,11528244,85.0
2016-08-05,85.01,85.08,84.44,84.59,9401657,84.59
2016-08-04,83.75,84.98,83.69,84.75,10731563,84.75
2016-08-03,83.3,83.84,83.17,83.67,5365813,83.67
2016-08-02,84.34,84.34,82.91,83.8,7691627,83.8
2016-08-01,82.79,84.8,82.59,84.34,13401193,84.34
2016-07-29,83.37,83.42,81.94,82.48,8709279,82.48
2016-07-28,83.46,83.49,82.12,83.12,7476531,83.12
2016-07-27,83.6,83.64,83.0,83.1,11628979,83.1
2016-07-26,82.86,83.63,82.63,83.59,7714661,83.59
2016-07-25,84.47,84.79,82.61,83.19,13185912,83.19
2016-07-22,84.0,84.5,83.81,84.49,5988370,84.49
2016-07-21,84.71,85.0,83.66,84.18,10192080,84.18
2016-07-20,83.27,84.7,83.23,84.42,13990957,84.42
2016-07-19,82.48,83.69,82.05,82.77,9799375,82.77
2016-07-18,80.6,82.79,80.6,82.65,12113575,82.65
2016-07-15,81.78,82.49,80.96,81.25,8919868,81.25
2016-07-14,81.18,82.24,80.86,81.74,9361454,81.74
2016-07-13,81.83,81.88,80.37,80.57,10739182,80.57
2016-07-12,81.79,82.88,81.51,81.74,15294115,81.74
2016-07-11,79.33,81.9,79.24,81.46,17417457,81.46
2016-07-08,78.44,79.35,77.8,78.99,14029075,78.99
2016-07-07,79.0,79.49,78.71,79.35,6819170,79.35
2016-07-06,78.47,78.82,77.68,78.64,7737637,78.64
2016-07-05,79.04,79.55,78.37,78.97,6845232,78.97
2016-07-01,79.12,80.05,79.12,79.65,7271279,79.65
2016-06-30,78.31,79.76,78.28,79.53,12485338,79.53
2016-06-29,76.98,78.48,76.9,78.04,11459983,78.04
2016-06-28,75.5,76.6,75.5,76.28,11266195,76.28
2016-06-27,75.8,76.29,73.3,74.23,15251773,74.23
2016-06-24,76.83,77.5,75.43,76.29,18224791,76.29
2016-06-23,79.16,79.46,78.55,79.14,8279464,79.14
2016-06-22,79.04,79.12,78.21,78.73,8170856,78.73
2016-06-21,78.75,79.08,78.4,78.62,8881825,78.62
2016-06-20,77.9,78.79,77.84,78.15,9625641,78.15
2016-06-17,78.45,78.45,76.48,77.0,15582575,77.0
2016-06-16,77.84,78.4,76.2,78.27,13570656,78.27
2016-06-15,78.31,78.77,77.51,78.39,14734824,78.39
2016-06-14,76.89,78.45,76.75,77.77,22358857,77.77
2016-06-13,75.25,76.46,74.85,75.45,11300757,75.45
2016-06-10,76.43,77.05,75.76,75.92,10421059,75.92
2016-06-09,77.39,78.07,76.78,77.56,8994449,77.56
2016-06-08,78.0,78.53,77.38,77.64,11614055,77.64
2016-06-07,78.19,78.37,77.32,77.84,12877981,77.84
2016-06-06,77.11,78.33,76.7,78.06,19166096,78.06
2016-06-03,77.24,77.8,75.71,76.62,23685736,76.62
2016-06-02,76.65,77.75,76.56,77.3,45379470,77.3
2016-06-01,79.15,80.14,76.55,76.69,62531511,76.69
2016-05-31,81.0,82.03,80.2,82.0,78861383,82.0
2016-05-27,78.49,81.0,78.39,80.97,24529547,80.97
2016-05-26,76.99,78.86,76.8,78.35,26916442,78.35
2016-05-25,78.53,79.2,74.12,75.59,49558730,75.59
2016-05-24,79.17,81.31,79.07,81.12,16660273,81.12
2016-05-23,78.95,79.5,78.6,79.0,7156483,79.0
2016-05-20,79.07,79.45,78.35,78.79,10982573,78.79
2016-05-19,78.65,79.26,77.6,78.32,8303038,78.32
2016-05-18,78.71,80.0,78.47,79.03,9055306,79.03
2016-05-17,79.83,80.2,79.31,79.35,10957569,79.35
2016-05-16,77.86,79.93,77.59,79.29,11629584,79.29
2016-05-13,78.82,79.16,76.97,77.16,10045937,77.16
2016-05-12,80.01,80.45,78.32,79.16,8764926,79.16
2016-05-11,79.43,80.48,79.41,79.8,10967620,79.8
2016-05-10,79.79,79.98,79.15,79.72,9295506,79.72
2016-05-09,78.94,79.98,78.89,79.41,11774316,79.41
2016-05-06,78.35,79.72,78.25,79.2,12618505,79.2
2016-05-05,79.52,79.94,78.1,78.83,27890851,78.83
2016-05-04,75.64,75.91,75.01,75.82,14260002,75.82
2016-05-03,75.96,76.27,75.42,75.91,7985643,75.91
2016-05-02,76.89,77.0,75.94,76.61,7701672,76.61
2016-04-29,76.81,77.28,75.66,76.94,9985760,76.94
2016-04-28,77.65,77.9,76.09,76.4,9897684,76.4
2016-04-27,78.3,78.62,76.57,77.65,11441320,77.65
2016-04-26,78.85,79.56,77.8,78.61,9561267,78.61
2016-04-25,79.8,79.84,78.68,78.84,9176328,78.84
2016-04-22,80.12,81.44,79.16,79.89,8583784,79.89
2016-04-21,81.08,81.78,80.2,80.78,8801471,80.78
2016-04-20,79.0,81.74,78.99,81.21,14883474,81.21
2016-04-19,79.2,80.48,78.47,79.46,14720399,79.46
2016-04-18,78.52,79.12,77.71,79.01,7753931,79.01
2016-04-15,79.45,79.75,78.46,78.97,11684572,78.97
2016-04-14,79.31,79.86,78.36,79.61,12579459,79.61
2016-04-13,78.74,79.72,78.5,79.64,14072654,79.64
2016-04-12,78.0,78.24,76.87,77.86,7109400,77.86
2016-04-11,78.07,78.59,77.43,77.71,7883830,77.71
2016-04-08,78.27,78.76,76.62,77.47,8387713,77.47
2016-04-07,77.6,78.6,77.18,77.61,10933504,77.61
2016-04-06,77.3,79.15,77.19,78.68,9054279,78.68
