Date,Open,High,Low,Close,Volume,Adj Close
2017-06-06,43.46,43.64,43.36,43.64,6037,43.64
2017-06-05,43.6,43.67,43.6,43.62,2892,43.62
2017-06-02,43.66,43.68,43.65,43.68,7657,43.68
2017-06-01,43.51,43.79,43.5,43.79,1050,43.79
2017-05-31,43.27,43.32,43.27,43.29,5937,43.29
2017-05-30,43.61,43.61,43.3,43.37,2718,43.37
2017-05-26,43.21,43.26,43.21,43.26,8543,43.26
2017-05-25,43.38,43.54,43.38,43.42,612,43.42
2017-05-24,42.8,42.8,42.8,42.8,1000,42.8
2017-05-23,42.76,42.78,42.75,42.77,1100,42.77
2017-05-22,42.48,42.48,42.48,42.48,245,42.48
2017-05-19,42.32,42.32,42.32,42.32,30,42.32
2017-05-18,42.17,42.17,42.07,42.14,3806,42.14
2017-05-17,42.7,42.7,42.7,42.7,0,42.7
2017-05-16,42.7,42.7,42.7,42.7,104,42.7
2017-05-15,42.16,42.37,42.16,42.36,1848,42.36
2017-05-12,42.13,42.13,42.13,42.13,20,42.13
2017-05-11,42.03,42.16,42.03,42.13,753,42.13
2017-05-10,42.09,42.18,42.09,42.18,955,42.18
2017-05-09,42.24,42.24,42.24,42.24,279,42.24
2017-05-08,42.2,42.2,42.14,42.14,408,42.14
2017-05-05,42.09,42.09,42.08,42.08,3510,42.08
2017-05-04,42.53,42.53,42.19,42.19,3644,42.19
2017-05-03,42.5,42.5,42.5,42.5,40,42.5
2017-05-02,42.55,42.55,42.55,42.55,650,42.55
2017-05-01,42.28,42.31,42.28,42.31,819,42.31
2017-04-28,42.35,42.35,42.22,42.22,638,42.22
2017-04-27,42.26,42.28,42.26,42.27,781,42.27
2017-04-26,42.1,42.1,42.1,42.1,0,42.1
2017-04-25,42.0,42.2,42.0,42.1,3179,42.1
2017-04-24,41.89,41.89,41.89,41.89,100,41.89
2017-04-21,41.21,41.21,41.17,41.2,2805,41.2
2017-04-20,40.97,41.07,40.97,41.03,538,41.03
2017-04-19,40.85,40.89,40.82,40.82,1519,40.82
2017-04-18,40.85,40.85,40.85,40.85,137,40.85
2017-04-17,40.74,40.89,40.74,40.85,71869,40.85
2017-04-13,40.69,40.84,40.69,40.74,811,40.74
2017-04-12,40.49,40.61,40.49,40.58,15820,40.58
2017-04-11,40.44,40.44,40.44,40.44,293,40.44
2017-04-10,40.4,40.4,40.34,40.34,1624,40.34
2017-04-07,40.15,40.15,40.11,40.11,22847,40.11
2017-04-06,40.32,40.32,40.02,40.09,8642,40.09
2017-04-05,40.2,40.35,40.2,40.35,1418,40.35
2017-04-04,40.33,40.38,40.32,40.38,1289,40.38
2017-04-03,40.25,40.25,40.21,40.21,642,40.21
2017-03-31,40.26,40.26,40.26,40.26,4323,40.26
2017-03-30,40.31,40.35,40.27,40.27,1093,40.27
2017-03-29,40.0,40.0,39.83,39.95,1817,39.95
2017-03-28,39.92,40.19,39.92,40.19,1717,40.19
2017-03-27,40.35,40.35,40.35,40.35,102,40.35
2017-03-24,40.44,40.49,40.44,40.49,218,40.49
2017-03-23,40.4,40.4,40.4,40.4,298,40.4
2017-03-22,40.26,40.31,40.26,40.31,330,40.31
2017-03-21,40.72,40.72,40.72,40.72,147,40.72
2017-03-20,40.72,40.72,40.72,40.72,103,40.72
2017-03-17,40.7,40.72,40.7,40.72,296,40.72
2017-03-16,40.46,40.46,40.46,40.46,704,40.46
2017-03-15,40.0,40.26,40.0,40.26,414,40.26
2017-03-14,39.83,39.83,39.78,39.78,997,39.78
2017-03-13,40.07,40.07,40.0,40.02,787,40.02
2017-03-10,39.5,39.5,39.5,39.5,158,39.5
2017-03-09,39.5,39.5,39.5,39.5,161,39.5
2017-03-08,39.88,39.88,39.74,39.74,891,39.74
2017-03-07,39.88,39.94,39.82,39.86,4286,39.86
2017-03-06,39.8,39.8,39.8,39.8,6,39.8
2017-03-03,39.78,39.85,39.78,39.85,1816,39.85
2017-03-02,39.99,39.99,39.99,39.99,59,39.99
2017-03-01,39.99,40.01,39.94,39.99,2306,39.99
2017-02-28,39.62,39.67,39.57,39.62,1166,39.62
2017-02-27,39.85,39.85,39.85,39.85,143,39.85
2017-02-24,40.03,40.03,39.85,39.85,524,39.85
2017-02-23,40.37,40.42,40.37,40.37,1199,40.37
2017-02-22,40.28,40.28,40.28,40.28,173,40.28
2017-02-21,40.67,40.67,40.67,40.67,40,40.67
2017-02-17,40.67,40.67,40.67,40.67,56,40.67
2017-02-16,40.61,40.67,40.61,40.67,300,40.67
2017-02-15,40.42,40.42,40.42,40.42,142,40.42
2017-02-14,40.45,40.45,40.45,40.45,207,40.45
2017-02-13,40.15,40.41,40.15,40.41,1285,40.41
2017-02-10,39.8,40.17,39.8,40.16,1192,40.16
2017-02-09,39.86,39.86,39.86,39.86,120,39.86
2017-02-08,39.87,39.87,39.86,39.86,427,39.86
2017-02-07,39.74,39.92,39.74,39.86,4808,39.86
2017-02-06,39.94,39.94,39.71,39.85,3599,39.85
2017-02-03,39.79,39.79,39.79,39.79,427,39.79
2017-02-02,39.72,39.72,39.64,39.64,672,39.64
2017-02-01,39.57,39.8,39.57,39.8,1463,39.8
2017-01-31,39.73,40.09,39.42,39.51,6735,39.51
2017-01-30,39.8,39.8,39.36,39.41,2710,39.41
2017-01-27,39.71,39.71,39.69,39.69,436,39.69
2017-01-26,39.73,39.77,39.73,39.77,1002,39.77
2017-01-25,39.78,39.78,39.78,39.78,243,39.78
2017-01-24,39.38,39.41,39.38,39.41,239,39.41
2017-01-23,39.4,39.53,39.37,39.53,686,39.53
2017-01-20,39.28,39.31,39.28,39.31,497,39.31
2017-01-19,39.09,39.09,39.09,39.09,308,39.09
2017-01-18,39.23,39.23,39.1,39.13,3152,39.13
2017-01-17,39.59,39.59,39.49,39.49,763,39.49
2017-01-13,39.3,39.5,39.3,39.47,2305,39.47
2017-01-12,39.42,39.42,39.42,39.42,32,39.42
2017-01-11,38.98,39.42,38.96,39.42,1418,39.42
2017-01-10,39.36,39.36,39.11,39.17,1382,39.17
2017-01-09,39.44,39.44,39.23,39.37,2070,39.37
2017-01-06,39.67,39.67,39.47,39.5,1544,39.5
2017-01-05,39.68,39.74,39.68,39.74,438,39.74
2017-01-04,39.22,39.45,39.22,39.45,2114,39.45
2017-01-03,39.42,39.42,38.98,39.03,3291,39.03
2016-12-30,38.98,39.05,38.98,39.01,1414,39.01
2016-12-29,38.65,38.83,38.65,38.83,13674,38.83
2016-12-28,38.43,38.44,38.43,38.44,347,38.44
2016-12-27,38.69,38.73,38.59,38.59,1752,38.59
2016-12-23,38.67,38.67,38.41,38.63,3019,38.63
2016-12-22,38.53,38.53,38.44,38.44,1014,38.44
2016-12-21,38.23,38.47,38.23,38.45,14050,38.45
2016-12-20,38.79,38.93,38.79,38.93,350,38.93
2016-12-19,38.6,38.6,38.6,38.6,724,38.6
2016-12-16,38.57,38.71,38.49,38.68,44508,38.68
2016-12-15,38.49,38.72,38.49,38.67,5575,38.67
2016-12-14,39.22,39.29,38.94,38.94,2798,38.94
2016-12-13,39.53,39.53,39.3,39.48,9897,39.48
2016-12-12,39.18,39.18,39.18,39.18,294,39.18
2016-12-09,38.98,39.1,38.96,39.1,2251,39.1
2016-12-08,39.0,39.27,38.99,39.27,1249,39.27
2016-12-07,38.86,39.31,38.84,39.31,4818,39.31
2016-12-06,38.81,38.92,38.81,38.92,2318,38.92
2016-12-05,38.7,38.85,38.66,38.7,3975,38.7
2016-12-02,38.36,38.58,38.36,38.58,1801,38.58
2016-12-01,38.33,38.44,38.22,38.44,3788,38.44
2016-11-30,38.33,38.33,38.14,38.22,1887,38.22
2016-11-29,38.0,38.38,38.0,38.33,2032,38.33
2016-11-28,38.29,38.32,38.13,38.32,2239,38.32
2016-11-25,38.34,38.34,38.34,38.34,215,38.34
2016-11-23,37.7,37.76,37.7,37.76,580,37.76
2016-11-22,38.03,38.03,37.81,37.92,27823,37.92
2016-11-21,37.98,37.98,37.98,37.98,244,37.98
2016-11-18,37.66,37.78,37.66,37.75,742,37.75
2016-11-17,37.45,37.8,37.45,37.64,2789,37.64
2016-11-16,37.22,37.22,37.22,37.22,174,37.22
2016-11-15,37.16,37.4,37.16,37.4,2036,37.4
2016-11-14,36.69,36.95,36.69,36.87,5566,36.87
2016-11-11,37.18,37.42,37.1,37.36,1102,37.36
2016-11-10,37.11,37.3,37.11,37.3,620,37.3
2016-11-09,36.76,37.29,36.76,37.23,2400,37.23
2016-11-08,36.94,36.94,36.94,36.94,513,36.94
2016-11-07,36.54,36.69,36.54,36.69,3378,36.69
2016-11-04,36.5,36.53,36.39,36.53,1682,36.53
2016-11-03,37.0,37.0,36.68,36.68,1255,36.68
2016-11-02,36.77,36.89,36.7,36.8,4884,36.8
2016-11-01,37.3,37.3,37.3,37.3,9,37.3
2016-10-31,37.3,37.3,37.3,37.3,270,37.3
2016-10-28,37.4,37.4,37.26,37.39,1602,37.39
2016-10-27,37.21,37.25,37.18,37.18,756,37.18
2016-10-26,37.13,37.15,37.12,37.12,1351,37.12
2016-10-25,37.37,37.37,37.37,37.37,0,37.37
2016-10-24,37.26,37.37,37.26,37.37,3139,37.37
2016-10-21,36.98,37.17,36.98,37.16,3289,37.16
2016-10-20,36.93,37.02,36.93,37.02,780,37.02
2016-10-19,37.09,37.09,37.09,37.09,422,37.09
2016-10-18,36.89,37.04,36.89,36.99,1207,36.99
2016-10-17,36.75,36.82,36.73,36.77,5319,36.77
2016-10-14,36.87,36.87,36.87,36.87,188,36.87
2016-10-13,36.95,36.95,36.95,36.95,1445,36.95
2016-10-12,37.26,37.4,37.23,37.4,1235,37.4
2016-10-11,37.44,37.66,37.23,37.23,5015,37.23
2016-10-10,37.82,37.82,37.8,37.8,201,37.8
2016-10-07,37.9,37.92,37.71,37.91,14158,37.91
2016-10-06,38.02,38.02,38.02,38.02,743,38.02
2016-10-05,38.47,38.47,38.41,38.41,719,38.41
2016-10-04,38.37,38.37,38.27,38.27,3301,38.27
2016-10-03,38.14,38.26,38.13,38.26,2740,38.26
2016-09-30,38.2,38.22,38.18,38.22,729,38.22
2016-09-29,38.28,38.28,38.05,38.09,1378,38.09
2016-09-28,38.08,38.08,38.05,38.05,1008,38.05
2016-09-27,37.9,38.03,37.8,38.01,2991,38.01
2016-09-26,38.0,38.02,37.88,38.01,1807,38.01
2016-09-23,38.05,38.05,38.0,38.0,607,38.0
2016-09-22,38.15,38.42,38.15,38.32,1479,38.32
2016-09-21,38.66,38.66,37.98,37.98,1964,37.98
2016-09-20,38.7,38.7,38.7,38.7,3,38.7
2016-09-19,38.34,38.7,38.34,38.7,1584,38.7
2016-09-16,36.32,39.95,36.32,38.62,1353,38.62
2016-09-15,38.4,38.65,38.28,38.56,555,38.56
2016-09-14,38.4,38.76,38.05,38.45,1483,38.45
2016-09-13,38.6,38.7,38.38,38.38,1065,38.38
2016-09-12,38.13,39.14,38.13,39.14,7001,39.14
2016-09-09,38.96,38.96,38.83,38.83,2369,38.83
2016-09-08,39.33,39.33,39.33,39.33,16400,39.33
2016-09-07,39.25,39.33,39.25,39.33,1853,39.33
2016-09-06,39.39,39.44,39.36,39.36,2086,39.36
2016-09-02,39.0,39.0,39.0,39.0,426,39.0
2016-09-01,38.94,38.97,38.81,38.97,2108,38.97
2016-08-31,38.75,38.75,38.33,38.53,1053,38.53
2016-08-30,38.6,38.65,38.51,38.63,1578,38.63
2016-08-29,37.96,38.05,37.96,37.98,1316,37.98
2016-08-26,38.48,39.06,38.44,38.6,3201,38.6
2016-08-25,38.37,38.43,38.37,38.4,2901,38.4
2016-08-24,38.53,38.53,38.53,38.53,295,38.53
2016-08-23,38.56,38.7,38.4,38.63,2509,38.63
2016-08-22,37.96,38.56,37.96,38.56,4233,38.56
2016-08-19,38.4,38.69,38.35,38.35,3710,38.35
2016-08-18,38.45,38.57,38.45,38.56,1260,38.56
2016-08-17,38.14,38.14,38.14,38.14,462,38.14
2016-08-16,38.35,38.44,38.32,38.42,1989,38.42
2016-08-15,38.15,38.26,38.15,38.26,1062,38.26
2016-08-12,38.2,38.2,38.2,38.2,233,38.2
2016-08-11,38.25,38.25,38.05,38.2,584,38.2
2016-08-10,38.05,38.05,38.05,38.05,99,38.05
2016-08-09,38.1,38.1,37.96,38.05,6852,38.05
2016-08-08,37.55,37.71,37.55,37.71,920,37.71
2016-08-05,37.52,37.82,37.52,37.79,22787,37.79
2016-08-04,38.58,38.58,37.62,37.88,1784,37.88
2016-08-03,37.54,37.54,37.54,37.54,252,37.54
2016-08-02,37.44,37.48,37.44,37.46,2812,37.46
2016-08-01,38.95,38.95,37.36,37.72,37100,37.72
2016-07-29,37.69,37.97,37.69,37.92,24670,37.92
2016-07-28,38.94,38.94,37.62,37.62,889,37.62
2016-07-27,37.63,37.65,37.63,37.64,637,37.64
2016-07-26,37.34,37.41,37.29,37.41,1000,37.41
2016-07-25,37.2,37.2,37.2,37.2,0,37.2
2016-07-22,37.2,37.2,37.2,37.2,130,37.2
2016-07-21,37.07,37.15,37.04,37.09,1196,37.09
2016-07-20,36.99,37.04,36.99,37.03,775,37.03
2016-07-19,36.6,36.88,36.6,36.74,2026,36.74
2016-07-18,36.9,37.01,36.9,37.01,1212,37.01
