Date,Open,High,Low,Close,Volume,Adj Close
2017-06-06,186.73,187.2,184.51,185.75,2074373,185.75
2017-06-05,188.71,188.71,185.21,187.31,1424811,187.31
2017-06-02,188.6,189.25,187.0,187.6,1192530,187.6
2017-06-01,186.15,188.1,185.59,187.26,2071175,187.26
2017-05-31,189.95,190.49,184.32,186.1,3396503,186.1
2017-05-30,190.94,192.29,189.36,189.88,1914986,189.88
2017-05-26,192.78,193.74,190.09,190.39,1567723,190.39
2017-05-25,191.23,193.0,189.83,191.95,2175938,191.95
2017-05-24,191.03,191.99,189.97,190.63,2805190,190.63
2017-05-23,192.7,193.56,190.37,191.8,2147944,191.8
2017-05-22,190.0,193.56,188.08,191.69,2921536,191.69
2017-05-19,183.17,189.42,182.89,188.76,3863947,188.76
2017-05-18,182.68,183.62,181.29,182.43,4685695,182.43
2017-05-17,187.97,190.71,185.68,186.05,3586875,186.05
2017-05-16,186.83,192.37,186.39,190.64,3926610,190.64
2017-05-15,187.08,187.46,185.24,186.14,1993024,186.14
2017-05-12,186.25,187.98,185.67,186.83,1816593,186.83
2017-05-11,183.54,187.33,182.96,186.6,3211457,186.6
2017-05-10,182.37,184.93,181.62,183.57,2868116,183.57
2017-05-09,178.9,183.59,178.36,182.98,3479371,182.98
2017-05-08,178.5,178.54,176.68,177.47,2407935,177.47
2017-05-05,176.3,178.3,174.77,178.03,2328167,178.03
2017-05-04,177.89,178.0,176.28,176.71,2129420,176.71
2017-05-03,179.01,179.01,176.9,177.4,2017176,177.4
2017-05-02,180.1,180.4,178.0,178.64,2431537,178.64
2017-05-01,180.45,181.17,177.19,180.06,3486976,180.06
2017-04-28,181.08,182.96,176.07,180.23,7429414,180.23
2017-04-27,187.81,188.6,186.1,187.86,3169531,187.86
2017-04-26,187.9,188.0,184.9,186.67,2895025,186.67
2017-04-25,182.86,187.5,182.33,186.99,3750270,186.99
2017-04-24,180.0,180.65,179.54,180.03,1908395,180.03
2017-04-21,180.4,180.4,177.86,178.08,1628684,178.08
2017-04-20,178.99,180.38,178.41,178.64,2478452,178.64
2017-04-19,175.62,181.18,175.34,177.81,3998405,177.81
2017-04-18,173.31,174.56,172.07,174.47,1806933,174.47
2017-04-17,172.61,173.8,172.61,173.31,1366346,173.31
