Date,Open,High,Low,Close,Volume,Adj Close
2017-06-06,22.04,22.3,21.86,21.91,633937,21.91
2017-06-05,22.3,22.82,22.27,22.3,556025,22.3
2017-06-02,22.41,22.72,22.21,22.32,551606,22.32
2017-06-01,22.2,22.88,22.13,22.57,743966,22.57
2017-05-31,22.15,22.37,21.86,22.2,879831,22.2
2017-05-30,22.38,22.38,21.76,22.08,885395,22.08
2017-05-26,22.56,22.8,22.1,22.43,752496,22.43
2017-05-25,22.14,22.68,21.93,22.64,847580,22.64
2017-05-24,23.07,23.15,21.94,22.1,962032,22.1
2017-05-23,22.88,23.04,22.39,23.0,655022,23.0
2017-05-22,22.21,22.99,22.03,22.88,853891,22.88
2017-05-19,23.01,23.04,22.18,22.48,1112342,22.48
2017-05-18,22.57,23.19,22.55,22.91,763021,22.91
2017-05-17,23.46,23.48,22.58,22.58,977500,22.58
2017-05-16,23.65,23.91,23.32,23.88,597977,23.88
2017-05-15,23.43,23.95,23.4,23.63,496491,23.63
2017-05-12,23.37,23.66,22.93,23.42,928652,23.42
2017-05-11,23.73,23.96,23.26,23.5,818606,23.5
2017-05-10,24.1,24.16,23.71,23.79,759397,23.79
2017-05-09,24.56,25.15,23.98,24.21,1005172,24.21
2017-05-08,24.11,24.68,23.97,24.57,742362,24.57
2017-05-05,24.02,24.08,23.72,24.03,531393,24.03
2017-05-04,24.04,24.32,23.66,23.88,592805,23.88
2017-05-03,24.04,24.04,23.4,23.91,981595,23.91
2017-05-02,24.48,24.51,23.84,24.18,901777,24.18
2017-05-01,23.9,24.89,23.81,24.51,1231504,24.51
2017-04-28,24.88,24.88,23.66,23.89,1448558,23.89
2017-04-27,24.51,25.12,24.0,24.76,1522703,24.76
2017-04-26,26.66,26.85,22.75,24.24,5499331,24.24
2017-04-25,26.65,26.87,26.15,26.35,1549305,26.35
2017-04-24,26.43,26.69,26.17,26.43,867372,26.43
2017-04-21,25.58,26.42,25.53,25.79,1313735,25.79
2017-04-20,25.34,25.62,25.11,25.54,1070332,25.54
2017-04-19,25.0,25.56,24.89,25.03,1020101,25.03
2017-04-18,24.43,25.15,24.37,24.73,685988,24.73
2017-04-17,24.74,24.92,24.02,24.77,858159,24.77
2017-04-13,24.88,25.25,24.55,24.71,956674,24.71
2017-04-12,24.75,25.06,24.52,24.65,658449,24.65
2017-04-11,23.98,24.9,23.86,24.79,1325214,24.79
2017-04-10,24.2,24.42,23.82,24.12,703185,24.12
2017-04-07,24.22,24.59,23.72,24.15,1598108,24.15
2017-04-06,24.26,24.79,24.06,24.46,1135549,24.46
2017-04-05,24.96,25.23,24.02,24.31,1564647,24.31
2017-04-04,24.9,25.4,24.53,24.71,1093590,24.71
2017-04-03,26.0,26.4,24.6,25.14,2455196,25.14
2017-03-31,26.88,27.47,26.1,26.13,2232813,26.13
2017-03-30,26.88,27.99,26.87,27.58,995798,27.58
2017-03-29,28.02,28.19,24.88,26.95,5281126,26.95
2017-03-28,27.64,28.54,27.28,28.08,801025,28.08
2017-03-27,26.73,27.79,25.78,27.73,961924,27.73
2017-03-24,27.77,28.2,27.28,27.47,615557,27.47
2017-03-23,27.31,27.91,27.14,27.6,485744,27.6
2017-03-22,26.52,27.45,26.32,27.44,859666,27.44
2017-03-21,28.79,28.84,26.54,26.64,1434698,26.64
2017-03-20,29.0,29.14,28.48,28.65,537187,28.65
2017-03-17,29.02,29.19,28.73,29.0,1630188,29.0
2017-03-16,28.82,29.13,28.65,29.1,898067,29.1
2017-03-15,28.88,29.34,28.67,28.82,664586,28.82
2017-03-14,28.65,28.85,27.54,28.84,789000,28.84
2017-03-13,29.03,29.57,28.87,28.94,493243,28.94
2017-03-10,30.0,30.14,28.8,29.13,748203,29.13
2017-03-09,29.63,30.19,29.55,29.86,604485,29.86
2017-03-08,29.55,30.11,29.1,29.58,786445,29.58
2017-03-07,29.01,29.72,29.0,29.17,518856,29.17
2017-03-06,29.44,29.44,28.8,29.03,808921,29.03
2017-03-03,29.58,29.86,28.74,29.29,1464691,29.29
2017-03-02,32.26,32.36,29.52,29.64,2043782,29.64
2017-03-01,32.05,32.57,31.57,32.11,910585,32.11
2017-02-28,31.3,31.8,30.91,31.54,1035201,31.54
2017-02-27,31.0,31.54,30.42,31.32,1167328,31.32
2017-02-24,30.4,31.07,29.9,30.84,947521,30.84
2017-02-23,30.36,30.8,30.07,30.65,603777,30.65
2017-02-22,29.51,30.4,29.26,30.28,771337,30.28
2017-02-21,29.82,30.0,29.41,29.6,563442,29.6
2017-02-17,30.11,30.11,29.44,29.72,681765,29.72
2017-02-16,30.0,30.3,29.64,30.19,385501,30.19
2017-02-15,30.33,30.73,29.87,30.15,529061,30.15
2017-02-14,30.27,30.47,29.09,30.27,516231,30.27
2017-02-13,29.72,30.6,29.66,30.33,693318,30.33
2017-02-10,29.57,29.7,29.29,29.56,422311,29.56
2017-02-09,28.77,29.56,28.68,29.53,704468,29.53
2017-02-08,28.81,28.96,28.15,28.57,527393,28.57
2017-02-07,28.94,29.32,28.69,28.87,680136,28.87
2017-02-06,29.17,29.71,28.77,28.87,655758,28.87
2017-02-03,28.91,29.4,28.58,29.15,686533,29.15
2017-02-02,29.63,29.63,28.12,28.65,998838,28.65
2017-02-01,29.88,30.45,29.43,29.75,1218951,29.75
2017-01-31,28.31,30.6,28.29,29.5,1895285,29.5
2017-01-30,28.39,28.5,27.68,28.36,1039364,28.36
2017-01-27,28.01,28.47,27.8,28.42,466535,28.42
2017-01-26,27.78,28.5,27.69,28.09,495274,28.09
2017-01-25,27.5,28.09,27.48,27.82,832463,27.82
2017-01-24,26.41,27.25,26.35,27.08,691721,27.08
2017-01-23,27.03,27.24,26.17,26.31,1033326,26.31
