Date,Open,High,Low,Close,Volume,Adj Close
2017-06-06,166.12,166.72,165.88,166.13,2741651,166.13
2017-06-05,166.43,167.13,166.33,166.52,2303426,166.52
2017-06-02,166.13,166.92,165.85,166.29,3919875,166.29
2017-06-01,165.8,166.69,164.75,166.66,3330897,166.66
2017-05-31,165.27,165.45,164.1,165.28,5674932,165.28
2017-05-30,165.79,165.87,164.47,165.11,3048318,165.11
2017-05-26,165.25,165.88,165.02,165.69,2156256,165.69
2017-05-25,165.23,165.5,164.71,165.3,2605333,165.3
2017-05-24,165.9,165.9,164.55,164.93,2628386,164.93
2017-05-23,165.4,165.77,164.87,165.48,3352163,165.48
2017-05-22,164.8,165.48,163.94,165.13,4350808,165.13
2017-05-19,161.86,164.08,161.58,163.24,4164932,163.24
2017-05-18,161.5,162.62,160.93,161.62,3645610,161.62
2017-05-17,162.44,162.86,161.18,161.26,4797434,161.26
2017-05-16,164.1,164.29,163.25,163.61,2434915,163.61
2017-05-15,163.81,164.08,163.26,163.8,2959049,163.8
2017-05-12,163.06,163.49,162.47,163.32,3592274,163.32
2017-05-11,163.58,163.77,162.39,163.27,3285904,163.27
2017-05-10,163.36,163.88,163.03,163.72,3237362,163.72
2017-05-09,165.17,165.24,163.0,163.46,3840717,163.46
2017-05-08,166.5,166.6,164.1,165.02,5163917,165.02
2017-05-05,167.12,167.14,165.88,166.55,3578534,166.55
2017-05-04,167.64,168.04,166.22,166.34,3643542,166.34
2017-05-03,165.7,167.08,165.5,166.73,2982169,166.73
2017-05-02,165.9,166.33,165.16,166.05,2781230,166.05
2017-05-01,165.8,166.32,165.35,165.44,3135353,165.44
2017-04-28,166.28,166.55,164.68,165.21,3045003,165.21
2017-04-27,167.65,167.81,165.5,166.55,4290201,166.55
2017-04-26,167.5,168.95,167.25,167.63,4084301,167.63
2017-04-25,166.92,167.96,166.6,167.53,4268529,167.53
2017-04-24,165.7,165.99,164.4,165.78,4135474,165.78
2017-04-21,164.4,164.95,163.34,163.41,5122410,163.41
2017-04-20,163.29,165.24,163.04,164.98,3729159,164.98
2017-04-19,164.1,164.49,162.28,162.76,3932873,162.76
2017-04-18,163.87,164.23,163.09,163.69,2985842,163.69
2017-04-17,163.61,164.63,162.67,164.35,3414133,164.35
2017-04-13,164.98,165.28,162.87,162.9,3655089,162.9
2017-04-12,165.07,165.48,164.66,165.11,3419655,165.11
2017-04-11,165.8,166.22,164.85,165.7,3488171,165.7
2017-04-10,166.2,167.0,165.98,166.35,3015946,166.35
2017-04-07,165.62,166.89,165.48,166.17,2594128,166.17
2017-04-06,165.64,167.0,165.02,166.47,3892319,166.47
2017-04-05,167.45,168.23,165.67,165.83,5231101,165.83
2017-04-04,166.61,167.0,166.14,166.86,2853044,166.86
2017-04-03,166.72,167.0,165.32,166.87,3986871,166.87
2017-03-31,167.41,167.6,166.34,166.68,3564732,166.68
2017-03-30,166.3,167.69,166.0,167.36,3393679,167.36
2017-03-29,168.0,168.3,166.44,166.59,4776445,166.59
2017-03-28,167.28,168.61,166.36,168.31,4598039,168.31
2017-03-27,166.89,167.51,165.8,167.44,4884740,167.44
2017-03-24,170.45,170.45,168.02,168.66,4131882,168.66
2017-03-23,169.66,171.36,169.21,169.89,3142944,169.89
2017-03-22,169.27,170.04,168.02,169.3,3257041,169.3
2017-03-21,172.16,172.44,169.03,169.47,4973857,169.47
2017-03-20,172.3,172.87,171.6,172.07,3340655,172.07
2017-03-17,173.89,173.89,172.32,172.82,6710690,172.82
2017-03-16,175.15,175.43,173.7,174.08,3119576,174.08
