Date,Open,High,Low,Close,Volume,Adj Close
2017-06-06,18.72,18.72,18.5,18.61,834919,18.61
2017-06-05,18.85,18.9,18.63,18.68,1116647,18.68
2017-06-02,18.85,18.98,18.76,18.91,947759,18.91
2017-06-01,18.67,18.84,18.56,18.74,1430795,18.74
2017-05-31,18.62,18.77,18.42,18.6,1132479,18.6
2017-05-30,18.62,18.67,18.54,18.6,851216,18.6
2017-05-26,18.58,18.64,18.43,18.62,874096,18.62
2017-05-25,18.52,18.65,18.48,18.6,1245617,18.6
2017-05-24,18.43,18.56,18.4,18.5,968047,18.5
2017-05-23,18.37,18.43,18.25,18.43,1102207,18.43
2017-05-22,18.02,18.32,18.02,18.27,1424531,18.27
2017-05-19,17.87,18.09,17.87,17.99,1158608,17.99
2017-05-18,17.79,17.96,17.69,17.89,1218324,17.89
2017-05-17,17.88,18.0,17.76,17.8,1858792,17.8
2017-05-16,17.86,18.05,17.86,17.88,1883460,17.88
2017-05-15,17.8,17.94,17.76,17.86,1824736,17.86
2017-05-12,17.91,18.11,17.75,17.76,1489738,17.76
2017-05-11,17.86,17.96,17.74,17.85,2232845,17.85
2017-05-10,17.76,18.13,17.75,17.87,3002391,17.87
2017-05-09,18.68,18.69,17.7,17.76,7893959,17.76
2017-05-08,19.25,19.31,18.67,18.71,3498300,18.71
2017-05-05,19.11,19.32,18.98,19.25,2945090,19.25
2017-05-04,19.13,19.14,18.75,19.05,3083549,19.05
2017-05-03,19.5,19.5,19.03,19.1,2992897,19.1
2017-05-02,20.4,20.43,18.1,19.39,6525887,19.39
2017-05-01,20.4,20.69,20.4,20.45,2072039,20.45
2017-04-28,20.76,20.76,20.3,20.36,2211315,20.36
2017-04-27,20.68,20.85,20.58,20.7,1553835,20.7
2017-04-26,20.5,20.71,20.46,20.6,1341579,20.6
2017-04-25,20.4,20.54,20.33,20.47,1717367,20.47
2017-04-24,20.57,20.68,20.26,20.4,2224539,20.4
2017-04-21,20.52,20.64,20.44,20.49,1265010,20.49
2017-04-20,20.52,20.66,20.29,20.46,1975607,20.46
2017-04-19,20.69,20.75,20.47,20.52,1282468,20.52
2017-04-18,20.85,20.9,20.61,20.69,1538935,20.69
2017-04-17,20.63,20.87,20.62,20.83,1951044,20.83
2017-04-13,20.47,20.64,20.42,20.58,1240602,20.58
2017-04-12,20.4,20.5,20.39,20.45,1520989,20.45
2017-04-11,20.24,20.48,20.15,20.38,1990674,20.38
2017-04-10,20.19,20.24,20.12,20.21,1145414,20.21
2017-04-07,20.26,20.34,20.16,20.19,1310899,20.19
2017-04-06,20.21,20.27,20.05,20.24,1277555,20.24
2017-04-05,20.35,20.42,20.15,20.24,2337131,20.24
2017-04-04,20.16,20.47,20.14,20.34,2174820,20.34
2017-04-03,20.19,20.25,20.09,20.15,1288362,20.15
2017-03-31,20.2,20.27,20.1,20.18,1689437,20.18
2017-03-30,20.11,20.19,20.06,20.15,1627161,20.15
2017-03-29,19.99,20.18,19.96,20.11,2169898,20.11
2017-03-28,20.24,20.56,20.24,20.41,2671563,20.41
2017-03-27,20.08,20.25,20.04,20.23,1892261,20.23
2017-03-24,20.19,20.24,20.03,20.07,1558628,20.07
2017-03-23,20.06,20.25,20.01,20.09,1934424,20.09
2017-03-22,19.96,20.13,19.88,20.06,1662479,20.06
2017-03-21,19.9,20.02,19.81,19.92,1629378,19.92
2017-03-20,19.85,20.17,19.85,19.9,1673203,19.9
2017-03-17,19.55,19.86,19.54,19.83,2703629,19.83
2017-03-16,19.65,19.73,19.43,19.49,1539329,19.49
2017-03-15,19.29,19.68,19.27,19.59,2407789,19.59
2017-03-14,19.19,19.32,19.09,19.21,1429335,19.21
2017-03-13,19.2,19.36,19.05,19.08,1340778,19.08
2017-03-10,18.84,19.22,18.84,19.21,1811063,19.21
2017-03-09,18.85,19.06,18.66,18.71,1672986,18.71
2017-03-08,19.26,19.27,18.88,18.89,1751685,18.89
2017-03-07,19.2,19.34,19.18,19.21,932705,19.21
2017-03-06,19.28,19.28,19.11,19.23,1126041,19.23
2017-03-03,19.3,19.33,19.17,19.32,919042,19.32
2017-03-02,19.32,19.34,19.21,19.29,906209,19.29
2017-03-01,19.24,19.32,19.1,19.3,1486006,19.3
2017-02-28,19.23,19.33,19.12,19.24,2052524,19.24
2017-02-27,19.2,19.33,19.16,19.23,1255126,19.23
2017-02-24,19.09,19.18,18.96,19.16,1369144,19.16
2017-02-23,19.3,19.3,19.04,19.09,2296171,19.09
2017-02-22,18.88,19.19,18.85,19.17,1926754,19.17
2017-02-21,18.75,18.86,18.62,18.86,1090498,18.86
2017-02-17,18.7,18.75,18.46,18.7,1385781,18.7
2017-02-16,18.17,18.71,18.1,18.71,2574562,18.71
2017-02-15,18.16,18.22,17.66,17.99,2872075,17.99
2017-02-14,18.25,18.29,18.06,18.13,1345076,18.13
2017-02-13,18.24,18.4,18.24,18.28,1252885,18.28
2017-02-10,18.11,18.26,18.11,18.21,869111,18.21
2017-02-09,18.16,18.17,18.06,18.11,904211,18.11
2017-02-08,18.05,18.14,17.95,18.14,984626,18.14
2017-02-07,17.99,18.1,17.9,18.02,1071874,18.02
2017-02-06,17.91,18.05,17.88,18.01,1264649,18.01
2017-02-03,17.89,17.97,17.82,17.87,946377,17.87
2017-02-02,17.81,17.9,17.75,17.83,974377,17.83
2017-02-01,17.69,17.93,17.66,17.82,1420610,17.82
2017-01-31,17.73,17.75,17.16,17.63,2274537,17.63
2017-01-30,17.85,17.88,17.51,17.71,1848190,17.71
2017-01-27,17.95,18.0,17.73,17.83,1130349,17.83
2017-01-26,17.81,17.92,17.71,17.89,844478,17.89
2017-01-25,17.79,17.85,17.68,17.72,1072219,17.72
2017-01-24,17.66,17.98,17.63,17.79,1658773,17.79
2017-01-23,17.55,17.66,17.48,17.63,925302,17.63
2017-01-20,17.46,17.51,17.4,17.5,490087,17.5
2017-01-19,17.49,17.49,17.34,17.44,798662,17.44
2017-01-18,17.47,17.57,17.36,17.49,822385,17.49
2017-01-17,17.5,17.56,17.39,17.4,968913,17.4
2017-01-13,17.45,17.5,17.34,17.49,899411,17.49
2017-01-12,17.45,17.5,17.3,17.45,917795,17.45
2017-01-11,17.2,17.5,17.17,17.41,2057959,17.41
2017-01-10,17.11,17.22,17.0,17.17,1443058,17.17
2017-01-09,17.31,17.34,17.09,17.09,1021814,17.09
2017-01-06,17.32,17.34,17.21,17.23,872072,17.23
2017-01-05,17.21,17.34,17.15,17.31,1256282,17.31
2017-01-04,17.13,17.35,17.13,17.19,1448867,17.19
2017-01-03,17.05,17.21,17.02,17.17,1436319,17.17
2016-12-30,17.19,17.21,16.98,17.02,1111763,17.02
2016-12-29,16.9,17.27,16.9,17.18,1220539,17.18
2016-12-28,17.08,17.17,16.7,16.97,2295323,16.97
2016-12-27,17.65,17.72,17.45,17.57,1966468,17.57
2016-12-23,17.7,17.7,17.56,17.62,1338567,17.62
2016-12-22,17.47,17.66,17.4,17.64,1170783,17.64
2016-12-21,17.44,17.64,17.34,17.49,1442668,17.49
2016-12-20,17.45,17.5,17.3,17.44,1600607,17.44
2016-12-19,17.07,17.44,17.04,17.43,1771950,17.43
2016-12-16,16.67,17.13,16.67,17.0,3098069,17.0
2016-12-15,16.97,16.99,16.43,16.65,3852202,16.65
2016-12-14,17.3,17.34,16.95,17.04,1642539,17.04
2016-12-13,17.34,17.4,17.18,17.22,1419219,17.22
2016-12-12,17.62,17.64,17.3,17.31,1491896,17.31
2016-12-09,17.56,17.68,17.55,17.59,1779354,17.59
2016-12-08,17.56,17.66,17.42,17.55,2466474,17.55
2016-12-07,17.3,17.58,17.3,17.57,2256758,17.57
2016-12-06,17.2,17.43,17.2,17.3,1795190,17.3
2016-12-05,16.87,17.21,16.84,17.19,2215721,17.19
2016-12-02,16.66,16.92,16.6,16.82,2204053,16.82
2016-12-01,16.95,16.98,16.54,16.62,1600390,16.62
2016-11-30,17.17,17.17,16.82,16.96,2912021,16.96
2016-11-29,16.88,17.25,16.86,17.16,2043822,17.16
2016-11-28,16.73,16.95,16.7,16.88,1666196,16.88
2016-11-25,16.51,16.67,16.51,16.66,613211,16.66
2016-11-23,16.71,16.75,16.46,16.51,1398088,16.51
2016-11-22,16.68,16.81,16.61,16.74,1765227,16.74
2016-11-21,16.58,16.67,16.55,16.58,925850,16.58
2016-11-18,16.52,16.59,16.43,16.52,1296600,16.52
2016-11-17,16.5,16.55,16.41,16.47,1534648,16.47
2016-11-16,16.39,16.56,16.38,16.5,1545998,16.5
2016-11-15,16.2,16.36,16.04,16.34,1837008,16.34
2016-11-14,16.22,16.38,16.16,16.21,1922366,16.21
2016-11-11,16.01,16.27,16.01,16.19,1336601,16.19
2016-11-10,16.5,16.56,16.05,16.06,2157908,16.06
2016-11-09,16.28,16.64,16.2,16.47,1684368,16.47
2016-11-08,16.49,16.64,16.38,16.59,1909046,16.59
2016-11-07,16.39,16.48,16.35,16.48,2031563,16.48
2016-11-04,16.28,16.34,16.23,16.26,1536246,16.26
2016-11-03,16.05,16.41,15.98,16.27,1953896,16.27
2016-11-02,16.52,16.52,15.75,15.98,2561065,15.98
2016-11-01,15.67,15.7,15.39,15.47,1182760,15.47
2016-10-31,15.57,15.72,15.54,15.67,1595685,15.67
2016-10-28,15.51,15.66,15.44,15.51,979024,15.51
2016-10-27,15.81,15.82,15.39,15.5,1248032,15.5
2016-10-26,15.75,15.77,15.57,15.74,725490,15.74
2016-10-25,15.59,15.8,15.59,15.77,735475,15.77
2016-10-24,15.41,15.63,15.4,15.56,1175771,15.56
