Date,Open,High,Low,Close,Volume,Adj Close
2017-06-06,22.5,23.32,22.39,22.57,923061,22.57
2017-06-05,22.67,23.16,22.4,22.56,467579,22.56
2017-06-02,21.95,23.0,21.85,22.87,769848,22.87
2017-06-01,20.84,21.9,20.55,21.86,501672,21.86
2017-05-31,21.55,21.63,20.32,20.75,679603,20.75
2017-05-30,22.39,22.58,21.5,21.51,447319,21.51
2017-05-26,22.39,22.5,22.12,22.29,267942,22.29
2017-05-25,22.63,23.02,21.9,22.36,590870,22.36
2017-05-24,21.55,23.35,21.45,22.55,1185645,22.55
2017-05-23,21.04,21.8,20.96,21.59,912765,21.59
2017-05-22,20.02,21.15,19.82,20.91,726306,20.91
2017-05-19,20.12,20.35,19.65,20.01,689929,20.01
2017-05-18,20.1,20.88,19.91,20.11,686976,20.11
2017-05-17,20.79,20.82,19.8,20.1,986462,20.1
2017-05-16,21.65,23.08,20.84,20.97,1445840,20.97
2017-05-15,21.0,21.5,20.5,21.35,1189720,21.35
2017-05-12,19.88,20.88,19.65,20.8,673131,20.8
2017-05-11,20.01,20.08,19.53,19.94,494886,19.94
2017-05-10,20.17,20.5,19.85,19.99,730901,19.99
2017-05-09,19.65,20.23,19.63,20.05,625127,20.05
2017-05-08,20.26,20.28,19.54,19.59,782087,19.59
2017-05-05,20.05,20.66,19.32,19.97,1055114,19.97
2017-05-04,21.1,22.02,19.25,19.58,3256409,19.58
2017-05-03,18.31,20.12,18.21,20.12,1520059,20.12
2017-05-02,18.37,18.49,18.1,18.39,720195,18.39
2017-05-01,18.97,19.09,18.16,18.19,1728709,18.19
2017-04-28,17.8,19.33,17.73,18.1,14871501,18.1
