Date,Open,High,Low,Close,Volume,Adj Close
2017-06-06,12.08,12.22,11.87,12.05,852182,12.05
2017-06-05,12.0,12.21,11.89,12.0,745577,12.0
2017-06-02,12.49,12.56,11.91,12.0,1181979,12.0
2017-06-01,12.0,12.65,12.0,12.39,1800790,12.39
2017-05-31,12.0,12.25,11.86,12.01,946788,12.01
2017-05-30,12.13,12.13,11.81,11.99,886439,11.99
2017-05-26,12.08,12.3,11.87,12.24,1483221,12.24
2017-05-25,11.65,12.28,11.61,12.08,3091648,12.08
2017-05-24,11.03,11.55,10.71,11.49,1473790,11.49
2017-05-23,11.45,11.46,10.64,10.81,1807010,10.81
2017-05-22,12.04,12.5,11.18,11.34,6108583,11.34
2017-05-19,10.45,10.86,10.44,10.55,1309130,10.55
2017-05-18,10.36,10.59,10.14,10.37,1318816,10.37
2017-05-17,11.2,11.2,10.33,10.35,1133360,10.35
2017-05-16,11.61,11.71,11.12,11.17,1034375,11.17
2017-05-15,11.18,11.87,11.18,11.48,1063602,11.48
2017-05-12,11.1,11.2,10.92,11.13,511048,11.13
2017-05-11,11.29,11.3,10.8,11.14,929442,11.14
2017-05-10,11.28,11.6,11.2,11.29,568233,11.29
2017-05-09,10.76,11.38,10.7,11.26,756699,11.26
2017-05-08,10.82,10.95,10.65,10.73,301876,10.73
2017-05-05,10.88,10.94,10.6,10.85,453211,10.85
2017-05-04,10.89,11.1,10.72,10.85,454253,10.85
2017-05-03,11.59,11.64,10.8,10.85,741645,10.85
2017-05-02,10.82,11.76,10.76,11.14,1510672,11.14
2017-05-01,10.64,11.04,10.55,10.91,469206,10.91
2017-04-28,10.68,10.71,10.48,10.54,217857,10.54
2017-04-27,10.51,10.72,10.5,10.65,429097,10.65
2017-04-26,10.8,10.82,10.53,10.53,409492,10.53
2017-04-25,10.78,10.98,10.67,10.88,459336,10.88
2017-04-24,11.04,11.13,10.72,10.72,510952,10.72
2017-04-21,10.74,10.99,10.72,10.83,288747,10.83
2017-04-20,10.42,11.0,10.42,10.74,893393,10.74
2017-04-19,10.1,10.5,10.06,10.37,963409,10.37
2017-04-18,10.04,10.2,10.0,10.08,777324,10.08
2017-04-17,10.22,10.31,10.0,10.04,386275,10.04
2017-04-13,10.29,10.43,10.19,10.22,488832,10.22
2017-04-12,10.37,10.47,10.2,10.24,430308,10.24
2017-04-11,10.95,11.19,9.85,10.42,1123398,10.42
2017-04-10,10.61,11.3,10.61,10.94,883932,10.94
2017-04-07,10.58,10.84,10.51,10.79,309794,10.79
2017-04-06,10.61,10.84,10.5,10.64,276284,10.64
2017-04-05,10.68,10.83,10.53,10.55,333376,10.55
2017-04-04,10.92,11.09,10.62,10.65,314984,10.65
2017-04-03,10.78,11.13,10.58,10.96,588239,10.96
2017-03-31,10.4,10.89,10.26,10.74,809763,10.74
2017-03-30,10.49,10.58,10.29,10.4,1213065,10.4
2017-03-29,10.76,10.89,10.48,10.51,1069582,10.51
2017-03-28,10.99,11.1,10.71,10.76,870787,10.76
