Date,Open,High,Low,Close,Volume,Adj Close
2017-06-06,181.7,182.72,181.01,181.45,2243816,181.45
2017-06-05,181.1,182.21,180.6,182.08,1561084,182.08
2017-06-02,180.58,181.25,179.87,180.97,2239915,180.97
2017-06-01,180.81,181.1,179.86,180.63,2028321,180.63
2017-05-31,179.24,180.47,178.78,180.43,2456666,180.43
2017-05-30,177.68,179.39,177.5,178.92,2086293,178.92
2017-05-26,180.25,180.34,177.52,177.86,4471282,177.86
2017-05-25,173.47,175.05,173.3,174.73,2726932,174.73
2017-05-24,172.95,173.13,171.8,173.01,1426542,173.01
2017-05-23,172.97,173.54,172.32,172.47,1788090,172.47
2017-05-22,172.24,173.24,171.63,172.4,1594088,172.4
2017-05-19,171.35,172.43,170.81,171.64,1871760,171.64
2017-05-18,170.08,171.02,169.69,170.72,1589679,170.72
2017-05-17,170.66,171.5,169.06,169.15,2202200,169.15
2017-05-16,171.96,171.96,170.63,171.0,1129191,171.0
2017-05-15,170.3,171.98,170.3,171.57,1734244,171.57
2017-05-12,171.29,171.85,170.32,170.88,1586827,170.88
2017-05-11,170.78,171.55,170.1,171.26,2106222,171.26
2017-05-10,172.03,172.08,170.66,171.35,2554451,171.35
2017-05-09,173.61,173.92,172.31,172.68,2662097,172.68
2017-05-08,174.66,174.7,171.6,172.64,3537972,172.64
2017-05-05,182.77,182.92,179.76,180.2,3713637,180.2
2017-05-04,180.05,183.18,180.0,182.45,3762176,182.45
2017-05-03,178.74,180.46,178.7,179.82,2900509,179.82
2017-05-02,178.72,178.94,177.94,178.59,2505281,178.59
2017-05-01,178.5,178.5,177.33,177.86,3327999,177.86
2017-04-28,178.07,178.07,176.93,177.52,2364453,177.52
2017-04-27,177.32,177.79,176.42,177.45,2148728,177.45
2017-04-26,178.05,178.27,175.42,176.8,4591294,176.8
2017-04-25,172.91,173.04,172.29,172.68,1503041,172.68
2017-04-24,172.0,172.61,171.33,172.33,1906902,172.33
2017-04-21,171.52,171.88,170.64,170.77,2257925,170.77
2017-04-20,170.33,171.18,169.95,170.15,1933622,170.15
2017-04-19,170.88,170.93,169.82,170.06,1441284,170.06
2017-04-18,170.05,170.32,169.47,170.13,1542663,170.13
2017-04-17,168.77,169.75,168.71,169.7,1504237,169.7
2017-04-13,170.05,170.62,168.8,168.84,1422469,168.84
2017-04-12,171.43,171.45,169.69,170.17,1422322,170.17
2017-04-11,170.79,171.44,169.63,170.63,1191415,170.63
2017-04-10,170.2,171.57,169.85,171.22,2002257,171.22
2017-04-07,169.7,171.0,169.43,170.62,1510009,170.62
2017-04-06,169.68,172.11,169.31,170.02,3313816,170.02
2017-04-05,167.29,168.4,166.72,167.0,1715970,167.0
2017-04-04,166.6,167.32,166.11,167.25,1322382,167.25
2017-04-03,167.74,168.3,166.4,166.7,1547889,166.7
2017-03-31,167.59,168.16,167.13,167.69,1720611,167.69
2017-03-30,167.3,168.18,166.76,167.89,1034268,167.89
2017-03-29,166.28,167.48,166.15,167.43,1216734,167.43
2017-03-28,166.11,167.05,165.15,166.77,1446649,166.77
2017-03-27,165.53,166.32,165.32,166.15,1212535,166.15
2017-03-24,167.37,167.46,165.66,166.02,1410390,166.02
2017-03-23,168.0,168.42,166.43,166.9,1430521,166.9
