Date,Open,High,Low,Close,Volume,Adj Close
2017-06-06,91.0,91.95,90.8,91.1,4287467,91.1
2017-06-05,91.0,91.88,90.75,91.38,5537311,91.38
2017-06-02,90.24,91.09,89.83,90.86,4969197,90.86
2017-06-01,90.0,90.64,89.32,90.05,4890550,90.05
2017-05-31,90.69,90.97,89.48,89.64,6030140,89.64
2017-05-30,90.5,91.07,90.47,90.86,4626480,90.86
2017-05-26,90.93,91.1,90.46,90.83,5284470,90.83
2017-05-25,89.97,91.81,89.91,91.27,7407085,91.27
2017-05-24,88.43,89.72,88.33,89.6,4708897,89.6
2017-05-23,88.73,89.25,88.16,88.49,4344595,88.49
2017-05-22,87.54,89.05,86.87,88.94,6058449,88.94
2017-05-19,90.95,91.0,86.44,87.4,15733470,87.4
2017-05-18,87.88,88.4,87.17,87.75,10179959,87.75
2017-05-17,89.06,89.33,87.57,87.84,5619238,87.84
2017-05-16,90.01,90.28,89.41,89.75,6422269,89.75
2017-05-15,89.27,89.94,89.05,89.8,4053894,89.8
2017-05-12,87.97,89.28,87.57,89.04,5586570,89.04
2017-05-11,87.38,87.95,86.57,87.71,2731557,87.71
2017-05-10,87.38,87.62,86.9,87.31,2920685,87.31
2017-05-09,87.03,87.62,86.9,87.13,2886964,87.13
2017-05-08,86.93,87.17,86.62,86.86,2168352,86.86
2017-05-05,86.44,86.98,86.22,86.97,2595773,86.97
2017-05-04,86.75,87.13,86.29,86.52,2140147,86.52
2017-05-03,86.97,87.06,86.19,86.55,2786697,86.55
2017-05-02,86.79,87.2,86.11,87.09,3503224,87.09
2017-05-01,86.25,86.88,86.25,86.66,3290001,86.66
2017-04-28,85.78,86.22,85.28,86.12,2919180,86.12
2017-04-27,85.38,86.32,85.29,85.85,2944547,85.85
2017-04-26,84.75,85.12,84.39,84.95,2164991,84.95
2017-04-25,84.57,85.13,84.35,84.75,3016545,84.75
2017-04-24,84.51,84.65,83.75,84.17,3193845,84.17
2017-04-21,84.01,84.4,83.65,83.79,2946068,83.79
2017-04-20,83.95,84.36,83.46,84.05,4012985,84.05
2017-04-19,84.08,84.21,83.35,83.5,2840595,83.5
2017-04-18,84.0,84.4,83.53,83.71,2498628,83.71
2017-04-17,83.25,84.23,83.0,84.2,2960969,84.2
2017-04-13,83.2,84.06,83.13,83.13,2594688,83.13
2017-04-12,83.83,84.08,83.2,83.37,3098350,83.37
2017-04-11,84.07,84.27,83.3,83.86,2536159,83.86
