Date,Open,High,Low,Close,Volume,Adj Close
2017-06-06,31.75,31.76,31.5,31.56,16119351,31.56
2017-06-05,32.05,32.05,31.57,31.76,15975981,31.76
2017-06-02,31.93,32.06,31.68,31.98,20085192,31.98
2017-06-01,31.52,31.82,31.47,31.82,15525451,31.82
2017-05-31,31.78,31.89,31.46,31.53,30196715,31.53
2017-05-30,31.4,31.81,31.39,31.68,17108324,31.68
2017-05-26,31.51,31.59,31.36,31.5,16403052,31.5
2017-05-25,31.55,31.69,31.37,31.44,21586482,31.44
2017-05-24,31.93,31.94,31.22,31.49,23517633,31.49
2017-05-23,31.83,31.87,31.52,31.76,29827507,31.76
2017-05-22,31.15,31.98,31.15,31.59,35085249,31.59
2017-05-19,31.74,31.78,31.02,31.21,39859249,31.21
2017-05-18,31.1,31.51,30.37,31.38,85500515,31.38
2017-05-17,34.2,34.31,33.8,33.82,38787770,33.82
2017-05-16,34.24,34.33,34.04,34.3,18950047,34.3
2017-05-15,34.0,34.46,33.97,34.23,31531001,34.23
2017-05-12,33.6,33.62,33.14,33.45,20194336,33.45
2017-05-11,33.72,33.82,33.48,33.63,17515568,33.63
2017-05-10,33.9,33.9,33.58,33.74,17481356,33.74
2017-05-09,34.14,34.26,33.84,33.9,18855861,33.9
2017-05-08,34.46,34.6,34.15,34.29,13232657,34.29
2017-05-05,34.25,34.4,34.07,34.39,15091765,34.39
2017-05-04,34.33,34.49,34.07,34.18,13638588,34.18
2017-05-03,34.16,34.34,34.12,34.25,14432179,34.25
2017-05-02,34.06,34.24,33.93,34.24,15983571,34.24
2017-05-01,34.11,34.14,33.81,33.97,13577289,33.97
2017-04-28,33.88,34.08,33.67,34.07,20461746,34.07
2017-04-27,34.01,34.11,33.62,33.75,26639030,33.75
2017-04-26,33.58,33.63,33.37,33.4,17949699,33.4
2017-04-25,33.39,33.52,33.35,33.42,15058776,33.42
2017-04-24,33.24,33.36,33.13,33.28,15400452,33.28
2017-04-21,32.94,32.94,32.67,32.82,13877681,32.82
2017-04-20,32.79,32.95,32.72,32.83,11927466,32.83
2017-04-19,32.8,32.89,32.61,32.65,16373804,32.65
2017-04-18,32.56,32.73,32.45,32.67,13349601,32.67
2017-04-17,32.48,32.67,32.45,32.61,11961203,32.61
2017-04-13,32.71,32.85,32.42,32.42,16234866,32.42
2017-04-12,32.86,32.96,32.5,32.62,25455074,32.62
2017-04-11,33.04,33.08,32.64,32.92,18945836,32.92
2017-04-10,32.96,33.22,32.87,33.01,14824148,33.01
2017-04-07,33.1,33.15,32.92,32.96,13942848,32.96
2017-04-06,33.0,33.28,32.89,33.08,15316812,33.08
2017-04-05,33.49,33.53,32.97,33.0,17572539,33.0
2017-04-04,33.25,33.42,32.93,33.41,18602627,33.41
2017-04-03,33.7,33.94,33.46,33.58,19367794,33.58
2017-03-31,33.72,33.88,33.66,33.8,14038491,33.8
2017-03-30,33.8,33.93,33.72,33.74,12801588,33.74
2017-03-29,34.0,34.05,33.65,33.74,16504103,33.74
2017-03-28,33.9,34.21,33.82,34.02,21179311,34.02
2017-03-27,33.82,34.03,33.75,33.99,17740630,33.99
2017-03-24,34.07,34.3,33.95,34.08,18125090,34.08
2017-03-23,34.08,34.26,33.91,33.96,16709307,33.96
2017-03-22,33.78,34.2,33.78,34.1,16646087,34.1
2017-03-21,34.45,34.47,33.78,33.88,21405952,33.88
2017-03-20,34.2,34.38,34.2,34.28,14974096,34.28
2017-03-17,34.35,34.38,34.19,34.23,26787248,34.23
2017-03-16,34.25,34.48,34.1,34.23,14521636,34.23
2017-03-15,34.07,34.35,34.05,34.24,14961684,34.24
2017-03-14,33.94,34.14,33.84,34.12,14578391,34.12
2017-03-13,34.22,34.33,34.0,34.1,16164809,34.1
2017-03-10,34.24,34.3,34.08,34.26,19038351,34.26
2017-03-09,34.04,34.11,33.87,34.07,17490190,34.07
2017-03-08,34.18,34.23,33.93,34.02,18686747,34.02
2017-03-07,34.0,34.25,33.99,34.2,21033740,34.2
2017-03-06,34.04,34.28,33.96,34.19,17605072,34.19
2017-03-03,34.42,34.44,34.23,34.29,14206428,34.29
2017-03-02,34.41,34.53,34.21,34.39,16137699,34.39
2017-03-01,34.28,34.51,34.18,34.44,22754181,34.44
2017-02-28,34.16,34.29,34.04,34.18,23093057,34.18
2017-02-27,34.21,34.32,34.12,34.26,15625416,34.26
2017-02-24,33.98,34.32,33.8,34.32,21137311,34.32
2017-02-23,34.28,34.28,33.95,34.04,17450074,34.04
2017-02-22,34.04,34.15,33.66,34.09,26632725,34.09
2017-02-21,33.69,34.21,33.66,34.13,26992666,34.13
2017-02-17,33.52,33.77,33.43,33.74,31841239,33.74
2017-02-16,33.26,33.97,33.25,33.6,50143661,33.6
2017-02-15,32.35,32.84,32.29,32.82,41169445,32.82
2017-02-14,31.9,32.31,31.77,32.31,31463500,32.31
2017-02-13,31.67,32.0,31.55,31.97,26518836,31.97
2017-02-10,31.48,31.63,31.24,31.51,21557725,31.51
2017-02-09,31.35,31.69,31.3,31.5,18706857,31.5
2017-02-08,31.46,31.55,31.25,31.27,20434263,31.27
2017-02-07,31.38,31.64,31.33,31.45,18420153,31.45
2017-02-06,31.29,31.3,31.12,31.3,16774244,31.3
2017-02-03,31.27,31.35,31.12,31.32,21288832,31.32
2017-02-02,30.69,31.26,30.52,31.18,27456740,31.18
2017-02-01,30.85,30.85,30.42,30.5,19504565,30.5
2017-01-31,30.68,30.89,30.58,30.72,16603050,30.72
2017-01-30,30.94,31.0,30.63,30.83,15481798,30.83
2017-01-27,30.76,30.98,30.63,30.98,18461937,30.98
2017-01-26,30.76,30.84,30.56,30.74,20116824,30.74
2017-01-25,31.04,31.05,30.65,30.7,25095890,30.7
2017-01-24,30.34,30.75,30.29,30.6,24934210,30.6
2017-01-23,30.14,30.3,30.08,30.27,17155297,30.27
2017-01-20,30.12,30.25,30.0,30.1,22754366,30.1
2017-01-19,30.01,30.19,29.92,29.98,16866005,29.98
2017-01-18,30.12,30.18,29.95,30.03,15724040,30.03
2017-01-17,30.0,30.25,29.84,29.99,21983537,29.99
2017-01-13,30.1,30.22,30.01,30.07,17136585,30.07
2017-01-12,30.15,30.16,29.8,30.04,18611107,30.04
2017-01-11,30.33,30.41,30.03,30.15,22291322,30.15
2017-01-10,30.19,30.55,30.1,30.38,21046041,30.38
2017-01-09,30.22,30.33,30.08,30.18,17178503,30.18
2017-01-06,30.17,30.35,30.03,30.23,15923243,30.23
2017-01-05,30.1,30.36,30.07,30.17,18372532,30.17
2017-01-04,30.24,30.42,30.02,30.1,22280992,30.1
2017-01-03,30.37,30.56,30.21,30.54,22370578,30.54
2016-12-30,30.56,30.6,30.13,30.22,20190029,30.22
2016-12-29,30.37,30.55,30.33,30.46,10995584,30.46
2016-12-28,30.7,30.77,30.35,30.42,12022231,30.42
2016-12-27,30.64,30.82,30.6,30.68,14175488,30.68
2016-12-23,30.54,30.6,30.4,30.53,9167598,30.53
2016-12-22,30.4,30.48,30.25,30.46,12935767,30.46
2016-12-21,30.69,30.69,30.41,30.42,14488949,30.42
2016-12-20,30.83,30.87,30.46,30.56,17475171,30.56
2016-12-19,30.65,30.87,30.54,30.75,18178470,30.75
2016-12-16,30.7,30.72,30.27,30.59,45875473,30.59
2016-12-15,30.59,30.8,30.5,30.63,20914063,30.63
2016-12-14,30.6,31.06,30.41,30.46,27555980,30.46
2016-12-13,30.3,30.64,30.2,30.59,25052903,30.59
2016-12-12,30.08,30.2,30.02,30.17,17287809,30.17
2016-12-09,29.98,30.07,29.73,30.06,21361984,30.06
2016-12-08,30.11,30.33,29.92,29.95,21369897,29.95
2016-12-07,29.48,30.04,29.32,29.95,30180093,29.95
2016-12-06,29.42,29.59,29.24,29.33,27352068,29.33
2016-12-05,29.33,29.6,29.29,29.53,20865842,29.53
2016-12-02,29.31,29.56,29.12,29.25,27069499,29.25
2016-12-01,29.84,29.85,29.4,29.45,25996185,29.45
2016-11-30,29.76,29.95,29.68,29.82,26224892,29.82
2016-11-29,29.94,30.1,29.79,29.83,23553735,29.83
2016-11-28,30.08,30.09,29.82,29.92,21468918,29.92
2016-11-25,29.6,30.14,29.55,30.09,17678862,30.09
2016-11-23,29.83,29.95,29.56,29.71,24496763,29.71
2016-11-22,30.08,30.19,29.85,29.89,26769272,29.89
2016-11-21,30.3,30.33,30.01,30.05,27481710,30.05
2016-11-18,30.11,30.36,30.0,30.18,38748563,30.18
2016-11-17,29.91,30.05,29.61,30.05,75252307,30.05
