Date,Open,High,Low,Close,Volume,Adj Close
2017-06-06,56.34,57.65,56.17,56.85,3598360,56.85
2017-06-05,56.24,56.9,55.82,56.65,3076641,56.65
2017-06-02,56.3,56.3,55.53,56.15,3261933,56.15
2017-06-01,55.0,56.56,54.92,56.14,3526856,56.14
2017-05-31,54.97,55.23,54.46,54.65,3638006,54.65
2017-05-30,55.3,55.49,54.47,55.17,2587567,55.17
2017-05-26,55.99,56.08,54.96,55.32,1777729,55.32
2017-05-25,55.43,56.04,54.94,55.71,2609545,55.71
2017-05-24,54.82,55.01,54.3,54.94,2166684,54.94
2017-05-23,55.64,55.66,54.37,54.68,3584358,54.68
2017-05-22,56.16,56.5,55.27,55.37,3938618,55.37
2017-05-19,55.45,56.4,55.11,56.15,3561391,56.15
2017-05-18,53.85,55.72,53.44,55.47,3286473,55.47
2017-05-17,55.44,56.12,54.84,54.89,4341640,54.89
2017-05-16,55.25,56.56,54.95,56.43,6600712,56.43
2017-05-15,55.37,55.7,54.96,55.16,4238959,55.16
2017-05-12,54.59,55.39,54.4,55.33,5376561,55.33
2017-05-11,53.86,54.79,52.72,54.15,9494386,54.15
2017-05-10,55.86,56.75,55.3,56.13,8346382,56.13
2017-05-09,53.7,55.48,53.37,55.33,8656467,55.33
2017-05-08,53.1,53.12,52.54,52.97,4129352,52.97
2017-05-05,52.31,52.72,51.73,52.68,3034957,52.68
2017-05-04,52.22,52.27,51.48,52.2,2970815,52.2
2017-05-03,53.19,53.19,51.87,52.31,2130311,52.31
2017-05-02,52.12,53.11,52.08,52.38,4814183,52.38
2017-05-01,52.22,52.5,50.45,52.08,5937234,52.08
2017-04-28,50.3,50.57,49.94,50.51,4166596,50.51
2017-04-27,49.8,50.39,49.55,50.24,4290200,50.24
2017-04-26,49.43,49.75,48.65,49.64,3836302,49.64
2017-04-25,48.48,49.51,48.29,49.1,5011307,49.1
2017-04-24,47.96,48.04,47.37,47.55,4004949,47.55
2017-04-21,47.17,47.46,46.98,47.16,4305747,47.16
2017-04-20,47.62,48.21,47.0,47.02,6063217,47.02
2017-04-19,49.41,50.15,46.64,47.15,14684334,47.15
2017-04-18,48.21,49.4,48.2,48.98,3290457,48.98
2017-04-17,48.29,48.79,48.28,48.61,1712778,48.61
2017-04-13,48.59,49.21,48.24,48.29,2003560,48.29
2017-04-12,48.96,49.08,48.56,48.59,2700555,48.59
2017-04-11,49.92,50.43,48.39,48.9,3533562,48.9
2017-04-10,50.11,50.61,49.67,49.85,3741990,49.85
2017-04-07,49.04,50.77,48.88,50.09,4656931,50.09
2017-04-06,49.02,49.28,48.86,49.13,1778424,49.13
2017-04-05,49.65,49.7,48.84,48.99,3014461,48.99
2017-04-04,49.52,49.79,49.14,49.39,3243786,49.39
2017-04-03,49.48,49.74,49.22,49.52,2877958,49.52
2017-03-31,49.55,49.55,48.7,49.15,4028092,49.15
2017-03-30,49.69,49.88,49.4,49.69,2230341,49.69
2017-03-29,49.43,49.79,48.97,49.69,2464008,49.69
2017-03-28,49.27,49.84,48.89,49.53,2542154,49.53
2017-03-27,48.88,49.4,48.46,49.29,2010511,49.29
2017-03-24,48.99,49.42,48.74,49.18,4078014,49.18
2017-03-23,48.07,49.07,47.97,48.62,5499067,48.62
2017-03-22,48.05,48.25,47.59,48.2,2841201,48.2
2017-03-21,49.8,50.16,47.79,48.04,6671416,48.04
2017-03-20,49.03,49.9,48.92,49.76,3284893,49.76
2017-03-17,49.24,49.25,48.64,49.06,3058524,49.06
2017-03-16,49.19,49.33,48.83,49.0,3198848,49.0
2017-03-15,49.31,49.66,48.24,48.66,3878417,48.66
2017-03-14,48.72,49.75,48.46,49.37,3091383,49.37
2017-03-13,48.29,49.6,48.29,48.99,4942625,48.99
2017-03-10,47.26,48.33,47.26,48.27,3496040,48.27
2017-03-09,47.19,47.57,46.7,47.17,3112249,47.17
2017-03-08,47.45,47.97,47.06,47.35,3334291,47.35
2017-03-07,47.5,47.77,47.29,47.45,2288786,47.45
2017-03-06,47.79,47.79,47.29,47.51,2131391,47.51
2017-03-03,47.42,47.98,47.3,47.82,2800356,47.82
2017-03-02,47.5,47.98,47.02,47.67,2987602,47.67
2017-03-01,47.8,47.98,47.32,47.87,3151240,47.87
2017-02-28,47.79,48.2,47.25,47.44,4758022,47.44
2017-02-27,48.31,48.5,47.8,48.28,4558839,48.28
2017-02-24,47.9,48.77,47.9,48.54,5069116,48.54
2017-02-23,50.0,50.37,47.91,48.28,12738221,48.28
2017-02-22,47.44,48.0,46.56,47.59,8141212,47.59
2017-02-21,45.85,47.3,45.65,47.06,6725512,47.06
2017-02-17,45.51,45.85,45.14,45.63,3304026,45.63
2017-02-16,45.75,45.75,44.91,45.51,3346963,45.51
2017-02-15,45.16,45.62,44.9,45.46,2872767,45.46
2017-02-14,45.09,45.27,44.6,45.07,7140219,45.07
2017-02-13,44.75,45.28,44.69,44.95,3835738,44.95
2017-02-10,43.85,45.06,43.59,44.49,4856232,44.49
2017-02-09,43.4,43.79,43.03,43.39,3254668,43.39
2017-02-08,43.39,43.39,42.58,43.11,2795971,43.11
2017-02-07,43.21,43.25,42.86,42.91,2162803,42.91
2017-02-06,43.12,43.24,42.83,43.05,2190246,43.05
2017-02-03,42.99,43.05,42.54,42.9,1548197,42.9
2017-02-02,43.0,43.08,42.6,42.79,1925180,42.79
2017-02-01,43.59,43.59,42.57,43.01,2788932,43.01
2017-01-31,43.24,43.63,43.04,43.21,2995969,43.21
2017-01-30,43.35,43.52,42.75,43.4,2279610,43.4
2017-01-27,43.53,43.9,43.39,43.4,2131312,43.4
2017-01-26,43.97,44.0,43.01,43.38,3592358,43.38
2017-01-25,44.0,44.07,43.36,43.62,2590586,43.62
2017-01-24,43.3,44.09,43.3,43.88,2773234,43.88
2017-01-23,43.39,43.4,43.03,43.29,2502804,43.29
2017-01-20,43.58,43.77,43.31,43.36,1869066,43.36
2017-01-19,43.46,44.03,43.29,43.54,2029330,43.54
2017-01-18,44.29,44.3,43.51,43.99,2504333,43.99
2017-01-17,43.52,44.67,43.12,44.17,4858777,44.17
2017-01-13,43.5,43.84,43.26,43.53,1673864,43.53
2017-01-12,43.79,44.24,42.64,43.36,2664834,43.36
2017-01-11,43.76,43.99,43.13,43.97,2448395,43.97
2017-01-10,43.41,43.78,43.3,43.71,2582390,43.71
2017-01-09,42.81,43.66,42.59,43.24,3005866,43.24
2017-01-06,42.5,42.8,41.81,42.5,3133973,42.5
2017-01-05,41.9,43.0,41.71,42.8,4842396,42.8
2017-01-04,40.89,41.69,40.66,41.34,5872847,41.34
2017-01-03,40.88,41.1,40.4,40.49,4544338,40.49
2016-12-30,40.42,40.8,39.88,40.0,3530248,40.0
2016-12-29,40.01,40.11,39.8,39.99,2573340,39.99
2016-12-28,40.2,40.43,39.83,39.97,2620788,39.97
2016-12-27,40.0,40.62,39.89,40.15,2422379,40.15
2016-12-23,40.0,40.17,39.71,39.98,2309301,39.98
2016-12-22,40.33,40.53,40.0,40.07,3745053,40.07
2016-12-21,41.0,41.16,40.63,40.7,2903811,40.7
2016-12-20,40.96,41.37,40.71,40.81,2142473,40.81
2016-12-19,40.98,41.15,40.46,40.86,4539662,40.86
2016-12-16,41.56,41.6,40.9,41.0,4719182,41.0
2016-12-15,41.69,41.74,41.02,41.33,2989721,41.33
2016-12-14,42.47,42.53,41.88,41.97,4429911,41.97
2016-12-13,42.92,43.15,42.28,42.61,2603516,42.61
2016-12-12,43.2,43.38,42.16,42.62,3525024,42.62
2016-12-09,43.26,43.8,42.74,43.43,2328609,43.43
2016-12-08,43.0,43.24,42.34,43.17,3298634,43.17
2016-12-07,42.65,43.04,41.93,42.85,2885178,42.85
2016-12-06,43.18,43.49,42.14,42.38,3668455,42.38
2016-12-05,44.08,44.46,42.91,42.97,4105750,42.97
2016-12-02,44.62,45.02,43.46,44.01,5794983,44.01
2016-12-01,45.3,45.78,44.61,44.83,6247521,44.83
2016-11-30,46.15,46.33,45.09,45.23,5036159,45.23
2016-11-29,44.51,45.96,44.42,45.87,7527201,45.87
2016-11-28,45.0,45.05,44.24,44.74,6854490,44.74
2016-11-25,45.01,46.27,44.75,45.01,15764816,45.01
2016-11-23,42.19,42.19,40.59,40.99,6645876,40.99
2016-11-22,42.5,42.5,41.56,41.87,3874970,41.87
2016-11-21,42.02,42.62,41.64,42.26,3785065,42.26
2016-11-18,42.31,42.73,41.46,42.02,2409811,42.02
2016-11-17,42.01,42.65,42.0,42.31,2165076,42.31
2016-11-16,40.78,42.33,40.32,42.16,3641598,42.16
2016-11-15,41.37,42.1,41.0,42.02,7057927,42.02
2016-11-14,41.37,41.56,40.24,40.62,2919885,40.62
2016-11-11,40.7,41.25,40.02,41.1,7053474,41.1
2016-11-10,43.01,43.85,40.84,40.98,5428504,40.98
2016-11-09,42.75,43.5,41.99,42.29,4180852,42.29
2016-11-08,43.67,44.05,43.05,43.57,2286234,43.57
2016-11-07,43.24,44.04,43.14,43.54,3379154,43.54
2016-11-04,42.0,42.73,41.84,42.44,2784395,42.44
2016-11-03,42.31,43.04,42.26,42.45,2182247,42.45
2016-11-02,43.64,43.68,42.02,42.34,4871923,42.34
2016-11-01,44.39,44.42,42.95,43.41,3677577,43.41
2016-10-31,44.77,45.09,43.98,44.15,4268689,44.15
2016-10-28,45.3,46.2,44.51,44.73,3655198,44.73
2016-10-27,45.47,46.91,44.77,45.47,5360111,45.47
2016-10-26,48.0,48.02,46.62,46.69,2926323,46.69
2016-10-25,48.2,49.62,47.89,48.0,4683513,48.0
2016-10-24,47.66,48.41,47.66,48.2,3105312,48.2
2016-10-21,47.14,47.7,46.94,47.61,1492935,47.61
2016-10-20,47.25,47.42,46.81,47.25,2139201,47.25
2016-10-19,47.13,47.52,47.13,47.24,2168973,47.24
2016-10-18,46.96,47.82,46.75,47.06,3757350,47.06
2016-10-17,46.65,46.7,46.18,46.29,1755892,46.29
2016-10-14,46.99,47.45,46.5,46.57,2211567,46.57
2016-10-13,45.85,46.35,45.23,46.31,4196703,46.31
2016-10-12,46.62,47.13,46.23,46.35,3083931,46.35
2016-10-11,47.94,47.96,46.48,46.77,4292262,46.77
2016-10-10,47.0,48.5,46.76,48.16,3676623,48.16
2016-10-07,47.54,47.58,46.95,47.08,2363957,47.08
2016-10-06,47.62,47.78,46.7,47.59,6678171,47.59
2016-10-05,47.29,47.68,47.05,47.45,4740634,47.45
2016-10-04,47.03,47.3,46.62,47.03,3626481,47.03
2016-10-03,46.57,47.03,46.44,46.95,3493004,46.95
2016-09-30,46.8,46.99,46.46,46.57,3303616,46.57
2016-09-29,46.66,47.25,46.63,46.79,3761722,46.79
2016-09-28,46.18,47.0,46.13,46.95,3083166,46.95
2016-09-27,45.76,46.28,45.51,46.25,3012481,46.25
2016-09-26,45.76,46.05,45.41,45.55,3045080,45.55
2016-09-23,46.0,46.34,45.75,46.02,4894676,46.02
2016-09-22,45.35,46.11,45.35,46.1,6894502,46.1
2016-09-21,44.42,45.5,44.15,45.33,5957466,45.33
2016-09-20,43.77,44.3,43.77,44.09,3482988,44.09
2016-09-19,43.99,44.28,43.63,43.77,3290177,43.77
2016-09-16,43.75,43.81,43.13,43.67,3922677,43.67
2016-09-15,43.15,43.97,42.71,43.75,5412939,43.75
2016-09-14,42.88,43.51,42.65,42.83,4269624,42.83
2016-09-13,44.32,44.48,42.76,43.08,5216392,43.08
2016-09-12,43.47,44.46,43.13,44.32,5272717,44.32
2016-09-09,45.1,45.2,43.71,44.14,10301968,44.14
2016-09-08,45.09,45.88,44.9,45.36,9093249,45.36
2016-09-07,45.63,45.82,44.75,44.95,18836319,44.95
2016-09-06,46.5,47.25,44.85,45.96,13945333,45.96
2016-09-02,48.85,49.43,47.64,47.9,6345471,47.9
2016-09-01,47.05,49.16,46.98,48.96,11643392,48.96
2016-08-31,47.57,47.72,47.0,47.35,4571633,47.35
2016-08-30,47.45,47.93,47.11,47.35,2633839,47.35
2016-08-29,47.45,47.5,46.8,47.14,2643200,47.14
2016-08-26,46.54,47.85,46.4,47.44,5270649,47.44
2016-08-25,45.89,46.66,45.8,46.34,3899900,46.34
2016-08-24,46.04,46.4,45.71,45.82,2566696,45.82
2016-08-23,45.83,46.6,45.68,45.94,2111881,45.94
2016-08-22,46.3,46.35,45.65,45.82,2570600,45.82
2016-08-19,46.25,46.33,45.8,46.16,2844211,46.16
2016-08-18,46.26,46.47,45.5,46.29,3633962,46.29
2016-08-17,46.46,46.52,46.01,46.38,2560225,46.38
2016-08-16,47.0,47.15,46.06,46.46,3961529,46.46
2016-08-15,46.6,47.52,46.6,46.98,5042477,46.98
2016-08-12,45.82,46.6,45.69,46.39,4503526,46.39
2016-08-11,45.84,46.21,45.54,45.89,3778235,45.89
2016-08-10,45.24,45.85,45.08,45.53,4438247,45.53
2016-08-09,43.91,45.4,43.76,45.16,7737496,45.16
2016-08-08,42.97,43.9,42.9,43.89,3420221,43.89
2016-08-05,43.35,43.5,43.0,43.05,2974231,43.05
2016-08-04,42.5,43.06,42.39,42.94,2299518,42.94
2016-08-03,42.67,42.77,42.19,42.5,2755473,42.5
2016-08-02,43.0,43.16,42.03,42.56,2999096,42.56
2016-08-01,43.59,43.79,42.99,43.09,3899662,43.09
2016-07-29,43.75,43.83,42.78,43.67,3373410,43.67
2016-07-28,43.91,43.99,43.38,43.79,2731146,43.79
2016-07-27,43.99,44.12,43.68,43.97,2954627,43.97
2016-07-26,43.52,44.1,43.46,44.0,3603861,44.0
