Date,Open,High,Low,Close,Volume,Adj Close
2017-06-06,103.11,104.45,102.76,104.17,4652370,104.17
2017-06-05,102.8,103.58,102.63,103.19,4523327,103.19
2017-06-02,103.82,103.94,102.77,103.11,5864040,103.11
2017-06-01,103.69,104.28,103.43,104.27,4769435,104.27
2017-05-31,103.55,103.89,103.07,103.48,8037936,103.48
2017-05-30,104.35,104.71,103.75,104.06,4287956,104.06
2017-05-26,105.05,105.28,104.6,104.72,3752505,104.72
2017-05-25,106.1,106.71,104.72,105.11,5293827,105.11
2017-05-24,106.1,106.36,105.72,106.22,3475871,106.22
2017-05-23,106.07,106.56,105.98,106.27,3457120,106.27
2017-05-22,107.09,107.09,105.75,106.12,4491135,106.12
2017-05-19,105.52,106.52,105.17,106.52,8383478,106.52
2017-05-18,104.55,105.68,103.84,105.17,5618081,105.17
2017-05-17,105.53,106.27,104.62,104.7,6384265,104.7
2017-05-16,107.57,107.66,106.94,107.25,5001388,107.25
2017-05-15,107.15,107.71,106.68,106.85,6647534,106.85
2017-05-12,106.06,106.29,105.48,105.96,4488164,105.96
2017-05-11,107.08,107.08,105.63,106.21,4632113,106.21
2017-05-10,105.82,106.83,105.54,106.5,5582820,106.5
2017-05-09,106.51,106.75,104.82,105.08,5023973,105.08
2017-05-08,105.93,106.72,105.82,106.68,5175129,106.68
2017-05-05,104.92,105.88,104.7,105.79,5060047,105.79
2017-05-04,106.24,106.33,104.14,104.81,8039883,104.81
2017-05-03,105.36,107.26,105.13,106.72,5662953,106.72
2017-05-02,106.11,106.53,105.09,105.36,5112150,105.36
2017-05-01,106.26,106.73,105.76,105.92,4955462,105.92
2017-04-28,107.05,107.6,105.99,106.7,6848413,106.7
2017-04-27,105.96,105.98,104.67,105.47,5781839,105.47
2017-04-26,106.4,107.48,105.97,106.08,6687389,106.08
2017-04-25,106.3,106.97,106.18,106.73,4618984,106.73
2017-04-24,105.79,106.41,105.37,105.93,4538203,105.93
2017-04-21,104.8,105.43,104.29,104.89,5432604,104.89
2017-04-20,104.4,105.69,104.36,104.88,4988080,104.88
2017-04-19,105.89,106.14,103.83,104.23,6667880,104.23
2017-04-18,105.81,106.68,105.32,105.68,4252670,105.68
2017-04-17,106.17,106.48,105.65,106.17,5278826,106.17
2017-04-13,108.64,108.74,105.93,106.1,6894792,106.1
2017-04-12,109.36,109.36,108.45,108.97,5053297,108.97
2017-04-11,109.53,109.54,108.06,108.97,3956487,108.97
2017-04-10,109.12,110.2,108.97,109.43,4812093,109.43
2017-04-07,109.38,109.58,108.66,108.86,4889422,108.86
2017-04-06,109.12,109.65,108.75,109.29,3934462,109.29
2017-04-05,109.65,110.67,108.56,108.64,6398830,108.64
2017-04-04,107.88,108.72,107.01,108.66,4687432,108.66
2017-04-03,107.22,107.97,106.38,107.8,5800883,107.8
2017-03-31,107.7,108.14,107.05,107.37,6158992,107.37
2017-03-30,108.15,108.68,107.2,107.78,6797658,107.78
