Date,Open,High,Low,Close,Volume,Adj Close
2017-06-06,35.35,35.95,35.15,35.8,130429,35.8
2017-06-05,35.65,36.05,35.4,35.5,74195,35.5
2017-06-02,35.7,36.25,35.5,35.75,143737,35.75
2017-06-01,34.6,35.55,34.5,35.5,121225,35.5
2017-05-31,34.55,34.85,34.22,34.65,79865,34.65
2017-05-30,34.4,34.7,34.15,34.4,65682,34.4
2017-05-26,34.85,34.95,34.4,34.45,70368,34.45
2017-05-25,34.4,34.95,34.25,34.85,159129,34.85
2017-05-24,34.65,35.25,34.3,34.3,87841,34.3
2017-05-23,34.1,34.65,33.93,34.6,179660,34.6
2017-05-22,34.2,34.45,33.85,33.9,182053,33.9
2017-05-19,33.7,34.3,33.45,34.2,194093,34.2
2017-05-18,33.8,34.1,33.3,33.6,161152,33.6
2017-05-17,33.9,34.1,33.5,33.8,162422,33.8
2017-05-16,34.65,34.65,34.05,34.35,138398,34.35
2017-05-15,34.3,34.7,34.2,34.5,146593,34.5
2017-05-12,34.2,34.35,33.85,34.1,83545,34.1
2017-05-11,34.05,34.2,33.55,34.15,104667,34.15
2017-05-10,33.25,34.35,33.25,34.15,146814,34.15
2017-05-09,34.1,34.15,32.75,33.25,302185,33.25
2017-05-08,34.9,35.25,34.05,34.2,135472,34.2
2017-05-05,34.6,35.15,34.6,34.9,159819,34.9
2017-05-04,34.95,35.0,34.15,34.55,121543,34.55
2017-05-03,35.75,35.75,34.9,35.15,160388,35.15
2017-05-02,35.45,35.8,35.35,35.8,242785,35.8
2017-05-01,35.9,36.0,35.15,35.4,131852,35.4
2017-04-28,37.0,37.05,35.5,35.7,228975,35.7
2017-04-27,37.3,39.4,37.15,37.15,226032,37.15
2017-04-26,37.7,38.65,37.25,38.3,189392,38.3
2017-04-25,37.45,37.82,37.4,37.65,124523,37.65
2017-04-24,37.6,37.95,37.4,37.4,193532,37.4
2017-04-21,36.85,37.6,36.85,37.35,179853,37.35
2017-04-20,36.75,36.95,36.5,36.9,136192,36.9
2017-04-19,36.95,36.95,36.6,36.75,152343,36.75
2017-04-18,36.85,36.95,36.55,36.8,156510,36.8
2017-04-17,36.6,36.9,36.4,36.85,130354,36.85
2017-04-13,36.85,36.9,36.35,36.35,113824,36.35
2017-04-12,36.7,36.85,36.2,36.8,96018,36.8
2017-04-11,36.1,36.8,35.95,36.6,133695,36.6
2017-04-10,35.95,36.15,35.75,36.15,107314,36.15
2017-04-07,36.05,36.35,35.9,35.9,159929,35.9
2017-04-06,35.95,36.02,35.25,36.0,173717,36.0
2017-04-05,35.25,36.08,35.2,36.05,222946,36.05
2017-04-04,35.0,35.6,35.0,35.4,159178,35.4
2017-04-03,36.0,36.0,34.8,34.95,212518,34.95
2017-03-31,35.0,35.95,35.0,35.85,290227,35.85
2017-03-30,35.0,35.15,34.6,35.05,157432,35.05
2017-03-29,34.55,35.15,34.32,35.0,121975,35.0
2017-03-28,34.55,34.55,34.05,34.55,287481,34.55
2017-03-27,35.05,35.2,34.45,34.7,151285,34.7
2017-03-24,34.8,35.3,34.7,35.05,147886,35.05
2017-03-23,34.9,35.5,34.6,34.8,164555,34.8
2017-03-22,35.05,35.2,34.5,34.9,141582,34.9
2017-03-21,34.9,35.35,34.55,34.9,166251,34.9
2017-03-20,34.9,35.15,34.6,34.9,166075,34.9
2017-03-17,34.45,35.05,34.35,34.75,655309,34.75
2017-03-16,34.95,34.95,34.3,34.45,301475,34.45
2017-03-15,34.55,35.3,34.55,34.9,441314,34.9
2017-03-14,34.5,34.55,34.25,34.45,130924,34.45
2017-03-13,34.3,34.8,34.3,34.55,135342,34.55
2017-03-10,34.55,34.6,34.15,34.45,161843,34.45
2017-03-09,34.45,34.86,34.3,34.3,121753,34.3
2017-03-08,35.65,35.65,34.5,34.55,139223,34.55
2017-03-07,36.0,36.15,35.65,35.65,146522,35.65
2017-03-06,36.35,36.45,36.0,36.0,121952,36.0
2017-03-03,37.15,37.2,36.2,36.5,157580,36.5
2017-03-02,36.95,37.5,36.37,37.1,174534,37.1
2017-03-01,36.8,37.35,36.6,37.0,313734,37.0
2017-02-28,36.9,37.08,36.6,36.75,229013,36.75
2017-02-27,36.95,37.32,36.7,36.95,232852,36.95
2017-02-24,36.25,37.6,35.05,37.0,366696,37.0
2017-02-23,35.6,37.6,35.3,37.6,238154,37.6
2017-02-22,35.6,35.6,35.15,35.5,107276,35.5
2017-02-21,34.9,35.55,34.73,35.55,139360,35.55
2017-02-17,34.7,35.1,34.25,34.9,523661,34.9
2017-02-16,34.65,34.85,34.25,34.6,147209,34.6
2017-02-15,34.1,34.75,33.92,34.75,127858,34.75
2017-02-14,35.15,35.15,34.35,34.45,180002,34.45
2017-02-13,34.55,35.05,34.4,35.0,135915,35.0
2017-02-10,34.25,34.75,34.1,34.65,93317,34.65
2017-02-09,33.75,34.2,33.7,34.15,100217,34.15
2017-02-08,33.6,34.15,33.55,33.85,93725,33.85
2017-02-07,33.75,33.9,33.4,33.8,101899,33.8
2017-02-06,34.0,34.1,33.62,33.75,196666,33.75
2017-02-03,34.05,34.15,33.7,34.0,140823,34.0
2017-02-02,33.5,34.15,33.5,33.9,133230,33.9
2017-02-01,34.45,34.65,33.55,33.65,160210,33.65
2017-01-31,34.0,34.6,33.75,34.5,159896,34.5
2017-01-30,34.7,34.7,33.9,33.95,144927,33.95
2017-01-27,35.0,35.0,34.45,34.75,113517,34.75
2017-01-26,35.2,35.5,34.75,34.85,162186,34.85
2017-01-25,34.3,35.15,34.05,35.1,243675,35.1
2017-01-24,33.55,34.22,33.4,34.05,147289,34.05
2017-01-23,33.45,33.71,33.3,33.55,107736,33.55
2017-01-20,32.9,33.6,32.9,33.4,170521,33.4
2017-01-19,32.9,33.1,32.68,32.95,134421,32.95
2017-01-18,32.95,33.2,32.78,33.1,119038,33.1
2017-01-17,32.9,33.2,32.85,33.05,91204,33.05
2017-01-13,32.75,33.0,32.65,33.0,146722,33.0
2017-01-12,33.25,33.35,32.55,32.65,110376,32.65
2017-01-11,32.9,33.45,32.9,33.35,184528,33.35
2017-01-10,32.6,33.1,32.45,33.0,177038,33.0
2017-01-09,33.5,33.5,32.45,32.5,162611,32.5
2017-01-06,33.95,34.1,33.4,33.45,164992,33.45
2017-01-05,34.25,34.25,33.8,34.0,167422,34.0
2017-01-04,33.6,34.3,33.6,34.3,287978,34.3
2017-01-03,34.0,34.0,33.45,33.75,225592,33.75
2016-12-30,34.3,34.3,33.8,33.9,141536,33.9
2016-12-29,33.95,34.4,33.95,34.3,138561,34.3
2016-12-28,34.75,34.75,33.85,33.95,129271,33.95
