Date,Open,High,Low,Close,Volume,Adj Close
2017-06-06,61.96,62.97,61.8,61.97,820345,61.97
2017-06-05,62.5,63.34,62.31,62.35,687346,62.35
2017-06-02,62.37,63.0,62.02,62.68,650747,62.68
2017-06-01,62.03,62.64,61.43,62.43,1516831,62.43
2017-05-31,62.68,63.0,61.69,62.01,941457,62.01
2017-05-30,63.27,63.65,62.0,62.52,909501,62.52
2017-05-26,63.86,64.89,63.05,63.56,1204778,63.56
2017-05-25,62.0,66.86,61.77,64.15,3426480,64.15
2017-05-24,60.97,62.04,60.85,61.96,2070219,61.96
2017-05-23,60.44,60.65,59.8,60.22,538825,60.22
2017-05-22,60.21,60.91,59.5,60.44,1249837,60.44
2017-05-19,60.0,60.89,59.47,60.34,1130257,60.34
2017-05-18,59.88,60.91,59.61,59.69,986763,59.69
2017-05-17,60.75,61.34,60.17,60.23,1173088,60.23
2017-05-16,61.93,62.79,61.35,61.98,1175798,61.98
2017-05-15,60.85,62.42,60.75,61.93,2588005,61.93
2017-05-12,60.37,60.98,60.02,60.72,641665,60.72
2017-05-11,60.45,61.0,60.0,60.31,1079343,60.31
2017-05-10,59.92,60.75,59.42,60.48,717805,60.48
2017-05-09,60.1,61.22,59.8,60.08,1975935,60.08
2017-05-08,59.53,60.55,59.44,60.05,2400977,60.05
2017-05-05,58.23,60.75,57.99,60.44,2228502,60.44
2017-05-04,61.89,63.34,57.65,58.05,5166314,58.05
2017-05-03,54.48,55.12,54.21,54.7,1918032,54.7
2017-05-02,54.16,54.84,53.65,54.78,1203102,54.78
2017-05-01,53.75,54.24,53.5,54.11,817505,54.11
2017-04-28,53.43,53.88,53.22,53.68,610777,53.68
2017-04-27,53.8,54.12,53.35,53.48,739135,53.48
2017-04-26,53.62,53.95,53.03,53.65,591885,53.65
2017-04-25,54.37,54.42,53.62,53.63,777433,53.63
2017-04-24,54.36,54.57,53.0,53.98,1349487,53.98
2017-04-21,54.42,55.36,53.75,54.09,1361829,54.09
2017-04-20,53.63,54.03,52.84,53.98,852488,53.98
2017-04-19,52.72,53.41,52.58,53.27,713482,53.27
2017-04-18,51.26,52.6,50.81,52.52,1145777,52.52
2017-04-17,50.61,51.15,50.61,51.07,842270,51.07
2017-04-13,50.84,51.23,50.47,50.6,514347,50.6
2017-04-12,50.86,51.34,50.62,50.86,709019,50.86
2017-04-11,50.31,51.0,50.29,50.99,653966,50.99
2017-04-10,50.63,50.97,50.4,50.48,435048,50.48
2017-04-07,50.8,51.0,50.37,50.66,558562,50.66
2017-04-06,49.78,50.86,49.24,50.83,1229086,50.83
2017-04-05,50.22,50.77,49.8,49.86,815818,49.86
2017-04-04,49.55,50.48,49.55,49.99,861202,49.99
2017-04-03,49.64,50.28,49.41,49.71,1220230,49.71
2017-03-31,49.38,50.52,49.2,49.55,1253154,49.55
2017-03-30,48.7,49.27,48.66,48.96,1299962,48.96
2017-03-29,48.21,48.89,48.05,48.83,551498,48.83
2017-03-28,48.11,48.52,48.01,48.25,1446575,48.25
2017-03-27,47.83,48.44,47.56,48.19,1033868,48.19
2017-03-24,47.99,48.69,47.57,48.41,736626,48.41
2017-03-23,48.06,48.11,47.5,47.82,776088,47.82
2017-03-22,47.6,48.19,47.3,48.11,757855,48.11
2017-03-21,49.16,49.16,47.49,47.6,1013619,47.6
2017-03-20,49.19,49.27,48.86,49.02,615142,49.02
2017-03-17,49.82,49.85,48.97,49.1,818013,49.1
2017-03-16,49.69,49.87,49.41,49.46,442311,49.46
2017-03-15,49.13,49.63,48.72,49.42,1704875,49.42
2017-03-14,48.71,49.17,48.17,49.09,696654,49.09
2017-03-13,48.83,49.07,48.43,48.94,1012577,48.94
2017-03-10,49.91,50.08,48.24,48.83,1103461,48.83
2017-03-09,49.63,50.11,49.17,49.45,1081106,49.45
2017-03-08,50.41,50.84,49.75,49.84,864413,49.84
2017-03-07,50.88,51.38,49.45,50.16,2296468,50.16
2017-03-06,51.44,51.76,50.73,51.02,1708483,51.02
2017-03-03,51.85,52.21,51.58,52.14,718345,52.14
2017-03-02,53.05,53.38,51.98,51.99,879352,51.99
2017-03-01,53.25,53.42,52.07,53.28,997769,53.28
2017-02-28,52.74,53.33,52.22,52.74,738826,52.74
2017-02-27,52.98,53.66,52.58,53.58,1033250,53.58
2017-02-24,52.78,53.33,52.27,53.26,1003537,53.26
2017-02-23,54.13,54.16,53.24,53.37,1053109,53.37
2017-02-22,54.78,55.09,53.95,54.03,640376,54.03
2017-02-21,54.32,55.16,54.14,55.12,1074364,55.12
2017-02-17,53.6,54.68,53.3,54.62,758253,54.62
2017-02-16,55.2,55.66,53.78,54.06,1773781,54.06
2017-02-15,53.95,55.2,53.86,55.01,2136472,55.01
2017-02-14,53.74,54.08,53.3,54.08,1021587,54.08
2017-02-13,54.03,54.36,53.5,53.81,1125238,53.81
2017-02-10,54.04,54.21,53.66,53.76,1046363,53.76
2017-02-09,54.0,54.49,53.6,54.0,900923,54.0
2017-02-08,53.68,54.81,53.68,53.94,1147925,53.94
2017-02-07,54.0,54.46,52.68,53.58,2950373,53.58
2017-02-06,55.0,56.07,54.01,54.12,3333963,54.12
2017-02-03,55.43,57.3,54.69,55.28,7180297,55.28
2017-02-02,48.08,49.39,47.82,48.21,2846582,48.21
2017-02-01,48.1,48.59,47.54,48.46,1778456,48.46
2017-01-31,47.21,47.86,47.01,47.84,640633,47.84
2017-01-30,47.75,47.75,46.76,47.73,691409,47.73
2017-01-27,48.39,48.58,47.77,48.14,776360,48.14
2017-01-26,48.34,48.8,47.82,48.21,2075067,48.21
2017-01-25,47.35,48.35,47.09,47.84,1440600,47.84
2017-01-24,46.39,46.67,45.26,46.45,1102491,46.45
2017-01-23,44.41,44.89,44.13,44.71,540354,44.71
2017-01-20,44.95,45.01,44.45,44.9,596887,44.9
2017-01-19,44.69,44.99,44.16,44.83,765507,44.83
2017-01-18,44.31,44.58,44.07,44.5,634121,44.5
2017-01-17,45.0,45.0,44.02,44.25,568414,44.25
2017-01-13,45.0,45.28,44.74,45.06,457163,45.06
2017-01-12,45.2,45.2,43.83,44.77,772048,44.77
2017-01-11,45.17,45.65,44.63,45.2,748941,45.2
2017-01-10,45.37,45.51,44.5,45.19,776883,45.19
2017-01-09,45.02,45.46,44.67,45.24,780252,45.24
2017-01-06,44.99,45.29,44.79,44.98,694057,44.98
2017-01-05,44.51,45.3,44.2,44.81,1096759,44.81
2017-01-04,43.4,45.29,43.33,45.06,1688570,45.06
2017-01-03,41.65,44.15,41.65,43.32,1195872,43.32
2016-12-30,41.81,42.34,41.61,42.15,770490,42.15
2016-12-29,41.71,42.02,41.41,41.68,564440,41.68
2016-12-28,42.79,42.96,41.61,41.84,622371,41.84
2016-12-27,42.14,43.13,42.14,42.71,423970,42.71
2016-12-23,41.6,42.16,41.51,42.12,485104,42.12
2016-12-22,42.28,42.46,41.55,41.67,908784,41.67
2016-12-21,42.85,42.93,41.83,42.35,1332800,42.35
2016-12-20,43.21,43.68,42.42,42.66,890407,42.66
2016-12-19,44.03,44.22,42.96,43.09,1007102,43.09
2016-12-16,44.15,44.75,43.79,44.02,722356,44.02
2016-12-15,43.78,44.87,43.71,44.22,701502,44.22
2016-12-14,44.85,44.85,43.78,43.99,901810,43.99
2016-12-13,44.72,46.08,44.53,45.0,901802,45.0
2016-12-12,45.81,45.94,44.12,44.84,944888,44.84
2016-12-09,45.79,46.97,45.52,45.95,973766,45.95
2016-12-08,45.64,46.06,45.26,45.65,581538,45.65
2016-12-07,45.18,46.08,44.77,45.57,869496,45.57
2016-12-06,45.39,45.8,44.95,45.36,1101458,45.36
2016-12-05,44.54,45.93,44.39,45.42,1119013,45.42
2016-12-02,42.44,44.55,42.24,44.34,1264022,44.34
2016-12-01,44.79,45.44,43.25,44.18,1366292,44.18
2016-11-30,45.9,45.95,44.6,44.88,651796,44.88
2016-11-29,45.7,46.02,45.1,45.37,782802,45.37
2016-11-28,46.96,47.47,45.52,45.72,715676,45.72
2016-11-25,46.86,47.21,46.15,47.02,286321,47.02
2016-11-23,47.06,47.32,46.64,46.86,600224,46.86
2016-11-22,46.98,47.68,46.64,47.43,683214,47.43
2016-11-21,46.59,47.31,46.29,47.25,761342,47.25
2016-11-18,47.73,47.87,46.03,46.47,1028403,46.47
2016-11-17,45.79,47.7,45.47,47.2,1206302,47.2
2016-11-16,46.33,46.72,45.74,45.95,1151592,45.95
2016-11-15,46.12,47.0,45.6,46.55,1157949,46.55
2016-11-14,47.83,47.99,45.72,46.0,1647819,46.0
2016-11-11,47.07,47.55,46.19,47.41,1227202,47.41
2016-11-10,47.59,48.68,46.3,47.32,1413544,47.32
2016-11-09,44.97,47.72,44.91,46.98,1366554,46.98
2016-11-08,45.58,46.48,45.01,46.2,972496,46.2
2016-11-07,45.58,46.44,45.12,45.65,1100956,45.65
2016-11-04,43.77,45.54,43.77,44.7,2010389,44.7
2016-11-03,43.14,44.15,42.7,43.59,1922604,43.59
2016-11-02,44.23,45.72,42.82,43.51,8043467,43.51
2016-11-01,48.05,49.65,48.03,49.51,3702438,49.51
