Date,Open,High,Low,Close,Volume,Adj Close
2017-06-06,17.29,17.42,17.24,17.33,3064337,17.33
2017-06-05,17.44,17.64,17.44,17.5,1833403,17.5
2017-06-02,17.72,17.72,17.51,17.66,4691288,17.66
2017-06-01,17.53,17.68,17.42,17.65,5372119,17.65
2017-05-31,18.05,18.05,17.46,17.48,8561433,17.48
2017-05-30,18.1,18.16,17.95,17.97,4690600,17.97
2017-05-26,18.56,18.61,18.38,18.46,3519982,18.46
2017-05-25,18.87,19.03,18.74,18.85,4318012,18.85
2017-05-24,19.09,19.12,18.81,18.94,5418332,18.94
2017-05-23,19.25,19.3,19.1,19.25,3645023,19.25
2017-05-22,19.28,19.34,19.02,19.12,3776078,19.12
2017-05-19,18.88,19.21,18.86,19.04,5412313,19.04
2017-05-18,18.72,18.86,18.58,18.68,4817905,18.68
2017-05-17,18.92,18.99,18.53,18.64,8556218,18.64
2017-05-16,19.48,19.48,19.16,19.27,6534825,19.27
2017-05-15,19.14,19.32,19.03,19.03,5369732,19.03
2017-05-12,18.81,18.87,18.65,18.77,2473440,18.77
2017-05-11,18.9,18.94,18.66,18.81,3042739,18.81
2017-05-10,18.98,19.09,18.94,19.01,3084710,19.01
2017-05-09,19.17,19.22,18.77,18.85,4946877,18.85
2017-05-08,19.03,19.15,19.0,19.07,4358817,19.07
2017-05-05,19.07,19.36,18.94,19.35,5780093,19.35
2017-05-04,18.74,18.87,18.71,18.78,4575041,18.78
2017-05-03,18.25,18.48,18.24,18.47,5841996,18.47
2017-05-02,18.25,18.33,18.15,18.27,3658219,18.27
2017-05-01,18.2,18.36,18.18,18.22,4164051,18.22
2017-04-28,18.17,18.22,18.0,18.07,6605679,18.07
2017-04-27,18.32,18.32,18.0,18.15,9203632,18.15
2017-04-26,18.73,18.94,18.69,18.84,7430190,18.84
2017-04-25,18.62,18.66,18.44,18.49,7736546,18.49
2017-04-24,18.17,18.44,18.13,18.37,18240205,18.37
2017-04-21,16.57,16.7,16.48,16.5,6085441,16.5
2017-04-20,16.51,16.62,16.44,16.55,5906305,16.55
2017-04-19,16.33,16.39,15.96,16.08,7581600,16.08
2017-04-18,15.91,16.05,15.86,15.96,5343907,15.96
