Date,Open,High,Low,Close,Volume,Adj Close
2017-06-06,20.41,21.32,20.2,21.11,2503981,21.11
2017-06-05,20.59,20.91,20.44,20.68,1668998,20.68
2017-06-02,20.8,20.92,20.46,20.68,1592393,20.68
2017-06-01,20.55,20.85,20.32,20.67,2460769,20.67
2017-05-31,20.57,20.85,19.56,20.45,5367226,20.45
2017-05-30,22.03,22.03,20.49,20.62,4723051,20.62
2017-05-26,22.48,22.52,21.9,22.03,2629587,22.03
2017-05-25,22.6,23.19,22.56,22.57,2380756,22.57
2017-05-24,22.45,22.77,22.35,22.55,1789792,22.55
2017-05-23,22.63,22.9,22.15,22.37,2247058,22.37
2017-05-22,21.78,22.48,21.5,22.4,2725319,22.4
2017-05-19,22.52,22.64,21.45,21.72,4426913,21.72
2017-05-18,21.97,22.9,21.64,22.34,4279828,22.34
2017-05-17,22.79,23.7,22.02,22.06,6406636,22.06
2017-05-16,22.46,23.42,21.8,23.31,6872619,23.31
2017-05-15,21.79,22.97,21.72,22.76,6578748,22.76
2017-05-12,20.69,21.96,20.54,21.79,4809849,21.79
2017-05-11,20.49,21.48,20.32,21.14,5002278,21.14
2017-05-10,19.0,20.65,18.82,20.55,7113553,20.55
2017-05-09,18.86,19.21,17.94,19.07,5125401,19.07
2017-05-08,16.98,19.14,16.89,19.01,9308586,19.01
2017-05-05,16.07,17.1,15.96,17.01,3778825,17.01
2017-05-04,16.09,16.21,14.81,16.08,5654919,16.08
2017-05-03,16.12,16.7,16.07,16.6,2254833,16.6
2017-05-02,16.31,16.48,16.13,16.33,2882030,16.33
2017-05-01,15.81,16.28,15.76,16.24,1495117,16.24
2017-04-28,15.83,15.99,15.7,15.83,1186214,15.83
2017-04-27,15.9,16.02,15.65,15.85,1505000,15.85
2017-04-26,15.67,16.17,15.6,15.87,2296397,15.87
2017-04-25,15.46,15.67,15.46,15.59,1600901,15.59
2017-04-24,15.49,15.54,15.29,15.4,1278181,15.4
2017-04-21,15.38,15.46,15.16,15.16,1116681,15.16
2017-04-20,15.41,15.59,15.21,15.4,1811341,15.4
