Date,Open,High,Low,Close,Volume,Adj Close
2017-06-30,40.89,41.16,40.84,40.99,439615,40.99
2017-06-29,40.96,40.99,40.46,40.53,479149,40.53
2017-06-28,40.94,41.18,40.9,41.13,99220,41.13
2017-06-27,41.04,41.13,40.77,40.77,278254,40.77
2017-06-26,41.16,41.29,41.09,41.19,288982,41.19
2017-06-23,41.09,41.23,40.99,41.18,155698,41.18
2017-06-22,40.93,41.07,40.83,40.95,100517,40.95
2017-06-21,40.85,40.91,40.6,40.69,96607,40.69
2017-06-20,40.87,40.92,40.54,40.56,247604,40.56
2017-06-19,40.9,41.12,40.9,41.11,208142,41.11
2017-06-16,40.76,40.83,40.63,40.8,105887,40.8
2017-06-15,40.58,40.69,40.46,40.69,95541,40.69
2017-06-14,41.36,41.36,40.88,41.04,126266,41.04
2017-06-13,41.18,41.3,41.15,41.29,206037,41.29
2017-06-12,41.11,41.18,40.96,41.13,93833,41.13
2017-06-09,41.34,41.39,40.95,41.12,261175,41.12
2017-06-08,41.33,41.41,41.19,41.35,144497,41.35
2017-06-07,41.35,41.51,41.12,41.3,244458,41.3
2017-06-06,41.39,41.56,41.34,41.47,78640,41.47
2017-06-05,41.49,41.61,41.45,41.5,125464,41.5
2017-06-02,41.46,41.58,41.35,41.53,227178,41.53
2017-06-01,41.14,41.36,41.06,41.36,172935,41.36
2017-05-31,41.24,41.26,40.96,41.06,108851,41.06
2017-05-30,41.29,41.38,41.28,41.32,546627,41.32
2017-05-26,41.31,41.47,41.27,41.43,121324,41.43
2017-05-25,41.5,41.53,41.3,41.35,223621,41.35
2017-05-24,41.11,41.38,41.11,41.29,144388,41.29
2017-05-23,41.0,41.13,40.97,41.04,222524,41.04
2017-05-22,40.9,40.99,40.84,40.92,125286,40.92
2017-05-19,40.85,41.05,40.78,40.93,449273,40.93
2017-05-18,40.32,40.68,40.0,40.38,274054,40.38
2017-05-17,41.33,41.4,41.02,41.04,197980,41.04
2017-05-16,41.72,41.75,41.61,41.75,179813,41.75
2017-05-15,41.45,41.67,41.44,41.66,231745,41.66
2017-05-12,41.12,41.19,41.06,41.14,469278,41.14
2017-05-11,41.09,41.09,40.83,41.05,114689,41.05
2017-05-10,41.0,41.11,40.92,41.09,313050,41.09
2017-05-09,40.72,40.96,40.72,40.81,238945,40.81
2017-05-08,40.74,40.76,40.52,40.6,106369,40.6
