Date,Open,High,Low,Close,Volume,Adj Close
2017-06-06,8.2,8.25,8.05,8.2,19320,8.2
2017-06-05,8.4,8.4,8.25,8.25,26768,8.25
2017-06-02,8.35,8.5,8.1,8.4,36960,8.4
2017-06-01,8.05,8.4,8.0,8.4,63470,8.4
2017-05-31,7.95,8.05,7.9,8.0,10287,8.0
2017-05-30,8.1,8.15,7.85,8.0,19784,8.0
2017-05-26,8.1,8.2,7.95,8.15,13814,8.15
2017-05-25,8.15,8.25,8.0,8.05,16713,8.05
2017-05-24,8.1,8.25,8.1,8.2,18628,8.2
2017-05-23,8.2,8.25,8.08,8.2,21390,8.2
2017-05-22,8.1,8.25,8.05,8.25,28418,8.25
2017-05-19,8.0,8.05,7.8,8.05,16169,8.05
2017-05-18,7.5,8.1,7.5,8.05,27167,8.05
2017-05-17,7.9,8.1,7.82,7.9,18154,7.9
2017-05-16,8.2,8.2,7.9,8.1,41973,8.1
2017-05-15,8.3,8.35,8.1,8.3,26597,8.3
2017-05-12,8.5,8.5,8.2,8.4,26683,8.4
2017-05-11,8.1,8.45,8.1,8.45,24939,8.45
2017-05-10,8.25,8.4,8.2,8.3,13676,8.3
2017-05-09,8.3,8.4,8.0,8.3,88612,8.3
2017-05-08,8.65,8.75,8.35,8.4,27344,8.4
2017-05-05,8.65,9.35,8.4,8.65,110282,8.65
2017-05-04,8.68,8.75,8.4,8.7,84300,8.7
2017-05-03,8.45,8.75,8.18,8.7,74725,8.7
2017-05-02,8.5,8.65,8.35,8.45,30039,8.45
2017-05-01,8.25,8.5,8.2,8.45,39487,8.45
2017-04-28,8.35,8.55,8.2,8.35,19434,8.35
2017-04-27,8.15,8.45,8.15,8.35,26001,8.35
2017-04-26,8.75,8.75,8.15,8.15,22473,8.15
2017-04-25,8.5,8.75,8.35,8.7,75159,8.7
2017-04-24,7.95,8.5,7.9,8.45,71976,8.45
2017-04-21,8.3,8.3,7.95,8.1,11261,8.1
2017-04-20,8.1,8.3,7.95,8.2,27509,8.2
2017-04-19,8.3,8.3,8.0,8.05,56628,8.05
2017-04-18,8.2,8.3,8.1,8.2,22761,8.2
2017-04-17,8.0,8.25,7.85,8.15,56560,8.15
2017-04-13,7.9,8.1,7.75,8.1,57030,8.1
2017-04-12,7.8,7.95,7.75,7.95,8755,7.95
2017-04-11,7.5,7.8,7.45,7.75,21227,7.75
2017-04-10,7.55,7.75,7.4,7.6,5067,7.6
2017-04-07,7.65,8.0,7.5,7.6,14283,7.6
2017-04-06,7.15,7.8,7.0,7.8,54126,7.8
2017-04-05,7.15,7.4,7.1,7.1,67179,7.1
2017-04-04,7.25,7.4,7.05,7.05,35809,7.05
2017-04-03,7.4,7.7,7.16,7.2,28980,7.2
2017-03-31,7.5,7.65,7.25,7.5,19082,7.5
2017-03-30,7.5,7.65,7.3,7.6,9146,7.6
2017-03-29,7.75,7.75,7.5,7.6,12116,7.6
2017-03-28,7.7,7.75,7.45,7.6,54432,7.6
2017-03-27,7.7,7.7,7.3,7.45,88156,7.45
2017-03-24,7.6,8.2,7.4,7.95,65533,7.95
2017-03-23,7.5,7.7,7.33,7.65,69643,7.65
