Date,Open,High,Low,Close,Volume,Adj Close
2017-06-06,217.0,218.43,216.17,217.85,912215,217.85
2017-06-05,217.99,218.21,216.0,217.1,449471,217.1
2017-06-02,215.69,219.41,214.58,218.05,728973,218.05
2017-06-01,213.78,215.49,210.88,215.34,899504,215.34
2017-05-31,208.91,212.05,208.06,211.72,739070,211.72
2017-05-30,207.0,208.68,206.68,208.49,467399,208.49
2017-05-26,207.01,207.72,206.64,207.05,635960,207.05
2017-05-25,205.41,208.3,205.07,208.04,878783,208.04
2017-05-24,199.48,206.02,199.48,205.97,1083004,205.97
2017-05-23,198.85,199.75,198.81,199.25,488886,199.25
2017-05-22,197.47,198.98,196.51,198.82,603690,198.82
2017-05-19,195.2,197.25,193.55,195.8,645354,195.8
2017-05-18,191.26,195.32,189.12,194.71,1097768,194.71
2017-05-17,195.64,196.04,191.42,191.46,595359,191.46
2017-05-16,197.78,197.89,196.03,196.23,430058,196.23
2017-05-15,195.93,198.0,195.64,196.52,828306,196.52
2017-05-12,195.39,196.39,194.75,195.28,398616,195.28
2017-05-11,195.54,196.21,194.1,195.38,419787,195.38
2017-05-10,193.98,196.36,193.4,195.67,649990,195.67
2017-05-09,192.99,196.02,191.39,195.36,689882,195.36
2017-05-08,193.19,193.22,191.63,192.29,701723,192.29
2017-05-05,190.42,193.53,189.64,193.12,779355,193.12
2017-05-04,187.0,191.08,186.85,190.39,1022371,190.39
2017-05-03,185.0,187.21,184.36,187.07,913895,187.07
2017-05-02,182.44,184.49,182.01,184.41,916686,184.41
2017-05-01,181.0,182.82,181.0,182.16,621486,182.16
2017-04-28,184.46,184.95,181.14,181.39,1068379,181.39
2017-04-27,187.1,188.85,183.77,185.55,2422201,185.55
2017-04-26,181.98,182.49,179.64,180.96,1279470,180.96
2017-04-25,181.04,182.04,179.78,180.59,670350,180.59
2017-04-24,181.71,181.8,179.84,180.59,915542,180.59
2017-04-21,177.61,180.15,177.45,179.3,918114,179.3
2017-04-20,176.79,177.08,175.07,176.91,459924,176.91
2017-04-19,177.01,177.42,175.51,175.71,971667,175.71
2017-04-18,174.84,177.75,174.84,176.63,1208762,176.63
