Date,Open,High,Low,Close,Volume,Adj Close
2017-06-30,40.05,40.19,40.02,40.17,23719,40.17
2017-06-29,40.19,40.19,39.65,39.87,28587,39.87
2017-06-28,40.13,40.38,40.07,40.35,27176,40.35
2017-06-27,40.3,40.34,40.03,40.05,37064,40.05
2017-06-26,40.37,40.47,40.25,40.36,22558,40.36
2017-06-23,40.08,40.17,40.01,40.15,49958,40.15
2017-06-22,40.03,40.1,39.91,39.96,31546,39.96
2017-06-21,39.99,40.02,39.73,39.77,16424,39.77
2017-06-20,39.97,40.11,39.59,39.62,32579,39.62
2017-06-19,40.45,40.65,40.45,40.58,55336,40.58
2017-06-16,40.5,40.59,40.39,40.53,137747,40.53
2017-06-15,40.34,40.42,40.22,40.41,19898,40.41
2017-06-14,40.97,40.99,40.57,40.66,41655,40.66
2017-06-13,40.97,41.04,40.8,41.03,26371,41.03
2017-06-12,40.78,40.82,40.66,40.76,118214,40.76
2017-06-09,41.07,41.11,40.7,40.81,26010,40.81
2017-06-08,40.96,41.13,40.96,41.1,22593,41.1
2017-06-07,41.13,41.18,40.85,41.03,29549,41.03
2017-06-06,41.14,41.3,41.14,41.24,23339,41.24
2017-06-05,41.23,41.27,41.12,41.15,47131,41.15
2017-06-02,41.03,41.14,40.99,41.09,44624,41.09
2017-06-01,40.92,40.99,40.8,40.99,24121,40.99
2017-05-31,40.96,40.96,40.73,40.74,33248,40.74
2017-05-30,40.98,41.18,40.84,41.15,48832,41.15
2017-05-26,40.8,40.9,40.64,40.83,41038,40.83
2017-05-25,40.99,40.99,40.75,40.79,73390,40.79
2017-05-24,40.65,40.75,40.44,40.69,45291,40.69
2017-05-23,40.34,40.44,40.27,40.39,29247,40.39
2017-05-22,40.25,40.36,40.21,40.28,32106,40.28
2017-05-19,39.99,40.37,39.95,40.23,34458,40.23
2017-05-18,39.53,39.78,39.21,39.41,47073,39.41
2017-05-17,40.5,40.56,40.11,40.11,97377,40.11
2017-05-16,40.78,40.78,40.54,40.7,59203,40.7
2017-05-15,40.44,40.6,40.28,40.5,111694,40.5
2017-05-12,40.24,40.37,40.2,40.34,34557,40.34
2017-05-11,40.14,40.23,40.0,40.18,30505,40.18
2017-05-10,40.0,40.19,39.93,40.14,41624,40.14
2017-05-09,39.84,40.07,39.84,39.93,61579,39.93
2017-05-08,39.78,39.8,39.57,39.59,31567,39.59
2017-05-05,39.5,39.82,39.47,39.8,26963,39.8
2017-05-04,39.91,39.91,39.53,39.58,28464,39.58
2017-05-03,40.16,40.2,40.01,40.01,27699,40.01
2017-05-02,40.18,40.24,40.09,40.24,99827,40.24
2017-05-01,40.24,40.24,40.0,40.1,99020,40.1
2017-04-28,40.06,40.06,39.9,40.03,27219,40.03
2017-04-27,40.04,40.04,39.75,39.87,33888,39.87
2017-04-26,40.18,40.18,40.0,40.02,30300,40.02
2017-04-25,40.11,40.31,40.04,40.23,49394,40.23
2017-04-24,39.89,39.95,39.76,39.84,28654,39.84
2017-04-21,39.52,39.52,39.4,39.48,63117,39.48
2017-04-20,39.49,39.49,39.33,39.44,43597,39.44
2017-04-19,39.55,39.55,39.11,39.18,41331,39.18
2017-04-18,39.62,39.78,39.51,39.62,31484,39.62
2017-04-17,39.78,39.96,39.73,39.89,50658,39.89
2017-04-13,39.93,40.02,39.67,39.75,70844,39.75
2017-04-12,39.8,39.82,39.52,39.82,58029,39.82
2017-04-11,39.79,39.79,39.49,39.77,45007,39.77
2017-04-10,39.81,39.84,39.61,39.72,87007,39.72
2017-04-07,39.91,40.12,39.85,39.92,29762,39.92
2017-04-06,40.13,40.14,39.94,40.04,51437,40.04
2017-04-05,40.25,40.38,39.99,39.99,68834,39.99
2017-04-04,40.09,40.26,40.01,40.24,81009,40.24
2017-04-03,40.11,40.17,39.91,40.16,49936,40.16
2017-03-31,39.87,39.99,39.83,39.85,48550,39.85
2017-03-30,40.17,40.29,39.95,39.95,299645,39.95
2017-03-29,40.08,40.22,40.06,40.17,58248,40.17
2017-03-28,39.95,40.22,39.95,40.05,29585,40.05
2017-03-27,40.04,40.17,39.86,40.12,110921,40.12
2017-03-24,40.2,40.35,40.14,40.26,37213,40.26
2017-03-23,40.25,40.35,40.18,40.23,28431,40.23
2017-03-22,40.1,40.39,39.86,40.28,72089,40.28
2017-03-21,40.43,40.59,39.93,39.99,41493,39.99
2017-03-20,40.29,40.47,40.25,40.41,62247,40.41
2017-03-17,40.48,40.48,40.24,40.32,170922,40.32
2017-03-16,40.36,40.48,40.2,40.4,64805,40.4
2017-03-15,39.34,40.16,39.16,40.06,98563,40.06
2017-03-14,39.2,39.27,39.06,39.08,30583,39.08
2017-03-13,39.06,39.37,39.06,39.33,44558,39.33
2017-03-10,38.75,38.87,38.6,38.83,36658,38.83
2017-03-09,38.81,38.81,38.32,38.54,73148,38.54
2017-03-08,39.39,39.4,39.02,39.03,73399,39.03
2017-03-07,39.38,39.51,39.35,39.42,116161,39.42
2017-03-06,39.35,39.35,39.18,39.28,35920,39.28
2017-03-03,39.07,39.39,39.05,39.37,34481,39.37
2017-03-02,39.25,39.27,38.9,38.9,86044,38.9
2017-03-01,39.28,39.63,39.23,39.59,73589,39.59
2017-02-28,39.09,39.25,38.85,38.89,55815,38.89
2017-02-27,39.26,39.26,39.01,39.12,92670,39.12
2017-02-24,39.35,39.35,39.2,39.25,35904,39.25
2017-02-23,39.93,39.97,39.71,39.71,76042,39.71
2017-02-22,39.58,39.78,39.57,39.77,56017,39.77
2017-02-21,39.46,39.51,39.32,39.49,61717,39.49
2017-02-17,39.22,39.39,39.11,39.39,54828,39.39
2017-02-16,39.36,39.5,39.27,39.34,67197,39.34
2017-02-15,39.0,39.55,39.0,39.49,110115,39.49
2017-02-14,38.61,38.75,38.33,38.75,49903,38.75
2017-02-13,38.29,38.59,38.29,38.56,54099,38.56
2017-02-10,37.96,38.25,37.96,38.22,62058,38.22
2017-02-09,37.83,37.85,37.7,37.84,29199,37.84
2017-02-08,37.41,37.63,37.35,37.58,22828,37.58
2017-02-07,37.33,37.45,37.2,37.22,31230,37.22
2017-02-06,37.59,37.62,37.38,37.4,68188,37.4
2017-02-03,37.59,37.81,37.52,37.6,74057,37.6
2017-02-02,37.37,37.47,37.34,37.45,40007,37.45
2017-02-01,37.29,37.4,37.22,37.32,39273,37.32
2017-01-31,37.23,37.23,37.07,37.23,68746,37.23
2017-01-30,37.12,37.17,36.93,37.15,64594,37.15
2017-01-27,37.38,37.4,37.17,37.32,77273,37.32
2017-01-26,37.39,37.39,37.19,37.31,47100,37.31
2017-01-25,37.26,37.38,37.18,37.38,67099,37.38
2017-01-24,37.16,37.25,37.09,37.19,36872,37.19
2017-01-23,36.66,37.0,36.66,37.0,160185,37.0
2017-01-20,36.4,36.4,36.22,36.37,28367,36.37
2017-01-19,36.41,36.41,36.04,36.13,119803,36.13
2017-01-18,36.47,36.5,36.25,36.31,70485,36.31
2017-01-17,36.36,36.44,36.25,36.4,53975,36.4
2017-01-13,36.29,36.43,36.2,36.43,66922,36.43
2017-01-12,36.23,36.26,36.12,36.22,23626,36.22
2017-01-11,35.61,36.05,35.47,36.03,58979,36.03
2017-01-10,35.46,35.67,35.46,35.56,40156,35.56
2017-01-09,35.17,35.3,35.1,35.18,48791,35.18
2017-01-06,35.37,35.37,35.17,35.25,30727,35.25
2017-01-05,35.34,35.53,35.33,35.48,105678,35.48
2017-01-04,35.06,35.23,35.06,35.19,87276,35.19
2017-01-03,34.86,35.05,34.79,34.89,74229,34.89
2016-12-30,34.66,34.84,34.51,34.58,84942,34.58
2016-12-29,34.44,34.79,34.44,34.73,172385,34.73
2016-12-28,34.18,34.29,34.07,34.15,373053,34.15
2016-12-27,34.03,34.09,33.99,34.03,43105,34.03
2016-12-23,33.9,33.93,33.81,33.93,37297,33.93
2016-12-22,33.77,33.92,33.66,33.77,79194,33.77
2016-12-21,34.23,34.24,34.12,34.12,33158,34.12
2016-12-20,34.11,34.24,34.11,34.14,73177,34.14
2016-12-19,34.38,34.38,34.09,34.1,46630,34.1
2016-12-16,34.54,34.61,34.25,34.29,62216,34.29
2016-12-15,34.42,34.6,34.36,34.52,70727,34.52
2016-12-14,35.01,35.15,34.27,34.28,58892,34.28
2016-12-13,35.15,35.42,35.03,35.42,49330,35.42
2016-12-12,35.1,35.16,34.93,35.03,42758,35.03
2016-12-09,35.09,35.28,35.09,35.2,33756,35.2
2016-12-08,35.21,35.43,35.2,35.41,26877,35.41
2016-12-07,34.9,35.36,34.85,35.31,54749,35.31
2016-12-06,34.51,34.67,34.49,34.66,61918,34.66
2016-12-05,34.19,34.48,34.19,34.38,92291,34.38
2016-12-02,34.05,34.25,34.05,34.16,18628,34.16
2016-12-01,34.31,34.31,33.96,33.98,67099,33.98
2016-11-30,34.5,34.62,34.47,34.56,36969,34.56
2016-11-29,34.36,34.61,34.36,34.54,27343,34.54
2016-11-28,34.46,34.69,34.46,34.58,25045,34.58
2016-11-25,34.32,34.32,34.24,34.27,16918,34.27
2016-11-23,34.29,34.42,34.12,34.32,41258,34.32
2016-11-22,34.61,34.78,34.51,34.62,69432,34.62
2016-11-21,33.99,34.1,33.91,34.01,40502,34.01
2016-11-18,33.72,33.75,33.46,33.53,54611,33.53
2016-11-17,33.78,33.82,33.36,33.48,151229,33.48
2016-11-16,33.72,33.72,33.54,33.62,32343,33.62
2016-11-15,33.75,34.2,33.75,34.11,35774,34.11
2016-11-14,33.81,33.81,33.39,33.51,299646,33.51
2016-11-11,33.88,33.92,33.33,33.72,147795,33.72
2016-11-10,35.3,35.3,34.37,34.46,125393,34.46
2016-11-09,35.67,35.95,35.44,35.57,157907,35.57
2016-11-08,36.12,36.64,36.07,36.58,157149,36.58
2016-11-07,35.95,36.4,35.93,36.38,331972,36.38
2016-11-04,35.24,35.31,35.05,35.07,74202,35.07
2016-11-03,35.55,35.66,35.33,35.43,27645,35.43
2016-11-02,35.77,35.79,35.28,35.51,107054,35.51
2016-11-01,36.12,36.15,35.46,35.73,121036,35.73
2016-10-31,36.06,36.21,35.92,36.1,40334,36.1
2016-10-28,35.96,35.99,35.55,35.71,36663,35.71
2016-10-27,36.18,36.18,35.87,35.9,64275,35.9
2016-10-26,36.06,36.18,35.76,35.96,67235,35.96
2016-10-25,36.25,36.4,36.18,36.33,39661,36.33
2016-10-24,36.25,36.47,36.13,36.22,21735,36.22
2016-10-21,35.72,36.01,35.69,35.97,37961,35.97
2016-10-20,35.87,36.04,35.78,35.96,21970,35.96
2016-10-19,36.02,36.14,35.87,36.09,33616,36.09
2016-10-18,35.86,35.99,35.71,35.94,25283,35.94
2016-10-17,35.28,35.41,35.25,35.31,49463,35.31
2016-10-14,35.46,35.54,35.12,35.2,104938,35.2
2016-10-13,34.97,35.32,34.74,35.18,138974,35.18
2016-10-12,35.3,35.43,35.17,35.27,38376,35.27
2016-10-11,35.66,35.66,35.28,35.46,39948,35.46
2016-10-10,36.32,36.43,36.17,36.25,140315,36.25
2016-10-07,36.29,36.3,35.76,36.13,31069,36.13
2016-10-06,36.08,36.26,35.98,36.19,21768,36.19
2016-10-05,36.22,36.44,36.12,36.31,23761,36.31
2016-10-04,36.3,36.3,35.62,35.79,28041,35.79
2016-10-03,36.02,36.22,35.9,36.17,22201,36.17
2016-09-30,35.99,36.08,35.83,35.9,56389,35.9
2016-09-29,36.32,36.35,35.69,35.81,87082,35.81
2016-09-28,36.14,36.42,35.91,36.36,76499,36.36
2016-09-27,36.04,36.14,35.76,36.07,58228,36.07
2016-09-26,35.9,35.98,35.77,35.8,77349,35.8
2016-09-23,37.12,37.12,36.75,36.76,60619,36.76
2016-09-22,37.32,37.48,37.15,37.25,165263,37.25
2016-09-21,36.56,37.23,36.48,37.13,83677,37.13
2016-09-20,36.44,36.44,36.15,36.15,35086,36.15
2016-09-19,35.98,36.19,35.95,36.0,528051,36.0
2016-09-16,35.38,35.52,35.23,35.47,24216,35.47
2016-09-15,35.23,35.63,35.2,35.58,19366,35.58
2016-09-14,35.26,35.42,35.16,35.18,21833,35.18
2016-09-13,35.42,35.44,34.78,35.02,53481,35.02
2016-09-12,35.28,36.03,35.28,35.94,64992,35.94
2016-09-09,36.42,36.42,35.68,35.73,109638,35.73
2016-09-08,37.08,37.08,36.78,36.88,90418,36.88
2016-09-07,37.08,37.08,36.8,36.89,41011,36.89
2016-09-06,36.73,37.04,36.58,37.02,39298,37.02
2016-09-02,36.07,36.2,35.99,36.15,33599,36.15
2016-09-01,35.52,35.77,35.41,35.77,30562,35.77
2016-08-31,35.82,35.82,35.47,35.61,65369,35.61
2016-08-30,36.14,36.21,35.96,36.06,57455,36.06
2016-08-29,35.82,36.17,35.75,36.06,91505,36.06
2016-08-26,36.24,36.58,35.61,35.77,98951,35.77
2016-08-25,36.11,36.2,35.91,36.17,33369,36.17
2016-08-24,36.06,36.2,35.8,36.14,100826,36.14
2016-08-23,36.46,36.6,36.07,36.09,246214,36.09
2016-08-22,36.48,36.51,36.12,36.16,1012184,36.16
2016-08-19,36.81,36.96,36.5,36.9,310989,36.9
2016-08-18,37.18,37.25,37.04,37.25,46048,37.25
2016-08-17,36.95,37.12,36.66,37.05,60147,37.05
2016-08-16,37.53,37.53,37.15,37.15,2493576,37.15
2016-08-15,37.5,37.69,37.5,37.62,266512,37.62
2016-08-12,37.41,37.5,37.15,37.21,214102,37.21
2016-08-11,37.3,37.61,37.23,37.6,325394,37.6
2016-08-10,37.42,37.42,37.04,37.2,96721,37.2
2016-08-09,36.95,37.2,36.94,37.18,120256,37.18
2016-08-08,36.64,36.79,36.63,36.75,231429,36.75
2016-08-05,36.25,36.45,36.17,36.32,807526,36.32
2016-08-04,35.83,36.17,35.8,36.07,139393,36.07
2016-08-03,35.2,35.85,35.2,35.78,451988,35.78
2016-08-02,35.74,35.74,35.25,35.43,48422,35.43
2016-08-01,36.02,36.08,35.76,35.77,56810,35.77
2016-07-29,35.68,36.02,35.6,35.76,149116,35.76
2016-07-28,35.55,35.58,35.36,35.54,39006,35.54
2016-07-27,35.39,35.57,35.11,35.47,46562,35.47
2016-07-26,35.17,35.41,35.17,35.35,59614,35.35
2016-07-25,35.26,35.28,35.0,35.1,43737,35.1
2016-07-22,35.21,35.31,35.11,35.28,51074,35.28
2016-07-21,35.06,35.17,34.87,34.98,64325,34.98
2016-07-20,34.96,35.16,34.81,35.1,722382,35.1
2016-07-19,34.95,34.95,34.76,34.81,31903,34.81
2016-07-18,34.79,35.21,34.7,35.15,68027,35.15
2016-07-15,34.91,34.91,34.77,34.82,31949,34.82
2016-07-14,34.87,34.96,34.72,34.89,57823,34.89
2016-07-13,34.45,34.45,34.21,34.38,20522,34.38
2016-07-12,34.35,34.56,34.32,34.42,66648,34.42
2016-07-11,33.87,34.0,33.83,33.91,92555,33.91
2016-07-08,33.18,33.54,33.12,33.45,94583,33.45
2016-07-07,33.06,33.18,32.73,32.79,35878,32.79
2016-07-06,32.77,32.95,32.5,32.95,108359,32.95
2016-07-05,33.27,33.5,33.01,33.11,48999,33.11
2016-07-01,33.48,33.68,33.38,33.55,32549,33.55
2016-06-30,33.09,33.45,33.0,33.43,42664,33.43
2016-06-29,32.62,33.0,32.62,32.91,101853,32.91
2016-06-28,32.07,32.33,31.96,32.27,197349,32.27
2016-06-27,31.69,31.69,30.98,31.34,45587,31.34
2016-06-24,31.71,32.16,31.37,31.55,63324,31.55
2016-06-23,32.92,33.28,32.84,33.28,10815,33.28
2016-06-22,32.56,32.8,32.52,32.56,35992,32.56
2016-06-21,32.46,32.55,32.22,32.51,11275,32.51
2016-06-20,32.83,33.08,32.83,32.89,20429,32.89
2016-06-17,32.16,32.36,32.11,32.28,49740,32.28
2016-06-16,31.73,32.08,31.39,32.04,54269,32.04
2016-06-15,32.24,32.54,32.11,32.27,102823,32.27
2016-06-14,32.15,32.17,31.72,31.97,24461,31.97
2016-06-13,31.99,32.23,31.94,32.02,61543,32.02
2016-06-10,32.47,32.57,32.17,32.32,22911,32.32
2016-06-09,33.1,33.18,32.98,33.07,42767,33.07
2016-06-08,33.49,33.67,33.4,33.55,145621,33.55
2016-06-07,33.0,33.27,33.0,33.17,28828,33.17
2016-06-06,32.56,32.87,32.56,32.75,67198,32.75
2016-06-03,32.24,32.54,32.1,32.48,57081,32.48
2016-06-02,31.6,31.91,31.58,31.83,42750,31.83
2016-06-01,31.53,31.76,31.45,31.6,36681,31.6
2016-05-31,31.73,31.91,31.55,31.64,53519,31.64
2016-05-27,31.56,31.77,31.44,31.44,45296,31.44
2016-05-26,31.67,31.7,31.55,31.57,159158,31.57
2016-05-25,31.42,31.68,31.42,31.53,20078,31.53
2016-05-24,31.2,31.43,31.18,31.31,35815,31.31
2016-05-23,31.2,31.34,31.1,31.15,34804,31.15
2016-05-20,31.25,31.5,31.25,31.44,12986,31.44
2016-05-19,31.02,31.16,30.82,31.01,26265,31.01
2016-05-18,31.52,31.79,31.22,31.24,116649,31.24
2016-05-17,31.5,31.77,31.47,31.62,31638,31.62
2016-05-16,31.61,31.85,31.61,31.76,67267,31.76
2016-05-13,31.9,31.9,31.41,31.41,23631,31.41
2016-05-12,32.42,32.42,32.0,32.06,81073,32.06
2016-05-11,32.46,32.52,32.21,32.24,23298,32.24
2016-05-10,31.95,32.42,31.95,32.42,26744,32.42
2016-05-09,32.25,32.25,31.62,31.76,15824,31.76
2016-05-06,32.33,32.61,32.15,32.32,16755,32.32
2016-05-05,32.53,32.71,32.28,32.41,22435,32.41
2016-05-04,32.6,32.62,32.26,32.35,13684,32.35
2016-05-03,33.08,33.14,32.71,32.71,36538,32.71
2016-05-02,33.87,33.87,33.52,33.8,47614,33.8
2016-04-29,33.99,33.99,33.65,33.87,28223,33.87
2016-04-28,33.88,34.17,33.82,33.87,21364,33.87
2016-04-27,33.77,34.21,33.77,34.11,34592,34.11
2016-04-26,33.95,34.0,33.75,34.0,46225,34.0
2016-04-25,34.12,34.12,33.65,33.75,25779,33.75
2016-04-22,34.16,34.16,33.82,33.89,63199,33.89
2016-04-21,34.06,34.31,34.0,34.19,16048,34.19
