Date,Open,High,Low,Close,Volume,Adj Close
2017-06-30,29.9,29.97,29.82,29.84,24702,29.84
2017-06-29,29.87,29.87,29.47,29.62,51380,29.62
2017-06-28,29.93,30.04,29.81,29.97,42023,29.97
2017-06-27,29.86,29.93,29.71,29.72,52332,29.72
2017-06-26,29.95,30.05,29.89,29.95,35166,29.95
2017-06-23,29.68,29.85,29.62,29.7,170982,29.7
2017-06-22,29.56,29.7,29.48,29.57,49050,29.57
2017-06-21,29.57,29.62,29.38,29.42,24781,29.42
2017-06-20,29.65,29.65,29.33,29.33,55726,29.33
2017-06-19,29.57,29.71,29.42,29.66,59237,29.66
2017-06-16,29.57,29.57,29.43,29.52,58070,29.52
2017-06-15,29.7,29.78,29.6,29.75,35302,29.75
2017-06-14,30.31,30.31,29.94,30.05,55810,30.05
2017-06-13,29.96,30.1,29.96,30.08,49222,30.08
2017-06-12,29.81,29.93,29.81,29.93,28844,29.93
2017-06-09,30.06,30.06,29.72,29.81,46394,29.81
2017-06-08,30.09,30.09,29.98,30.03,39422,30.03
2017-06-07,30.0,30.13,29.93,30.05,50742,30.05
2017-06-06,30.17,30.18,30.05,30.09,49434,30.09
2017-06-05,30.3,30.4,30.29,30.35,73810,30.35
2017-06-02,30.12,30.24,30.07,30.21,67584,30.21
2017-06-01,29.88,30.09,29.78,29.99,58839,29.99
2017-05-31,29.99,29.99,29.78,29.81,49090,29.81
2017-05-30,30.04,30.1,30.0,30.09,29425,30.09
2017-05-26,30.16,30.24,30.16,30.19,41667,30.19
2017-05-25,30.21,30.28,30.03,30.06,47344,30.06
2017-05-24,30.02,30.15,29.94,30.1,51967,30.1
2017-05-23,29.64,29.87,29.64,29.87,49771,29.87
2017-05-22,29.69,29.69,29.61,29.66,31348,29.66
2017-05-19,29.5,29.71,29.47,29.62,34935,29.62
2017-05-18,29.09,29.36,29.07,29.19,57041,29.19
2017-05-17,29.72,29.78,29.54,29.54,53885,29.54
2017-05-16,29.96,30.08,29.94,30.06,46572,30.06
2017-05-15,29.74,29.88,29.72,29.83,53562,29.83
2017-05-12,29.65,29.67,29.57,29.59,48068,29.59
