Date,Open,High,Low,Close,Volume,Adj Close
2017-06-06,74.46,77.03,74.42,76.12,1254099,76.12
2017-06-05,73.68,74.71,73.24,74.55,965008,74.55
2017-06-02,74.23,74.88,72.72,73.96,1049962,73.96
2017-06-01,72.44,74.3,71.9,74.05,1292620,74.05
2017-05-31,70.0,72.47,69.96,71.67,1495177,71.67
2017-05-30,73.02,73.31,70.24,70.62,1372928,70.62
2017-05-26,72.54,73.69,72.54,73.43,920640,73.43
2017-05-25,74.07,74.07,72.03,73.0,1659454,73.0
2017-05-24,73.25,73.97,72.59,73.21,1477808,73.21
2017-05-23,73.49,73.6,72.12,73.21,1999661,73.21
2017-05-22,71.52,73.59,71.29,73.41,1820504,73.41
2017-05-19,68.97,71.71,68.8,71.7,1576816,71.7
2017-05-18,68.3,68.39,66.26,68.04,2166332,68.04
2017-05-17,74.2,74.25,68.2,68.95,2995727,68.95
2017-05-16,72.0,76.18,71.55,75.82,2142855,75.82
2017-05-15,71.66,72.09,68.32,70.91,1251064,70.91
2017-05-12,69.46,72.5,69.36,71.59,1419646,71.59
2017-05-11,67.89,69.42,67.3,69.36,1118594,69.36
2017-05-10,67.28,69.25,67.05,67.98,885114,67.98
2017-05-09,67.23,68.1,66.74,66.97,858595,66.97
2017-05-08,65.38,67.4,65.38,67.15,1000067,67.15
2017-05-05,64.1,65.59,63.25,65.32,864210,65.32
2017-05-04,63.98,64.16,63.48,64.0,753890,64.0
2017-05-03,64.67,64.67,63.87,64.03,342244,64.03
2017-05-02,64.5,65.76,64.04,64.35,1276178,64.35
2017-05-01,64.76,65.02,64.07,64.4,518120,64.4
2017-04-28,65.4,65.4,64.24,64.54,974912,64.54
2017-04-27,65.2,65.78,64.83,65.0,2151224,65.0
2017-04-26,67.34,67.34,64.61,65.31,1678423,65.31
2017-04-25,63.11,68.52,63.0,66.91,2408793,66.91
2017-04-24,62.9,64.37,61.77,62.81,1799261,62.81
2017-04-21,62.2,63.22,61.9,62.81,980956,62.81
2017-04-20,62.67,62.76,61.89,62.05,1110520,62.05
2017-04-19,60.33,63.03,60.04,62.4,1017063,62.4
2017-04-18,60.2,60.74,59.83,60.33,613769,60.33
2017-04-17,59.58,60.62,59.29,60.38,558699,60.38
2017-04-13,59.36,59.84,58.92,59.39,1121728,59.39
2017-04-12,59.91,60.06,59.09,59.45,918986,59.45
2017-04-11,60.0,60.26,58.47,59.68,785176,59.68
2017-04-10,61.28,61.28,59.75,60.09,886540,60.09
2017-04-07,61.39,61.43,60.19,61.06,552849,61.06
2017-04-06,60.66,61.96,60.28,61.45,701137,61.45
2017-04-05,61.13,61.81,60.55,60.73,1024811,60.73
2017-04-04,60.8,61.37,60.53,60.69,548707,60.69
2017-04-03,60.51,60.98,59.78,60.91,546725,60.91
2017-03-31,59.56,60.91,59.1,60.38,1301677,60.38
2017-03-30,59.58,60.17,59.11,59.53,898084,59.53
2017-03-29,58.0,59.66,57.73,59.46,829443,59.46
2017-03-28,58.18,58.59,57.59,58.07,734836,58.07
2017-03-27,58.85,58.88,57.3,58.47,1242478,58.47
2017-03-24,58.19,59.84,57.72,58.95,553533,58.95
2017-03-23,58.68,58.76,57.84,58.1,1006517,58.1
2017-03-22,57.15,59.06,56.34,58.69,1496996,58.69
2017-03-21,57.98,58.25,56.87,57.48,2197502,57.48
2017-03-20,55.5,57.5,55.5,57.24,1719111,57.24
2017-03-17,54.12,55.68,53.56,55.1,900205,55.1
2017-03-16,54.02,54.5,53.65,54.2,583488,54.2
2017-03-15,52.17,55.01,52.1,53.63,1802374,53.63
