Date,Open,High,Low,Close,Volume,Adj Close
2017-06-30,41.44,41.57,41.36,41.39,76054252,41.39
2017-06-29,41.52,41.54,40.92,41.2,66218668,41.2
2017-06-28,41.53,41.77,41.43,41.73,33600779,41.73
2017-06-27,41.67,41.77,41.4,41.41,54898417,41.41
2017-06-26,41.89,42.01,41.76,41.9,44381003,41.9
2017-06-23,41.35,41.58,41.32,41.5,46141188,41.5
2017-06-22,41.29,41.45,41.19,41.28,50400697,41.28
2017-06-21,41.17,41.27,41.0,41.07,54840399,41.07
2017-06-20,41.32,41.33,40.95,40.98,71371996,40.98
2017-06-19,41.47,41.7,41.44,41.63,68181236,41.63
2017-06-16,41.24,41.29,41.04,41.22,53875924,41.22
2017-06-15,41.08,41.17,40.9,41.15,87660693,41.15
2017-06-14,41.9,41.92,41.44,41.58,70500377,41.58
2017-06-13,41.6,41.64,41.45,41.59,38327816,41.59
2017-06-12,41.37,41.42,41.19,41.39,52374239,41.39
2017-06-09,41.96,42.04,41.38,41.61,73660798,41.61
2017-06-08,41.96,41.98,41.77,41.93,48941401,41.93
2017-06-07,41.6,41.76,41.45,41.68,34745374,41.68
2017-06-06,41.66,41.82,41.64,41.73,34184858,41.73
2017-06-05,41.75,41.85,41.67,41.71,39245537,41.71
2017-06-02,41.7,41.79,41.6,41.76,43699219,41.76
2017-06-01,41.31,41.56,41.21,41.55,46802081,41.55
2017-05-31,41.4,41.42,41.13,41.2,80159450,41.2
2017-05-30,41.51,41.58,41.44,41.52,35122845,41.52
2017-05-26,41.67,41.76,41.62,41.74,31372722,41.74
2017-05-25,41.61,41.72,41.5,41.59,39606853,41.59
2017-05-24,41.24,41.46,41.2,41.39,49380823,41.39
2017-05-23,41.22,41.28,41.12,41.23,39495566,41.23
2017-05-22,41.19,41.32,41.15,41.19,46357544,41.19
2017-05-19,40.88,41.23,40.87,41.15,63741950,41.15
2017-05-18,39.98,40.64,39.82,40.29,121234696,40.29
2017-05-17,41.32,41.37,40.94,40.97,63287347,40.97
2017-05-16,41.61,41.7,41.53,41.68,41936342,41.68
2017-05-15,41.43,41.66,41.4,41.64,52560962,41.64
2017-05-12,41.11,41.26,41.1,41.22,65418202,41.22
2017-05-11,41.01,41.12,40.81,41.05,37366092,41.05
2017-05-10,40.81,40.96,40.76,40.96,47629112,40.96
2017-05-09,40.49,40.81,40.46,40.69,70127299,40.69
2017-05-08,40.3,40.4,40.15,40.18,35951542,40.18
2017-05-05,39.8,40.19,39.79,40.19,52581021,40.19
2017-05-04,40.09,40.11,39.83,39.86,81078255,39.86
2017-05-03,40.41,40.45,40.2,40.31,58336148,40.31
2017-05-02,40.46,40.63,40.41,40.58,55325459,40.58
2017-05-01,40.24,40.4,40.15,40.29,41171016,40.29
2017-04-28,40.04,40.13,39.93,40.06,56635409,40.06
2017-04-27,40.13,40.14,39.88,40.0,42298065,40.0
2017-04-26,40.13,40.25,40.0,40.05,56451984,40.05
2017-04-25,40.14,40.31,40.1,40.2,50957380,40.2
2017-04-24,39.87,39.93,39.75,39.85,63549750,39.85
2017-04-21,39.3,39.35,39.22,39.29,32949549,39.29
2017-04-20,39.22,39.3,39.11,39.29,46722886,39.29
2017-04-19,39.14,39.16,38.71,38.81,58751142,38.81
2017-04-18,39.1,39.24,38.96,39.05,50889201,39.05
2017-04-17,39.32,39.55,39.26,39.55,29862304,39.55
2017-04-13,39.4,39.5,39.13,39.14,48182489,39.14
2017-04-12,39.29,39.32,39.06,39.31,55149077,39.31
2017-04-11,39.2,39.25,38.89,39.12,46002845,39.12
2017-04-10,39.22,39.26,39.09,39.21,33853798,39.21
2017-04-07,39.36,39.55,39.33,39.37,40355764,39.37
2017-04-06,39.47,39.54,39.32,39.44,35544831,39.44
2017-04-05,39.8,39.9,39.49,39.51,44099174,39.51
2017-04-04,39.53,39.69,39.46,39.63,44136505,39.63
2017-04-03,39.51,39.65,39.36,39.61,60048290,39.61
2017-03-31,39.42,39.48,39.31,39.39,94971508,39.39
2017-03-30,39.72,39.84,39.64,39.67,33282533,39.67
2017-03-29,39.72,39.91,39.64,39.88,36856977,39.88
