Date,Open,High,Low,Close,Volume,Adj Close
2017-06-06,24.08,24.14,24.07,24.1,2012951,24.1
2017-06-05,23.9,23.94,23.82,23.83,3247199,23.83
2017-06-02,24.0,24.04,23.94,24.01,3265200,24.01
2017-06-01,23.9,23.92,23.8,23.9,2538578,23.9
2017-05-31,23.74,23.76,23.63,23.65,3058838,23.65
2017-05-30,23.5,23.62,23.49,23.58,1816120,23.58
2017-05-26,23.45,23.5,23.43,23.46,1686835,23.46
2017-05-25,23.48,23.5,23.45,23.48,1962758,23.48
2017-05-24,23.36,23.46,23.36,23.42,1970950,23.42
2017-05-23,23.29,23.35,23.27,23.31,3909425,23.31
2017-05-22,23.24,23.31,23.24,23.28,1883585,23.28
2017-05-19,23.24,23.33,23.21,23.3,4630174,23.3
2017-05-18,23.15,23.35,23.14,23.28,3316634,23.28
2017-05-17,23.3,23.33,23.13,23.15,3182805,23.15
2017-05-16,23.4,23.44,23.35,23.41,1923207,23.41
2017-05-15,23.36,23.52,23.36,23.49,5661238,23.49
2017-05-12,23.26,23.36,23.25,23.35,3520695,23.35
2017-05-11,23.24,23.31,23.21,23.3,1941584,23.3
2017-05-10,23.24,23.29,23.21,23.28,1159098,23.28
2017-05-09,23.15,23.23,23.13,23.2,3006325,23.2
2017-05-08,22.85,22.92,22.83,22.91,5658038,22.91
2017-05-05,22.8,22.93,22.8,22.93,1785337,22.93
2017-05-04,22.98,23.02,22.92,22.97,2745307,22.97
2017-05-03,22.98,23.02,22.94,22.97,1684276,22.97
2017-05-02,23.01,23.04,22.97,23.02,1435486,23.02
2017-05-01,22.93,23.03,22.92,22.95,1175650,22.95
2017-04-28,22.96,22.96,22.88,22.9,1193297,22.9
2017-04-27,22.89,22.92,22.85,22.89,2061352,22.89
2017-04-26,22.72,22.81,22.71,22.72,1812127,22.72
2017-04-25,22.55,22.62,22.55,22.58,1954106,22.58
2017-04-24,22.35,22.41,22.34,22.39,1931780,22.39
2017-04-21,22.3,22.3,22.24,22.28,1930350,22.28
2017-04-20,22.31,22.44,22.31,22.41,1932582,22.41
2017-04-19,22.2,22.21,22.07,22.11,2549734,22.11
2017-04-18,22.24,22.32,22.23,22.29,2027822,22.29
2017-04-17,22.5,22.59,22.41,22.59,1312447,22.59
2017-04-13,22.63,22.65,22.53,22.54,1164866,22.54
2017-04-12,22.63,22.63,22.53,22.6,3178433,22.6
2017-04-11,22.5,22.52,22.37,22.5,1716620,22.5
2017-04-10,22.56,22.63,22.55,22.62,1119018,22.62
2017-04-07,22.56,22.66,22.56,22.6,2122541,22.6
2017-04-06,22.6,22.65,22.57,22.61,1823265,22.61
2017-04-05,22.61,22.69,22.56,22.58,3597859,22.58
2017-04-04,22.36,22.51,22.33,22.49,1415638,22.49
2017-04-03,22.35,22.47,22.31,22.44,3671476,22.44
2017-03-31,22.25,22.28,22.19,22.25,1765290,22.25
2017-03-30,22.37,22.39,22.33,22.38,1465862,22.38
2017-03-29,22.35,22.42,22.34,22.41,1614607,22.41
2017-03-28,22.29,22.43,22.29,22.39,2954387,22.39
2017-03-27,22.16,22.32,22.14,22.31,1534181,22.31
2017-03-24,22.4,22.41,22.31,22.38,2538056,22.38
2017-03-23,22.3,22.44,22.3,22.42,2519295,22.42
2017-03-22,22.18,22.32,22.14,22.26,2542080,22.26
2017-03-21,22.39,22.44,22.12,22.16,3209607,22.16
2017-03-20,22.25,22.35,22.25,22.32,1897608,22.32
2017-03-17,22.21,22.22,22.12,22.19,1808161,22.19
2017-03-16,22.23,22.23,22.14,22.17,2402603,22.17
2017-03-15,21.77,22.01,21.76,21.95,5269715,21.95
2017-03-14,21.72,21.72,21.64,21.67,1423113,21.67
2017-03-13,21.76,21.76,21.7,21.76,1864572,21.76
2017-03-10,21.77,21.81,21.71,21.78,1313967,21.78
2017-03-09,21.56,21.6,21.5,21.57,1999693,21.57
2017-03-08,21.76,21.76,21.65,21.66,2118850,21.66
2017-03-07,21.62,21.67,21.59,21.6,1933831,21.6
2017-03-06,21.64,21.65,21.57,21.62,1290118,21.62
2017-03-03,21.68,21.72,21.63,21.69,2124771,21.69
2017-03-02,21.7,21.74,21.64,21.67,1796452,21.67
2017-03-01,21.87,21.99,21.84,21.93,2570217,21.93
2017-02-28,21.54,21.64,21.53,21.61,1577542,21.61
2017-02-27,21.62,21.72,21.61,21.71,1278993,21.71
2017-02-24,21.47,21.57,21.47,21.55,1135121,21.55
2017-02-23,21.69,21.73,21.64,21.66,2112782,21.66
2017-02-22,21.59,21.6,21.53,21.57,1309066,21.57
2017-02-21,21.48,21.55,21.47,21.55,1690481,21.55
2017-02-17,21.41,21.48,21.4,21.46,1340102,21.46
2017-02-16,21.42,21.42,21.34,21.4,1326531,21.4
2017-02-15,21.43,21.53,21.39,21.52,1617259,21.52
2017-02-14,21.33,21.41,21.27,21.4,3346716,21.4
2017-02-13,21.25,21.29,21.21,21.26,1289621,21.26
2017-02-10,21.2,21.3,21.19,21.26,1943798,21.26
2017-02-09,21.12,21.18,21.1,21.18,2570800,21.18
2017-02-08,21.16,21.2,21.1,21.16,2268314,21.16
2017-02-07,21.06,21.09,20.94,20.98,3002631,20.98
2017-02-06,20.99,21.02,20.94,20.98,1921314,20.98
2017-02-03,21.0,21.04,20.93,21.01,2282911,21.01
2017-02-02,20.93,21.01,20.9,21.01,1782681,21.01
2017-02-01,21.23,21.23,21.08,21.09,3060552,21.09
2017-01-31,21.01,21.06,20.98,21.03,2553180,21.03
2017-01-30,21.05,21.05,20.94,21.02,1598317,21.02
2017-01-27,21.11,21.16,20.98,21.05,4275485,21.05
2017-01-26,20.97,21.11,20.94,21.02,6765276,21.02
2017-01-25,20.88,20.97,20.86,20.97,7926072,20.97
2017-01-24,20.76,20.89,20.75,20.87,2686013,20.87
2017-01-23,20.68,20.78,20.65,20.77,2438580,20.77
2017-01-20,20.74,20.74,20.63,20.73,2382906,20.73
2017-01-19,20.72,20.8,20.68,20.73,3981939,20.73
2017-01-18,20.85,20.85,20.77,20.77,2859129,20.77
2017-01-17,20.61,20.65,20.58,20.63,2732366,20.63
2017-01-13,20.6,20.61,20.56,20.6,2266926,20.6
2017-01-12,20.63,20.63,20.44,20.49,21437875,20.49
2017-01-11,20.77,20.86,20.72,20.78,3483827,20.78
2017-01-10,20.59,20.8,20.58,20.69,4386118,20.69
2017-01-09,20.33,20.36,20.3,20.31,1300850,20.31
2017-01-06,20.23,20.26,20.16,20.22,2114058,20.22
2017-01-05,20.1,20.38,20.1,20.3,8705457,20.3
2017-01-04,19.83,19.94,19.83,19.93,5990213,19.93
2017-01-03,19.82,19.87,19.74,19.8,2407515,19.8
2016-12-30,19.54,19.55,19.45,19.48,1537528,19.48
2016-12-29,19.35,19.44,19.34,19.43,3486562,19.43
2016-12-28,19.43,19.44,19.27,19.31,6408412,19.31
2016-12-27,19.44,19.48,19.39,19.43,3830500,19.43
2016-12-23,19.43,19.45,19.4,19.43,1100055,19.43
2016-12-22,19.5,19.53,19.44,19.5,2277948,19.5
2016-12-21,19.58,19.6,19.52,19.53,1529090,19.53
2016-12-20,19.81,19.85,19.76,19.78,2033643,19.78
2016-12-19,19.82,19.84,19.77,19.78,1722481,19.78
2016-12-16,20.02,20.02,19.89,19.95,3241118,19.95
2016-12-15,20.04,20.13,20.02,20.06,3291931,20.06
2016-12-14,20.34,20.45,20.12,20.18,4729470,20.18
2016-12-13,20.4,20.56,20.4,20.53,2236007,20.53
2016-12-12,20.34,20.4,20.25,20.29,3176321,20.29
2016-12-09,20.65,20.65,20.58,20.6,3887211,20.6
2016-12-08,20.74,20.92,20.73,20.74,3723856,20.74
2016-12-07,20.82,20.99,20.78,20.97,3022447,20.97
2016-12-06,20.79,20.85,20.75,20.83,2912510,20.83
2016-12-05,20.77,20.84,20.76,20.82,1924023,20.82
2016-12-02,20.73,20.83,20.68,20.74,2394847,20.74
2016-12-01,21.02,21.08,20.95,20.98,2576580,20.98
2016-11-30,21.12,21.21,21.09,21.17,2913222,21.17
2016-11-29,20.99,21.06,20.96,21.02,2212658,21.02
2016-11-28,20.96,21.0,20.89,20.9,1187562,20.9
2016-11-25,21.02,21.02,20.96,20.99,1332688,20.99
2016-11-23,20.92,20.99,20.89,20.94,2695319,20.94
2016-11-22,20.97,21.04,20.89,21.02,6586752,21.02
2016-11-21,20.8,20.86,20.77,20.86,2401775,20.86
2016-11-18,20.83,20.83,20.7,20.77,2586394,20.77
2016-11-17,20.63,20.74,20.63,20.71,2943842,20.71
2016-11-16,20.49,20.51,20.42,20.48,8681387,20.48
2016-11-15,20.61,20.78,20.58,20.78,3546537,20.78
2016-11-14,20.53,20.69,20.5,20.59,2778945,20.59
2016-11-11,20.79,20.88,20.61,20.81,4300311,20.81
2016-11-10,21.15,21.15,20.86,20.96,6442982,20.96
2016-11-09,21.0,21.26,20.98,21.01,10282836,21.01
2016-11-08,21.21,21.43,21.16,21.32,2442653,21.32
2016-11-07,21.15,21.29,21.14,21.18,12002838,21.18
2016-11-04,21.13,21.23,21.11,21.13,5445961,21.13
2016-11-03,21.43,21.48,21.34,21.4,2416724,21.4
2016-11-02,21.55,21.58,21.38,21.48,4196402,21.48
2016-11-01,21.73,21.8,21.55,21.66,2549006,21.66
2016-10-31,21.51,21.63,21.51,21.57,1934322,21.57
2016-10-28,21.67,21.72,21.52,21.6,3516158,21.6
2016-10-27,21.89,21.89,21.74,21.76,1989354,21.76
2016-10-26,21.92,22.03,21.88,21.95,2020182,21.95
2016-10-25,22.06,22.12,22.02,22.02,3449729,22.02
2016-10-24,22.03,22.1,22.03,22.06,1644718,22.06
2016-10-21,21.74,21.85,21.74,21.83,1559531,21.83
2016-10-20,21.79,21.86,21.75,21.84,3350436,21.84
2016-10-19,21.75,21.86,21.71,21.81,2672207,21.81
2016-10-18,21.79,21.79,21.71,21.74,1560272,21.74
2016-10-17,21.46,21.54,21.42,21.51,1351973,21.51
2016-10-14,21.69,21.77,21.61,21.62,2695868,21.62
2016-10-13,21.44,21.54,21.33,21.49,4197414,21.49
2016-10-12,21.7,21.79,21.69,21.74,2176832,21.74
2016-10-11,21.74,21.74,21.52,21.6,2615407,21.6
2016-10-10,22.16,22.32,22.16,22.25,1257409,22.25
2016-10-07,22.15,22.15,22.0,22.1,1543443,22.1
2016-10-06,22.11,22.17,22.04,22.14,814143,22.14
2016-10-05,22.07,22.22,22.06,22.17,3306035,22.17
2016-10-04,22.08,22.12,21.89,21.94,2705304,21.94
2016-10-03,22.0,22.08,21.93,22.05,1500001,22.05
2016-09-30,21.87,22.05,21.87,22.01,2304478,22.01
2016-09-29,22.1,22.13,21.86,21.93,2393241,21.93
2016-09-28,22.08,22.15,21.94,22.15,1848026,22.15
2016-09-27,21.91,22.0,21.89,21.98,1830733,21.98
2016-09-26,21.83,21.87,21.74,21.75,1382378,21.75
2016-09-23,22.02,22.05,21.97,22.02,1485655,22.02
2016-09-22,22.18,22.22,22.14,22.19,1689537,22.19
2016-09-21,21.91,22.12,21.82,22.1,1669341,22.1
