Date,Open,High,Low,Close,Volume,Adj Close
2017-06-06,54.72,54.8,54.68,54.73,3551298,54.73
2017-06-05,54.68,54.76,54.65,54.69,3887156,54.69
2017-06-02,54.61,54.9,54.55,54.9,6194511,54.9
2017-06-01,53.7,53.78,53.62,53.77,6246210,53.77
2017-05-31,53.39,53.39,53.23,53.29,2829089,53.29
2017-05-30,53.24,53.36,53.2,53.29,3478795,53.29
2017-05-26,53.03,53.18,52.98,53.18,2552964,53.18
2017-05-25,53.09,53.19,53.05,53.15,2368260,53.15
2017-05-24,52.9,53.01,52.82,53.01,2855214,53.01
2017-05-23,53.14,53.18,53.07,53.09,3325880,53.09
2017-05-22,53.0,53.07,52.96,53.02,2777886,53.02
2017-05-19,52.87,53.08,52.83,53.05,6983610,53.05
2017-05-18,52.42,52.67,52.32,52.62,5130370,52.62
2017-05-17,52.6,52.67,52.42,52.48,7070036,52.48
2017-05-16,52.64,52.67,52.44,52.56,3930351,52.56
2017-05-15,52.52,52.6,52.49,52.52,4032086,52.52
2017-05-12,52.36,52.45,52.33,52.37,4669248,52.37
2017-05-11,52.32,52.35,52.22,52.24,6924483,52.24
2017-05-10,52.47,52.48,52.38,52.38,5114185,52.38
2017-05-09,52.64,52.68,52.54,52.62,7210547,52.62
2017-05-08,52.88,52.91,52.76,52.79,12056467,52.79
2017-05-05,52.54,52.79,52.5,52.77,5867523,52.77
2017-05-04,52.28,52.5,52.22,52.48,6380711,52.48
2017-05-03,52.15,52.44,52.08,52.35,4769017,52.35
2017-05-02,52.32,52.34,52.2,52.22,4027511,52.22
2017-05-01,52.05,52.11,51.99,52.06,3742242,52.06
2017-04-28,51.91,51.93,51.84,51.86,6285128,51.86
2017-04-27,52.13,52.17,52.02,52.11,7082180,52.11
2017-04-26,52.09,52.22,52.06,52.07,7508925,52.07
2017-04-25,52.05,52.14,51.99,52.01,3638518,52.01
2017-04-24,51.82,51.85,51.72,51.82,5117447,51.82
2017-04-21,51.45,51.51,51.4,51.46,6415536,51.46
2017-04-20,51.19,51.32,51.18,51.27,11182137,51.27
2017-04-19,51.11,51.14,50.9,50.96,4284519,50.96
2017-04-18,50.96,50.99,50.85,50.99,5455745,50.99
2017-04-17,51.07,51.2,51.04,51.15,5103353,51.15
2017-04-13,50.73,50.73,50.58,50.61,3676739,50.61
2017-04-12,50.97,51.1,50.88,51.04,4377514,51.04
2017-04-11,51.11,51.22,50.9,51.21,4957010,51.21
2017-04-10,50.9,51.01,50.84,50.95,3210619,50.95
2017-04-07,51.09,51.2,51.0,51.07,5140563,51.07
2017-04-06,50.84,50.96,50.81,50.96,4504219,50.96
2017-04-05,51.45,51.56,51.22,51.22,8765596,51.22
2017-04-04,51.48,51.67,51.38,51.58,12276850,51.58
2017-04-03,51.56,51.79,51.46,51.76,5719287,51.76
2017-03-31,51.32,51.52,51.28,51.5,6983556,51.5
2017-03-30,51.97,52.04,51.94,51.98,4347069,51.98
2017-03-29,52.19,52.28,52.17,52.27,5097343,52.27
2017-03-28,52.1,52.38,52.09,52.34,8114563,52.34
2017-03-27,51.65,51.97,51.61,51.9,5845997,51.9
2017-03-24,51.86,52.04,51.86,51.87,6053330,51.87
2017-03-23,51.44,51.69,51.38,51.55,5926007,51.55
2017-03-22,51.38,51.55,51.28,51.51,5885051,51.51
2017-03-21,51.99,52.01,51.37,51.44,10785764,51.44
2017-03-20,51.91,51.99,51.73,51.85,4450551,51.85
2017-03-17,51.8,51.91,51.74,51.83,5346861,51.83
2017-03-16,52.06,52.09,51.64,51.66,10675411,51.66
2017-03-15,51.34,51.88,51.33,51.76,9534506,51.76
2017-03-14,51.32,51.34,51.2,51.24,13286318,51.24
2017-03-13,51.58,51.65,51.53,51.6,4795801,51.6
2017-03-10,51.29,51.38,51.23,51.34,5086324,51.34
2017-03-09,50.86,51.01,50.84,50.97,3791591,50.97
2017-03-08,51.07,51.1,50.93,50.97,3220119,50.97
2017-03-07,51.21,51.29,51.13,51.13,4147553,51.13
2017-03-06,51.23,51.29,51.15,51.25,4109305,51.25
2017-03-03,51.29,51.39,51.18,51.37,4988469,51.37
2017-03-02,51.54,51.55,51.29,51.34,5496725,51.34
2017-03-01,51.69,51.96,51.66,51.83,6661408,51.83
2017-02-28,51.33,51.38,51.16,51.23,5878512,51.23
2017-02-27,51.26,51.37,51.21,51.36,3577364,51.36
