Date,Open,High,Low,Close,Volume,Adj Close
2017-02-03,131.24,132.85,130.76,130.98,24804890,130.98
2017-02-02,133.22,135.49,130.4,130.84,54366447,130.84
2017-02-01,132.25,133.49,130.68,133.23,50139775,133.23
2017-01-31,130.17,130.66,129.52,130.32,19790484,130.32
2017-01-30,131.58,131.58,129.6,130.98,18956095,130.98
2017-01-27,132.68,132.95,131.08,132.18,19539514,132.18
2017-01-26,131.63,133.14,131.44,132.78,20020141,132.78
2017-01-25,130.0,131.74,129.77,131.48,18777314,131.48
2017-01-24,129.38,129.9,128.38,129.37,15162724,129.37
2017-01-23,127.31,129.25,126.95,128.93,16593563,128.93
2017-01-20,128.1,128.48,126.78,127.04,19097223,127.04
2017-01-19,128.23,128.35,127.45,127.55,12195465,127.55
2017-01-18,128.41,128.43,126.84,127.92,13145852,127.92
2017-01-17,128.04,128.34,127.4,127.87,15294460,127.87
2017-01-13,127.49,129.27,127.37,128.34,24884325,128.34
2017-01-12,125.61,126.73,124.8,126.62,18653914,126.62
2017-01-11,124.35,126.12,124.06,126.09,18356523,126.09
2017-01-10,124.82,125.5,124.28,124.35,17324590,124.35
2017-01-09,123.55,125.43,123.04,124.9,22880360,124.9
2017-01-06,120.98,123.88,120.03,123.41,28545263,123.41
2017-01-05,118.86,120.95,118.32,120.67,19492150,120.67
2017-01-04,117.55,119.66,117.29,118.69,19630932,118.69
2017-01-03,116.03,117.84,115.51,116.86,20663912,116.86
2016-12-30,116.6,116.83,114.77,115.05,18684106,115.05
2016-12-29,117.0,117.53,116.06,116.35,9934873,116.35
2016-12-28,118.19,118.25,116.65,116.92,12087377,116.92
2016-12-27,116.96,118.68,116.86,118.01,12051481,118.01
2016-12-23,117.0,117.56,116.3,117.27,10889985,117.27
2016-12-22,118.86,118.99,116.93,117.4,16258587,117.4
2016-12-21,118.92,119.2,118.48,119.04,10767646,119.04
2016-12-20,119.5,119.77,118.8,119.09,13684402,119.09
2016-12-19,119.85,120.36,118.51,119.24,15918146,119.24
2016-12-16,120.9,121.5,119.27,119.87,25324299,119.87
2016-12-15,120.08,122.5,119.63,120.57,20139568,120.57
2016-12-14,120.0,121.69,118.85,120.21,25913095,120.21
2016-12-13,117.86,121.52,117.61,120.31,29768028,120.31
2016-12-12,119.22,119.24,117.65,117.77,17805527,117.77
2016-12-09,119.22,119.94,118.95,119.68,17464736,119.68
2016-12-08,117.98,119.5,117.64,118.91,22442756,118.91
