Date,Open,High,Low,Close,Volume,Adj Close
2017-06-06,21.5,21.58,21.46,21.53,56015,21.53
2017-06-05,21.62,21.62,21.54,21.54,46906,21.54
2017-06-02,21.6,21.67,21.54,21.58,90249,21.58
2017-06-01,21.6,21.78,21.58,21.64,72804,21.64
2017-05-31,21.5,21.6,21.41,21.6,102824,21.6
2017-05-30,21.41,21.5,21.4,21.5,59788,21.5
2017-05-26,21.35,21.5,21.35,21.47,42572,21.47
2017-05-25,21.45,21.49,21.37,21.4,55895,21.4
2017-05-24,21.39,21.43,21.31,21.4,67665,21.4
2017-05-23,21.45,21.53,21.38,21.39,50096,21.39
2017-05-22,21.35,21.55,21.35,21.45,84386,21.45
2017-05-19,21.25,21.36,21.24,21.35,103205,21.35
2017-05-18,21.2,21.45,21.2,21.37,88142,21.37
2017-05-17,21.18,21.27,21.14,21.17,88275,21.17
2017-05-16,21.26,21.32,21.1,21.21,164411,21.21
2017-05-15,21.32,21.42,21.27,21.3,85562,21.3
2017-05-12,21.29,21.34,21.2,21.26,80929,21.26
2017-05-11,21.26,21.28,21.21,21.21,64772,21.21
2017-05-10,21.13,21.31,21.1,21.28,97038,21.28
2017-05-09,21.05,21.2,21.02,21.2,77218,21.2
2017-05-08,21.16,21.25,21.05,21.08,116705,21.08
2017-05-05,21.06,21.17,21.04,21.17,71686,21.17
2017-05-04,20.95,21.03,20.87,21.03,71714,21.03
2017-05-03,20.92,21.01,20.92,20.97,71036,20.97
2017-05-02,20.99,21.08,20.9,20.93,229573,20.93
2017-05-01,20.87,21.0,20.87,20.99,114726,20.99
2017-04-28,20.8,20.87,20.76,20.87,103507,20.87
2017-04-27,20.85,20.85,20.75,20.78,65152,20.78
2017-04-26,20.8,20.84,20.73,20.84,58627,20.84
2017-04-25,20.8,20.86,20.75,20.77,77337,20.77
2017-04-24,20.82,20.82,20.72,20.8,85661,20.8
2017-04-21,20.89,20.89,20.75,20.8,59515,20.8
2017-04-20,20.74,20.91,20.72,20.89,65143,20.89
2017-04-19,20.77,20.82,20.72,20.72,90507,20.72
2017-04-18,20.76,20.91,20.7,20.84,86818,20.84
2017-04-17,20.8,20.9,20.77,20.8,92205,20.8
2017-04-13,20.71,20.82,20.71,20.76,58280,20.76
2017-04-12,20.93,20.93,20.72,20.74,92490,20.74
2017-04-11,20.82,20.95,20.74,20.92,75470,20.92
2017-04-10,20.66,20.85,20.66,20.82,94179,20.82
2017-04-07,20.58,20.69,20.58,20.69,69285,20.69
2017-04-06,20.54,20.68,20.53,20.57,58727,20.57
2017-04-05,20.57,20.65,20.51,20.51,67919,20.51
2017-04-04,20.6,20.61,20.53,20.56,48935,20.56
2017-04-03,20.55,20.6,20.5,20.6,76738,20.6
2017-03-31,20.5,20.58,20.49,20.55,66121,20.55
2017-03-30,20.44,20.54,20.43,20.45,88362,20.45
2017-03-29,20.28,20.45,20.28,20.41,77219,20.41
2017-03-28,20.18,20.32,20.12,20.29,77782,20.29
2017-03-27,20.16,20.17,20.0,20.12,93273,20.12
2017-03-24,20.28,20.46,20.11,20.2,75910,20.2
2017-03-23,20.15,20.33,20.15,20.25,43877,20.25
2017-03-22,20.16,20.26,20.0,20.18,123252,20.18
2017-03-21,20.45,20.52,20.29,20.3,120336,20.3
2017-03-20,20.2,20.49,20.14,20.46,85304,20.46
2017-03-17,20.1,20.15,19.95,20.15,95033,20.15
2017-03-16,19.94,20.01,19.81,20.0,99243,20.0
2017-03-15,19.68,19.95,19.67,19.92,110799,19.92
2017-03-14,19.51,19.6,19.45,19.56,137265,19.56
2017-03-13,19.55,19.58,19.46,19.49,112505,19.49
2017-03-10,19.19,19.54,19.19,19.52,226865,19.52
2017-03-09,19.52,19.61,19.12,19.16,296657,19.16
2017-03-08,19.68,19.74,19.59,19.65,227837,19.65
2017-03-07,19.81,19.81,19.68,19.75,73036,19.75
2017-03-06,19.76,19.89,19.7,19.78,123273,19.78
2017-03-03,19.8,19.85,19.71,19.82,60473,19.82
2017-03-02,19.83,19.83,19.71,19.77,61847,19.77
2017-03-01,19.74,19.86,19.67,19.83,119832,19.83
2017-02-28,19.82,19.88,19.67,19.78,121946,19.78
2017-02-27,19.84,19.88,19.67,19.79,98523,19.79
2017-02-24,19.73,19.85,19.73,19.83,76149,19.83
2017-02-23,19.62,19.73,19.62,19.72,72138,19.72
2017-02-22,19.65,19.71,19.54,19.61,94468,19.61
2017-02-21,19.6,19.7,19.56,19.6,113309,19.6
2017-02-17,19.7,19.78,19.59,19.64,91227,19.64
2017-02-16,19.9,19.9,19.68,19.72,88917,19.72
2017-02-15,19.93,19.98,19.86,19.9,121597,19.9
2017-02-14,19.93,19.98,19.77,19.98,112409,19.98
2017-02-13,20.02,20.05,19.93,19.93,85618,19.93
2017-02-10,20.04,20.06,19.96,20.03,78990,20.03
2017-02-09,20.07,20.15,19.96,20.02,77487,20.02
2017-02-08,19.97,20.14,19.96,20.03,112202,20.03
2017-02-07,20.02,20.03,19.91,19.97,78897,19.97
2017-02-06,19.97,20.06,19.94,19.95,127734,19.95
2017-02-03,19.91,20.15,19.91,19.91,98114,19.91
2017-02-02,19.94,19.96,19.87,19.88,120693,19.88
2017-02-01,19.91,19.95,19.83,19.9,89055,19.9
2017-01-31,19.95,19.95,19.84,19.84,166265,19.84
2017-01-30,19.66,19.9,19.64,19.89,125750,19.89
2017-01-27,19.71,19.72,19.62,19.66,85369,19.66
2017-01-26,19.77,19.77,19.59,19.72,105268,19.72
2017-01-25,19.78,19.92,19.63,19.72,131077,19.72
2017-01-24,19.61,19.78,19.6,19.77,85572,19.77
2017-01-23,19.4,19.66,19.4,19.66,107895,19.66
2017-01-20,19.67,19.67,19.19,19.39,184782,19.39
2017-01-19,19.84,19.87,19.6,19.76,137746,19.76
2017-01-18,19.93,19.93,19.68,19.91,90641,19.91
2017-01-17,19.87,19.95,19.74,19.88,136356,19.88
2017-01-13,19.55,19.78,19.53,19.77,99861,19.77
2017-01-12,19.54,19.66,19.48,19.56,134229,19.56
2017-01-11,19.44,19.5,19.37,19.5,118207,19.5
2017-01-10,19.32,19.45,19.26,19.44,127446,19.44
2017-01-09,19.2,19.36,19.2,19.36,113518,19.36
2017-01-06,19.24,19.25,19.12,19.22,85691,19.22
2017-01-05,19.33,19.37,19.12,19.22,153842,19.22
