Date,Open,High,Low,Close,Volume,Adj Close
2016-02-24,1.4,1.4,1.32,1.37,2919805,1.37
2016-02-23,1.38,1.4,1.35,1.38,1339677,1.38
2016-02-22,1.4,1.4,1.35,1.39,2330087,1.39
2016-02-19,1.43,1.45,1.35,1.4,2612848,1.4
2016-02-18,1.3,1.42,1.3,1.4,6103945,1.4
2016-02-17,1.32,1.32,1.28,1.3,2997222,1.3
2016-02-16,1.34,1.35,1.27,1.28,2885208,1.28
2016-02-12,1.34,1.41,1.29,1.3,2922869,1.3
2016-02-11,1.35,1.37,1.29,1.31,2639731,1.31
2016-02-10,1.38,1.42,1.37,1.38,1450736,1.38
2016-02-09,1.38,1.43,1.36,1.38,1029775,1.38
2016-02-08,1.38,1.45,1.36,1.41,2095581,1.41
2016-02-05,1.46,1.52,1.41,1.45,4788798,1.45
2016-02-04,1.28,1.48,1.27,1.45,6727742,1.45
2016-02-03,1.24,1.27,1.2,1.26,2458138,1.26
2016-02-02,1.28,1.29,1.22,1.24,2055463,1.24
2016-02-01,1.36,1.36,1.26,1.29,3195060,1.29
2016-01-29,1.43,1.43,1.31,1.33,4331595,1.33
2016-01-28,1.47,1.5,1.42,1.43,2465694,1.43
2016-01-27,1.38,1.5,1.35,1.48,3636581,1.48
2016-01-26,1.43,1.43,1.33,1.38,2675571,1.38
2016-01-25,1.46,1.54,1.39,1.4,7914499,1.4
2016-01-22,1.36,1.47,1.34,1.44,7551213,1.44
2016-01-21,1.1,1.32,1.1,1.28,9483924,1.28
2016-01-20,1.02,1.12,0.98,1.1,14836871,1.1
2016-01-19,1.3,1.3,1.09,1.1,11597841,1.1
2016-01-15,1.3,1.34,1.21,1.26,6907854,1.26
2016-01-14,1.44,1.46,1.24,1.36,9998104,1.36
2016-01-13,1.6,1.63,1.45,1.47,4998761,1.47
2016-01-12,1.59,1.63,1.55,1.58,4195384,1.58
2016-01-11,1.65,1.66,1.59,1.6,3372085,1.6
2016-01-08,1.7,1.7,1.63,1.65,1728575,1.65
2016-01-07,1.66,1.68,1.63,1.65,2751325,1.65
2016-01-06,1.68,1.73,1.67,1.7,2348859,1.7
2016-01-05,1.68,1.7,1.63,1.7,1914996,1.7
2016-01-04,1.64,1.72,1.58,1.67,3904013,1.67
2015-12-31,1.62,1.64,1.58,1.64,5952309,1.64
2015-12-30,1.68,1.69,1.61,1.64,4194279,1.64
2015-12-29,1.68,1.71,1.67,1.69,7424182,1.69
2015-12-28,1.7,1.71,1.67,1.7,3176598,1.7
2015-12-24,1.72,1.72,1.69,1.71,1147281,1.71
2015-12-23,1.68,1.73,1.67,1.71,3158249,1.71
2015-12-22,1.66,1.73,1.63,1.68,4603845,1.68
2015-12-21,1.74,1.74,1.65,1.65,23532216,1.65
2015-12-18,1.76,1.78,1.66,1.75,5724052,1.75
2015-12-17,1.62,1.81,1.61,1.79,6060700,1.79
2015-12-16,1.76,1.78,1.6,1.67,12779323,1.67
2015-12-15,1.8,1.91,1.76,1.77,6305665,1.77
2015-12-14,1.9,1.91,1.73,1.78,6640348,1.78
2015-12-11,1.96,1.97,1.89,1.9,4114172,1.9
2015-12-10,1.98,1.99,1.96,1.97,2268737,1.97
2015-12-09,2.02,2.03,1.97,1.98,3716758,1.98
2015-12-08,2.08,2.09,1.95,2.01,3096907,2.01
2015-12-07,2.06,2.1,1.96,2.1,4191536,2.1
2015-12-04,1.92,2.08,1.92,2.07,4465695,2.07
2015-12-03,1.96,1.96,1.75,1.91,12090908,1.91
2015-12-02,2.02,2.06,1.95,1.98,8466994,1.98
2015-12-01,2.08,2.09,2.04,2.05,1922516,2.05
2015-11-30,2.08,2.11,2.07,2.09,1436650,2.09
2015-11-27,2.08,2.1,2.08,2.09,911187,2.09
2015-11-25,2.13,2.14,2.07,2.09,2458431,2.09
2015-11-24,2.12,2.14,2.11,2.13,1126210,2.13
2015-11-23,2.14,2.15,2.12,2.13,1855690,2.13
2015-11-20,2.16,2.16,2.14,2.15,1380845,2.15
2015-11-19,2.16,2.17,2.14,2.16,1526523,2.16
2015-11-18,2.16,2.18,2.15,2.17,1478984,2.17
2015-11-17,2.21,2.22,2.16,2.18,1353583,2.18
2015-11-16,2.18,2.22,2.16,2.21,1089629,2.21
2015-11-13,2.21,2.23,2.16,2.19,3730212,2.19
2015-11-12,2.22,2.24,2.2,2.21,1115721,2.21
2015-11-11,2.22,2.26,2.22,2.23,797792,2.23
2015-11-10,2.24,2.24,2.21,2.23,1584195,2.23
2015-11-09,2.26,2.28,2.22,2.23,1851866,2.23
2015-11-06,2.26,2.28,2.23,2.25,1895887,2.25
2015-11-05,2.26,2.35,2.23,2.26,3344778,2.26
2015-11-04,2.28,2.29,2.26,2.27,1389627,2.27
2015-11-03,2.25,2.3,2.25,2.28,2157601,2.28
2015-11-02,2.24,2.26,2.22,2.24,1825943,2.24
2015-10-30,2.24,2.27,2.23,2.25,1335740,2.25
2015-10-29,2.26,2.27,2.24,2.25,2056227,2.25
2015-10-28,2.25,2.29,2.24,2.27,1753892,2.27
2015-10-27,2.26,2.28,2.25,2.26,874601,2.26
2015-10-26,2.28,2.29,2.25,2.27,2041242,2.27
2015-10-23,2.28,2.32,2.27,2.28,1958723,2.28
2015-10-22,2.28,2.3,2.26,2.28,1997835,2.28
2015-10-21,2.35,2.39,2.28,2.28,4726556,2.28
2015-10-20,2.36,2.37,2.3,2.35,2765669,2.35
2015-10-19,2.46,2.46,2.3,2.39,7398161,2.39
2015-10-16,2.58,2.59,2.47,2.5,3577264,2.5
2015-10-15,2.66,2.66,2.53,2.6,3793012,2.6
2015-10-14,2.6,2.7,2.58,2.65,7242566,2.65
2015-10-13,2.48,2.61,2.44,2.61,6150183,2.61
2015-10-12,2.46,2.5,2.38,2.48,4775498,2.48
2015-10-09,2.48,2.53,2.44,2.46,5481554,2.46
2015-10-08,2.43,2.53,2.4,2.44,9112371,2.44
2015-10-07,2.36,2.43,2.31,2.42,5082525,2.42
2015-10-06,2.25,2.42,2.23,2.4,13115735,2.4
2015-10-05,2.24,2.25,2.2,2.22,1981427,2.22
2015-10-02,2.24,2.26,2.21,2.24,1515876,2.24
2015-10-01,2.26,2.3,2.23,2.26,2089836,2.26
2015-09-30,2.22,2.28,2.22,2.25,1819428,2.25
2015-09-29,2.16,2.25,2.15,2.22,2764090,2.22
2015-09-28,2.3,2.32,2.12,2.14,7809892,2.14
2015-09-25,2.29,2.33,2.28,2.33,2223513,2.33
2015-09-24,2.26,2.29,2.23,2.27,1665925,2.27
2015-09-23,2.3,2.3,2.26,2.26,904908,2.26
2015-09-22,2.33,2.33,2.29,2.3,1534925,2.3
2015-09-21,2.3,2.37,2.3,2.34,1673009,2.34
2015-09-18,2.36,2.36,2.3,2.31,1423563,2.31
2015-09-17,2.28,2.36,2.27,2.34,2856557,2.34
2015-09-16,2.26,2.33,2.25,2.27,2281301,2.27
2015-09-15,2.2,2.27,2.2,2.24,1254803,2.24
2015-09-14,2.22,2.22,2.18,2.2,950477,2.2
2015-09-11,2.26,2.27,2.2,2.23,1117486,2.23
2015-09-10,2.28,2.3,2.23,2.24,1544719,2.24
2015-09-09,2.3,2.31,2.27,2.28,1418296,2.28
2015-09-08,2.31,2.34,2.26,2.28,1686233,2.28
2015-09-04,2.36,2.36,2.28,2.31,2693798,2.31
2015-09-03,2.36,2.44,2.35,2.36,2352924,2.36
2015-09-02,2.34,2.37,2.33,2.35,1781222,2.35
2015-09-01,2.32,2.36,2.28,2.35,2338127,2.35
2015-08-31,2.32,2.47,2.3,2.37,10353980,2.37
2015-08-28,2.18,2.28,2.14,2.28,3948022,2.28
2015-08-27,2.16,2.19,2.14,2.19,2341641,2.19
2015-08-26,2.18,2.19,2.09,2.12,4010577,2.12
2015-08-25,2.16,2.23,2.15,2.16,3185673,2.16
2015-08-24,2.08,2.15,2.0,2.12,11517502,2.12
2015-08-21,2.28,2.29,2.15,2.21,4305248,2.21
2015-08-20,2.3,2.38,2.27,2.28,2834495,2.28
2015-08-19,2.26,2.34,2.23,2.33,2174342,2.33
2015-08-18,2.29,2.29,2.24,2.27,2674573,2.27
2015-08-17,2.3,2.32,2.28,2.29,1423996,2.29
2015-08-14,2.32,2.34,2.29,2.3,1093830,2.3
2015-08-13,2.34,2.39,2.32,2.33,1156216,2.33
2015-08-12,2.4,2.4,2.32,2.34,2052084,2.34
2015-08-11,2.38,2.41,2.34,2.4,2008563,2.4
2015-08-10,2.42,2.42,2.35,2.39,1479642,2.39
2015-08-07,2.48,2.49,2.42,2.43,1907103,2.43
2015-08-06,2.34,2.46,2.32,2.46,4076107,2.46
2015-08-05,2.42,2.45,2.32,2.36,1728941,2.36
2015-08-04,2.28,2.42,2.27,2.39,5486917,2.39
2015-08-03,2.34,2.36,2.24,2.26,4309897,2.26
2015-07-31,2.45,2.46,2.32,2.35,11976555,2.35
2015-07-30,2.45,2.48,2.45,2.46,973355,2.46
2015-07-29,2.5,2.5,2.45,2.48,1114729,2.48
2015-07-28,2.4,2.51,2.4,2.49,2800646,2.49
2015-07-27,2.48,2.5,2.35,2.41,3246070,2.41
2015-07-24,2.58,2.6,2.5,2.54,4155598,2.54
2015-07-23,2.65,2.72,2.55,2.58,6026851,2.58
2015-07-22,2.5,2.64,2.47,2.62,8842281,2.62
2015-07-21,2.44,2.53,2.44,2.5,7773298,2.5
2015-07-20,2.44,2.48,2.41,2.48,2426081,2.48
2015-07-17,2.44,2.47,2.42,2.44,2358239,2.44
2015-07-16,2.48,2.48,2.38,2.43,4055240,2.43
2015-07-15,2.34,2.53,2.33,2.47,13348900,2.47
2015-07-14,2.2,2.29,2.2,2.28,2675796,2.28
2015-07-13,2.2,2.24,2.17,2.2,1464299,2.2
2015-07-10,2.19,2.25,2.17,2.18,3349834,2.18
2015-07-09,2.14,2.2,2.13,2.17,3378247,2.17
2015-07-08,2.15,2.16,2.1,2.13,2835694,2.13
2015-07-07,2.2,2.23,2.07,2.19,6922825,2.19
2015-07-06,2.28,2.3,2.2,2.22,3928909,2.22
2015-07-02,2.32,2.34,2.28,2.3,1838801,2.3
2015-07-01,2.34,2.42,2.31,2.31,5585942,2.31
2015-06-30,2.3,2.35,2.29,2.32,1991451,2.32
2015-06-29,2.36,2.37,2.27,2.3,5323239,2.3
2015-06-26,2.4,2.43,2.37,2.39,2386485,2.39
2015-06-25,2.44,2.44,2.35,2.36,5577403,2.36
2015-06-24,2.44,2.47,2.42,2.43,2665621,2.43
2015-06-23,2.42,2.48,2.42,2.46,1482823,2.46
2015-06-22,2.46,2.46,2.42,2.43,2581920,2.43
2015-06-19,2.48,2.53,2.45,2.46,2206764,2.46
2015-06-18,2.52,2.54,2.48,2.49,2042357,2.49
2015-06-17,2.54,2.57,2.51,2.54,2023515,2.54
2015-06-16,2.6,2.61,2.54,2.55,1389368,2.55
2015-06-15,2.5,2.66,2.45,2.58,9306322,2.58
2015-06-12,2.56,2.58,2.48,2.51,1683736,2.51
2015-06-11,2.46,2.56,2.45,2.55,3917295,2.55
2015-06-10,2.4,2.48,2.39,2.46,1766537,2.46
2015-06-09,2.42,2.44,2.39,2.4,5956830,2.4
2015-06-08,2.52,2.58,2.44,2.44,3126831,2.44
2015-06-05,2.42,2.54,2.39,2.52,5045472,2.52
