Date,Open,High,Low,Close,Volume,Adj Close
2017-06-06,3.11,3.11,3.0,3.06,331037,3.06
2017-06-05,3.1,3.14,3.02,3.11,344544,3.11
2017-06-02,3.05,3.14,3.0,3.1,872062,3.1
2017-06-01,2.95,3.18,2.94,3.06,939032,3.06
2017-05-31,2.96,3.06,2.85,3.03,633756,3.03
2017-05-30,3.02,3.06,2.9,2.94,487730,2.94
2017-05-26,3.04,3.07,2.95,3.03,248055,3.03
2017-05-25,3.05,3.11,2.94,3.05,511664,3.05
2017-05-24,2.98,3.07,2.92,3.06,674431,3.06
2017-05-23,3.03,3.05,2.95,2.96,531927,2.96
2017-05-22,2.99,3.05,2.95,3.0,540589,3.0
2017-05-19,2.95,2.97,2.84,2.96,571586,2.96
2017-05-18,2.85,2.93,2.71,2.92,1111270,2.92
2017-05-17,3.01,3.02,2.83,2.85,963232,2.85
2017-05-16,3.01,3.08,2.95,3.08,762542,3.08
2017-05-15,3.15,3.19,2.92,3.0,1724475,3.0
2017-05-12,3.45,3.45,3.01,3.15,1844517,3.15
2017-05-11,3.15,3.55,3.06,3.48,2853519,3.48
2017-05-10,4.03,4.15,3.08,3.21,5365285,3.21
2017-05-09,5.05,5.18,4.9,4.96,1198574,4.96
2017-05-08,5.46,5.46,4.92,5.03,1555906,5.03
2017-05-05,5.38,5.62,5.3,5.46,1199714,5.46
2017-05-04,5.41,5.49,5.27,5.36,607619,5.36
2017-05-03,5.34,5.55,5.27,5.4,853918,5.4
2017-05-02,5.09,5.35,5.05,5.27,1042471,5.27
2017-05-01,5.03,5.22,5.0,5.08,745445,5.08
2017-04-28,5.52,5.55,4.8,5.02,1358410,5.02
2017-04-27,5.59,5.9,5.33,5.52,2398202,5.52
2017-04-26,4.9,5.77,4.9,5.6,5424591,5.6
2017-04-25,5.21,5.23,4.86,4.96,2086864,4.96
2017-04-24,4.47,5.22,4.43,5.22,4215890,5.22
2017-04-21,4.29,4.46,4.2,4.4,556225,4.4
2017-04-20,4.38,4.47,4.28,4.3,674592,4.3
2017-04-19,4.3,4.47,4.27,4.35,593567,4.35
2017-04-18,4.3,4.4,4.26,4.31,389797,4.31
2017-04-17,4.28,4.35,4.07,4.32,635115,4.32
2017-04-13,4.25,4.42,4.17,4.27,628853,4.27
2017-04-12,4.38,4.44,4.27,4.31,541005,4.31
2017-04-11,4.49,4.6,4.28,4.39,744780,4.39
2017-04-10,4.46,4.72,4.33,4.5,1214097,4.5
2017-04-07,4.82,4.89,4.37,4.46,1879017,4.46
2017-04-06,5.01,5.14,4.53,4.85,1151715,4.85
2017-04-05,4.98,5.2,4.91,5.01,884235,5.01
2017-04-04,5.05,5.09,4.85,4.98,1176308,4.98
2017-04-03,5.39,5.61,4.98,5.11,1692504,5.11
2017-03-31,5.27,5.43,5.22,5.36,1169682,5.36
2017-03-30,5.35,5.4,5.12,5.23,1396009,5.23
2017-03-29,5.06,5.23,4.9,5.18,1086716,5.18
2017-03-28,5.29,5.48,4.82,5.05,2387349,5.05
2017-03-27,4.75,5.27,4.51,5.24,2046842,5.24
2017-03-24,4.6,5.38,4.46,4.75,4830680,4.75
2017-03-23,4.04,4.52,4.02,4.49,893727,4.49
2017-03-22,4.25,4.35,3.93,4.06,871864,4.06
2017-03-21,4.23,4.5,4.21,4.28,1517639,4.28
2017-03-20,4.17,4.22,3.99,4.2,1066648,4.2
2017-03-17,3.89,4.25,3.84,4.1,2083232,4.1
2017-03-16,3.92,3.97,3.84,3.91,491363,3.91
2017-03-15,3.88,3.95,3.67,3.92,804694,3.92
2017-03-14,3.62,4.06,3.6,3.85,1704189,3.85
2017-03-13,3.32,3.76,3.25,3.74,1168006,3.74
2017-03-10,3.3,3.39,3.23,3.33,286350,3.33
2017-03-09,3.24,3.35,3.18,3.27,350186,3.27
2017-03-08,3.16,3.44,3.1,3.24,924830,3.24
2017-03-07,3.0,3.17,3.0,3.13,315510,3.13
2017-03-06,3.25,3.3,3.0,3.03,485382,3.03
2017-03-03,3.12,3.4,3.11,3.23,620894,3.23
2017-03-02,2.95,3.37,2.95,3.12,942865,3.12
2017-03-01,2.85,2.98,2.63,2.93,602064,2.93
2017-02-28,2.97,2.97,2.78,2.82,363561,2.82
2017-02-27,3.05,3.1,2.81,2.99,434293,2.99
2017-02-24,2.7,3.09,2.64,3.07,1061562,3.07
2017-02-23,2.78,2.78,2.55,2.69,438469,2.69
2017-02-22,2.36,2.79,2.36,2.71,1485521,2.71
2017-02-21,2.49,2.62,2.43,2.55,971548,2.55
2017-02-17,2.41,2.55,2.41,2.47,220340,2.47
2017-02-16,2.43,2.5,2.42,2.46,163923,2.46
2017-02-15,2.5,2.51,2.42,2.45,171199,2.45
2017-02-14,2.39,2.63,2.38,2.49,518370,2.49
2017-02-13,2.33,2.36,2.29,2.34,141531,2.34
2017-02-10,2.35,2.4,2.22,2.31,179793,2.31
2017-02-09,2.33,2.42,2.3,2.36,169980,2.36
2017-02-08,2.32,2.33,2.29,2.33,111996,2.33
2017-02-07,2.3,2.34,2.28,2.31,89337,2.31
2017-02-06,2.32,2.34,2.22,2.29,783539,2.29
2017-02-03,2.25,2.38,2.25,2.3,282972,2.3
2017-02-02,2.22,2.27,2.18,2.26,215298,2.26
2017-02-01,2.03,2.28,1.99,2.22,470698,2.22
2017-01-31,1.95,2.04,1.95,2.0,60041,2.0
2017-01-30,1.98,2.02,1.95,1.97,160870,1.97
2017-01-27,2.07,2.08,2.0,2.02,41060,2.02
2017-01-26,2.08,2.08,2.0,2.05,47337,2.05
2017-01-25,2.03,2.1,2.0,2.08,86979,2.08
2017-01-24,2.04,2.06,1.99,2.0,207867,2.0
2017-01-23,2.07,2.14,2.04,2.05,137989,2.05
2017-01-20,2.09,2.1,2.07,2.08,93472,2.08
2017-01-19,2.11,2.11,2.04,2.08,125497,2.08
2017-01-18,2.1,2.14,2.09,2.1,170752,2.1
2017-01-17,2.15,2.17,2.05,2.1,155432,2.1
2017-01-13,2.13,2.21,2.08,2.14,156008,2.14
2017-01-12,2.15,2.18,2.08,2.13,157968,2.13
2017-01-11,2.03,2.26,2.02,2.17,753589,2.17
2017-01-10,2.05,2.15,2.02,2.03,443913,2.03
2017-01-09,1.9,2.04,1.9,2.02,312020,2.02
2017-01-06,1.92,1.94,1.86,1.92,63822,1.92
2017-01-05,1.99,1.99,1.85,1.89,176516,1.89
2017-01-04,1.9,2.01,1.85,1.9,266304,1.9
2017-01-03,1.76,1.95,1.72,1.92,400227,1.92
2016-12-30,1.7,1.73,1.7,1.71,398004,1.71
2016-12-29,1.74,1.76,1.7,1.71,325455,1.71
2016-12-28,1.74,1.77,1.73,1.75,232569,1.75
2016-12-27,1.74,1.8,1.74,1.74,203918,1.74
2016-12-23,1.75,1.78,1.72,1.75,155036,1.75
2016-12-22,1.81,1.85,1.75,1.75,199881,1.75
2016-12-21,1.84,1.85,1.79,1.8,97356,1.8
2016-12-20,1.84,1.85,1.79,1.83,166755,1.83
2016-12-19,1.89,1.89,1.81,1.82,104888,1.82
2016-12-16,1.88,1.97,1.83,1.85,162004,1.85
2016-12-15,1.93,1.99,1.88,1.9,131450,1.9
2016-12-14,1.87,1.94,1.84,1.94,169283,1.94
2016-12-13,1.93,1.94,1.84,1.87,464457,1.87
2016-12-12,1.96,2.0,1.91,1.95,213721,1.95
2016-12-09,1.86,1.99,1.86,1.98,188067,1.98
2016-12-08,1.88,1.91,1.81,1.84,377466,1.84
2016-12-07,1.87,1.91,1.81,1.87,235905,1.87
2016-12-06,1.88,1.89,1.77,1.86,193911,1.86
2016-12-05,1.73,1.88,1.73,1.85,300203,1.85
2016-12-02,1.7,1.8,1.7,1.75,407764,1.75
2016-12-01,1.83,1.89,1.71,1.71,256005,1.71
2016-11-30,1.97,1.99,1.8,1.82,426831,1.82
2016-11-29,1.96,1.98,1.9,1.96,105506,1.96
2016-11-28,1.95,2.04,1.93,1.95,94141,1.95
2016-11-25,1.99,2.02,1.92,2.0,24404,2.0
2016-11-23,1.98,2.05,1.96,1.99,92815,1.99
2016-11-22,1.9,2.0,1.9,1.99,110205,1.99
2016-11-21,1.96,2.04,1.92,1.93,151649,1.93
2016-11-18,2.04,2.14,1.96,1.96,194045,1.96
2016-11-17,2.09,2.15,2.04,2.04,146230,2.04
2016-11-16,1.88,2.11,1.87,2.07,370386,2.07
2016-11-15,1.83,1.97,1.8,1.91,362964,1.91
2016-11-14,1.82,1.88,1.79,1.81,419942,1.81
2016-11-11,1.83,1.84,1.78,1.79,381447,1.79
2016-11-10,1.9,1.92,1.79,1.82,522351,1.82
2016-11-09,1.78,1.9,1.76,1.86,188172,1.86
2016-11-08,1.77,1.9,1.77,1.86,211408,1.86
2016-11-07,1.78,1.9,1.74,1.75,315719,1.75
2016-11-04,1.82,1.9,1.76,1.76,235120,1.76
2016-11-03,1.95,1.96,1.81,1.81,384265,1.81
2016-11-02,2.0,2.02,1.95,1.97,306486,1.97
2016-11-01,2.0,2.07,1.95,1.99,387729,1.99
2016-10-31,2.06,2.17,1.98,1.98,598975,1.98
2016-10-28,2.3,2.33,2.09,2.14,601768,2.14
2016-10-27,2.46,2.5,2.32,2.34,405089,2.34
2016-10-26,2.69,2.8,2.34,2.45,916489,2.45
2016-10-25,2.83,2.9,2.8,2.89,254363,2.89
2016-10-24,2.84,2.84,2.73,2.82,194522,2.82
2016-10-21,2.78,2.82,2.71,2.8,139670,2.8
