Date,Open,High,Low,Close,Volume,Adj Close
2017-06-06,40.4,40.62,40.39,40.55,9516820,40.55
2017-06-05,40.3,40.4,40.28,40.29,8676194,40.29
2017-06-02,40.4,40.56,40.34,40.52,8567277,40.52
2017-06-01,40.3,40.52,40.19,40.5,12789114,40.5
2017-05-31,40.23,40.28,40.06,40.14,12266652,40.14
2017-05-30,40.14,40.38,40.12,40.35,7431240,40.35
2017-05-26,40.09,40.27,40.09,40.23,8001853,40.23
2017-05-25,40.16,40.29,40.12,40.24,16892827,40.24
2017-05-24,39.58,39.68,39.56,39.59,10371206,39.59
2017-05-23,39.65,39.67,39.53,39.58,10345256,39.58
2017-05-22,39.58,39.7,39.54,39.63,11968950,39.63
2017-05-19,39.19,39.49,39.18,39.44,17488355,39.44
2017-05-18,38.72,39.17,38.66,39.04,16276680,39.04
2017-05-17,39.19,39.27,38.82,38.92,24698490,38.92
2017-05-16,39.41,39.51,39.29,39.48,18317100,39.48
2017-05-15,39.29,39.65,39.27,39.57,25140722,39.57
2017-05-12,38.84,39.07,38.83,39.06,21065844,39.06
2017-05-11,38.6,38.66,38.42,38.65,12279693,38.65
2017-05-10,38.63,38.75,38.54,38.68,14479991,38.68
2017-05-09,38.28,38.46,38.26,38.3,26547539,38.3
2017-05-08,37.78,37.84,37.61,37.65,10631517,37.65
2017-05-05,37.52,37.77,37.51,37.77,17211386,37.77
2017-05-04,37.99,37.99,37.62,37.75,31288027,37.75
2017-05-03,38.36,38.43,38.2,38.29,13641511,38.29
2017-05-02,38.44,38.53,38.34,38.47,14208101,38.47
2017-05-01,38.67,38.77,38.54,38.6,8406026,38.6
2017-04-28,38.5,38.55,38.43,38.53,9083995,38.53
2017-04-27,38.54,38.57,38.4,38.54,10982917,38.54
2017-04-26,38.68,38.84,38.66,38.7,12783889,38.7
2017-04-25,38.69,38.77,38.64,38.68,19602546,38.68
2017-04-24,38.25,38.31,38.15,38.17,16190889,38.17
2017-04-21,37.87,38.01,37.82,37.96,12352056,37.96
2017-04-20,38.01,38.12,37.92,38.08,17474564,38.08
2017-04-19,37.78,37.82,37.51,37.58,16345903,37.58
2017-04-18,37.77,37.88,37.66,37.8,21900256,37.8
2017-04-17,38.29,38.49,38.24,38.46,9882734,38.46
2017-04-13,38.5,38.61,38.25,38.26,9644217,38.26
2017-04-12,38.46,38.47,38.25,38.36,10996872,38.36
2017-04-11,38.33,38.38,38.1,38.32,12959684,38.32
2017-04-10,38.51,38.59,38.44,38.51,11114030,38.51
2017-04-07,38.67,38.88,38.67,38.74,12322208,38.74
2017-04-06,38.77,38.78,38.62,38.72,12316602,38.72
2017-04-05,38.99,39.11,38.8,38.9,18791312,38.9
2017-04-04,38.73,38.96,38.69,38.82,9468906,38.82
2017-04-03,38.66,38.76,38.47,38.72,19490049,38.72
2017-03-31,38.52,38.61,38.46,38.49,14144356,38.49
2017-03-30,38.71,38.87,38.66,38.8,17012515,38.8
2017-03-29,39.01,39.15,38.94,39.09,11737815,39.09
2017-03-28,38.99,39.34,38.95,39.23,13559361,39.23
2017-03-27,38.77,39.1,38.69,39.06,14420073,39.06
2017-03-24,39.16,39.31,39.13,39.25,10557227,39.25
2017-03-23,39.06,39.37,39.04,39.24,11176299,39.24
2017-03-22,38.96,39.45,38.96,39.29,20418543,39.29
2017-03-21,39.81,39.85,39.08,39.17,27086497,39.17
2017-03-20,39.52,39.68,39.47,39.62,19981380,39.62
2017-03-17,39.26,39.26,39.08,39.14,14698752,39.14
2017-03-16,39.32,39.4,39.24,39.34,25060159,39.34
2017-03-15,38.24,38.97,38.19,38.79,30616907,38.79
2017-03-14,38.21,38.25,38.05,38.14,10282868,38.14
2017-03-13,38.24,38.37,38.21,38.26,14386474,38.26
2017-03-10,37.61,37.7,37.52,37.65,8777865,37.65
2017-03-09,37.47,37.57,37.22,37.47,17461620,37.47
2017-03-08,38.17,38.2,37.87,37.91,13544694,37.91
2017-03-07,38.05,38.08,37.89,37.96,12533776,37.96
2017-03-06,37.84,37.86,37.69,37.84,6366808,37.84
2017-03-03,37.88,37.96,37.77,37.87,13350152,37.87
2017-03-02,37.91,37.98,37.77,37.77,20424691,37.77
2017-03-01,38.37,38.68,38.34,38.6,14116177,38.6
2017-02-28,38.16,38.33,38.09,38.2,16582182,38.2
2017-02-27,38.22,38.35,38.18,38.3,11431805,38.3
