Date,Open,High,Low,Close,Volume,Adj Close
2017-06-06,24.52,24.54,24.29,24.37,32941,24.37
2017-06-05,24.69,24.7,24.56,24.7,15527,24.7
2017-06-02,24.53,24.6,24.36,24.39,39712,24.39
2017-06-01,24.69,24.79,24.41,24.42,75523,24.42
2017-05-31,24.75,24.97,24.73,24.89,46107,24.89
2017-05-30,24.88,24.88,24.6,24.63,25935,24.63
2017-05-26,24.85,24.9,24.73,24.73,24165,24.73
2017-05-25,24.89,24.92,24.71,24.79,43890,24.79
2017-05-24,25.58,25.65,25.5,25.6,42505,25.6
2017-05-23,25.52,25.67,25.52,25.59,23242,25.59
2017-05-22,25.64,25.65,25.46,25.55,39225,25.55
2017-05-19,26.15,26.15,25.74,25.83,46817,25.83
2017-05-18,26.74,26.83,26.18,26.36,94596,26.36
2017-05-17,26.2,26.62,26.06,26.51,73502,26.51
2017-05-16,25.83,26.01,25.74,25.77,33148,25.77
2017-05-15,26.04,26.06,25.57,25.65,71540,25.65
2017-05-12,26.69,26.69,26.34,26.34,166099,26.34
2017-05-11,27.02,27.23,26.92,26.94,45759,26.94
2017-05-10,27.0,27.08,26.79,26.87,47995,26.87
2017-05-09,27.5,27.5,27.19,27.41,69596,27.41
2017-05-08,28.3,28.46,28.13,28.39,29212,28.39
2017-05-05,28.63,28.63,28.27,28.27,50956,28.27
2017-05-04,28.01,28.45,27.93,28.25,98242,28.25
2017-05-03,27.38,27.6,27.3,27.5,61702,27.5
2017-05-02,27.18,27.41,27.17,27.25,49721,27.25
2017-05-01,26.9,27.12,26.72,27.06,48573,27.06
2017-04-28,27.2,27.28,27.14,27.17,35890,27.17
2017-04-27,27.11,27.32,27.11,27.14,45381,27.14
2017-04-26,26.95,26.96,26.73,26.93,60710,26.93
2017-04-25,26.94,27.0,26.83,27.0,76046,27.0
2017-04-24,27.53,27.71,27.48,27.68,43802,27.68
2017-04-21,28.13,28.19,27.92,28.0,60547,28.0
2017-04-20,27.85,28.06,27.74,27.81,86994,27.81
2017-04-19,28.26,28.68,28.22,28.6,84386,28.6
2017-04-18,28.25,28.43,28.14,28.25,189051,28.25
2017-04-17,27.53,27.62,27.28,27.29,66330,27.29
2017-04-13,27.28,27.61,27.11,27.58,62207,27.58
2017-04-12,27.36,27.6,27.36,27.41,74522,27.41
2017-04-11,27.47,27.82,27.45,27.52,98020,27.52
2017-04-10,27.22,27.34,27.15,27.23,92388,27.23
2017-04-07,27.05,27.05,26.74,26.93,40447,26.93
2017-04-06,26.9,27.08,26.84,26.96,121482,26.96
2017-04-05,26.5,26.86,26.44,26.7,56113,26.7
2017-04-04,26.93,26.99,26.58,26.81,162954,26.81
2017-04-03,27.06,27.31,26.92,26.94,48403,26.94
2017-03-31,27.22,27.31,27.14,27.31,25329,27.31
2017-03-30,26.94,27.05,26.78,26.86,108512,26.86
2017-03-29,26.58,26.66,26.4,26.48,48184,26.48
2017-03-28,26.48,26.66,26.15,26.29,50755,26.29
2017-03-27,26.95,27.03,26.48,26.53,66250,26.53
2017-03-24,26.31,26.41,26.18,26.27,69848,26.27
2017-03-23,26.5,26.54,26.11,26.27,54062,26.27
2017-03-22,26.61,26.64,26.0,26.18,79081,26.18
2017-03-21,25.62,26.47,25.42,26.36,155219,26.36
2017-03-20,25.96,25.98,25.7,25.78,69195,25.78
2017-03-17,26.34,26.52,26.32,26.43,38968,26.43
2017-03-16,26.27,26.28,26.09,26.18,79293,26.18
2017-03-15,27.74,27.79,26.68,26.93,110303,26.93
2017-03-14,27.75,27.99,27.74,27.91,101969,27.91
2017-03-13,27.81,27.81,27.55,27.69,43795,27.69
2017-03-10,28.7,28.84,28.58,28.62,21675,28.62
2017-03-09,28.98,29.27,28.77,28.9,53877,28.9
2017-03-08,27.91,28.31,27.91,28.26,24698,28.26
2017-03-07,28.08,28.26,28.02,28.2,17463,28.2
2017-03-06,28.33,28.6,28.33,28.41,89717,28.41
2017-03-03,28.29,28.47,28.22,28.32,22475,28.32
2017-03-02,28.24,28.47,28.21,28.47,47223,28.47
2017-03-01,27.63,27.7,27.21,27.35,43083,27.35
2017-02-28,28.01,28.06,27.73,27.94,40112,27.94
2017-02-27,27.89,27.9,27.7,27.73,30934,27.73
2017-02-24,27.57,27.62,27.38,27.4,71196,27.4
2017-02-23,26.6,26.97,26.6,26.82,31688,26.82
2017-02-22,26.86,26.92,26.76,26.79,32804,26.79
2017-02-21,27.37,27.37,27.04,27.07,53105,27.07
2017-02-17,27.81,27.82,27.51,27.51,41191,27.51
2017-02-16,27.09,27.28,27.05,27.2,30956,27.2
2017-02-15,27.38,27.46,27.02,27.07,53013,27.07
2017-02-14,28.08,28.38,27.82,27.9,55464,27.9
2017-02-13,27.85,28.01,27.64,27.9,45782,27.9
2017-02-10,28.57,28.62,28.2,28.32,35854,28.32
2017-02-09,28.85,28.85,28.48,28.57,61618,28.57
2017-02-08,29.54,29.59,29.16,29.3,51225,29.3
2017-02-07,29.98,30.36,29.9,30.2,32039,30.2
2017-02-06,30.04,30.26,29.99,30.24,18860,30.24
2017-02-03,30.61,30.65,30.33,30.48,27292,30.48
2017-02-02,30.64,30.64,30.34,30.36,18478,30.36
