Date,Open,High,Low,Close,Volume,Adj Close
2017-06-06,123.09,123.31,122.77,123.1,10796443,123.1
2017-06-05,121.91,121.94,121.58,121.73,3979162,121.73
2017-06-02,121.31,121.71,121.19,121.61,7268054,121.61
2017-06-01,120.17,120.74,120.06,120.72,8702543,120.72
2017-05-31,120.31,121.23,120.26,120.62,10360724,120.62
2017-05-30,120.24,120.33,119.95,120.14,4507493,120.14
2017-05-26,120.49,120.79,120.33,120.54,6791648,120.54
2017-05-25,119.52,119.7,119.29,119.48,4105092,119.48
2017-05-24,119.07,119.74,118.92,119.61,7064911,119.61
2017-05-23,120.13,120.19,118.98,119.14,8305434,119.14
2017-05-22,119.63,120.14,119.58,119.9,5132485,119.9
2017-05-19,119.39,119.54,118.88,119.4,6787254,119.4
2017-05-18,119.77,119.84,118.56,118.81,10341141,118.81
2017-05-17,119.36,120.02,119.27,119.79,13936876,119.79
2017-05-16,117.45,117.91,117.4,117.65,4942822,117.65
2017-05-15,117.52,117.54,116.99,117.14,5019589,117.14
2017-05-12,117.07,117.16,116.73,116.83,5434477,116.83
2017-05-11,116.21,116.84,116.18,116.5,6274368,116.5
2017-05-10,116.42,116.5,115.86,116.04,4290459,116.04
2017-05-09,116.18,116.24,115.56,116.05,6801280,116.05
2017-05-08,117.03,117.14,116.68,116.75,5438375,116.75
2017-05-05,116.86,117.07,116.68,117.01,7127199,117.01
2017-05-04,116.81,117.28,116.63,116.79,12406931,116.79
2017-05-03,119.18,119.34,117.92,117.98,10811052,117.98
2017-05-02,119.3,119.65,119.24,119.65,4900784,119.65
2017-05-01,120.21,120.75,119.35,119.67,9331809,119.67
2017-04-28,120.34,120.77,120.27,120.77,9134246,120.77
2017-04-27,120.42,120.6,119.97,120.39,8266954,120.39
2017-04-26,120.21,120.96,119.87,120.84,9758844,120.84
2017-04-25,120.53,120.87,120.05,120.25,10344784,120.25
2017-04-24,120.77,121.51,120.66,121.48,11053559,121.48
2017-04-21,122.14,122.61,121.73,122.31,15608031,122.31
2017-04-20,121.82,122.17,121.5,121.96,11787330,121.96
2017-04-19,122.25,122.26,121.28,121.73,8472702,121.73
2017-04-18,122.43,123.03,121.73,122.82,10903701,122.82
2017-04-17,122.55,123.07,121.99,122.24,8469580,122.24
2017-04-13,122.54,122.65,122.03,122.6,9892641,122.6
2017-04-12,121.38,122.22,121.14,122.02,9502540,122.02
2017-04-11,120.33,121.4,120.29,121.19,12455294,121.19
2017-04-10,119.04,119.69,118.85,119.46,4623673,119.46
2017-04-07,120.3,120.67,119.14,119.46,12351114,119.46
2017-04-06,119.22,119.42,118.98,119.18,4633470,119.18
2017-04-05,118.62,119.63,118.4,119.62,8105952,119.62
2017-04-04,119.59,119.77,119.38,119.62,4687301,119.62
2017-04-03,118.69,119.37,118.67,119.35,6105704,119.35
2017-03-31,118.61,119.08,118.46,118.72,8520847,118.72
2017-03-30,118.77,119.12,118.32,118.47,6894572,118.47
2017-03-29,119.22,119.45,119.05,119.33,4911042,119.33
2017-03-28,119.74,119.83,118.78,119.04,7112787,119.04
2017-03-27,119.93,120.08,119.27,119.53,8519573,119.53
2017-03-24,118.5,119.21,118.39,118.86,6879634,118.86
2017-03-23,119.15,119.25,118.32,118.67,6201129,118.67
2017-03-22,118.87,119.15,118.68,118.83,7287350,118.83
2017-03-21,117.77,118.8,117.76,118.54,9567932,118.54
