Date,Open,High,Low,Close,Volume,Adj Close
2017-06-06,22.2,22.36,22.01,22.17,301079,22.17
2017-06-05,22.4,22.43,22.01,22.2,349028,22.2
2017-06-02,22.22,22.56,22.22,22.39,375600,22.39
2017-06-01,21.63,22.12,21.52,22.07,312400,22.07
2017-05-31,21.56,21.69,21.36,21.6,416151,21.6
2017-05-30,21.85,21.91,21.59,21.59,385574,21.59
2017-05-26,22.02,22.02,21.67,21.88,333807,21.88
2017-05-25,22.18,22.35,21.89,22.0,482795,22.0
2017-05-24,22.27,22.45,22.16,22.2,373817,22.2
2017-05-23,22.29,22.38,22.17,22.25,347091,22.25
2017-05-22,22.28,22.41,22.04,22.17,344032,22.17
2017-05-19,21.97,22.26,21.78,22.19,482089,22.19
2017-05-18,21.75,21.99,21.5,21.96,469862,21.96
2017-05-17,21.5,21.92,21.26,21.75,895442,21.75
2017-05-16,21.47,21.5,21.23,21.49,487372,21.49
2017-05-15,21.39,21.69,21.3,21.46,433897,21.46
2017-05-12,21.16,21.36,21.08,21.29,309177,21.29
2017-05-11,21.03,21.18,20.63,21.11,545808,21.11
2017-05-10,20.87,21.23,20.81,21.09,292571,21.09
2017-05-09,20.93,20.93,20.7,20.85,344534,20.85
2017-05-08,20.82,20.94,20.61,20.93,375599,20.93
2017-05-05,20.51,20.83,20.5,20.82,347904,20.82
2017-05-04,20.77,20.98,20.02,20.5,811615,20.5
2017-05-03,21.27,21.28,20.77,20.93,499413,20.93
2017-05-02,21.38,21.44,21.12,21.29,561438,21.29
2017-05-01,21.32,21.48,21.18,21.38,473797,21.38
2017-04-28,21.39,21.6,21.1,21.32,682871,21.32
2017-04-27,21.75,21.76,21.15,21.43,631142,21.43
2017-04-26,21.56,21.67,21.36,21.44,667245,21.44
2017-04-25,21.61,21.81,21.6,21.65,535924,21.65
2017-04-24,22.16,22.2,21.44,21.7,683056,21.7
2017-04-21,22.09,22.1,21.93,22.04,658529,22.04
2017-04-20,22.21,22.29,21.96,22.04,557809,22.04
2017-04-19,22.37,22.37,22.11,22.19,572105,22.19
2017-04-18,22.75,22.82,22.6,22.75,558145,22.75
2017-04-17,22.28,22.73,22.22,22.73,636463,22.73
2017-04-13,22.2,22.33,22.04,22.21,396437,22.21
2017-04-12,22.26,22.58,22.11,22.18,571845,22.18
2017-04-11,21.81,22.3,21.7,22.25,542038,22.25
2017-04-10,21.55,21.9,21.46,21.79,456125,21.79
2017-04-07,21.43,21.64,21.3,21.55,872976,21.55
2017-04-06,21.28,21.45,21.11,21.43,489784,21.43
2017-04-05,21.24,21.42,21.15,21.22,670602,21.22
2017-04-04,20.95,21.22,20.91,21.2,458650,21.2
2017-04-03,21.02,21.07,20.82,21.0,489419,21.0
2017-03-31,20.72,20.99,20.61,20.93,447181,20.93
2017-03-30,20.6,20.79,20.46,20.72,490555,20.72
2017-03-29,20.54,20.59,20.37,20.58,322979,20.58
2017-03-28,20.45,20.53,20.2,20.52,451511,20.52
2017-03-27,20.44,20.65,20.37,20.54,572899,20.54
2017-03-24,20.56,20.74,20.5,20.56,474282,20.56
2017-03-23,20.35,20.7,20.2,20.54,736798,20.54
2017-03-22,20.13,20.42,20.02,20.21,539427,20.21
2017-03-21,20.49,20.53,20.13,20.14,600587,20.14
2017-03-20,20.28,20.54,20.14,20.36,821083,20.36
2017-03-17,19.84,20.29,19.84,20.22,1009693,20.22
2017-03-16,19.89,19.96,19.74,19.9,518352,19.9
2017-03-15,19.25,19.99,19.21,19.9,856379,19.9
2017-03-14,19.13,19.31,18.95,19.16,412957,19.16
2017-03-13,19.1,19.35,19.04,19.2,607630,19.2
2017-03-10,19.29,19.49,18.84,19.08,1461237,19.08
2017-03-09,19.51,19.64,19.0,19.17,765178,19.17
2017-03-08,20.34,20.36,19.54,19.57,867682,19.57
2017-03-07,20.45,20.58,20.4,20.44,355222,20.44
2017-03-06,20.37,20.57,20.3,20.49,699395,20.49
2017-03-03,20.28,20.55,19.89,20.48,1080546,20.48
2017-03-02,20.51,20.55,20.16,20.35,539377,20.35
2017-03-01,20.57,20.7,20.28,20.53,800268,20.53
2017-02-28,21.0,21.0,20.53,20.61,484439,20.61
2017-02-27,20.87,21.08,20.54,21.0,508097,21.0
2017-02-24,20.54,20.89,20.25,20.82,964261,20.82
2017-02-23,20.42,20.58,20.21,20.53,522258,20.53
2017-02-22,19.59,20.35,19.59,20.24,757880,20.24
2017-02-21,19.6,19.95,19.56,19.87,504198,19.87
2017-02-17,19.61,19.68,19.42,19.57,836025,19.57
2017-02-16,19.4,19.89,19.38,19.55,420566,19.55
2017-02-15,19.4,19.42,19.12,19.38,764273,19.38
2017-02-14,19.98,20.0,19.41,19.5,633324,19.5
2017-02-13,20.0,20.05,19.75,19.97,305274,19.97
2017-02-10,19.73,20.0,19.7,19.94,356334,19.94
2017-02-09,19.51,19.8,19.49,19.67,434112,19.67
2017-02-08,19.46,19.65,19.28,19.48,357442,19.48
2017-02-07,19.64,19.74,19.42,19.46,427740,19.46
2017-02-06,19.58,19.86,19.5,19.62,375929,19.62
2017-02-03,19.51,19.78,19.45,19.59,405940,19.59
2017-02-02,19.15,19.41,19.1,19.34,286434,19.34
2017-02-01,19.24,19.67,19.0,19.09,409625,19.09
2017-01-31,19.14,19.47,19.11,19.26,466716,19.26
2017-01-30,19.57,19.6,19.2,19.21,424100,19.21
2017-01-27,19.88,19.9,19.46,19.56,282703,19.56
2017-01-26,19.88,20.02,19.72,19.88,382981,19.88
2017-01-25,20.11,20.21,19.82,19.9,412593,19.9
2017-01-24,19.98,20.2,19.9,20.07,355117,20.07
2017-01-23,19.8,20.06,19.64,20.04,416829,20.04
2017-01-20,19.43,19.76,19.43,19.76,434792,19.76
2017-01-19,19.78,19.78,19.27,19.49,613585,19.49
2017-01-18,20.35,20.42,20.19,20.21,573784,20.21
2017-01-17,20.1,20.38,19.99,20.22,507640,20.22
2017-01-13,19.86,20.06,19.8,19.93,569961,19.93
2017-01-12,19.96,19.96,19.51,19.92,387908,19.92
2017-01-11,19.74,20.05,19.69,19.91,826816,19.91
2017-01-10,19.51,19.73,19.22,19.67,602086,19.67
2017-01-09,19.79,19.9,19.46,19.47,398558,19.47
2017-01-06,19.86,19.93,19.63,19.71,303840,19.71
2017-01-05,19.93,20.03,19.7,19.89,368689,19.89
2017-01-04,19.47,20.09,19.47,19.94,630668,19.94
2017-01-03,19.2,19.49,19.02,19.37,527873,19.37
2016-12-30,18.93,19.34,18.75,19.06,760446,19.06
2016-12-29,18.65,19.07,18.61,18.89,457804,18.89
2016-12-28,18.67,18.88,18.53,18.6,376245,18.6
2016-12-27,18.74,18.96,18.55,18.75,446561,18.75
2016-12-23,18.72,18.99,18.66,18.75,334569,18.75
2016-12-22,18.8,18.91,18.6,18.72,468801,18.72
2016-12-21,19.17,19.37,18.75,18.79,522529,18.79
2016-12-20,19.04,19.27,18.93,19.22,422734,19.22
2016-12-19,18.83,19.33,18.83,19.01,423716,19.01
2016-12-16,18.38,19.04,18.37,18.78,1429047,18.78
2016-12-15,18.49,18.87,18.16,18.25,621301,18.25
2016-12-14,19.4,19.53,18.48,18.53,801872,18.53
2016-12-13,19.78,19.87,19.27,19.42,533651,19.42
2016-12-12,19.65,19.86,19.6,19.71,499076,19.71
2016-12-09,19.62,19.92,19.57,19.7,604515,19.7
2016-12-08,19.51,19.72,19.24,19.62,577748,19.62
2016-12-07,19.16,19.76,19.16,19.61,745907,19.61
2016-12-06,18.76,19.23,18.76,19.13,582877,19.13
2016-12-05,18.5,18.8,18.4,18.76,486047,18.76
2016-12-02,18.63,18.97,18.32,18.47,577765,18.47
2016-12-01,18.75,18.89,18.36,18.5,564385,18.5
2016-11-30,18.91,18.98,18.61,18.79,506065,18.79
