Date,Open,High,Low,Close,Volume,Adj Close
2017-06-06,25.19,25.38,25.19,25.34,4893,25.34
2017-06-05,25.23,25.32,25.23,25.26,7418,25.26
2017-06-02,25.25,25.33,25.15,25.3,17196,25.3
2017-06-01,25.04,25.18,25.02,25.18,7756,25.18
2017-05-31,25.09,25.09,24.96,24.97,1957,24.97
2017-05-30,24.97,25.07,24.96,25.03,25845,25.03
2017-05-26,24.87,25.02,24.87,24.99,7878,24.99
2017-05-25,24.98,25.1,24.98,24.99,4814,24.99
2017-05-24,24.82,24.85,24.78,24.83,8566,24.83
2017-05-23,24.87,24.87,24.68,24.71,14276,24.71
2017-05-22,24.85,25.0,24.85,24.87,11944,24.87
2017-05-19,24.65,24.9,24.65,24.83,6424,24.83
2017-05-18,24.36,24.59,24.36,24.51,5090,24.51
2017-05-17,24.7,24.7,24.55,24.55,5804,24.55
2017-05-16,24.75,24.87,24.75,24.78,2151,24.78
2017-05-15,24.68,24.76,24.68,24.7,4759,24.7
2017-05-12,24.69,24.7,24.64,24.67,6049,24.67
2017-05-11,24.58,24.64,24.55,24.61,5494,24.61
2017-05-10,24.67,24.74,24.66,24.66,2238,24.66
2017-05-09,24.64,24.76,24.64,24.7,4150,24.7
2017-05-08,24.36,24.43,24.36,24.37,3621,24.37
2017-05-05,24.3,24.37,24.27,24.35,25103,24.35
2017-05-04,24.55,24.55,24.4,24.45,20089,24.45
2017-05-03,24.79,24.86,24.75,24.77,3748,24.77
2017-05-02,24.87,24.91,24.85,24.86,9841,24.86
2017-05-01,24.88,24.98,24.88,24.97,3477,24.97
2017-04-28,24.83,24.88,24.79,24.88,18244,24.88
2017-04-27,24.85,24.86,24.74,24.77,7592,24.77
2017-04-26,24.91,25.05,24.91,24.98,12724,24.98
2017-04-25,25.0,25.11,25.0,25.07,32018,25.07
2017-04-24,24.83,24.87,24.68,24.72,13891,24.72
2017-04-21,24.74,24.82,24.74,24.76,6218,24.76
2017-04-20,24.81,24.9,24.78,24.87,2565,24.87
2017-04-19,24.78,24.78,24.58,24.58,9207,24.58
2017-04-18,24.66,24.86,24.6,24.63,12037,24.63
2017-04-17,25.01,25.04,24.94,25.01,5273,25.01
2017-04-13,25.16,25.17,24.99,25.0,12921,25.0
2017-04-12,24.96,25.13,24.96,25.04,8791,25.04
2017-04-11,25.0,25.02,24.94,24.96,3577,24.96
2017-04-10,25.15,25.15,25.07,25.13,2774,25.13
2017-04-07,25.3,25.39,25.3,25.31,2467,25.31
2017-04-06,25.27,25.29,25.26,25.26,6267,25.26
2017-04-05,25.2,25.31,25.2,25.26,2392,25.26
2017-04-04,25.06,25.15,25.06,25.12,5432,25.12
2017-04-03,25.05,25.15,25.01,25.15,2939,25.15
2017-03-31,25.2,25.2,24.85,24.85,16432,24.85
2017-03-30,24.83,24.99,24.78,24.84,2910,24.84
2017-03-29,24.89,25.0,24.89,24.96,2611,24.96
2017-03-28,24.92,25.08,24.92,25.05,9317,25.05
2017-03-27,24.88,24.91,24.48,24.9,9448,24.9
2017-03-24,25.4,25.4,25.3,25.3,8046,25.3
2017-03-23,25.5,25.6,25.47,25.56,9428,25.56
2017-03-22,25.39,25.49,25.36,25.49,10685,25.49
2017-03-21,25.72,25.72,25.37,25.39,16110,25.39
2017-03-20,25.73,25.73,25.54,25.63,16759,25.63
2017-03-17,25.62,25.62,25.43,25.52,17329,25.52
2017-03-16,25.58,25.7,25.55,25.62,19629,25.62
2017-03-15,25.2,25.5,25.2,25.5,12235,25.5
2017-03-14,25.0,25.08,24.68,25.03,15078,25.03
2017-03-13,25.14,25.2,25.09,25.16,104800,25.16
2017-03-10,24.6,24.63,24.55,24.63,10929,24.63
2017-03-09,24.6,24.6,24.32,24.5,29940,24.5
2017-03-08,24.82,24.88,24.74,24.77,17901,24.77
2017-03-07,24.66,24.78,24.66,24.73,14265,24.73
2017-03-06,24.65,24.65,24.56,24.59,30246,24.59
2017-03-03,24.64,24.69,24.59,24.62,2247,24.62
