Date,Open,High,Low,Close,Volume,Adj Close
2017-06-06,73.61,73.65,72.96,73.03,880789,73.03
2017-06-05,73.57,73.65,73.08,73.47,874212,73.47
2017-06-02,73.34,74.09,73.24,73.79,1484159,73.79
2017-06-01,72.38,73.02,71.79,72.96,1495177,72.96
2017-05-31,72.51,72.97,72.39,72.54,2493414,72.54
2017-05-30,72.5,72.97,72.34,72.5,1245206,72.5
2017-05-26,73.33,73.48,72.37,72.53,1381528,72.53
2017-05-25,73.58,73.75,73.11,73.16,1248940,73.16
2017-05-24,73.42,73.89,73.4,73.53,1124378,73.53
2017-05-23,73.53,73.93,73.22,73.25,1647723,73.25
2017-05-22,73.2,73.57,72.88,73.4,1664714,73.4
2017-05-19,73.21,73.45,72.36,73.24,1910919,73.24
2017-05-18,72.32,73.1,71.9,72.93,1942588,72.93
2017-05-17,71.67,72.88,71.46,72.26,2539984,72.26
2017-05-16,71.79,71.98,71.06,71.6,1395342,71.6
2017-05-15,72.0,72.64,71.61,71.66,1496614,71.66
2017-05-12,71.69,72.3,71.49,71.85,2421054,71.85
2017-05-11,69.8,71.57,69.44,71.5,1856261,71.5
2017-05-10,69.17,70.2,68.85,70.01,1498416,70.01
2017-05-09,69.75,69.81,68.66,69.03,1659882,69.03
2017-05-08,69.95,69.96,69.01,69.72,1813181,69.72
2017-05-05,68.91,69.93,68.75,69.8,1888206,69.8
2017-05-04,69.75,70.0,68.95,69.86,1971596,69.86
2017-05-03,70.98,71.16,69.56,69.81,2182102,69.81
2017-05-02,71.3,71.44,70.41,70.75,2528622,70.75
2017-05-01,71.53,71.99,70.93,71.2,1670932,71.2
2017-04-28,72.05,72.05,70.58,71.44,1922706,71.44
2017-04-27,71.96,72.76,71.52,72.16,1287730,72.16
2017-04-26,72.43,72.48,71.68,71.83,1562637,71.83
2017-04-25,72.49,72.73,72.15,72.67,1112316,72.67
2017-04-24,73.87,73.94,71.43,72.5,2955251,72.5
2017-04-21,73.81,74.28,73.56,73.68,2306779,73.68
2017-04-20,73.76,74.11,73.59,74.07,1617677,74.07
2017-04-19,74.17,74.25,73.57,73.87,2300680,73.87
2017-04-18,73.44,74.5,73.31,74.24,2449017,74.24
2017-04-17,73.15,73.46,73.04,73.39,1304026,73.39
2017-04-13,72.89,73.32,72.69,72.85,1819299,72.85
2017-04-12,72.79,73.17,72.45,72.93,1523305,72.93
2017-04-11,72.88,73.09,72.64,72.79,1274803,72.79
2017-04-10,72.27,73.03,72.02,72.89,1676819,72.89
2017-04-07,71.63,72.48,71.63,72.26,2163490,72.26
2017-04-06,71.22,71.86,70.83,71.58,2190189,71.58
2017-04-05,70.6,71.53,70.44,71.3,2141348,71.3
2017-04-04,70.96,71.15,70.45,70.58,2834835,70.58
2017-04-03,70.82,71.25,70.5,71.15,2027353,71.15
2017-03-31,70.65,71.14,70.48,70.82,2650445,70.82
2017-03-30,70.73,70.98,70.25,70.78,1818718,70.78
2017-03-29,70.53,71.08,70.44,70.93,2334579,70.93
2017-03-28,70.03,70.68,69.84,70.61,1931410,70.61
2017-03-27,69.75,70.78,69.55,70.13,2424385,70.13
2017-03-24,69.78,69.97,69.53,69.67,2364081,69.67
2017-03-23,68.7,70.3,68.44,69.6,2576249,69.6
