Date,Open,High,Low,Close,Volume,Adj Close
2017-06-06,154.44,154.66,153.65,154.2,3248765,154.2
2017-06-05,155.53,155.62,154.23,154.79,2651789,154.79
2017-06-02,154.79,155.86,154.42,155.35,3485582,155.35
2017-06-01,153.52,155.16,152.74,155.15,3385133,155.15
2017-05-31,154.36,154.38,153.28,153.51,7158383,153.51
2017-05-30,154.0,154.56,153.52,153.88,3504291,153.88
2017-05-26,156.1,156.42,154.64,154.9,4284660,154.9
2017-05-25,156.2,156.69,155.35,156.46,3110806,156.46
2017-05-24,154.7,155.43,153.29,155.0,4593198,155.0
2017-05-23,155.91,156.43,154.68,154.83,4640854,154.83
2017-05-22,156.49,157.0,155.8,155.96,3802060,155.96
2017-05-19,156.04,156.74,155.32,156.3,4781806,156.3
2017-05-18,155.48,156.66,155.24,155.7,4858557,155.7
2017-05-17,157.08,157.3,155.89,156.09,5936974,156.09
2017-05-16,160.11,160.86,158.05,158.26,10120878,158.26
2017-05-15,157.28,157.84,156.66,157.33,6068872,157.33
2017-05-12,156.39,157.2,155.75,156.92,2926365,156.92
2017-05-11,157.35,157.7,155.33,156.2,3929068,156.2
2017-05-10,157.52,158.15,157.3,158.13,2617601,158.13
2017-05-09,157.04,157.74,156.29,157.68,3004377,157.68
2017-05-08,155.85,157.16,155.49,156.89,3184576,156.89
2017-05-05,155.34,155.75,154.09,155.73,2500636,155.73
2017-05-04,155.46,155.64,154.26,154.86,3793067,154.86
2017-05-03,155.16,155.39,154.59,155.0,2445489,155.0
2017-05-02,154.49,155.16,153.76,154.95,3295105,154.95
2017-05-01,156.22,156.27,154.21,154.21,3152949,154.21
2017-04-28,156.01,156.25,154.1,156.1,4983041,156.1
2017-04-27,154.69,156.27,153.89,156.12,5881432,156.12
2017-04-26,153.11,154.81,152.4,154.22,5120177,154.22
2017-04-25,152.79,154.65,152.79,153.03,5496453,153.03
2017-04-24,151.08,152.06,150.85,151.89,5077174,151.89
2017-04-21,148.49,150.15,148.4,150.0,5019927,150.0
2017-04-20,147.66,149.05,147.44,148.72,3700495,148.72
2017-04-19,147.93,148.4,147.02,147.22,3460975,147.22
2017-04-18,147.06,148.18,146.77,147.76,2969413,147.76
2017-04-17,145.9,147.31,145.76,147.31,3467650,147.31
2017-04-13,146.42,147.01,145.87,145.91,2346886,145.91
2017-04-12,147.42,147.57,146.37,146.54,4445599,146.54
2017-04-11,147.91,148.65,147.1,148.2,2844794,148.2
2017-04-10,146.96,149.0,146.75,148.21,5044458,148.21
2017-04-07,147.1,147.8,146.9,147.13,2869120,147.13
2017-04-06,147.04,147.96,147.0,147.24,2699679,147.24
2017-04-05,146.63,148.44,146.58,146.64,3390363,146.64
2017-04-04,146.5,146.9,146.05,146.34,3124200,146.34
2017-04-03,146.94,147.2,146.09,146.62,3775283,146.62
2017-03-31,146.87,147.18,146.65,146.83,3248666,146.83
2017-03-30,146.72,147.38,146.43,146.95,2450781,146.95
2017-03-29,146.37,147.42,145.96,147.04,3729973,147.04
2017-03-28,147.29,147.35,145.94,147.2,4635629,147.2
2017-03-27,147.07,147.68,146.26,146.87,2943006,146.87
2017-03-24,147.85,150.15,147.01,147.71,4735361,147.71
2017-03-23,147.28,148.41,147.03,147.99,3219352,147.99
2017-03-22,146.73,147.93,146.06,147.36,3169038,147.36
2017-03-21,148.33,148.7,146.26,146.61,4530019,146.61
2017-03-20,149.38,149.59,147.7,147.8,5906058,147.8
2017-03-17,149.4,149.99,148.13,149.6,9001961,149.6
2017-03-16,148.4,149.19,148.01,148.73,3544464,148.73
2017-03-15,147.35,148.38,146.76,147.95,3670513,147.95
2017-03-14,147.27,147.59,146.46,147.16,3272706,147.16
2017-03-13,147.33,147.67,146.5,147.43,2933276,147.43
2017-03-10,147.24,147.46,146.45,146.85,3123243,146.85
2017-03-09,147.08,147.16,146.53,146.62,3594694,146.62
2017-03-08,146.22,147.12,145.92,146.92,3614479,146.92
2017-03-07,146.33,146.95,145.83,146.02,3996289,146.02
2017-03-06,147.13,147.51,146.58,147.13,3998026,147.13
2017-03-03,148.12,148.26,146.82,147.81,3413398,147.81
2017-03-02,147.08,148.23,146.39,147.95,4053412,147.95
2017-03-01,146.72,147.7,145.89,146.68,6213540,146.68
2017-02-28,144.98,145.63,144.46,144.91,4211949,144.91
2017-02-27,145.87,146.01,144.8,145.3,4388414,145.3
2017-02-24,144.65,146.08,144.65,145.95,3516923,145.95
2017-02-23,146.11,146.33,144.51,144.71,4184046,144.71
2017-02-22,145.05,145.47,143.97,145.25,5037762,145.25
2017-02-21,145.6,145.65,143.25,145.02,9275897,145.02
2017-02-17,141.36,143.12,141.0,143.0,5108352,143.0
2017-02-16,142.39,142.98,140.9,141.54,4295811,141.54
