Date,Open,High,Low,Close,Volume,Adj Close
2017-06-06,12.65,12.82,12.2,12.25,920430,12.25
2017-06-05,12.9,12.96,12.66,12.95,379355,12.95
2017-06-02,12.98,13.12,12.67,12.92,523604,12.92
2017-06-01,12.43,12.9,12.34,12.9,755921,12.9
2017-05-31,12.1,12.69,12.05,12.36,1896326,12.36
2017-05-30,13.6,13.6,12.84,12.89,1077403,12.89
2017-05-26,13.42,13.81,13.26,13.69,640494,13.69
2017-05-25,13.41,13.86,13.25,13.45,1533218,13.45
2017-05-24,12.75,13.89,12.75,13.84,2077752,13.84
2017-05-23,12.78,12.79,12.46,12.53,347955,12.53
2017-05-22,12.47,12.72,12.42,12.7,485960,12.7
2017-05-19,12.7,12.82,12.39,12.41,790525,12.41
2017-05-18,12.22,12.69,12.05,12.62,851587,12.62
2017-05-17,12.73,12.73,12.22,12.29,1053511,12.29
2017-05-16,13.24,13.34,12.62,12.94,1725044,12.94
2017-05-15,13.48,13.76,13.2,13.24,1069410,13.24
2017-05-12,12.55,13.56,12.47,13.42,1653231,13.42
2017-05-11,12.37,12.69,12.21,12.55,673312,12.55
2017-05-10,12.07,12.76,11.92,12.44,1827147,12.44
2017-05-09,11.01,12.48,11.0,12.13,2595085,12.13
2017-05-08,11.11,11.14,10.85,11.05,1399534,11.05
2017-05-05,11.0,11.17,10.69,11.15,2896165,11.15
2017-05-04,10.15,10.25,9.93,10.1,2060412,10.1
2017-05-03,10.46,10.53,9.93,10.14,883450,10.14
2017-05-02,10.4,10.58,10.36,10.53,752308,10.53
2017-05-01,10.46,10.51,10.4,10.49,722097,10.49
2017-04-28,10.57,10.57,10.28,10.41,831398,10.41
2017-04-27,10.41,10.64,10.38,10.57,627510,10.57
2017-04-26,10.15,10.45,10.15,10.4,494038,10.4
2017-04-25,10.24,10.27,10.03,10.18,758323,10.18
2017-04-24,10.28,10.33,10.0,10.11,719160,10.11
2017-04-21,10.55,10.6,10.09,10.12,677002,10.12
2017-04-20,10.62,10.69,10.54,10.55,398018,10.55
2017-04-19,10.65,10.74,10.53,10.61,968935,10.61
2017-04-18,10.4,10.68,10.37,10.63,1350717,10.63
2017-04-17,10.63,10.78,10.5,10.67,484554,10.67
2017-04-13,10.73,10.83,10.48,10.62,204304,10.62
2017-04-12,10.95,11.07,10.69,10.75,285211,10.75
2017-04-11,10.89,11.04,10.61,11.0,453488,11.0
2017-04-10,10.69,10.95,10.62,10.91,490939,10.91
2017-04-07,10.81,10.88,10.6,10.67,733195,10.67
2017-04-06,10.82,10.95,10.63,10.84,583022,10.84
2017-04-05,10.77,11.43,10.77,10.79,1481698,10.79
2017-04-04,10.32,10.92,10.32,10.75,1237658,10.75
2017-04-03,9.83,10.39,9.72,10.35,896181,10.35
2017-03-31,9.69,9.93,9.65,9.81,555320,9.81
2017-03-30,9.8,9.94,9.63,9.73,296974,9.73
2017-03-29,9.48,9.83,9.48,9.74,365912,9.74
2017-03-28,9.36,9.68,9.27,9.48,213675,9.48
2017-03-27,9.15,9.52,9.1,9.36,720593,9.36
2017-03-24,9.31,9.49,9.19,9.31,250643,9.31
2017-03-23,9.45,9.52,9.27,9.31,313079,9.31
2017-03-22,9.54,9.72,9.23,9.44,397459,9.44
2017-03-21,9.97,10.16,9.55,9.57,497254,9.57
2017-03-20,10.05,10.15,9.92,9.96,506247,9.96
2017-03-17,9.91,10.08,9.86,10.04,644363,10.04
2017-03-16,9.77,9.96,9.76,9.9,612869,9.9
2017-03-15,9.44,9.74,9.34,9.71,675108,9.71
2017-03-14,9.69,9.75,9.21,9.46,634438,9.46
2017-03-13,9.65,9.97,9.58,9.79,379042,9.79
2017-03-10,9.88,10.08,9.8,9.93,449178,9.93
2017-03-09,9.89,10.0,9.75,9.83,144757,9.83
2017-03-08,9.88,10.05,9.74,9.86,422275,9.86
2017-03-07,9.94,10.07,9.84,9.89,235241,9.89
2017-03-06,9.86,10.05,9.71,9.98,444673,9.98
2017-03-03,9.95,10.03,9.72,9.9,333443,9.9
2017-03-02,10.1,10.26,9.91,10.0,654206,10.0
2017-03-01,10.04,10.3,9.94,10.12,629299,10.12
2017-02-28,10.09,10.16,9.84,9.94,460729,9.94
2017-02-27,9.94,10.2,9.78,10.12,786734,10.12
2017-02-24,10.01,10.02,9.76,9.93,443379,9.93
2017-02-23,10.32,10.33,10.04,10.07,374330,10.07
2017-02-22,10.41,10.52,10.22,10.27,352079,10.27
2017-02-21,10.53,10.63,10.34,10.46,382433,10.46
2017-02-17,10.51,10.66,10.4,10.54,411756,10.54
2017-02-16,10.59,10.74,10.45,10.5,393557,10.5
2017-02-15,10.42,10.74,10.38,10.64,747366,10.64
2017-02-14,9.82,10.61,9.81,10.54,947150,10.54
2017-02-13,10.48,10.89,10.29,10.51,1064347,10.51
2017-02-10,11.3,11.59,10.52,10.65,3451263,10.65
2017-02-09,9.9,10.27,9.9,10.17,724978,10.17
2017-02-08,10.2,10.41,9.8,9.89,805532,9.89
2017-02-07,10.08,10.44,10.05,10.21,530001,10.21
2017-02-06,9.92,10.09,9.87,10.06,402619,10.06
2017-02-03,9.72,10.0,9.72,9.99,704679,9.99
2017-02-02,9.44,9.68,9.32,9.57,812270,9.57
2017-02-01,9.8,9.83,9.33,9.54,520012,9.54
2017-01-31,9.35,9.74,9.32,9.7,509674,9.7
2017-01-30,9.35,9.85,9.27,9.32,1225565,9.32
2017-01-27,8.87,9.0,8.8,8.9,300294,8.9
2017-01-26,9.05,9.23,8.83,8.83,318259,8.83
2017-01-25,9.11,9.31,9.06,9.08,322262,9.08
2017-01-24,8.87,9.05,8.8,9.0,336537,9.0
2017-01-23,8.98,9.19,8.8,8.85,637192,8.85
2017-01-20,8.88,9.31,8.88,9.0,630525,9.0
2017-01-19,9.05,9.36,8.84,8.88,411090,8.88
2017-01-18,9.03,9.07,8.93,9.03,437197,9.03
2017-01-17,9.28,9.3,8.74,8.98,601533,8.98
2017-01-13,9.24,9.48,9.18,9.31,348619,9.31
2017-01-12,9.29,9.47,9.05,9.2,443632,9.2
2017-01-11,9.37,9.6,9.27,9.39,785691,9.39
2017-01-10,9.07,9.42,9.02,9.2,452155,9.2
2017-01-09,9.02,9.24,8.92,9.06,374018,9.06
2017-01-06,9.05,9.12,8.86,9.0,247015,9.0
2017-01-05,8.95,9.24,8.79,9.03,510373,9.03
2017-01-04,8.74,9.14,8.73,9.07,534453,9.07
2017-01-03,8.42,8.82,8.41,8.71,544992,8.71
2016-12-30,8.2,8.46,8.08,8.31,682806,8.31
2016-12-29,8.19,8.31,8.02,8.15,836914,8.15
2016-12-28,8.41,8.49,8.11,8.18,486698,8.18
2016-12-27,8.32,8.57,8.3,8.36,327337,8.36
2016-12-23,8.19,8.33,8.11,8.29,357843,8.29
2016-12-22,8.93,8.93,8.04,8.2,1375079,8.2
2016-12-21,9.34,9.48,8.86,8.94,603569,8.94
2016-12-20,9.07,9.35,9.01,9.32,846486,9.32
2016-12-19,8.73,8.97,8.55,8.95,736359,8.95
2016-12-16,8.62,8.82,8.6,8.76,634108,8.76
2016-12-15,8.58,8.84,8.48,8.54,519715,8.54
2016-12-14,8.88,8.9,8.48,8.59,464880,8.59
2016-12-13,8.35,8.95,8.32,8.88,557443,8.88
2016-12-12,8.4,8.45,8.25,8.28,361339,8.28
2016-12-09,8.45,8.74,8.44,8.47,481059,8.47
2016-12-08,8.75,8.95,8.41,8.47,834292,8.47
2016-12-07,8.52,8.76,8.35,8.72,424861,8.72
2016-12-06,8.54,8.64,8.29,8.51,717534,8.51
2016-12-05,8.44,8.83,8.44,8.64,440541,8.64
2016-12-02,8.3,8.54,8.21,8.44,252918,8.44
2016-12-01,9.01,9.09,8.37,8.38,726303,8.38
2016-11-30,9.24,9.25,8.99,9.09,325320,9.09
2016-11-29,9.14,9.28,9.02,9.16,373736,9.16
2016-11-28,9.38,9.44,9.09,9.18,499210,9.18
2016-11-25,9.4,9.5,9.22,9.46,238416,9.46
2016-11-23,9.44,9.45,9.14,9.35,397806,9.35
2016-11-22,9.23,9.47,9.16,9.45,366989,9.45
2016-11-21,9.28,9.37,9.11,9.22,248318,9.22
2016-11-18,9.35,9.5,9.19,9.19,393020,9.19
2016-11-17,9.19,9.49,9.14,9.35,475721,9.35
2016-11-16,9.08,9.39,8.9,9.19,672169,9.19
2016-11-15,9.4,9.65,9.05,9.12,1307885,9.12
2016-11-14,9.25,9.57,9.21,9.35,1271824,9.35
2016-11-11,8.92,9.28,8.9,9.2,1451364,9.2
2016-11-10,8.63,9.0,8.27,8.94,1698319,8.94
2016-11-09,7.87,8.66,7.86,8.62,986953,8.62
2016-11-08,8.4,8.55,8.22,8.35,1058953,8.35
2016-11-07,7.9,8.43,7.8,8.4,2067044,8.4
2016-11-04,7.4,8.12,6.99,8.02,3327291,8.02
2016-11-03,7.07,7.1,6.54,6.57,1833710,6.57
2016-11-02,7.23,7.37,6.97,7.08,1339861,7.08
2016-11-01,7.65,7.87,7.22,7.23,960508,7.23
2016-10-31,7.7,7.7,7.38,7.64,1039891,7.64
2016-10-28,7.74,7.84,7.54,7.73,399350,7.73
2016-10-27,7.97,7.97,7.61,7.76,477472,7.76
2016-10-26,7.5,7.69,7.43,7.61,525157,7.61
2016-10-25,8.0,8.04,7.48,7.5,511302,7.5
2016-10-24,7.92,8.0,7.75,7.98,779173,7.98
2016-10-21,7.47,7.96,7.47,7.9,1173333,7.9
2016-10-20,7.06,7.6,6.95,7.53,1376784,7.53
2016-10-19,6.88,7.07,6.78,7.05,846748,7.05
2016-10-18,6.5,6.91,6.42,6.9,1029804,6.9
2016-10-17,6.9,6.92,6.73,6.8,815588,6.8
2016-10-14,7.1,7.17,6.81,6.92,1415696,6.92
2016-10-13,7.11,7.25,6.97,7.17,2940443,7.17
2016-10-12,8.68,8.68,7.45,7.46,2046879,7.46
2016-10-11,8.55,8.84,8.28,8.7,2000684,8.7
2016-10-10,7.7,9.12,7.55,8.65,7113245,8.65
2016-10-07,7.82,7.82,7.56,7.63,526995,7.63
2016-10-06,7.92,8.11,7.72,7.79,665115,7.79
2016-10-05,8.2,8.25,7.9,7.97,738077,7.97
2016-10-04,8.46,8.51,8.12,8.16,732584,8.16
2016-10-03,8.26,8.49,8.12,8.43,1254178,8.43
2016-09-30,8.55,8.63,8.33,8.35,700776,8.35
2016-09-29,8.65,8.73,8.52,8.54,466297,8.54
2016-09-28,8.68,8.75,8.59,8.67,408009,8.67
2016-09-27,8.65,8.76,8.5,8.68,593030,8.68
2016-09-26,8.52,8.68,8.5,8.62,691725,8.62
2016-09-23,8.74,8.84,8.56,8.58,692948,8.58
2016-09-22,8.31,8.84,8.26,8.78,1126269,8.78
2016-09-21,8.04,8.34,8.02,8.27,977445,8.27
2016-09-20,7.9,8.27,7.8,8.04,1217879,8.04
2016-09-19,7.71,7.83,7.46,7.69,1150455,7.69
2016-09-16,7.45,7.77,7.41,7.67,1005967,7.67
2016-09-15,7.36,7.48,7.33,7.46,756436,7.46
2016-09-14,7.35,7.58,7.32,7.41,864286,7.41
2016-09-13,7.35,7.48,7.24,7.41,840253,7.41
2016-09-12,7.25,7.48,7.15,7.47,898013,7.47
2016-09-09,7.41,7.5,7.25,7.38,1105239,7.38
2016-09-08,7.59,7.59,7.27,7.41,1419408,7.41
2016-09-07,7.95,8.02,7.56,7.59,1399231,7.59
2016-09-06,7.93,8.0,7.8,7.93,773924,7.93
2016-09-02,7.89,8.06,7.85,7.87,826919,7.87
2016-09-01,7.93,8.07,7.89,7.99,814212,7.99
2016-08-31,7.82,8.19,7.81,7.97,1049831,7.97
2016-08-30,7.9,7.97,7.8,7.88,740201,7.88
2016-08-29,7.75,8.18,7.66,7.92,1114045,7.92
2016-08-26,7.93,8.02,7.68,7.76,702624,7.76
2016-08-25,7.82,7.97,7.73,7.92,850313,7.92
2016-08-24,8.14,8.35,7.82,7.89,998963,7.89
2016-08-23,8.07,8.58,8.07,8.12,1148767,8.12
2016-08-22,8.25,8.3,7.82,8.08,1820580,8.08
2016-08-19,8.69,8.69,8.4,8.48,1115347,8.48
2016-08-18,8.5,8.68,8.36,8.56,1156414,8.56
2016-08-17,8.85,8.94,8.34,8.57,1630578,8.57
2016-08-16,9.09,9.09,8.85,8.88,1157309,8.88
2016-08-15,8.84,9.12,8.82,9.08,1079427,9.08
2016-08-12,9.04,9.12,8.76,8.93,1371461,8.93
2016-08-11,9.07,9.18,8.94,9.01,745431,9.01
2016-08-10,9.32,9.53,8.93,8.97,947321,8.97
2016-08-09,9.75,9.94,9.31,9.31,1135044,9.31
2016-08-08,10.15,10.23,9.56,9.69,1693477,9.69
2016-08-05,8.37,9.89,8.16,9.84,6579028,9.84
2016-08-04,12.62,12.76,12.36,12.63,1339954,12.63
