Date,Open,High,Low,Close,Volume,Adj Close
2017-06-06,12.98,13.06,12.95,13.03,368880,13.03
2017-06-05,13.05,13.1,12.95,12.97,414801,12.97
2017-06-02,13.24,13.26,13.05,13.09,308396,13.09
2017-06-01,13.04,13.23,13.03,13.19,333403,13.19
2017-05-31,13.03,13.12,12.95,13.03,623117,13.03
2017-05-30,13.18,13.23,13.02,13.04,614765,13.04
2017-05-26,13.22,13.26,13.18,13.22,493865,13.22
2017-05-25,13.39,13.42,13.22,13.24,410308,13.24
2017-05-24,13.32,13.38,13.27,13.34,460435,13.34
2017-05-23,13.32,13.4,13.23,13.26,399659,13.26
2017-05-22,13.34,13.47,13.24,13.26,520760,13.26
2017-05-19,13.33,13.45,13.25,13.26,709564,13.26
2017-05-18,13.25,13.4,13.16,13.34,578348,13.34
2017-05-17,13.2,13.36,13.1,13.22,779821,13.22
2017-05-16,13.31,13.48,13.26,13.29,679723,13.29
2017-05-15,13.1,13.57,13.1,13.31,2078401,13.31
2017-05-12,12.75,12.79,12.6,12.66,634534,12.66
2017-05-11,12.68,12.88,12.66,12.81,1021339,12.81
2017-05-10,12.89,13.05,12.89,13.02,1463527,13.02
2017-05-09,12.75,13.05,12.71,12.89,1711452,12.89
2017-05-08,12.66,12.84,12.29,12.76,2766893,12.76
2017-05-05,13.24,13.41,12.76,13.0,2805586,13.0
2017-05-04,15.26,15.28,12.56,13.49,5011432,13.49
2017-05-03,15.5,15.5,15.26,15.38,738065,15.38
2017-05-02,15.45,15.59,15.42,15.49,254967,15.49
2017-05-01,15.57,15.6,15.42,15.46,411405,15.46
2017-04-28,15.57,15.67,15.46,15.52,503382,15.52
2017-04-27,15.6,15.61,15.4,15.52,470382,15.52
2017-04-26,15.51,15.68,15.51,15.56,354084,15.56
2017-04-25,15.46,15.64,15.41,15.49,443423,15.49
2017-04-24,15.5,15.52,15.37,15.39,353329,15.39
2017-04-21,15.25,15.4,15.24,15.34,503574,15.34
2017-04-20,15.25,15.32,15.17,15.2,734144,15.2
2017-04-19,15.31,15.33,15.2,15.22,367265,15.22
2017-04-18,15.23,15.27,15.13,15.2,373340,15.2
2017-04-17,15.17,15.24,15.1,15.23,353753,15.23
2017-04-13,15.08,15.23,15.01,15.1,221098,15.1
2017-04-12,15.2,15.22,15.09,15.11,248556,15.11
