Date,Open,High,Low,Close,Volume,Adj Close
2017-06-06,180.62,181.54,178.69,179.45,600993,179.45
2017-06-05,184.75,184.75,181.44,181.51,600635,181.51
2017-06-02,181.0,184.44,180.04,183.79,715012,183.79
2017-06-01,177.61,180.94,176.05,180.65,899613,180.65
2017-05-31,174.7,177.46,173.26,177.36,1443302,177.36
2017-05-30,175.19,176.51,173.02,173.58,723979,173.58
2017-05-26,174.01,177.14,173.8,175.91,959273,175.91
2017-05-25,174.77,174.77,172.34,173.76,1215749,173.76
2017-05-24,175.34,175.98,173.78,174.48,1252728,174.48
2017-05-23,175.0,176.31,174.19,174.72,1001444,174.72
2017-05-22,176.36,176.5,174.49,174.92,1176727,174.92
2017-05-19,175.88,177.5,174.85,177.01,1061794,177.01
2017-05-18,176.29,177.48,174.81,175.89,936953,175.89
2017-05-17,176.98,177.92,175.25,175.56,964357,175.56
2017-05-16,180.04,180.04,176.52,178.24,1217895,178.24
2017-05-15,180.76,181.08,179.0,180.05,1251882,180.05
2017-05-12,181.91,182.51,180.69,182.38,641351,182.38
2017-05-11,182.14,182.41,179.28,181.74,822662,181.74
2017-05-10,182.97,183.96,180.19,182.11,977621,182.11
2017-05-09,184.35,185.27,182.71,183.59,1125237,183.59
2017-05-08,186.1,186.39,183.1,184.65,1051031,184.65
2017-05-05,188.33,189.48,186.63,187.14,880684,187.14
2017-05-04,188.66,188.97,186.78,188.85,677939,188.85
2017-05-03,187.07,188.99,186.69,187.72,1114041,187.72
2017-05-02,186.62,187.88,185.4,186.71,759122,186.71
2017-05-01,186.32,188.48,185.33,186.81,953329,186.81
2017-04-28,184.62,185.95,182.95,184.86,1083986,184.86
2017-04-27,183.94,184.47,181.96,183.74,1967679,183.74
2017-04-26,178.79,184.96,177.32,184.58,2751512,184.58
2017-04-25,180.4,182.42,179.79,181.5,1376961,181.5
2017-04-24,177.65,180.36,177.33,180.2,820478,180.2
2017-04-21,177.2,177.23,173.59,175.29,1303066,175.29
2017-04-20,179.15,179.15,175.51,177.16,1085103,177.16
2017-04-19,175.82,180.62,175.34,178.03,1144825,178.03
2017-04-18,173.22,175.58,173.09,175.29,676446,175.29
2017-04-17,174.63,175.89,173.38,174.42,586452,174.42
2017-04-13,173.09,175.45,171.93,173.68,1142660,173.68
2017-04-12,174.98,176.1,171.8,172.95,784682,172.95
2017-04-11,172.29,178.99,172.24,175.01,1666482,175.01
2017-04-10,171.94,173.6,171.1,171.52,764823,171.52
2017-04-07,171.11,173.85,169.71,172.39,851950,172.39
2017-04-06,167.68,171.43,167.18,170.44,836006,170.44
2017-04-05,170.61,171.1,167.16,167.48,1148357,167.48
2017-04-04,170.8,171.84,169.51,169.92,518389,169.92
2017-04-03,171.0,172.29,169.3,170.75,736173,170.75
