Date,Open,High,Low,Close,Volume,Adj Close
2017-06-06,22.62,22.84,22.51,22.62,2494659,22.62
2017-06-05,22.85,22.93,22.7,22.74,2899578,22.74
2017-06-02,22.81,23.04,22.77,22.85,4088530,22.85
2017-06-01,22.5,22.81,22.44,22.65,4129850,22.65
2017-05-31,22.64,22.76,22.2,22.42,4751426,22.42
2017-05-30,22.9,22.91,22.49,22.49,3333745,22.49
2017-05-26,22.84,23.12,22.79,22.95,4881281,22.95
2017-05-25,22.49,22.92,22.36,22.81,5140550,22.81
2017-05-24,22.11,22.5,22.03,22.37,5706262,22.37
2017-05-23,22.02,22.23,21.83,22.08,5536229,22.08
2017-05-22,21.34,21.73,21.28,21.57,3617294,21.57
2017-05-19,21.13,21.34,21.02,21.28,3342120,21.28
2017-05-18,20.9,21.23,20.7,21.01,4233429,21.01
2017-05-17,21.06,21.44,20.93,20.96,4208520,20.96
2017-05-16,21.34,21.54,21.03,21.51,5363770,21.51
2017-05-15,21.21,21.44,20.96,21.26,5194773,21.26
2017-05-12,21.53,21.63,21.22,21.23,4019042,21.23
2017-05-11,21.55,21.76,21.25,21.58,4416116,21.58
2017-05-10,21.84,22.04,21.55,21.63,4803184,21.63
2017-05-09,21.43,22.15,21.43,21.84,5788521,21.84
2017-05-08,21.51,21.68,21.32,21.41,4623206,21.41
2017-05-05,21.65,21.65,21.28,21.51,5083585,21.51
2017-05-04,21.91,22.07,21.38,21.54,6028380,21.54
2017-05-03,21.98,22.0,21.67,21.9,4710049,21.9
2017-05-02,21.61,22.08,21.6,22.06,5756449,22.06
2017-05-01,21.76,21.88,21.56,21.62,6819588,21.62
2017-04-28,22.23,22.3,21.73,21.83,5455114,21.83
2017-04-27,21.98,22.32,21.47,22.14,9280807,22.14
2017-04-26,22.54,22.61,22.2,22.25,6800822,22.25
2017-04-25,22.08,22.74,21.85,22.47,11824090,22.47
2017-04-24,21.83,21.95,21.58,21.75,7968995,21.75
2017-04-21,21.46,21.6,21.31,21.53,5775567,21.53
