Date,Open,High,Low,Close,Volume,Adj Close
2017-06-06,40.2,40.55,40.07,40.18,6313816,40.18
2017-06-05,40.32,40.53,40.07,40.32,5543313,40.32
2017-06-02,40.32,40.37,39.86,40.23,8721058,40.23
2017-06-01,40.2,40.47,39.98,40.29,10061442,40.29
2017-05-31,40.72,40.79,39.69,40.03,14503580,40.03
2017-05-30,41.1,41.1,40.37,40.79,7109914,40.79
2017-05-26,40.93,41.1,40.62,40.99,6780278,40.99
2017-05-25,41.0,41.35,40.72,41.02,9737561,41.02
2017-05-24,40.86,40.91,39.77,40.44,10724131,40.44
2017-05-23,41.96,41.97,40.32,40.72,11557421,40.72
2017-05-22,41.61,41.97,41.2,41.66,11472038,41.66
2017-05-19,40.47,41.72,40.42,41.06,12501170,41.06
2017-05-18,39.02,40.4,38.59,40.16,12521356,40.16
2017-05-17,40.2,40.96,39.96,40.04,10284555,40.04
2017-05-16,40.28,41.0,40.23,40.77,14975910,40.77
2017-05-15,40.99,41.01,39.91,40.23,12498618,40.23
2017-05-12,39.82,40.72,39.77,40.56,13923142,40.56
2017-05-11,39.15,40.0,38.75,39.76,13039746,39.76
2017-05-10,38.55,39.36,38.42,39.32,16745122,39.32
2017-05-09,38.84,38.99,38.28,38.53,16211102,38.53
2017-05-08,37.88,39.09,37.69,38.55,31389643,38.55
2017-05-05,35.5,35.9,35.16,35.78,9033875,35.78
2017-05-04,35.26,35.5,34.96,35.4,10001587,35.4
2017-05-03,35.53,35.53,34.51,35.15,7920871,35.15
2017-05-02,35.35,35.56,34.87,35.45,5194750,35.45
2017-05-01,35.14,35.45,35.02,35.34,5712699,35.34
2017-04-28,35.5,35.5,34.73,35.07,4759964,35.07
2017-04-27,35.05,35.32,34.97,35.3,4982978,35.3
2017-04-26,35.06,35.08,34.8,34.94,6069918,34.94
2017-04-25,35.0,35.07,34.88,34.96,6890089,34.96
2017-04-24,34.78,34.94,34.36,34.57,9606789,34.57
2017-04-21,34.14,34.72,34.0,34.35,11713477,34.35
2017-04-20,34.04,34.14,33.45,33.97,7963522,33.97
2017-04-19,33.16,34.0,33.1,33.36,10268606,33.36
