Date,Open,High,Low,Close,Volume,Adj Close
2017-06-06,106.39,108.28,105.7,107.8,1409254,107.8
2017-06-05,105.9,106.79,105.53,106.4,1227529,106.4
2017-06-02,105.51,105.93,104.82,105.88,1840943,105.88
2017-06-01,104.0,105.1,104.0,104.75,1386188,104.75
2017-05-31,105.1,105.15,103.38,104.0,2005765,104.0
2017-05-30,104.85,105.67,104.52,104.54,1062827,104.54
2017-05-26,104.75,104.8,103.9,104.74,566490,104.74
2017-05-25,103.5,105.14,103.35,104.85,691938,104.85
2017-05-24,103.11,103.64,102.61,103.28,681357,103.28
2017-05-23,102.97,103.08,102.04,102.49,952108,102.49
2017-05-22,102.2,102.88,101.63,102.71,902316,102.71
2017-05-19,101.36,102.56,101.1,101.78,970966,101.78
2017-05-18,99.65,101.12,99.16,100.85,1387697,100.85
2017-05-17,101.42,101.53,99.83,99.88,1343637,99.88
2017-05-16,101.67,102.37,101.46,102.33,1158191,102.33
2017-05-15,100.09,101.81,100.09,101.25,1506266,101.25
2017-05-12,100.39,101.0,99.5,100.04,907509,100.04
2017-05-11,100.29,100.73,99.57,100.26,867054,100.26
2017-05-10,101.14,101.29,100.4,100.76,1155040,100.76
2017-05-09,100.7,101.47,100.61,100.81,787807,100.81
2017-05-08,101.01,101.02,100.25,100.5,968398,100.5
2017-05-05,101.47,101.8,99.8,100.94,986052,100.94
2017-05-04,100.2,100.85,99.59,100.81,903485,100.81
2017-05-03,99.68,100.02,99.08,99.45,1019348,99.45
2017-05-02,99.37,99.79,98.47,99.72,1483879,99.72
2017-05-01,98.71,99.5,97.47,99.17,1802029,99.17
2017-04-28,100.28,103.98,97.84,98.22,3066458,98.22
2017-04-27,101.29,104.22,101.29,103.59,2706251,103.59
2017-04-26,101.78,101.78,100.63,100.8,791110,100.8
2017-04-25,101.12,101.81,100.44,101.71,1007736,101.71
2017-04-24,99.71,100.98,99.21,100.83,1419037,100.83
2017-04-21,98.57,98.65,97.67,98.37,799113,98.37
2017-04-20,98.0,98.82,97.62,98.51,1021989,98.51
2017-04-19,95.69,97.66,95.56,97.59,1563146,97.59
2017-04-18,94.94,95.85,94.32,94.6,1416702,94.6
2017-04-17,94.52,95.74,94.33,95.5,1542877,95.5
2017-04-13,94.98,96.31,94.22,95.33,1134903,95.33
2017-04-12,95.76,95.98,94.73,95.21,1041037,95.21
2017-04-11,96.15,96.19,93.61,95.5,1406113,95.5
2017-04-10,96.75,96.97,95.85,96.33,1472725,96.33
2017-04-07,96.24,96.66,96.08,96.54,1128126,96.54
2017-04-06,95.73,96.19,94.88,96.17,980730,96.17
2017-04-05,96.47,97.49,95.56,95.73,1122973,95.73
2017-04-04,95.97,96.66,95.87,96.46,967115,96.46
2017-04-03,95.34,96.38,94.81,95.97,963438,95.97
2017-03-31,95.38,96.43,94.74,95.07,772359,95.07
2017-03-30,95.74,96.12,95.46,95.64,395735,95.64
