Date,Open,High,Low,Close,Volume,Adj Close
2017-06-06,45.9,46.06,45.78,45.98,9798655,45.98
2017-06-05,45.78,45.99,45.69,45.99,10015163,45.99
2017-06-02,45.83,45.89,45.6,45.89,9923724,45.89
2017-06-01,45.45,45.79,45.23,45.79,11049283,45.79
2017-05-31,45.43,45.7,45.37,45.47,14148040,45.47
2017-05-30,45.16,45.46,45.11,45.43,13093537,45.43
2017-05-26,45.35,45.56,45.33,45.39,11341383,45.39
2017-05-25,45.0,45.48,44.97,45.41,16704206,45.41
2017-05-24,44.51,45.09,44.51,45.03,12872039,45.03
2017-05-23,44.25,44.6,44.21,44.39,11996138,44.39
2017-05-22,43.89,44.22,43.81,44.18,12857913,44.18
2017-05-19,43.85,44.0,43.76,43.9,11796762,43.9
2017-05-18,43.87,43.96,43.64,43.8,13832197,43.8
2017-05-17,43.81,44.16,43.71,43.93,14538754,43.93
2017-05-16,43.87,44.11,43.77,43.85,10454121,43.85
2017-05-15,43.46,43.76,43.46,43.73,8493046,43.73
2017-05-12,43.64,43.68,43.46,43.59,7275825,43.59
2017-05-11,43.49,43.68,43.43,43.67,6860135,43.67
2017-05-10,43.48,43.62,43.36,43.57,7597653,43.57
2017-05-09,43.89,43.89,43.38,43.51,8694355,43.51
2017-05-08,43.59,43.91,43.54,43.89,14284342,43.89
2017-05-05,43.79,43.84,43.56,43.69,8133039,43.69
2017-05-04,43.42,43.81,43.4,43.66,10193084,43.66
2017-05-03,43.33,43.48,43.15,43.32,10389027,43.32
2017-05-02,43.22,43.44,43.16,43.39,11823916,43.39
2017-05-01,43.15,43.5,43.1,43.22,13208246,43.22
2017-04-28,42.96,43.2,42.85,43.15,10337768,43.15
2017-04-27,43.17,43.28,42.92,43.01,10386244,43.01
2017-04-26,43.06,43.43,42.98,43.24,13626625,43.24
2017-04-25,42.85,43.43,42.82,43.11,18745112,43.11
2017-04-24,43.24,43.43,43.15,43.28,16703800,43.28
2017-04-21,42.98,43.1,42.89,43.07,13833772,43.07
2017-04-20,43.2,43.3,43.05,43.09,10838274,43.09
2017-04-19,43.74,43.79,43.19,43.23,13893062,43.23
2017-04-18,43.11,43.59,43.09,43.48,13181590,43.48
2017-04-17,42.79,43.07,42.78,43.07,11318086,43.07
2017-04-13,42.87,43.08,42.78,42.79,9891941,42.79
2017-04-12,42.54,42.99,42.51,42.94,13417205,42.94
2017-04-11,42.68,42.75,42.52,42.66,8909379,42.66
2017-04-10,42.73,42.8,42.56,42.69,9426908,42.69
2017-04-07,42.64,42.74,42.51,42.61,11028772,42.61
2017-04-06,42.58,42.76,42.47,42.67,14597765,42.67
2017-04-05,42.65,42.86,42.53,42.57,10142817,42.57
2017-04-04,42.51,42.69,42.37,42.68,10946230,42.68
2017-04-03,42.58,42.62,42.27,42.41,11240037,42.41
2017-03-31,42.55,42.65,42.43,42.44,11551767,42.44
2017-03-30,42.35,42.62,42.26,42.6,11999910,42.6
2017-03-29,42.51,42.52,42.29,42.42,9580060,42.42
2017-03-28,42.24,42.56,42.24,42.43,14123756,42.43
2017-03-27,42.11,42.34,42.05,42.32,12387364,42.32
2017-03-24,42.23,42.25,41.91,42.12,13804411,42.12
2017-03-23,42.21,42.39,42.06,42.17,11503322,42.17
2017-03-22,42.56,42.7,42.25,42.38,11605453,42.38
2017-03-21,42.31,42.63,42.21,42.5,17187257,42.5
2017-03-20,42.1,42.34,42.07,42.18,11484233,42.18
2017-03-17,42.28,42.35,42.01,42.03,37526506,42.03
2017-03-16,42.03,42.39,41.9,42.25,16004192,42.25
2017-03-15,41.98,42.28,41.97,42.12,22757762,42.12
2017-03-14,41.98,42.1,41.83,41.97,9844453,41.97
2017-03-13,41.92,42.12,41.84,42.03,12831543,42.03
2017-03-10,42.23,42.4,42.15,42.29,16369676,42.29
2017-03-09,42.09,42.11,41.92,42.03,14496447,42.03
2017-03-08,42.0,42.02,41.74,41.99,14641689,41.99
2017-03-07,42.0,42.24,41.95,41.99,11273704,41.99
2017-03-06,42.34,42.43,42.12,42.18,16307783,42.18
2017-03-03,42.44,42.49,42.25,42.48,11743030,42.48
2017-03-02,42.08,42.56,42.07,42.47,15507623,42.47
2017-03-01,42.01,42.35,41.88,42.16,14662016,42.16
2017-02-28,41.68,42.07,41.64,41.96,15946816,41.96
2017-02-27,41.75,41.75,41.58,41.67,12186364,41.67
2017-02-24,41.7,41.91,41.6,41.78,13215306,41.78
2017-02-23,41.68,42.0,41.62,41.66,12856844,41.66
2017-02-22,41.51,41.68,41.4,41.6,11186823,41.6
2017-02-21,41.2,41.5,41.2,41.46,17072551,41.46
2017-02-17,41.13,41.36,41.05,41.23,15065148,41.23
2017-02-16,40.55,41.28,40.5,41.2,22214839,41.2
2017-02-15,40.42,40.63,40.4,40.44,26600788,40.44
2017-02-14,40.38,40.6,40.22,40.53,32177836,40.53
2017-02-13,40.77,40.83,40.5,40.62,23617075,40.62
2017-02-10,41.02,41.2,40.55,40.58,28847307,40.58
2017-02-09,41.52,41.68,40.72,41.25,27240268,41.25
2017-02-08,41.91,42.15,41.84,42.02,14219667,42.02
2017-02-07,41.7,41.98,41.67,41.9,13315185,41.9
2017-02-06,41.53,41.67,41.4,41.56,15742824,41.56
2017-02-03,41.58,41.79,41.46,41.54,11882373,41.54
2017-02-02,41.41,41.49,41.25,41.4,9459722,41.4
2017-02-01,41.52,41.66,41.25,41.26,11136077,41.26
2017-01-31,41.39,41.68,41.36,41.57,12677977,41.57
2017-01-30,41.3,41.48,41.2,41.38,11626225,41.38
2017-01-27,41.91,41.95,41.42,41.45,12967361,41.45
2017-01-26,42.03,42.11,41.79,41.81,8977135,41.81
2017-01-25,41.94,42.25,41.9,42.12,12538163,42.12
2017-01-24,41.47,41.97,41.47,41.9,17040102,41.9
2017-01-23,41.31,41.5,41.21,41.43,11628909,41.43
2017-01-20,41.27,41.44,41.13,41.32,14695409,41.32
2017-01-19,41.14,41.29,41.03,41.14,10987072,41.14
2017-01-18,41.25,41.38,41.14,41.29,10390485,41.29
2017-01-17,40.84,41.3,40.8,41.22,12469432,41.22
2017-01-13,41.0,41.04,40.69,40.88,8123494,40.88
