Date,Open,High,Low,Close,Volume,Adj Close
2017-06-06,30.85,31.6,30.1,31.2,454364,31.2
2017-06-05,31.45,31.5,30.5,31.0,385577,31.0
2017-06-02,32.2,32.45,31.35,31.45,786524,31.45
2017-06-01,32.0,32.6,31.8,32.05,697981,32.05
2017-05-31,31.55,32.2,31.28,32.0,678918,32.0
2017-05-30,31.55,32.06,30.7,31.55,1029155,31.55
2017-05-26,31.55,32.02,30.45,31.4,914983,31.4
2017-05-25,32.25,32.76,31.55,31.65,659343,31.65
2017-05-24,33.8,33.8,31.9,32.05,1387992,32.05
2017-05-23,35.35,35.78,33.6,33.95,663837,33.95
2017-05-22,34.85,37.75,34.85,35.3,705786,35.3
2017-05-19,37.5,40.31,32.9,34.65,1565779,34.65
2017-05-18,36.85,37.8,36.6,37.55,272974,37.55
2017-05-17,38.5,38.8,36.82,36.9,281790,36.9
2017-05-16,38.65,39.1,38.5,38.6,470291,38.6
2017-05-15,37.95,39.35,37.95,38.5,318663,38.5
2017-05-12,37.2,38.08,36.55,38.0,423833,38.0
2017-05-11,38.4,38.96,37.25,37.25,332432,37.25
2017-05-10,37.55,38.8,37.35,38.5,505996,38.5
2017-05-09,37.1,37.65,36.85,37.45,905710,37.45
2017-05-08,37.15,37.55,36.68,36.95,481865,36.95
2017-05-05,37.15,37.55,36.6,37.05,470843,37.05
2017-05-04,37.0,37.85,36.65,37.25,647405,37.25
2017-05-03,40.25,40.3,36.15,37.0,1228221,37.0
2017-05-02,40.4,40.9,39.65,40.2,245736,40.2
2017-05-01,38.4,40.35,38.4,40.2,297857,40.2
2017-04-28,39.0,39.15,38.3,38.4,102756,38.4
2017-04-27,38.45,39.1,38.4,38.85,217820,38.85
2017-04-26,38.3,38.7,38.0,38.55,107064,38.55
2017-04-25,38.35,39.05,37.94,38.4,362958,38.4
2017-04-24,38.0,38.6,37.55,38.5,384004,38.5
2017-04-21,38.0,38.25,37.55,37.75,299495,37.75
2017-04-20,38.3,38.45,37.75,37.9,259861,37.9
2017-04-19,38.55,38.7,37.9,38.2,187143,38.2
2017-04-18,37.9,38.5,37.85,38.45,122628,38.45
2017-04-17,38.15,38.35,37.6,37.9,173884,37.9
2017-04-13,37.05,38.7,36.85,38.05,327797,38.05
2017-04-12,36.05,37.45,35.95,37.2,696253,37.2
2017-04-11,36.3,36.35,35.6,36.0,388360,36.0
2017-04-10,35.95,36.6,35.95,36.45,325528,36.45
2017-04-07,34.5,36.1,34.2,35.95,313128,35.95
2017-04-06,34.3,34.55,34.06,34.5,151774,34.5
2017-04-05,34.3,34.68,33.95,34.35,362607,34.35
2017-04-04,33.8,34.25,33.8,34.1,101022,34.1
2017-04-03,34.75,35.35,33.85,33.95,179227,33.95
2017-03-31,34.0,34.82,33.85,34.6,234681,34.6
2017-03-30,34.95,35.05,33.8,33.95,298225,33.95
2017-03-29,35.5,35.8,35.0,35.1,266142,35.1
2017-03-28,35.75,36.4,35.45,35.6,339648,35.6
2017-03-27,36.25,36.45,35.65,35.85,279154,35.85
2017-03-24,36.6,36.95,35.7,36.6,352083,36.6
2017-03-23,34.45,37.35,34.35,36.65,481669,36.65
2017-03-22,34.8,34.8,34.05,34.4,402512,34.4
2017-03-21,35.7,36.05,34.45,34.75,554132,34.75
2017-03-20,35.75,36.2,35.15,35.65,311012,35.65
2017-03-17,35.0,36.85,34.9,35.7,1261525,35.7
2017-03-16,34.5,35.0,33.65,34.95,562135,34.95
2017-03-15,33.25,34.15,33.18,34.05,921306,34.05
2017-03-14,32.4,33.15,32.15,33.0,1214539,33.0
2017-03-13,31.6,32.45,31.52,32.35,724508,32.35
2017-03-10,31.65,32.25,31.45,31.65,300881,31.65
2017-03-09,30.85,32.25,30.85,31.5,880591,31.5
2017-03-08,31.15,31.55,30.6,30.75,276345,30.75
2017-03-07,31.25,31.45,30.9,31.1,260182,31.1
2017-03-06,31.5,31.9,31.05,31.25,301043,31.25
2017-03-03,32.0,32.25,31.6,31.7,308792,31.7
2017-03-02,32.65,33.05,31.95,32.05,204384,32.05
2017-03-01,32.75,33.15,32.45,32.7,349277,32.7
2017-02-28,32.6,33.15,32.45,32.6,365732,32.6
2017-02-27,31.6,32.85,31.6,32.68,635536,32.68
2017-02-24,31.85,32.2,31.65,31.8,384914,31.8
2017-02-23,32.95,33.0,31.9,32.0,309816,32.0
2017-02-22,32.5,33.2,32.5,32.8,316831,32.8
2017-02-21,33.45,33.65,32.45,32.55,256031,32.55
2017-02-17,33.7,33.9,33.3,33.8,257270,33.8
2017-02-16,34.05,34.5,33.52,33.7,169915,33.7
2017-02-15,33.9,34.02,33.55,33.95,207064,33.95
2017-02-14,33.45,34.08,33.4,33.7,443830,33.7
2017-02-13,33.75,34.1,33.2,33.85,396278,33.85
2017-02-10,34.7,34.8,33.5,33.55,229781,33.55
2017-02-09,34.0,34.6,34.0,34.45,435438,34.45
2017-02-08,33.9,34.14,33.55,34.0,373233,34.0
2017-02-07,33.1,34.5,33.08,33.8,647624,33.8
2017-02-06,34.3,34.3,33.55,33.8,544359,33.8
2017-02-03,34.3,35.15,33.8,34.5,625173,34.5
2017-02-02,36.6,36.65,34.5,35.1,610348,35.1
2017-02-01,33.45,36.6,33.45,36.55,588455,36.55
2017-01-31,32.45,34.2,30.1,33.4,597802,33.4
2017-01-30,32.7,32.8,31.75,32.7,313875,32.7
