Date,Open,High,Low,Close,Volume,Adj Close
2017-06-06,39.99,42.27,39.91,40.71,9129634,40.71
2017-06-05,38.1,40.45,38.07,40.08,9570628,40.08
2017-06-02,37.49,38.12,37.28,38.07,4647000,38.07
2017-06-01,38.0,38.67,37.2,37.34,6466668,37.34
2017-05-31,37.41,38.47,37.0,38.04,18011437,38.04
2017-05-30,39.42,40.12,36.9,37.19,10540012,37.19
2017-05-26,38.47,40.14,38.41,39.14,7550850,39.14
2017-05-25,39.63,39.63,36.49,38.41,14847237,38.41
2017-05-24,40.4,41.78,38.01,38.64,13369540,38.64
2017-05-23,44.99,45.2,38.85,41.07,27419838,41.07
2017-05-22,45.85,45.95,41.79,42.83,13329710,42.83
2017-05-19,42.4,44.12,42.0,43.58,7070987,43.58
2017-05-18,40.36,41.95,40.0,41.41,7835680,41.41
2017-05-17,42.29,42.63,40.0,40.28,12053639,40.28
2017-05-16,40.98,44.59,40.69,43.82,11312199,43.82
2017-05-15,40.65,41.21,39.71,40.11,5699847,40.11
2017-05-12,38.15,41.0,38.05,40.14,7041354,40.14
2017-05-11,38.18,38.69,37.32,38.41,3724631,38.41
2017-05-10,38.48,38.52,37.61,38.22,6087335,38.22
2017-05-09,38.78,39.0,38.2,38.58,5624669,38.58
2017-05-08,39.3,39.49,38.37,38.58,2628778,38.58
2017-05-05,38.74,39.21,38.29,39.12,2583745,39.12
2017-05-04,38.58,38.96,38.07,38.66,2585427,38.66
2017-05-03,39.53,39.56,37.77,38.3,3748417,38.3
2017-05-02,39.74,40.43,39.41,39.54,2661437,39.54
2017-05-01,38.28,39.95,38.15,39.43,4462592,39.43
2017-04-28,38.41,38.47,37.53,37.98,2575572,37.98
2017-04-27,37.29,38.62,37.27,38.38,4295833,38.38
2017-04-26,36.75,37.5,35.55,37.43,6133810,37.43
2017-04-25,38.62,38.7,37.92,38.16,3769711,38.16
2017-04-24,38.83,39.18,37.53,38.45,4030447,38.45
2017-04-21,38.32,38.54,37.33,38.32,3218046,38.32
2017-04-20,37.47,38.42,37.47,38.06,2797926,38.06
2017-04-19,37.05,38.15,36.73,37.21,4073367,37.21
2017-04-18,38.1,38.14,36.26,36.77,5412448,36.77
2017-04-17,38.44,38.65,37.5,38.4,2276222,38.4
2017-04-13,37.6,38.95,37.52,38.18,3386042,38.18
2017-04-12,38.15,39.25,37.71,37.86,5523573,37.86
2017-04-11,37.94,38.99,36.66,37.37,6165344,37.37
2017-04-10,35.2,38.12,35.2,37.5,9642353,37.5
2017-04-07,34.64,35.65,34.34,34.93,4449384,34.93
2017-04-06,32.52,35.13,32.32,34.56,4799636,34.56
2017-04-05,34.2,34.26,32.8,32.89,4927831,32.89
2017-04-04,34.66,34.84,33.53,33.97,2675994,33.97
2017-04-03,34.25,35.02,33.76,34.84,4004430,34.84
2017-03-31,35.18,35.25,33.62,34.07,10478161,34.07
2017-03-30,34.11,36.18,34.05,35.52,7065118,35.52
2017-03-29,33.75,34.49,33.21,34.11,3431390,34.11
2017-03-28,33.9,34.89,33.67,33.8,3184241,33.8
2017-03-27,32.96,34.35,32.37,34.24,4547009,34.24
2017-03-24,33.54,34.16,33.02,33.33,2737258,33.33
2017-03-23,32.83,34.49,32.3,33.29,9269995,33.29
2017-03-22,31.76,33.47,31.6,32.81,5659146,32.81
2017-03-21,34.22,34.53,31.21,32.14,6336639,32.14
2017-03-20,35.02,35.76,33.4,34.25,5829721,34.25
2017-03-17,34.66,35.73,34.01,35.01,3713122,35.01
2017-03-16,34.17,35.22,33.77,34.73,5754706,34.73
2017-03-15,33.53,34.08,32.53,33.85,5408003,33.85
2017-03-14,31.21,33.8,30.91,33.66,7829040,33.66
2017-03-13,30.86,31.5,30.52,31.38,5227930,31.38
2017-03-10,31.0,31.59,30.43,30.78,6980570,30.78
2017-03-09,32.93,33.0,29.56,30.05,19831793,30.05
2017-03-08,30.8,34.35,30.28,34.19,14894800,34.19
2017-03-07,29.48,30.22,29.0,30.0,22321695,30.0
2017-03-06,27.35,27.47,26.32,26.61,3419241,26.61
2017-03-03,26.3,27.03,26.1,26.87,1767545,26.87
2017-03-02,27.24,27.38,26.5,26.61,1636038,26.61
2017-03-01,27.0,27.61,26.87,27.51,2266664,27.51
2017-02-28,26.0,26.8,25.93,26.64,1713994,26.64
2017-02-27,25.99,26.38,25.49,25.9,2603680,25.9
2017-02-24,24.94,25.92,24.78,25.86,1575544,25.86
2017-02-23,26.83,26.85,25.25,25.72,2984575,25.72
2017-02-22,27.8,27.82,26.85,26.93,1749430,26.93
2017-02-21,27.0,27.83,26.61,27.77,3542539,27.77
2017-02-17,26.8,27.01,25.58,27.0,2797629,27.0
2017-02-16,26.37,27.05,26.17,26.8,3375432,26.8
2017-02-15,25.4,26.5,25.33,26.26,2173456,26.26
2017-02-14,25.55,25.59,24.96,25.41,936532,25.41
2017-02-13,24.95,25.82,24.66,25.4,3596072,25.4
2017-02-10,24.89,24.93,23.65,24.61,2678518,24.61
2017-02-09,24.99,25.3,24.56,24.88,2285859,24.88
2017-02-08,23.04,25.06,22.83,24.99,3769880,24.99
