Date,Open,High,Low,Close,Volume,Adj Close
2017-06-06,22.46,22.67,22.26,22.6,3051191,22.6
2017-06-05,22.38,22.73,22.28,22.6,3449554,22.6
2017-06-02,22.73,22.75,22.32,22.5,3616167,22.5
2017-06-01,22.63,23.06,22.45,22.79,3406610,22.79
2017-05-31,22.96,22.96,22.28,22.63,4697645,22.63
2017-05-30,23.0,23.06,22.85,22.94,2214494,22.94
2017-05-26,22.84,23.21,22.78,23.16,2490745,23.16
2017-05-25,23.14,23.42,22.68,22.9,3218630,22.9
2017-05-24,23.34,23.47,22.98,23.14,2875876,23.14
2017-05-23,23.21,23.49,23.11,23.32,5129389,23.32
2017-05-22,23.8,23.88,22.89,23.1,4966457,23.1
2017-05-19,22.95,23.9,22.94,23.65,5662338,23.65
2017-05-18,22.51,22.94,22.43,22.85,4722445,22.85
2017-05-17,23.07,23.28,22.6,22.81,5154853,22.81
2017-05-16,23.45,23.65,23.24,23.41,3427415,23.41
2017-05-15,23.12,23.68,23.04,23.45,4464484,23.45
2017-05-12,23.65,23.8,22.9,22.91,5801797,22.91
2017-05-11,23.48,23.86,23.21,23.7,6840114,23.7
2017-05-10,23.52,23.62,23.4,23.46,10589387,23.46
2017-05-09,24.0,24.12,23.46,23.49,9226604,23.49
2017-05-08,23.48,23.66,23.29,23.54,6836979,23.54
2017-05-05,23.4,23.64,23.4,23.45,7754594,23.45
2017-05-04,23.68,23.9,23.2,23.32,8444207,23.32
2017-05-03,24.73,24.85,23.52,23.63,11549267,23.63
2017-05-02,26.04,26.11,24.58,24.95,14086964,24.95
2017-05-01,27.12,27.15,26.8,26.87,4390151,26.87
2017-04-28,27.55,27.61,26.88,26.93,5411670,26.93
2017-04-27,27.56,27.89,27.38,27.45,4214651,27.45
2017-04-26,27.37,27.52,26.85,27.42,5188884,27.42
2017-04-25,27.39,27.71,27.29,27.54,4322643,27.54
2017-04-24,27.06,27.25,26.93,27.09,4856226,27.09
2017-04-21,27.04,27.13,26.67,26.67,3539715,26.67
2017-04-20,26.97,27.26,26.89,27.1,3432959,27.1
2017-04-19,27.11,27.21,26.72,26.83,3063908,26.83
2017-04-18,27.16,27.18,26.82,27.04,3874602,27.04
2017-04-17,27.48,27.56,27.2,27.36,4467607,27.36
2017-04-13,28.08,28.16,27.42,27.46,4231723,27.46
2017-04-12,28.56,28.66,28.11,28.15,3797424,28.15
2017-04-11,28.93,29.05,28.27,28.69,3736005,28.69
2017-04-10,28.95,29.13,28.67,28.94,2918885,28.94
2017-04-07,29.05,29.13,28.81,28.85,2480339,28.85
2017-04-06,29.0,29.33,28.86,29.19,3258014,29.19
2017-04-05,29.36,29.51,28.97,29.0,5330429,29.0
2017-04-04,28.89,29.17,28.58,29.16,4588679,29.16
2017-04-03,29.25,29.43,28.41,28.91,3958722,28.91
2017-03-31,29.24,29.48,28.93,29.18,4223356,29.18
2017-03-30,29.37,29.56,29.02,29.35,2997284,29.35
2017-03-29,29.18,29.8,29.04,29.48,2737884,29.48
2017-03-28,28.65,29.37,28.65,29.17,2860631,29.17
2017-03-27,28.46,28.9,28.38,28.64,3073120,28.64
2017-03-24,28.98,29.08,28.58,28.75,2158625,28.75
2017-03-23,28.79,29.18,28.66,29.0,1969071,29.0
