Date,Open,High,Low,Close,Volume,Adj Close
2017-06-06,17.36,17.92,17.36,17.81,6679241,17.81
2017-06-05,17.59,17.68,17.51,17.53,5833774,17.53
2017-06-02,17.77,17.78,17.42,17.59,8213151,17.59
2017-06-01,17.29,17.79,17.28,17.78,11255177,17.78
2017-05-31,17.55,17.55,17.16,17.24,12083655,17.24
2017-05-30,17.74,17.8,17.2,17.37,10606552,17.37
2017-05-26,17.39,17.76,17.09,17.67,20181981,17.67
2017-05-25,16.84,17.14,16.78,16.94,17021002,16.94
2017-05-24,16.45,16.85,16.33,16.78,10956042,16.78
2017-05-23,16.25,16.39,16.08,16.36,9650595,16.36
2017-05-22,16.12,16.66,15.97,16.19,5693437,16.19
2017-05-19,15.6,16.1,15.6,16.01,8602643,16.01
2017-05-18,15.27,15.69,15.27,15.51,6230254,15.51
2017-05-17,16.04,16.13,15.25,15.26,10225810,15.26
2017-05-16,16.19,16.26,15.93,16.25,7247397,16.25
2017-05-15,15.62,16.12,15.5,16.11,7786922,16.11
2017-05-12,15.73,15.78,15.5,15.53,1950498,15.53
2017-05-11,15.7,15.82,15.57,15.71,3963287,15.71
2017-05-10,15.65,15.76,15.59,15.75,5772440,15.75
2017-05-09,15.16,15.55,15.1,15.54,4809319,15.54
2017-05-08,15.18,15.22,15.02,15.14,4449597,15.14
2017-05-05,15.08,15.18,15.02,15.16,4013939,15.16
2017-05-04,15.13,15.28,14.96,15.08,5547922,15.08
2017-05-03,14.69,15.16,14.64,15.11,6747393,15.11
2017-05-02,14.97,15.03,14.68,14.74,5444971,14.74
2017-05-01,15.03,15.12,14.94,14.99,3186108,14.99
2017-04-28,15.19,15.19,14.95,15.02,8507189,15.02
2017-04-27,14.98,15.16,14.9,15.09,5845588,15.09
2017-04-26,14.82,15.17,14.69,14.72,8307158,14.72
2017-04-25,15.12,15.56,15.12,15.49,9710823,15.49
2017-04-24,15.09,15.14,14.9,15.06,3394430,15.06
2017-04-21,14.88,15.04,14.72,14.9,3125900,14.9
2017-04-20,14.96,15.01,14.74,14.94,4632632,14.94
2017-04-19,14.97,15.22,14.83,14.9,5760720,14.9
2017-04-18,14.75,14.92,14.73,14.89,3497841,14.89
2017-04-17,14.73,14.88,14.66,14.83,3886412,14.83
2017-04-13,14.78,14.89,14.66,14.68,7409084,14.68
2017-04-12,14.8,14.86,14.58,14.81,9673193,14.81
2017-04-11,15.0,15.06,14.65,14.85,9600714,14.85
2017-04-10,15.17,15.24,15.01,15.08,3401653,15.08
2017-04-07,15.1,15.21,15.04,15.14,4794239,15.14
2017-04-06,15.16,15.21,14.9,15.1,8914182,15.1
2017-04-05,15.02,15.19,14.94,14.99,8699390,14.99
2017-04-04,14.91,15.06,14.87,14.96,5285832,14.96
2017-04-03,15.14,15.24,14.86,15.0,10896678,15.0
2017-03-31,15.49,15.58,15.26,15.26,7280787,15.26
2017-03-30,15.69,15.75,15.59,15.61,6500202,15.61
2017-03-29,15.65,15.81,15.62,15.74,4339030,15.74
2017-03-28,15.72,15.82,15.58,15.7,6630885,15.7
2017-03-27,15.7,15.8,15.45,15.73,5613231,15.73
2017-03-24,16.06,16.11,15.84,15.9,6088527,15.9
2017-03-23,15.77,16.12,15.72,15.91,4919590,15.91
2017-03-22,15.64,16.0,15.52,15.85,8221422,15.85
2017-03-21,16.3,16.34,15.66,15.7,9768785,15.7
2017-03-20,16.1,16.33,16.08,16.25,5733364,16.25
2017-03-17,16.06,16.16,15.99,16.12,5021429,16.12
2017-03-16,16.01,16.23,16.0,16.07,3892237,16.07
2017-03-15,16.05,16.13,15.97,16.0,3809184,16.0
2017-03-14,16.19,16.2,15.96,16.02,5895800,16.02
2017-03-13,16.7,16.72,16.15,16.27,10474590,16.27
2017-03-10,15.96,16.56,15.93,16.39,11111766,16.39
2017-03-09,15.8,15.93,15.76,15.83,3347269,15.83
2017-03-08,15.99,16.11,15.83,15.84,4115919,15.84
2017-03-07,16.0,16.13,15.84,15.94,4147501,15.94
2017-03-06,16.01,16.09,15.67,16.03,7754387,16.03
2017-03-03,16.25,16.37,15.93,16.09,13947200,16.09
2017-03-02,15.94,16.0,15.74,15.85,9179077,15.85
2017-03-01,15.95,16.0,15.77,15.93,11465392,15.93
2017-02-28,16.07,16.08,15.57,15.6,6865173,15.6
2017-02-27,16.02,16.04,15.8,16.02,5707965,16.02
2017-02-24,15.8,16.04,15.55,16.01,3785719,16.01
2017-02-23,16.3,16.3,15.86,16.01,4809785,16.01
2017-02-22,16.23,16.3,16.11,16.28,3537020,16.28
2017-02-21,15.86,16.26,15.82,16.21,6043811,16.21
2017-02-17,15.7,15.82,15.56,15.81,2536916,15.81
2017-02-16,15.81,15.88,15.67,15.79,2906942,15.79
2017-02-15,15.59,15.82,15.54,15.81,5892535,15.81
2017-02-14,15.75,15.76,15.48,15.58,2469125,15.58
2017-02-13,15.6,15.73,15.53,15.68,2620484,15.68
2017-02-10,15.68,15.73,15.46,15.48,2230002,15.48
2017-02-09,15.65,15.71,15.49,15.66,4082249,15.66
2017-02-08,15.75,15.83,15.63,15.68,2793252,15.68
2017-02-07,15.86,15.89,15.56,15.72,4592262,15.72
2017-02-06,15.79,15.88,15.65,15.76,5165355,15.76
2017-02-03,15.45,15.76,15.38,15.72,7292392,15.72
2017-02-02,15.25,15.42,15.17,15.39,6223532,15.39
2017-02-01,15.49,15.58,15.13,15.33,8472072,15.33
2017-01-31,14.73,14.97,14.69,14.87,3233675,14.87
2017-01-30,14.97,15.08,14.8,14.91,3847285,14.91
2017-01-27,15.11,15.24,15.05,15.09,2596690,15.09
2017-01-26,15.36,15.45,15.08,15.12,7608768,15.12
2017-01-25,14.66,15.28,14.65,15.26,13865763,15.26
2017-01-24,14.01,14.52,13.97,14.51,8416836,14.51
2017-01-23,14.04,14.15,13.83,13.95,4831837,13.95
2017-01-20,14.15,14.26,14.08,14.11,3401910,14.11
2017-01-19,14.18,14.26,14.1,14.1,2185491,14.1
2017-01-18,14.3,14.31,14.11,14.21,1960280,14.21
2017-01-17,14.39,14.51,14.18,14.22,1978373,14.22
2017-01-13,14.48,14.6,14.45,14.47,2149358,14.47
2017-01-12,14.44,14.53,14.07,14.42,3201670,14.42
2017-01-11,14.51,14.6,14.38,14.54,4407634,14.54
2017-01-10,14.37,14.59,14.37,14.56,4929420,14.56
2017-01-09,14.18,14.39,14.14,14.37,4363659,14.37
2017-01-06,14.08,14.23,13.94,14.18,2695832,14.18
2017-01-05,14.26,14.41,14.03,14.04,3006391,14.04
2017-01-04,14.04,14.26,14.04,14.24,4478753,14.24
2017-01-03,13.93,14.12,13.85,14.05,5121547,14.05
2016-12-30,14.1,14.19,13.84,13.87,3147284,13.87
2016-12-29,14.1,14.23,14.01,14.11,3334170,14.11
2016-12-28,14.34,14.35,14.09,14.14,2445724,14.14
2016-12-27,14.33,14.45,14.28,14.34,1659964,14.34
2016-12-23,14.23,14.36,14.22,14.32,1395692,14.32
2016-12-22,14.46,14.46,14.16,14.29,2924814,14.29
2016-12-21,14.35,14.5,14.35,14.38,2912471,14.38
2016-12-20,14.24,14.4,14.18,14.34,3476483,14.34
2016-12-19,14.21,14.4,14.19,14.2,3685014,14.2
2016-12-16,14.54,14.67,14.32,14.32,5331716,14.32
2016-12-15,14.33,14.54,14.3,14.49,3305881,14.49
