Date,Open,High,Low,Close,Volume,Adj Close
2017-06-06,72.3,72.62,72.27,72.52,31454473,72.52
2017-06-05,71.97,72.89,71.81,72.28,33316760,72.28
2017-06-02,70.44,71.86,70.24,71.76,34770261,71.76
2017-06-01,70.24,70.61,69.45,70.1,21603601,70.1
2017-05-31,70.53,70.74,69.81,69.84,30436364,69.84
2017-05-30,69.79,70.41,69.77,70.41,17072838,70.41
2017-05-26,69.8,70.22,69.52,69.96,19827923,69.96
2017-05-25,68.97,69.88,68.91,69.62,21854095,69.62
2017-05-24,68.87,68.88,68.45,68.77,14666865,68.77
2017-05-23,68.72,68.75,68.38,68.68,15425824,68.68
2017-05-22,67.89,68.5,67.5,68.45,16237550,68.45
2017-05-19,67.5,68.1,67.43,67.69,26961119,67.69
2017-05-18,67.4,68.13,67.14,67.71,25201274,67.71
2017-05-17,68.89,69.1,67.43,67.48,30548781,67.48
2017-05-16,68.23,69.44,68.16,69.41,34956038,69.41
2017-05-15,68.14,68.48,67.57,68.43,31530301,68.43
2017-05-12,68.61,68.61,68.04,68.38,18714123,68.38
2017-05-11,68.36,68.73,68.12,68.46,28789413,68.46
2017-05-10,68.99,69.56,68.92,69.31,17977830,69.31
2017-05-09,68.86,69.28,68.68,69.04,22858414,69.04
2017-05-08,68.97,69.05,68.42,68.94,18566087,68.94
2017-05-05,68.9,69.03,68.48,69.0,19128782,69.0
2017-05-04,69.03,69.08,68.64,68.81,21749409,68.81
2017-05-03,69.38,69.38,68.71,69.08,28927973,69.08
2017-05-02,69.71,69.71,69.13,69.3,23906119,69.3
2017-05-01,68.68,69.55,68.5,69.41,31954362,69.41
2017-04-28,68.91,69.14,67.69,68.46,39548818,68.46
2017-04-27,68.15,68.38,67.58,68.27,34970953,68.27
2017-04-26,68.08,68.31,67.62,67.83,26190770,67.83
2017-04-25,67.9,68.04,67.6,67.92,30242730,67.92
2017-04-24,67.48,67.66,67.1,67.53,29769976,67.53
2017-04-21,65.67,66.7,65.45,66.4,32522645,66.4
2017-04-20,65.46,65.75,65.14,65.5,22299477,65.5
2017-04-19,65.65,65.75,64.89,65.04,26992771,65.04
2017-04-18,65.33,65.71,65.16,65.39,15155611,65.39
2017-04-17,65.04,65.49,65.01,65.48,16689265,65.48
2017-04-13,65.29,65.86,64.95,64.95,17896483,64.95
2017-04-12,65.42,65.51,65.11,65.23,17108513,65.23
2017-04-11,65.6,65.61,64.85,65.48,18791533,65.48
2017-04-10,65.61,65.82,65.36,65.53,17952742,65.53
2017-04-07,65.85,65.96,65.44,65.68,14108533,65.68
2017-04-06,65.6,66.06,65.48,65.73,18103453,65.73
2017-04-05,66.3,66.35,65.44,65.56,21448594,65.56
2017-04-04,65.39,65.81,65.28,65.73,12997449,65.73
2017-04-03,65.81,65.94,65.19,65.55,20400871,65.55
2017-03-31,65.65,66.19,65.45,65.86,21040331,65.86
2017-03-30,65.42,65.98,65.36,65.71,15122823,65.71
2017-03-29,65.12,65.5,64.95,65.47,13618424,65.47
2017-03-28,64.96,65.47,64.65,65.29,20080358,65.29
2017-03-27,64.63,65.22,64.35,65.1,18614662,65.1
2017-03-24,65.36,65.45,64.76,64.98,22617105,64.98
2017-03-23,64.94,65.24,64.76,64.87,19269203,64.87
2017-03-22,64.12,65.14,64.12,65.03,20680015,65.03
2017-03-21,65.19,65.5,64.13,64.21,26640480,64.21
2017-03-20,64.91,65.18,64.72,64.93,14598083,64.93
2017-03-17,64.91,65.24,64.68,64.87,49219686,64.87
2017-03-16,64.75,64.76,64.3,64.64,20674296,64.64
2017-03-15,64.55,64.92,64.25,64.75,24833810,64.75
2017-03-14,64.53,64.55,64.15,64.41,14280202,64.41
2017-03-13,65.01,65.2,64.57,64.71,20100035,64.71
2017-03-10,65.11,65.26,64.75,64.93,19538245,64.93
2017-03-09,65.19,65.2,64.48,64.73,19846832,64.73
2017-03-08,64.26,65.08,64.25,64.99,21510907,64.99
2017-03-07,64.19,64.78,64.19,64.4,18520987,64.4
2017-03-06,63.97,64.56,63.81,64.27,18750255,64.27
2017-03-03,63.99,64.28,63.62,64.25,18139405,64.25
2017-03-02,64.69,64.75,63.88,64.01,24539597,64.01
2017-03-01,64.13,64.99,64.02,64.94,26937459,64.94
2017-02-28,64.08,64.2,63.76,63.98,23239825,63.98
2017-02-27,64.54,64.54,64.04,64.23,15871507,64.23
2017-02-24,64.53,64.8,64.14,64.62,21796800,64.62
2017-02-23,64.42,64.73,64.2,64.62,20273128,64.62
2017-02-22,64.33,64.39,64.05,64.36,19292651,64.36
2017-02-21,64.61,64.95,64.45,64.49,20655869,64.49
2017-02-17,64.47,64.69,64.3,64.62,21248818,64.62
2017-02-16,64.74,65.24,64.44,64.52,20546345,64.52
2017-02-15,64.5,64.57,64.16,64.53,17005157,64.53
2017-02-14,64.41,64.72,64.02,64.57,23108426,64.57
2017-02-13,64.24,64.86,64.13,64.72,22920101,64.72
2017-02-10,64.25,64.3,63.98,64.0,18170729,64.0
2017-02-09,63.52,64.44,63.32,64.06,22644443,64.06
2017-02-08,63.57,63.81,63.22,63.34,18096358,63.34
2017-02-07,63.74,63.78,63.23,63.43,20277226,63.43
2017-02-06,63.5,63.65,63.14,63.64,19796360,63.64
2017-02-03,63.5,63.7,63.07,63.68,30301759,63.68
2017-02-02,63.25,63.41,62.75,63.17,45827013,63.17
2017-02-01,64.36,64.62,63.47,63.58,39671528,63.58
2017-01-31,64.86,65.15,64.26,64.65,25270549,64.65
2017-01-30,65.69,65.79,64.8,65.13,31651445,65.13
2017-01-27,65.39,65.91,64.89,65.78,44817972,65.78
2017-01-26,64.12,64.54,63.55,64.27,43554645,64.27
2017-01-25,63.95,64.1,63.45,63.68,24654933,63.68
2017-01-24,63.2,63.74,62.94,63.52,24672940,63.52
2017-01-23,62.7,63.12,62.57,62.96,23097581,62.96
2017-01-20,62.67,62.82,62.37,62.74,30213462,62.74
2017-01-19,62.24,62.98,62.2,62.3,18451655,62.3
2017-01-18,62.67,62.7,62.12,62.5,19670102,62.5
2017-01-17,62.68,62.7,62.03,62.53,20663983,62.53
2017-01-13,62.62,62.86,62.35,62.7,19422310,62.7
2017-01-12,63.06,63.4,61.95,62.61,20968223,62.61
2017-01-11,62.61,63.23,62.43,63.19,21517335,63.19
2017-01-10,62.73,63.07,62.28,62.62,18593004,62.62
2017-01-09,62.76,63.08,62.54,62.64,20382730,62.64
2017-01-06,62.3,63.15,62.04,62.84,19922919,62.84
2017-01-05,62.19,62.66,62.03,62.3,24875968,62.3
2017-01-04,62.48,62.75,62.12,62.3,21339969,62.3
2017-01-03,62.79,62.84,62.12,62.58,20694101,62.58
2016-12-30,62.96,62.99,62.03,62.14,25579908,62.14
2016-12-29,62.86,63.2,62.73,62.9,10250582,62.9
2016-12-28,63.4,63.4,62.83,62.99,14653348,62.99
2016-12-27,63.21,64.07,63.21,63.28,11763173,63.28
2016-12-23,63.45,63.54,62.8,63.24,12403819,63.24
2016-12-22,63.84,64.1,63.4,63.55,22176585,63.55
2016-12-21,63.43,63.7,63.12,63.54,17096304,63.54
2016-12-20,63.69,63.8,63.02,63.54,26028379,63.54
2016-12-19,62.56,63.77,62.42,63.62,34338219,63.62
2016-12-16,62.95,62.95,62.12,62.3,42453083,62.3
2016-12-15,62.7,63.15,62.3,62.58,27669868,62.58
2016-12-14,63.0,63.45,62.53,62.68,30352654,62.68
2016-12-13,62.5,63.42,62.24,62.98,35718868,62.98
2016-12-12,61.82,62.3,61.72,62.17,20198081,62.17
2016-12-09,61.18,61.99,61.12,61.97,27349356,61.97
2016-12-08,61.3,61.58,60.84,61.01,21220753,61.01
2016-12-07,60.01,61.38,59.8,61.37,30808969,61.37
2016-12-06,60.43,60.46,59.8,59.95,19907035,59.95
2016-12-05,59.7,60.58,59.56,60.22,23552658,60.22
2016-12-02,59.08,59.47,58.8,59.25,25515665,59.25
