Date,Open,High,Low,Close,Volume,Adj Close
2017-06-06,183.71,185.81,182.12,182.82,69881,182.82
2017-06-05,188.21,188.21,183.77,184.13,48127,184.13
2017-06-02,185.65,189.5,184.88,188.32,105755,188.32
2017-06-01,183.26,186.03,181.57,185.94,72017,185.94
2017-05-31,183.31,184.1,180.18,182.36,54584,182.36
2017-05-30,180.42,183.31,180.0,182.84,89025,182.84
2017-05-26,180.63,183.5,180.01,180.77,90212,180.77
2017-05-25,182.93,183.84,181.12,181.5,88995,181.5
2017-05-24,182.49,183.84,180.0,181.99,89451,181.99
2017-05-23,185.67,186.13,181.32,182.1,144484,182.1
2017-05-22,184.08,186.07,183.2,185.22,61742,185.22
2017-05-19,184.36,186.54,183.26,183.78,167799,183.78
2017-05-18,183.7,185.95,182.96,184.13,119147,184.13
2017-05-17,185.16,188.02,183.27,183.9,61652,183.9
2017-05-16,187.08,188.12,185.94,187.66,33189,187.66
2017-05-15,185.05,189.19,185.05,187.07,54314,187.07
2017-05-12,186.8,186.8,184.24,185.31,53674,185.31
2017-05-11,186.75,188.15,183.85,187.05,50152,187.05
2017-05-10,185.31,189.81,185.31,187.11,60134,187.11
2017-05-09,191.77,193.9,187.25,187.88,100202,187.88
2017-05-08,190.86,191.93,188.2,191.52,70687,191.52
2017-05-05,189.67,191.08,187.64,190.95,50543,190.95
2017-05-04,188.5,190.41,187.31,189.17,92037,189.17
2017-05-03,187.68,190.18,182.78,187.84,119013,187.84
2017-05-02,192.16,193.8,186.41,188.01,78210,188.01
2017-05-01,190.44,194.57,186.83,191.35,88959,191.35
2017-04-28,189.5,191.23,181.54,190.17,168194,190.17
2017-04-27,193.26,193.9,189.3,192.49,72402,192.49
2017-04-26,190.68,194.58,189.17,193.01,65354,193.01
2017-04-25,191.01,192.35,189.51,190.68,33944,190.68
2017-04-24,190.46,192.0,187.29,190.67,50124,190.67
2017-04-21,188.2,191.44,186.02,187.59,95071,187.59
2017-04-20,185.9,188.51,184.11,188.11,56718,188.11
2017-04-19,185.05,187.25,185.0,185.94,28415,185.94
2017-04-18,183.6,186.74,183.3,185.41,43623,185.41
2017-04-17,182.66,185.73,181.85,184.23,82190,184.23
2017-04-13,183.94,184.01,181.55,181.61,32540,181.61
2017-04-12,185.37,185.87,183.01,183.92,29217,183.92
2017-04-11,184.37,187.17,182.84,185.67,34617,185.67
2017-04-10,183.48,186.37,183.48,184.79,40008,184.79
2017-04-07,183.25,185.7,181.03,182.8,58213,182.8
2017-04-06,187.03,187.03,181.41,183.49,89892,183.49
2017-04-05,186.52,188.28,183.03,184.11,55111,184.11
2017-04-04,186.4,188.02,183.92,186.25,43507,186.25
2017-04-03,187.9,194.1,185.04,187.43,78678,187.43
2017-03-31,187.53,189.41,185.62,187.8,54253,187.8
2017-03-30,188.1,189.3,185.44,188.29,49236,188.29
2017-03-29,187.8,188.5,186.72,187.81,43159,187.81
2017-03-28,186.96,188.49,185.07,187.74,41314,187.74
2017-03-27,183.5,187.87,182.22,186.94,51324,186.94
2017-03-24,186.8,187.14,184.58,186.14,32106,186.14
2017-03-23,186.7,188.93,184.63,186.41,66444,186.41
2017-03-22,187.7,188.9,183.62,186.95,100714,186.95
2017-03-21,193.8,193.8,187.22,187.99,90799,187.99
2017-03-20,191.61,194.01,189.1,192.42,68510,192.42
2017-03-17,190.54,193.0,190.32,191.86,101792,191.86
2017-03-16,190.45,192.04,188.32,191.05,55114,191.05
2017-03-15,189.29,190.5,187.5,190.02,35849,190.02
2017-03-14,187.81,188.8,186.28,188.62,26969,188.62
2017-03-13,186.1,189.68,186.1,188.85,54404,188.85
2017-03-10,185.58,189.98,185.43,186.97,52125,186.97
2017-03-09,189.91,190.8,185.91,187.62,40006,187.62
2017-03-08,188.29,191.91,186.86,189.16,65946,189.16
2017-03-07,187.72,190.65,185.92,187.57,73150,187.57
2017-03-06,189.0,189.92,186.83,187.95,54573,187.95
2017-03-03,190.94,191.09,187.1,190.0,49254,190.0
2017-03-02,193.98,193.98,188.54,190.23,52046,190.23
2017-03-01,194.07,194.61,191.48,193.78,53728,193.78
2017-02-28,193.43,194.99,191.02,191.88,61255,191.88
2017-02-27,193.53,195.7,191.71,194.42,43418,194.42
2017-02-24,192.42,194.48,192.32,194.33,37488,194.33
2017-02-23,194.99,196.18,191.53,193.3,78648,193.3
2017-02-22,195.67,197.01,192.67,194.6,57557,194.6
2017-02-21,193.08,197.22,191.52,195.8,84646,195.8
2017-02-17,192.12,194.55,191.28,192.87,37258,192.87
2017-02-16,192.18,193.56,190.48,192.68,48947,192.68
2017-02-15,192.74,195.25,187.88,194.15,35389,194.15
2017-02-14,190.56,193.96,189.54,192.99,86390,192.99
2017-02-13,190.55,191.8,188.49,191.34,46759,191.34
2017-02-10,190.92,190.92,188.12,189.35,37159,189.35
2017-02-09,186.18,190.5,186.18,190.01,52449,190.01
2017-02-08,188.21,189.72,185.6,187.49,47677,187.49
2017-02-07,190.68,191.0,187.31,187.99,51814,187.99
2017-02-06,194.31,194.63,189.87,190.3,63331,190.3
2017-02-03,192.67,196.3,192.67,195.48,84639,195.48
2017-02-02,196.91,197.58,190.02,191.5,141419,191.5
2017-02-01,198.23,199.03,191.51,196.51,167815,196.51
2017-01-31,198.7,202.49,196.41,201.3,111913,201.3
2017-01-30,198.58,200.0,196.67,199.46,79050,199.46
2017-01-27,200.72,202.88,199.19,199.58,69299,199.58
2017-01-26,203.52,203.52,199.24,201.3,48355,201.3
2017-01-25,202.58,204.89,201.41,203.3,84839,203.3
2017-01-24,202.07,205.96,199.0,202.96,102494,202.96
2017-01-23,201.92,205.92,200.8,205.1,65461,205.1
2017-01-20,198.75,202.82,197.87,201.55,102400,201.55
2017-01-19,202.0,202.0,198.74,199.0,78660,199.0
2017-01-18,201.41,204.09,200.42,202.51,56822,202.51
2017-01-17,202.49,202.49,200.08,200.92,49297,200.92
2017-01-13,201.58,204.22,201.12,203.8,47534,203.8
2017-01-12,200.06,201.16,197.62,200.47,58820,200.47
2017-01-11,197.54,202.44,197.54,201.0,92290,201.0
2017-01-10,199.67,200.96,197.91,200.78,66970,200.78
2017-01-09,199.69,200.89,196.67,198.63,73445,198.63
2017-01-06,200.24,201.86,198.79,199.17,75075,199.17
2017-01-05,197.66,202.74,197.66,199.61,109322,199.61
2017-01-04,197.65,198.66,197.04,197.94,120832,197.94
2017-01-03,198.55,200.35,197.02,197.84,107715,197.84
2016-12-30,198.67,199.4,195.9,197.4,63409,197.4
2016-12-29,201.0,201.0,196.99,198.5,44374,198.5
2016-12-28,200.2,203.19,196.36,197.6,69309,197.6
2016-12-27,200.65,206.98,200.06,201.48,74795,201.48
2016-12-23,196.65,201.66,196.65,201.22,50631,201.22
2016-12-22,200.81,200.81,195.36,196.18,81101,196.18
