Date,Open,High,Low,Close,Volume,Adj Close
2017-06-06,15.47,15.55,15.47,15.52,59746,15.52
2017-06-05,15.44,15.48,15.34,15.48,96255,15.48
2017-06-02,15.39,15.44,15.36,15.44,94255,15.44
2017-06-01,15.3,15.38,15.28,15.38,79422,15.38
2017-05-31,15.23,15.27,15.2,15.27,79645,15.27
2017-05-30,15.16,15.2,15.13,15.16,43028,15.16
2017-05-26,15.14,15.18,15.11,15.16,47839,15.16
2017-05-25,15.14,15.17,15.11,15.15,81776,15.15
2017-05-24,15.14,15.15,15.11,15.15,26541,15.15
2017-05-23,15.11,15.15,15.08,15.15,30431,15.15
2017-05-22,15.07,15.09,15.02,15.08,53983,15.08
2017-05-19,15.04,15.08,15.03,15.06,65271,15.06
2017-05-18,15.13,15.13,15.01,15.03,79884,15.03
2017-05-17,15.1,15.14,15.08,15.08,49057,15.08
2017-05-16,15.09,15.12,15.08,15.08,67113,15.08
2017-05-15,15.06,15.1,15.06,15.09,49282,15.09
2017-05-12,15.02,15.1,15.02,15.1,31150,15.1
2017-05-11,14.95,15.01,14.95,14.99,52977,14.99
2017-05-10,15.05,15.06,15.0,15.04,55605,15.04
2017-05-09,15.03,15.05,15.01,15.03,80322,15.03
2017-05-08,15.04,15.06,15.02,15.06,47655,15.06
2017-05-05,14.98,15.05,14.98,15.04,73045,15.04
2017-05-04,14.96,15.01,14.96,15.0,66612,15.0
2017-05-03,15.0,15.04,14.98,15.01,56265,15.01
2017-05-02,14.93,15.03,14.93,15.03,56290,15.03
2017-05-01,15.04,15.06,14.95,14.98,76818,14.98
2017-04-28,14.98,15.05,14.98,15.0,80949,15.0
2017-04-27,14.91,15.03,14.9,15.0,90824,15.0
2017-04-26,14.85,14.96,14.85,14.95,95426,14.95
2017-04-25,14.87,14.87,14.8,14.86,111889,14.86
2017-04-24,14.91,14.91,14.83,14.9,79219,14.9
2017-04-21,14.91,14.93,14.88,14.89,53113,14.89
2017-04-20,14.84,14.9,14.83,14.89,66296,14.89
2017-04-19,14.86,14.9,14.83,14.87,61382,14.87
2017-04-18,14.9,14.9,14.85,14.87,64662,14.87
2017-04-17,14.9,14.9,14.83,14.86,73487,14.86
2017-04-13,14.86,14.89,14.82,14.89,76377,14.89
2017-04-12,14.77,14.82,14.77,14.8,76694,14.8
2017-04-11,14.77,14.84,14.7,14.75,132993,14.75
2017-04-10,14.69,14.8,14.68,14.77,121838,14.77
2017-04-07,14.61,14.7,14.61,14.7,59631,14.7
2017-04-06,14.58,14.62,14.54,14.62,77018,14.62
2017-04-05,14.57,14.58,14.54,14.55,66348,14.55
2017-04-04,14.68,14.69,14.58,14.61,84600,14.61
2017-04-03,14.71,14.74,14.66,14.67,71217,14.67
2017-03-31,14.66,14.74,14.65,14.74,53097,14.74
2017-03-30,14.65,14.72,14.64,14.67,42280,14.67
2017-03-29,14.66,14.7,14.66,14.67,40464,14.67
2017-03-28,14.64,14.66,14.62,14.62,34282,14.62
2017-03-27,14.6,14.68,14.6,14.62,56490,14.62
2017-03-24,14.53,14.64,14.51,14.61,83401,14.61
2017-03-23,14.48,14.53,14.47,14.53,82008,14.53
2017-03-22,14.41,14.48,14.4,14.48,119430,14.48
2017-03-21,14.34,14.38,14.32,14.38,81083,14.38
2017-03-20,14.28,14.35,14.28,14.33,77923,14.33
2017-03-17,14.26,14.31,14.23,14.3,62930,14.3
2017-03-16,14.37,14.37,14.22,14.24,61737,14.24
2017-03-15,14.12,14.33,14.1,14.29,163263,14.29
2017-03-14,14.19,14.23,14.14,14.15,53186,14.15
2017-03-13,14.17,14.23,14.14,14.23,63008,14.23
2017-03-10,14.28,14.33,14.21,14.24,64002,14.24
2017-03-09,14.34,14.34,14.19,14.27,125871,14.27
2017-03-08,14.42,14.43,14.36,14.38,140546,14.38
2017-03-07,14.47,14.47,14.42,14.46,82465,14.46
2017-03-06,14.6,14.6,14.42,14.47,146043,14.47
2017-03-03,14.61,14.61,14.54,14.59,77633,14.59
2017-03-02,14.58,14.59,14.56,14.59,75704,14.59
2017-03-01,14.58,14.63,14.56,14.61,150851,14.61
2017-02-28,14.59,14.63,14.59,14.62,97616,14.62
