Date,Open,High,Low,Close,Volume,Adj Close
2017-06-06,6.43,6.52,6.42,6.46,15307179,6.46
2017-06-05,6.46,6.54,6.45,6.54,13736483,6.54
2017-06-02,6.58,6.6,6.53,6.55,14477706,6.55
2017-06-01,6.44,6.54,6.42,6.49,20838304,6.49
2017-05-31,6.4,6.42,6.28,6.32,19869887,6.32
2017-05-30,6.32,6.35,6.28,6.34,16104369,6.34
2017-05-26,6.39,6.42,6.37,6.38,11264076,6.38
2017-05-25,6.37,6.43,6.36,6.4,17938951,6.4
2017-05-24,6.43,6.46,6.34,6.39,31002248,6.39
2017-05-23,6.64,6.65,6.48,6.54,40443333,6.54
2017-05-22,6.21,6.24,6.16,6.21,21738833,6.21
2017-05-19,6.18,6.23,6.17,6.18,15209955,6.18
2017-05-18,6.09,6.17,6.06,6.11,22597918,6.11
2017-05-17,6.22,6.23,6.1,6.11,17810496,6.11
2017-05-16,6.28,6.31,6.25,6.28,11789753,6.28
2017-05-15,6.23,6.26,6.21,6.21,11908903,6.21
2017-05-12,6.17,6.19,6.15,6.17,8923354,6.17
2017-05-11,6.14,6.16,6.05,6.12,16353850,6.12
2017-05-10,6.09,6.15,6.07,6.14,22213769,6.14
2017-05-09,6.14,6.19,6.13,6.18,17102592,6.18
2017-05-08,6.08,6.15,6.07,6.13,19731484,6.13
2017-05-05,6.11,6.19,6.09,6.18,30516443,6.18
2017-05-04,5.97,6.03,5.97,6.03,19677737,6.03
2017-05-03,5.86,6.0,5.84,5.88,13686869,5.88
2017-05-02,5.84,5.87,5.82,5.84,26115604,5.84
2017-05-01,5.74,5.77,5.72,5.77,11869568,5.77
2017-04-28,5.76,5.78,5.67,5.73,30801494,5.73
2017-04-27,5.7,5.78,5.59,5.72,62358461,5.72
2017-04-26,5.4,5.44,5.36,5.37,23249390,5.37
2017-04-25,5.44,5.46,5.4,5.43,23616483,5.43
2017-04-24,5.42,5.42,5.35,5.38,27273168,5.38
2017-04-21,5.24,5.24,5.17,5.22,14190240,5.22
2017-04-20,5.29,5.33,5.25,5.27,20536768,5.27
2017-04-19,5.22,5.24,5.17,5.17,11528578,5.17
2017-04-18,5.24,5.26,5.19,5.23,6489946,5.23
2017-04-17,5.23,5.29,5.23,5.26,3136272,5.26
2017-04-13,5.26,5.29,5.22,5.22,7600357,5.22
2017-04-12,5.29,5.31,5.25,5.28,10324525,5.28
2017-04-11,5.27,5.3,5.21,5.27,8194725,5.27
2017-04-10,5.32,5.35,5.3,5.31,6250937,5.31
2017-04-07,5.26,5.31,5.25,5.28,5663239,5.28
2017-04-06,5.23,5.29,5.22,5.23,10637633,5.23
2017-04-05,5.28,5.29,5.18,5.18,14430842,5.18
2017-04-04,5.3,5.36,5.29,5.36,8675289,5.36
2017-04-03,5.38,5.38,5.28,5.33,8906437,5.33
2017-03-31,5.36,5.43,5.35,5.42,8723607,5.42
2017-03-30,5.33,5.38,5.32,5.33,8437853,5.33
2017-03-29,5.35,5.38,5.33,5.36,10611212,5.36
2017-03-28,5.42,5.45,5.37,5.4,14205669,5.4
2017-03-27,5.42,5.5,5.41,5.46,11703193,5.46
2017-03-24,5.37,5.41,5.35,5.37,7708597,5.37
2017-03-23,5.35,5.41,5.33,5.38,7050670,5.38
2017-03-22,5.35,5.39,5.3,5.39,14704001,5.39
2017-03-21,5.54,5.56,5.4,5.4,18328892,5.4
2017-03-20,5.53,5.57,5.5,5.54,18719839,5.54
2017-03-17,5.49,5.5,5.45,5.46,9137340,5.46
2017-03-16,5.41,5.48,5.41,5.45,10506252,5.45
2017-03-15,5.32,5.39,5.3,5.37,8469549,5.37
2017-03-14,5.34,5.34,5.3,5.34,4769877,5.34
2017-03-13,5.35,5.37,5.34,5.36,6772675,5.36
2017-03-10,5.33,5.38,5.32,5.37,9750422,5.37
2017-03-09,5.26,5.29,5.25,5.28,6879582,5.28
2017-03-08,5.19,5.22,5.16,5.18,8487396,5.18
2017-03-07,5.23,5.25,5.21,5.23,8366745,5.23
2017-03-06,5.29,5.3,5.26,5.28,7382061,5.28
2017-03-03,5.26,5.29,5.23,5.28,12001343,5.28
2017-03-02,5.21,5.25,5.2,5.22,19057182,5.22
2017-03-01,5.17,5.29,5.17,5.26,20319322,5.26
2017-02-28,5.13,5.18,5.12,5.14,9258729,5.14
2017-02-27,5.16,5.2,5.14,5.18,11384923,5.18
2017-02-24,5.1,5.18,5.09,5.14,11574417,5.14
2017-02-23,5.15,5.21,5.11,5.15,21960692,5.15
2017-02-22,5.03,5.11,5.01,5.1,16664985,5.1
2017-02-21,5.03,5.09,5.03,5.09,15021213,5.09
2017-02-17,5.01,5.05,4.99,5.05,7214647,5.05
2017-02-16,5.05,5.09,5.04,5.07,14644480,5.07
2017-02-15,4.96,5.01,4.95,5.0,12330396,5.0
2017-02-14,4.97,4.99,4.95,4.97,7871365,4.97
2017-02-13,4.94,5.0,4.93,4.96,15403788,4.96
2017-02-10,4.89,4.91,4.86,4.88,6968624,4.88
2017-02-09,4.93,4.94,4.88,4.89,12750791,4.89
2017-02-08,4.89,4.92,4.86,4.88,8520671,4.88
2017-02-07,4.88,4.89,4.84,4.86,11131476,4.86
2017-02-06,4.76,4.78,4.73,4.75,13365337,4.75
2017-02-03,4.83,4.85,4.79,4.83,11863121,4.83
2017-02-02,4.82,4.89,4.77,4.82,44650804,4.82
2017-02-01,4.54,4.59,4.52,4.57,10438836,4.57
2017-01-31,4.55,4.56,4.5,4.52,9486320,4.52
2017-01-30,4.57,4.58,4.51,4.54,17068407,4.54
2017-01-27,4.63,4.67,4.61,4.64,11951554,4.64
2017-01-26,4.75,4.77,4.68,4.72,14585060,4.72
2017-01-25,4.59,4.63,4.58,4.62,18014423,4.62
2017-01-24,4.62,4.69,4.6,4.67,21812511,4.67
2017-01-23,4.68,4.68,4.62,4.68,8762973,4.68
2017-01-20,4.75,4.77,4.71,4.76,6356085,4.76
2017-01-19,4.7,4.74,4.7,4.74,7660747,4.74
2017-01-18,4.69,4.74,4.68,4.69,6642668,4.69
2017-01-17,4.75,4.77,4.7,4.74,9241387,4.74
2017-01-13,4.77,4.8,4.71,4.75,17246229,4.75
2017-01-12,4.7,4.71,4.66,4.7,15366533,4.7
2017-01-11,4.78,4.78,4.74,4.78,8978150,4.78
2017-01-10,4.85,4.86,4.81,4.84,7725090,4.84
2017-01-09,4.86,4.88,4.78,4.83,14555127,4.83
2017-01-06,4.93,4.99,4.9,4.92,18078770,4.92
2017-01-05,4.85,4.92,4.83,4.9,9878417,4.9
2017-01-04,4.8,4.85,4.79,4.84,10247111,4.84
2017-01-03,4.76,4.79,4.75,4.77,7883004,4.77
2016-12-30,4.87,4.88,4.78,4.81,12208458,4.81
2016-12-29,4.84,4.86,4.8,4.83,8880254,4.83
2016-12-28,4.86,4.86,4.78,4.8,7878289,4.8
2016-12-27,4.92,4.93,4.9,4.91,6461768,4.91
2016-12-23,4.84,4.89,4.83,4.88,9611842,4.88
2016-12-22,4.75,4.76,4.7,4.72,9596332,4.72
2016-12-21,4.96,4.99,4.67,4.76,29817601,4.76
2016-12-20,4.88,4.92,4.86,4.9,16273297,4.9
2016-12-19,4.93,4.94,4.87,4.89,13690184,4.89
2016-12-16,4.86,4.93,4.84,4.88,13242339,4.88
2016-12-15,4.71,4.77,4.68,4.72,13169373,4.72
2016-12-14,4.74,4.8,4.7,4.7,15086066,4.7
2016-12-13,4.7,4.79,4.7,4.74,12149088,4.74
2016-12-12,4.61,4.67,4.6,4.63,15823090,4.63
2016-12-09,4.6,4.65,4.58,4.62,12020369,4.62
2016-12-08,4.63,4.65,4.56,4.58,22302188,4.58
2016-12-07,4.62,4.73,4.61,4.7,17711601,4.7
2016-12-06,4.54,4.6,4.51,4.57,18245344,4.57
2016-12-05,4.33,4.51,4.32,4.51,18420977,4.51
2016-12-02,4.23,4.26,4.2,4.23,6893718,4.23
2016-12-01,4.3,4.31,4.25,4.25,7047430,4.25
