Date,Open,High,Low,Close,Volume,Adj Close
2017-06-06,35.85,36.26,35.78,36.24,4345356,36.24
2017-06-05,35.91,36.14,35.89,36.08,4111112,36.08
2017-06-02,35.99,36.01,35.7,35.91,6487541,35.91
2017-06-01,36.24,36.47,36.14,36.24,6488411,36.24
2017-05-31,36.41,36.48,36.02,36.15,7845728,36.15
2017-05-30,36.49,36.49,36.25,36.27,7053589,36.27
2017-05-26,36.46,36.53,36.31,36.41,3569396,36.41
2017-05-25,36.74,37.0,36.28,36.4,8780320,36.4
2017-05-24,36.91,37.1,36.82,36.9,6224891,36.9
2017-05-23,37.04,37.13,36.9,36.93,4326957,36.93
2017-05-22,37.19,37.19,36.85,36.96,6332059,36.96
2017-05-19,36.96,37.1,36.83,36.94,6528239,36.94
2017-05-18,36.3,36.7,36.1,36.51,10847060,36.51
2017-05-17,36.48,36.6,36.17,36.17,9600977,36.17
2017-05-16,36.24,36.48,36.18,36.24,9797626,36.24
2017-05-15,36.1,36.1,35.65,35.71,8786220,35.71
2017-05-12,35.22,35.5,35.22,35.39,4780470,35.39
2017-05-11,35.11,35.29,35.02,35.21,6670568,35.21
2017-05-10,35.24,35.32,35.0,35.01,5699130,35.01
2017-05-09,35.44,35.5,35.26,35.35,6777182,35.35
2017-05-08,35.32,35.48,35.17,35.43,5413162,35.43
2017-05-05,34.67,35.32,34.62,35.3,6863475,35.3
2017-05-04,34.43,34.48,34.21,34.32,5219771,34.32
2017-05-03,34.6,34.79,34.44,34.69,5648174,34.69
2017-05-02,34.82,35.18,34.67,34.75,8663514,34.75
2017-05-01,34.33,34.59,34.26,34.32,5488794,34.32
2017-04-28,34.34,34.5,34.26,34.32,4257851,34.32
2017-04-27,34.52,34.53,34.1,34.4,5884790,34.4
2017-04-26,34.57,35.01,34.52,34.66,6208108,34.66
2017-04-25,34.55,34.69,34.49,34.66,4428868,34.66
2017-04-24,34.39,34.56,34.32,34.45,4980421,34.45
2017-04-21,34.03,34.11,33.83,34.0,5437766,34.0
2017-04-20,34.23,34.4,34.14,34.15,5689632,34.15
2017-04-19,34.61,34.67,34.05,34.14,7082771,34.14
2017-04-18,34.74,34.94,34.45,34.67,6567270,34.67
2017-04-17,34.94,35.06,34.71,35.03,5283144,35.03
2017-04-13,35.28,35.44,34.93,34.99,8907208,34.99
2017-04-12,35.4,35.69,35.3,35.45,6585917,35.45
2017-04-11,35.24,35.4,34.92,35.37,7661436,35.37
2017-04-10,34.81,35.1,34.8,35.09,5072492,35.09
2017-04-07,34.83,34.99,34.76,34.85,4186844,34.85
2017-04-06,34.58,34.93,34.53,34.73,5873693,34.73
2017-04-05,35.05,35.27,34.57,34.59,7381383,34.59
2017-04-04,34.52,34.8,34.32,34.79,5367846,34.79
2017-04-03,34.59,34.63,34.02,34.4,5370420,34.4
2017-03-31,34.46,34.53,34.33,34.52,4835262,34.52
2017-03-30,34.56,34.61,34.34,34.52,5921137,34.52
2017-03-29,33.88,34.5,33.86,34.43,5369612,34.43
2017-03-28,33.78,34.06,33.71,33.92,5863586,33.92
2017-03-27,33.62,33.85,33.57,33.75,3404986,33.75
2017-03-24,33.88,33.91,33.74,33.78,4488634,33.78
2017-03-23,33.9,34.27,33.86,34.06,5184255,34.06
2017-03-22,33.99,34.09,33.8,33.99,4983389,33.99
2017-03-21,34.51,34.53,34.09,34.24,5606138,34.24
2017-03-20,34.13,34.24,34.06,34.19,4048851,34.19
2017-03-17,34.32,34.39,34.17,34.28,4572084,34.28
2017-03-16,34.08,34.14,33.85,34.02,7129466,34.02
2017-03-15,33.59,33.86,33.47,33.78,8938962,33.78
2017-03-14,33.74,33.74,33.28,33.43,8722622,33.43
2017-03-13,34.11,34.29,33.95,34.07,7785945,34.07
2017-03-10,34.44,34.55,34.18,34.33,20585934,34.33
2017-03-09,33.22,33.5,33.1,33.5,7067995,33.5
2017-03-08,33.75,33.85,33.26,33.31,6736987,33.31
2017-03-07,34.05,34.05,33.84,33.87,4198765,33.87
2017-03-06,33.93,34.06,33.85,33.97,4984533,33.97
2017-03-03,34.13,34.24,34.04,34.09,5293890,34.09
2017-03-02,34.19,34.37,34.09,34.12,5373370,34.12
2017-03-01,34.35,34.46,34.2,34.23,7408313,34.23
2017-02-28,33.91,34.04,33.84,33.92,7412665,33.92
2017-02-27,33.69,34.04,33.62,33.98,8594123,33.98
2017-02-24,33.58,33.65,33.42,33.5,6159755,33.5
2017-02-23,33.93,34.09,33.78,33.86,6922516,33.86
2017-02-22,33.53,33.7,33.38,33.41,6011139,33.41
2017-02-21,34.04,34.11,33.74,33.83,8189056,33.83
2017-02-17,33.53,33.56,33.33,33.42,6428329,33.42
2017-02-16,33.89,34.1,33.64,33.68,7511192,33.68
2017-02-15,33.8,33.9,33.71,33.8,7675121,33.8
2017-02-14,34.59,34.61,34.37,34.58,8026463,34.58
2017-02-13,34.57,34.72,34.52,34.66,6899224,34.66
2017-02-10,34.65,34.71,34.44,34.53,6389815,34.53
2017-02-09,34.86,34.91,34.41,34.44,8939965,34.44
2017-02-08,34.17,34.46,34.0,34.43,8322899,34.43
2017-02-07,34.77,34.89,34.15,34.38,17843224,34.38
2017-02-06,35.81,35.92,35.66,35.82,5848046,35.82
2017-02-03,35.92,36.17,35.8,35.92,5070434,35.92
2017-02-02,35.87,35.98,35.54,35.79,7642634,35.79
2017-02-01,36.18,36.2,35.81,35.99,7160611,35.99
2017-01-31,36.06,36.15,35.72,35.98,5467434,35.98
2017-01-30,36.09,36.13,35.73,35.96,7529379,35.96
2017-01-27,36.53,36.65,36.45,36.58,4242025,36.58
2017-01-26,36.96,37.05,36.59,36.74,4450055,36.74
2017-01-25,37.1,37.13,36.89,37.03,3977420,37.03
2017-01-24,36.54,36.99,36.54,36.91,6519273,36.91
2017-01-23,36.6,36.75,36.32,36.62,5470380,36.62
2017-01-20,37.11,37.12,36.76,36.84,5696303,36.84
2017-01-19,37.01,37.13,36.75,36.9,5074223,36.9
2017-01-18,37.18,37.39,37.01,37.1,5894192,37.1
2017-01-17,37.58,37.63,37.24,37.44,6172848,37.44
2017-01-13,37.82,37.86,37.56,37.66,3815512,37.66
2017-01-12,37.99,38.0,37.66,37.76,4698473,37.76
2017-01-11,37.2,37.66,37.06,37.55,4422586,37.55
2017-01-10,37.25,37.45,37.11,37.11,3922015,37.11
