Date,Open,High,Low,Close,Volume,Adj Close
2017-06-06,27.98,28.04,27.81,27.93,33654227,27.93
2017-06-05,27.9,28.07,27.81,27.98,43509471,27.98
2017-06-02,27.87,27.94,27.62,27.88,37007626,27.88
2017-06-01,27.51,27.88,27.5,27.72,32387712,27.72
2017-05-31,27.33,27.44,27.19,27.38,35610474,27.38
2017-05-30,27.31,27.45,27.16,27.36,36435745,27.36
2017-05-26,27.46,27.55,27.29,27.45,30624045,27.45
2017-05-25,27.79,27.9,27.42,27.49,39254436,27.49
2017-05-24,28.32,28.5,27.62,27.83,53867078,27.83
2017-05-23,28.21,28.28,28.11,28.28,23877122,28.28
2017-05-22,28.23,28.3,28.06,28.18,27810667,28.18
2017-05-19,27.55,28.16,27.5,28.05,48488671,28.05
2017-05-18,27.26,27.65,27.1,27.48,48447556,27.48
2017-05-17,27.82,27.87,27.41,27.41,52461830,27.41
2017-05-16,28.25,28.28,28.0,28.04,29509159,28.04
2017-05-15,28.07,28.24,27.97,28.18,39767489,28.18
2017-05-12,28.36,28.45,27.85,28.27,68433185,28.27
2017-05-11,28.68,28.89,28.5,28.87,28015381,28.87
2017-05-10,28.92,28.93,28.6,28.7,26047230,28.7
2017-05-09,29.08,29.09,28.86,28.93,23838711,28.93
2017-05-08,29.16,29.24,29.0,29.07,21630294,29.07
2017-05-05,29.13,29.24,29.11,29.22,16927056,29.22
2017-05-04,29.27,29.31,29.05,29.2,19614214,29.2
2017-05-03,28.92,29.29,28.85,29.23,26893250,29.23
2017-05-02,29.01,29.05,28.91,28.99,33760037,28.99
2017-05-01,29.01,29.17,28.93,28.94,24015753,28.94
2017-04-28,29.1,29.16,28.93,28.99,24079191,28.99
2017-04-27,29.29,29.31,29.02,29.08,32939845,29.08
2017-04-26,29.52,29.55,29.26,29.26,37368373,29.26
2017-04-25,29.45,29.6,29.32,29.45,39854055,29.45
2017-04-24,29.85,29.93,29.49,29.55,48585162,29.55
2017-04-21,30.27,30.38,29.45,29.55,72351353,29.55
2017-04-20,30.05,30.54,30.03,30.27,37081558,30.27
2017-04-19,29.89,30.06,29.87,30.0,26594394,30.0
2017-04-18,29.6,29.9,29.58,29.84,25706585,29.84
2017-04-17,29.62,29.7,29.55,29.64,21776555,29.64
2017-04-13,29.7,29.8,29.55,29.56,19998013,29.56
2017-04-12,29.88,29.9,29.65,29.77,27041348,29.77
2017-04-11,30.0,30.1,29.84,30.04,22040223,30.04
2017-04-10,30.07,30.23,29.96,30.01,18505150,30.01
2017-04-07,29.92,30.19,29.92,29.99,18975740,29.99
2017-04-06,30.0,30.18,29.92,29.93,21549950,29.93
2017-04-05,30.09,30.42,29.95,29.97,25837471,29.97
2017-04-04,29.9,30.09,29.7,30.02,25057168,30.02
2017-04-03,29.76,30.0,29.74,29.88,29912275,29.88
2017-03-31,29.86,30.04,29.74,29.8,50796542,29.8
2017-03-30,29.66,29.99,29.63,29.87,35961302,29.87
2017-03-29,29.52,29.71,29.46,29.68,27558771,29.68
2017-03-28,29.31,29.73,29.25,29.62,27847655,29.62
2017-03-27,29.45,29.51,29.25,29.44,28986703,29.44
2017-03-24,29.59,29.81,29.53,29.72,27880234,29.72
